California, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,43.1,-1.8
199002,42.7,-4.0
199003,51.4,0.7
199004,58.4,3.1
199005,60.2,-2.1
199006,69.4,-0.7
199007,76.4,0.1
199008,73.7,-1.8
199009,69.9,-0.7
199010,62.0,1.0
199011,50.0,-0.9
199012,38.4,-5.4
199101,43.6,-1.3
199102,51.5,4.8
199103,44.8,-5.9
199104,52.7,-2.6
199105,57.9,-4.4
199106,66.2,-3.9
199107,75.4,-0.9
199108,73.2,-2.3
199109,72.2,1.6
199110,64.5,3.5
199111,51.6,0.7
199112,44.0,0.2
199201,43.2,-1.7
199202,49.1,2.4
199203,50.8,0.1
199204,58.9,3.6
199205,67.0,4.7
199206,69.0,-1.1
199207,73.8,-2.5
199208,76.2,0.7
199209,70.8,0.2
199210,62.6,1.6
199211,49.5,-1.4
199212,40.3,-3.5
199301,41.3,-3.6
199302,44.0,-2.7
199303,52.9,2.2
199304,55.2,-0.1
199305,62.3,0.0
199306,68.0,-2.1
199307,72.2,-4.1
199308,73.2,-2.3
199309,69.5,-1.1
199310,61.4,0.4
199311,48.8,-2.1
199312,43.1,-0.7
199401,45.7,0.8
199402,43.7,-3.0
199403,52.9,2.2
199404,55.9,0.6
199405,61.3,-1.0
199406,70.9,0.8
199407,76.5,0.2
199408,75.8,0.3
199409,69.8,-0.8
199410,58.6,-2.4
199411,42.9,-8.0
199412,42.1,-1.7
199501,44.7,-0.2
199502,51.3,4.6
199503,48.9,-1.8
199504,52.9,-2.4
199505,58.4,-3.9
199506,66.1,-4.0
199507,74.2,-2.1
199508,75.0,-0.5
199509,71.2,0.6
199510,62.2,1.2
199511,55.9,5.0
199512,46.4,2.6
199601,45.6,0.7
199602,48.8,2.1
199603,51.5,0.8
199604,56.8,1.5
199605,62.5,0.2
199606,70.4,0.3
199607,78.1,1.8
199608,76.7,1.2
199609,68.4,-2.2
199610,59.2,-1.8
199611,51.1,0.2
199612,45.6,1.8
199701,44.5,-0.4
199702,46.6,-0.1
199703,54.0,3.3
199704,55.6,0.3
199705,67.6,5.3
199706,68.4,-1.7
199707,74.0,-2.3
199708,74.9,-0.6
199709,70.8,0.2
199710,59.0,-2.0
199711,51.6,0.7
199712,42.4,-1.4
199801,45.1,0.2
199802,43.6,-3.1
199803,49.2,-1.5
199804,51.6,-3.7
199805,54.9,-7.4
199806,65.2,-4.9
199807,76.0,-0.3
199808,77.2,1.7
199809,69.2,-1.4
199810,57.7,-3.3
199811,48.8,-2.1
199812,42.0,-1.8
199901,45.0,0.1
199902,44.9,-1.8
199903,47.5,-3.2
199904,51.3,-4.0
199905,60.4,-1.9
199906,67.8,-2.3
199907,73.3,-3.0
199908,72.6,-2.9
199909,70.7,0.1
199910,63.7,2.7
199911,53.0,2.1
199912,45.3,1.5
200001,45.8,0.9
200002,47.2,0.5
200003,50.2,-0.5
200004,57.8,2.5
200005,63.9,1.6
200006,72.2,2.1
200007,73.5,-2.8
200008,75.0,-0.5
200009,69.1,-1.5
200010,58.4,-2.6
200011,46.0,-4.9
200012,46.5,2.7
200101,42.3,-2.6
200102,43.1,-3.6
200103,52.6,1.9
200104,52.0,-3.3
200105,68.6,6.3
200106,71.4,1.3
200107,74.2,-2.1
200108,76.0,0.5
200109,71.2,0.6
200110,63.6,2.6
200111,51.6,0.7
200112,42.8,-1.0
200201,42.4,-2.5
200202,48.2,1.5
200203,48.5,-2.2
200204,56.0,0.7
200205,61.5,-0.8
200206,71.2,1.1
200207,77.4,1.1
200208,74.4,-1.1
200209,70.9,0.3
200210,59.4,-1.6
200211,52.3,1.4
200212,44.0,0.2
200301,50.0,5.1
200302,45.7,-1.0
200303,51.4,0.7
200304,50.0,-5.3
200305,62.0,-0.3
200306,71.2,1.1
200307,78.7,2.4
200308,75.0,-0.5
200309,72.9,2.3
200310,65.4,4.4
200311,46.8,-4.1
200312,44.0,0.2
200401,43.5,-1.4
200402,44.2,-2.5
200403,56.9,6.2
200404,57.3,2.0
200405,63.2,0.9
200406,70.4,0.3
200407,76.1,-0.2
200408,74.8,-0.7
200409,69.4,-1.2
200410,58.2,-2.8
200411,47.7,-3.2
200412,44.6,0.8
200501,44.1,-0.8
200502,47.1,0.4
200503,51.1,0.4
200504,53.0,-2.3
200505,62.2,-0.1
200506,66.2,-3.9
200507,78.4,2.1
200508,75.8,0.3
200509,66.9,-3.7
200510,59.9,-1.1
200511,52.4,1.5
200512,46.1,2.3
200601,44.6,-0.3
200602,47.7,1.0
200603,44.0,-6.7
200604,53.0,-2.3
200605,64.6,2.3
200606,73.2,3.1
200607,79.3,3.0
200608,73.8,-1.7
200609,69.5,-1.1
200610,58.8,-2.2
200611,51.3,0.4
200612,43.9,0.1
200701,41.5,-3.4
200702,46.7,0.0
200703,54.4,3.7
200704,56.3,1.0
200705,64.1,1.8
200706,70.5,0.4
200707,76.9,0.6
200708,76.1,0.6
200709,67.5,-3.1
200710,58.6,-2.4
200711,53.3,2.4
200712,41.2,-2.6
200801,41.1,-3.8
200802,45.8,-0.9
200803,50.3,-0.4
200804,54.4,-0.9
200805,61.7,-0.6
200806,71.1,1.0
200807,76.5,0.2
200808,76.6,1.1
200809,71.8,1.2
200810,61.8,0.8
200811,53.9,3.0
200812,42.0,-1.8
200901,46.9,2.0
200902,45.2,-1.5
200903,49.2,-1.5
200904,54.3,-1.0
200905,66.7,4.4
200906,67.5,-2.6
200907,77.6,1.3
200908,74.8,-0.7
200909,73.0,2.4
200910,58.1,-2.9
200911,50.9,0.0
200912,41.8,-2.0
201001,45.2,0.3
201002,46.8,0.1
201003,49.0,-1.7
201004,50.9,-4.4
201005,56.9,-5.4
201006,69.1,-1.0
201007,76.1,-0.2
201008,73.4,-2.1
201009,70.4,-0.2
201010,60.5,-0.5
201011,48.6,-2.3
201012,45.8,2.0
201101,45.2,0.3
201102,43.4,-3.3
201103,48.7,-2.0
201104,53.4,-1.9
201105,57.6,-4.7
201106,66.9,-3.2
201107,74.2,-2.1
201108,75.2,-0.3
201109,72.2,1.6
201110,61.4,0.4
201111,48.2,-2.7
201112,42.8,-1.0
201201,46.5,1.6
201202,46.5,-0.2
201203,48.8,-1.9
201204,55.8,0.5
201205,63.9,1.6
201206,69.3,-0.8
201207,74.7,-1.6
201208,77.8,2.3
201209,73.1,2.5
201210,62.2,1.2
201211,52.5,1.6
201212,43.0,-0.8
201301,42.1,-2.8
201302,45.3,-1.4
201303,53.8,3.1
201304,58.2,2.9
201305,63.8,1.5
201306,72.4,2.3
201307,78.0,1.7
201308,74.4,-1.1
201309,69.3,-1.3
201310,58.5,-2.5
201311,51.9,1.0
201312,44.1,0.3
201401,50.1,5.2
201402,49.8,3.1
201403,53.5,2.8
201404,57.7,2.4
201405,64.6,2.3
201406,71.9,1.8
201407,78.4,2.1
201408,74.9,-0.6
201409,72.2,1.6
201410,64.4,3.4
201411,53.1,2.2
201412,46.8,3.0
201501,48.6,3.7
201502,53.2,6.5
201503,56.9,6.2
201504,56.7,1.4
201505,60.8,-1.5
201506,74.4,4.3
201507,75.0,-1.3
201508,76.5,1.0
201509,72.1,1.5
201510,65.0,4.0
201511,47.6,-3.3
201512,42.3,-1.5
201601,44.5,-0.4
201602,51.8,5.1
201603,52.5,1.8
201604,57.9,2.6
201605,62.2,-0.1
201606,73.5,3.4
201607,76.8,0.5
201608,76.2,0.7
201609,69.5,-1.1
201610,60.5,-0.5
201611,52.8,1.9
201612,43.4,-0.4
201701,42.2,-2.7
201702,47.3,0.6
201703,53.4,2.7
201704,55.6,0.3
201705,63.4,1.1
201706,72.8,2.7
201707,78.8,2.5
201708,77.9,2.4
201709,69.8,-0.8
201710,62.0,1.0
201711,53.4,2.5
201712,47.5,3.7
201801,48.9,4.0
201802,46.6,-0.1
201803,49.0,-1.7
201804,57.2,1.9
201805,63.0,0.7
201806,71.4,1.3
201807,79.6,3.3
201808,76.4,0.9
201809,71.1,0.5
201810,60.9,-0.1
201811,52.6,1.7
201812,44.8,1.0
201901,46.1,1.2
201902,40.6,-6.1
201903,48.9,-1.8
201904,58.2,2.9
201905,58.6,-3.7
201906,71.1,1.0
201907,75.5,-0.8
201908,76.8,1.3
201909,68.9,-1.7
201910,58.8,-2.2
201911,53.0,2.1
201912,44.4,0.6
202001,45.3,0.4
202002,49.2,2.5
202003,48.0,-2.7
202004,56.6,1.3
202005,64.6,2.3
202006,70.4,0.3
202007,76.6,0.3
202008,78.9,3.4
202009,74.0,3.4
202010,66.2,5.2
202011,50.9,0.0
202012,45.5,1.7
202101,45.5,0.6
202102,47.4,0.7
202103,48.2,-2.5
202104,58.3,3.0
202105,64.5,2.2
202106,74.9,4.8
202107,79.8,3.5
202108,77.0,1.5
202109,72.1,1.5
202110,58.2,-2.8
202111,54.8,3.9
202112,43.5,-0.3
202201,46.6,1.7
