Colorado, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,26.4,0.1
199002,27.7,-1.1
199003,36.6,-0.4
199004,45.1,1.5
199005,50.5,-2.4
199006,65.3,2.2
199007,66.0,-2.5
199008,64.8,-1.6
199009,61.2,2.1
199010,46.7,-0.2
199011,36.6,1.2
199012,20.3,-6.1
199101,21.9,-4.4
199102,32.5,3.7
199103,34.9,-2.1
199104,41.9,-1.7
199105,53.5,0.6
199106,62.5,-0.6
199107,66.5,-2.0
199108,65.5,-0.9
199109,57.5,-1.6
199110,47.4,0.5
199111,30.5,-4.9
199112,25.9,-0.5
199201,24.7,-1.6
199202,31.9,3.1
199203,38.1,1.1
199204,48.2,4.6
199205,54.6,1.7
199206,59.7,-3.4
199207,64.4,-4.1
199208,63.4,-3.0
199209,58.6,-0.5
199210,49.1,2.2
199211,28.4,-7.0
199212,22.1,-4.3
199301,23.7,-2.6
199302,25.3,-3.5
199303,36.1,-0.9
199304,42.1,-1.5
199305,52.6,-0.3
199306,60.2,-2.9
199307,66.0,-2.5
199308,63.9,-2.5
199309,55.3,-3.8
199310,44.8,-2.1
199311,29.2,-6.2
199312,26.8,0.4
199401,26.8,0.5
199402,26.2,-2.6
199403,38.3,1.3
199404,43.4,-0.2
199405,55.3,2.4
199406,66.2,3.1
199407,67.5,-1.0
199408,67.8,1.4
199409,59.1,0.0
199410,46.0,-0.9
199411,32.1,-3.3
199412,29.5,3.1
199501,27.0,0.7
199502,34.4,5.6
199503,36.2,-0.8
199504,39.8,-3.8
199505,47.2,-5.7
199506,58.5,-4.6
199507,65.5,-3.0
199508,68.8,2.4
199509,57.4,-1.7
199510,45.8,-1.1
199511,38.0,2.6
199512,29.4,3.0
199601,24.4,-1.9
199602,30.8,2.0
199603,33.8,-3.2
199604,43.7,0.1
199605,55.5,2.6
199606,63.4,0.3
199607,68.1,-0.4
199608,66.1,-0.3
199609,55.7,-3.4
199610,46.0,-0.9
199611,34.6,-0.8
199612,27.2,0.8
199701,24.7,-1.6
199702,27.2,-1.6
199703,38.3,1.3
199704,38.4,-5.2
199705,52.6,-0.3
199706,62.2,-0.9
199707,67.2,-1.3
199708,65.0,-1.4
199709,59.8,0.7
199710,45.9,-1.0
199711,32.2,-3.2
199712,24.6,-1.8
199801,28.2,1.9
199802,29.5,0.7
199803,33.7,-3.3
199804,41.0,-2.6
199805,54.4,1.5
199806,59.4,-3.7
199807,69.0,0.5
199808,66.2,-0.2
199809,62.5,3.4
199810,47.0,0.1
199811,37.6,2.2
199812,26.5,0.1
199901,29.8,3.5
199902,33.3,4.5
199903,39.3,2.3
199904,40.1,-3.5
199905,50.4,-2.5
199906,60.5,-2.6
199907,68.3,-0.2
199908,65.5,-0.9
199909,55.4,-3.7
199910,48.0,1.1
199911,41.2,5.8
199912,27.9,1.5
200001,29.1,2.8
200002,34.3,5.5
200003,36.6,-0.4
200004,46.4,2.8
200005,56.1,3.2
200006,63.0,-0.1
200007,69.8,1.3
200008,69.0,2.6
200009,59.4,0.3
200010,47.4,0.5
200011,27.2,-8.2
200012,25.7,-0.7
200101,24.7,-1.6
200102,28.2,-0.6
200103,36.0,-1.0
200104,45.9,2.3
200105,53.9,1.0
200106,63.9,0.8
200107,70.2,1.7
200108,66.9,0.5
200109,60.3,1.2
200110,47.9,1.0
200111,37.9,2.5
200112,26.4,0.0
200201,25.4,-0.9
200202,27.1,-1.7
200203,32.0,-5.0
200204,47.3,3.7
200205,53.4,0.5
200206,67.1,4.0
200207,71.0,2.5
200208,66.8,0.4
200209,58.4,-0.7
200210,43.2,-3.7
200211,33.7,-1.7
200212,27.6,1.2
200301,31.6,5.3
200302,26.3,-2.5
200303,36.6,-0.4
200304,45.3,1.7
200305,53.8,0.9
200306,60.1,-3.0
200307,72.4,3.9
200308,68.4,2.0
200309,56.7,-2.4
200310,51.5,4.6
200311,33.0,-2.4
200312,28.6,2.2
200401,26.2,-0.1
200402,26.3,-2.5
200403,41.8,4.8
200404,44.4,0.8
200405,54.8,1.9
200406,60.8,-2.3
200407,65.9,-2.6
200408,63.2,-3.2
200409,57.7,-1.4
200410,46.8,-0.1
200411,33.8,-1.6
200412,28.4,2.0
200501,30.2,3.9
200502,31.3,2.5
200503,35.2,-1.8
200504,43.4,-0.2
200505,53.2,0.3
200506,60.9,-2.2
200507,70.0,1.5
200508,65.0,-1.4
200509,60.2,1.1
200510,48.3,1.4
200511,37.5,2.1
200512,26.0,-0.4
200601,29.9,3.6
200602,28.0,-0.8
200603,34.9,-2.1
200604,47.1,3.5
200605,55.6,2.7
200606,65.7,2.6
200607,69.6,1.1
200608,65.6,-0.8
200609,53.5,-5.6
200610,44.9,-2.0
200611,36.5,1.1
200612,26.8,0.4
200701,19.4,-6.9
200702,27.7,-1.1
200703,40.5,3.5
200704,43.3,-0.3
200705,53.5,0.6
200706,62.8,-0.3
200707,69.7,1.2
200708,68.8,2.4
200709,59.7,0.6
200710,48.3,1.4
200711,38.0,2.6
200712,22.4,-4.0
200801,20.9,-5.4
200802,27.6,-1.2
200803,33.9,-3.1
200804,40.9,-2.7
200805,51.0,-1.9
200806,61.6,-1.5
200807,69.2,0.7
200808,65.7,-0.7
200809,57.3,-1.8
200810,47.6,0.7
200811,38.3,2.9
200812,25.3,-1.1
200901,28.3,2.0
200902,32.2,3.4
200903,37.1,0.1
200904,42.0,-1.6
200905,54.5,1.6
200906,59.8,-3.3
200907,66.9,-1.6
200908,64.8,-1.6
200909,57.6,-1.5
200910,40.8,-6.1
200911,37.8,2.4
200912,20.4,-6.0
201001,26.1,-0.2
201002,24.6,-4.2
201003,35.2,-1.8
201004,43.6,0.0
201005,50.1,-2.8
201006,64.0,0.9
201007,68.6,0.1
201008,66.5,0.1
201009,61.2,2.1
201010,49.2,2.3
201011,33.6,-1.8
201012,31.1,4.7
201101,24.0,-2.3
201102,24.2,-4.6
201103,37.7,0.7
201104,43.0,-0.6
201105,49.3,-3.6
201106,62.9,-0.2
201107,70.0,1.5
201108,69.2,2.8
201109,58.5,-0.6
201110,47.1,0.2
201111,34.9,-0.5
201112,24.4,-2.0
201201,29.4,3.1
201202,27.4,-1.4
201203,41.9,4.9
201204,48.2,4.6
201205,55.4,2.5
201206,67.9,4.8
201207,70.6,2.1
201208,67.7,1.3
201209,59.5,0.4
201210,46.5,-0.4
201211,39.4,4.0
201212,25.9,-0.5
201301,22.9,-3.4
201302,25.7,-3.1
201303,35.0,-2.0
201304,39.8,-3.8
201305,52.8,-0.1
201306,65.6,2.5
201307,68.5,0.0
201308,67.0,0.6
201309,60.7,1.6
201310,44.2,-2.7
201311,35.2,-0.2
201312,23.7,-2.7
201401,26.4,0.1
201402,27.6,-1.2
201403,36.3,-0.7
201404,43.3,-0.3
201405,52.4,-0.5
201406,62.5,-0.6
201407,68.4,-0.1
201408,64.6,-1.8
201409,60.0,0.9
201410,49.9,3.0
201411,33.4,-2.0
201412,27.9,1.5
201501,29.2,2.9
201502,32.1,3.3
201503,40.6,3.6
201504,44.8,1.2
201505,49.8,-3.1
201506,64.9,1.8
201507,66.6,-1.9
201508,66.9,0.5
201509,62.6,3.5
201510,51.4,4.5
201511,34.6,-0.8
201512,25.8,-0.6
201601,25.6,-0.7
201602,32.4,3.6
201603,37.9,0.9
201604,43.7,0.1
201605,50.8,-2.1
201606,66.4,3.3
201607,69.2,0.7
201608,64.5,-1.9
201609,59.7,0.6
201610,51.8,4.9
201611,40.2,4.8
201612,25.2,-1.2
201701,25.3,-1.0
201702,35.4,6.6
201703,42.5,5.5
201704,44.3,0.7
201705,51.5,-1.4
201706,64.8,1.7
201707,69.4,0.9
201708,64.7,-1.7
201709,59.1,0.0
201710,46.7,-0.2
201711,41.3,5.9
201712,30.1,3.7
201801,29.7,3.4
201802,28.6,-0.2
201803,37.8,0.8
201804,44.0,0.4
201805,57.2,4.3
201806,66.5,3.4
201807,70.0,1.5
201808,66.2,-0.2
201809,61.9,2.8
201810,45.0,-1.9
201811,32.5,-2.9
201812,26.6,0.2
201901,26.0,-0.3
201902,24.9,-3.9
201903,33.8,-3.2
201904,45.5,1.9
201905,47.9,-5.0
201906,60.6,-2.5
201907,69.1,0.6
201908,68.3,1.9
201909,62.9,3.8
201910,40.9,-6.0
201911,35.2,-0.2
201912,28.1,1.7
202001,27.4,1.1
202002,26.4,-2.4
202003,38.8,1.8
202004,43.4,-0.2
202005,55.6,2.7
202006,65.0,1.9
202007,69.3,0.8
202008,70.1,3.7
202009,58.8,-0.3
202010,47.1,0.2
202011,38.5,3.1
202012,26.7,0.3
202101,26.7,0.4
202102,24.7,-4.1
202103,35.8,-1.2
202104,43.1,-0.5
202105,52.9,0.0
202106,65.7,2.6
202107,70.0,1.5
202108,67.4,1.0
202109,62.4,3.3
202110,47.8,0.9
202111,40.7,5.3
202112,32.3,5.9
202201,26.6,0.3
