Connecticut, Palmer Z-Index
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,1.04,1.23
199002,0.10,0.31
199003,-1.69,-1.51
199004,0.71,0.85
199005,3.61,3.88
199006,-1.60,-1.93
199007,-0.77,-0.91
199008,3.39,3.39
199009,-1.36,-1.60
199010,3.75,2.67
199011,-1.20,-0.63
199012,1.50,1.22
199101,-0.85,-0.66
199102,-1.64,-1.43
199103,0.63,0.81
199104,-1.69,-1.55
199105,0.05,0.32
199106,-2.41,-2.74
199107,-1.30,-1.44
199108,3.40,3.40
199109,2.22,1.98
199110,-0.25,-1.33
199111,0.01,0.58
199112,-0.43,-0.71
199201,-1.00,-0.81
199202,-1.44,-1.23
199203,0.40,0.58
199204,-1.21,-1.07
199205,-2.23,-1.96
199206,3.29,2.96
199207,1.39,1.25
199208,2.77,2.77
199209,0.02,-0.22
199210,-0.44,-1.52
199211,1.92,2.49
199212,1.68,1.40
199301,-0.96,-0.77
199302,-0.33,-0.12
199303,2.78,2.96
199304,0.69,0.83
199305,-3.31,-3.04
199306,-1.59,-1.92
199307,-1.70,-1.84
199308,-2.45,-2.45
199309,1.37,1.13
199310,0.42,-0.66
199311,-0.07,0.50
199312,1.51,1.23
199401,1.93,2.12
199402,-0.48,-0.27
199403,1.87,2.05
199404,-1.94,-1.80
199405,-0.36,-0.09
199406,-0.46,-0.79
199407,0.17,0.03
199408,2.57,2.57
199409,0.89,0.65
199410,-1.81,-2.89
199411,0.06,0.63
199412,0.59,0.31
199501,0.24,0.43
199502,-0.46,-0.25
199503,-2.10,-1.92
199504,-1.41,-1.27
199505,-0.70,-0.43
199506,-2.32,-2.65
199507,-1.52,-1.66
199508,-2.36,-2.36
199509,-0.58,-0.82
199510,4.24,3.16
199511,1.15,1.72
199512,-1.48,-1.76
199601,2.97,3.16
199602,-0.68,-0.47
199603,-1.04,-0.86
199604,3.23,3.37
199605,-0.36,-0.09
199606,-0.98,-1.31
199607,3.57,3.43
199608,-1.21,-1.21
199609,2.06,1.82
199610,3.96,2.88
199611,0.27,0.84
199612,3.20,2.92
199701,0.20,0.39
199702,-1.63,-1.42
199703,-0.01,0.17
199704,0.49,0.63
199705,-0.35,-0.08
199706,-1.98,-2.31
199707,-0.32,-0.46
199708,1.72,1.72
199709,-2.12,-2.36
199710,-1.87,-2.95
199711,1.57,2.14
199712,-0.58,-0.86
199801,0.89,1.08
199802,0.79,1.00
199803,1.70,1.88
199804,0.12,0.26
199805,1.21,1.48
199806,3.92,3.59
199807,0.02,-0.12
199808,-1.58,-1.58
199809,-1.42,-1.66
199810,0.90,-0.18
199811,-1.83,-1.26
199812,-2.73,-3.01
199901,3.53,3.72
199902,0.72,0.93
199903,1.19,1.37
199904,-3.17,-3.03
199905,0.06,0.33
199906,-3.41,-3.74
199907,-2.80,-2.94
199908,-2.11,-2.11
199909,4.97,4.73
199910,1.41,0.33
199911,-1.17,-0.60
199912,-1.13,-1.41
200001,-0.26,-0.07
200002,-0.80,-0.59
200003,-0.61,-0.43
200004,1.00,1.14
200005,0.27,0.54
200006,2.56,2.23
200007,3.18,3.04
200008,0.11,0.11
200009,0.44,0.20
200010,-1.90,-2.98
200011,-0.50,0.07
200012,0.34,0.06
200101,-1.24,-1.05
200102,-0.84,-0.63
200103,3.81,3.99
200104,-2.91,-2.77
200105,-0.22,0.05
200106,2.49,2.16
200107,-1.18,-1.32
200108,-0.65,-0.65
200109,-0.23,-0.47
200110,-2.54,-3.62
200111,-4.01,-3.44
200112,-2.73,-3.01
200201,-2.21,-2.02
200202,-2.18,-1.97
200203,-0.26,-0.08
200204,-0.87,-0.73
200205,1.31,1.58
200206,1.37,1.04
200207,-1.26,-1.40
200208,-0.86,-0.86
200209,0.29,0.05
200210,0.76,-0.32
200211,1.56,2.13
200212,0.79,0.51
200301,-1.04,-0.85
200302,0.84,1.05
200303,0.17,0.35
200304,-0.67,-0.53
200305,0.85,1.12
200306,3.72,3.39
200307,-0.67,-0.81
200308,0.67,0.67
200309,3.23,2.99
200310,3.00,1.92
200311,-1.08,-0.51
200312,1.24,0.96
200401,-1.79,-1.60
200402,-1.36,-1.15
200403,-1.39,-1.21
200404,2.91,3.05
200405,-0.85,-0.58
200406,-1.76,-2.09
200407,0.62,0.48
200408,1.28,1.28
200409,3.86,3.62
200410,-0.84,-1.92
200411,-0.20,0.37
200412,0.49,0.21
200501,1.12,1.31
200502,-0.93,-0.72
200503,0.17,0.35
200504,1.12,1.26
200505,-0.98,-0.71
200506,-1.89,-2.22
200507,-0.75,-0.89
200508,-2.81,-2.81
200509,-2.23,-2.47
200510,10.86,9.78
200511,0.36,0.93
200512,0.35,0.07
200601,2.07,2.26
200602,-0.94,-0.73
200603,-3.57,-3.39
200604,0.44,0.58
200605,2.96,3.23
200606,5.56,5.23
200607,-0.81,-0.95
200608,1.06,1.06
200609,-0.73,-0.97
200610,3.29,2.21
200611,1.44,2.01
200612,-2.01,-2.29
200701,-0.28,-0.09
200702,-1.57,-1.36
200703,1.22,1.40
200704,4.98,5.12
200705,-2.48,-2.21
200706,-0.57,-0.90
200707,0.87,0.73
200708,-1.97,-1.97
200709,-2.48,-2.72
200710,-1.17,-2.25
200711,-1.66,-1.09
200712,0.80,0.52
200801,-1.24,-1.05
200802,6.88,7.09
200803,1.37,1.55
200804,-0.99,-0.85
200805,-1.16,-0.89
200806,0.62,0.29
200807,1.92,1.78
200808,0.55,0.55
200809,4.65,4.41
200810,0.04,-1.04
200811,-0.36,0.21
200812,2.91,2.63
200901,-0.70,-0.51
200902,-2.28,-2.07
200903,-1.91,-1.73
200904,-0.55,-0.41
200905,-0.28,-0.01
200906,3.56,3.23
200907,5.86,5.72
200908,0.07,0.07
200909,-1.50,-1.74
200910,2.48,1.40
200911,-1.66,-1.09
200912,1.55,1.27
201001,-0.76,-0.57
201002,1.76,1.97
201003,5.27,5.45
201004,-3.32,-3.18
201005,-1.59,-1.32
201006,-0.94,-1.27
201007,-1.21,-1.35
201008,-1.22,-1.22
201009,-1.90,-2.14
201010,0.97,-0.11
201011,-1.04,-0.47
201012,0.67,0.39
201101,-0.34,-0.15
201102,0.87,1.08
201103,0.53,0.71
201104,1.19,1.33
201105,0.41,0.68
201106,2.38,2.05
201107,-1.85,-1.99
201108,6.78,6.78
201109,3.36,3.12
201110,2.16,1.08
201111,-0.87,-0.30
201112,0.35,0.07
201201,-0.84,-0.65
201202,-3.04,-2.83
201203,-3.92,-3.74
201204,-1.62,-1.48
201205,-0.73,-0.46
201206,0.50,0.17
201207,-0.17,-0.31
201208,-0.44,-0.44
201209,1.07,0.83
201210,0.62,-0.46
201211,-2.96,-2.39
201212,0.58,0.30
201301,-1.96,-1.77
201302,0.58,0.79
201303,-1.83,-1.65
201304,-2.94,-2.80
201305,0.22,0.49
201306,6.95,6.62
201307,-0.45,-0.59
201308,-0.06,-0.06
201309,-1.00,-1.24
201310,-2.58,-3.66
201311,-1.11,-0.54
201312,-0.21,-0.49
201401,-0.90,-0.71
201402,0.31,0.52
201403,0.40,0.58
201404,0.24,0.38
201405,0.51,0.78
201406,-1.53,-1.86
201407,0.76,0.62
201408,-0.95,-0.95
201409,-2.62,-2.86
201410,0.18,-0.90
201411,-0.27,0.30
201412,0.79,0.51
201501,-0.24,-0.05
201502,-1.57,-1.36
201503,-0.80,-0.62
201504,-1.56,-1.42
201505,-3.52,-3.25
201506,2.30,1.97
201507,-1.13,-1.27
201508,-2.35,-2.35
201509,-1.23,-1.47
201510,-0.91,-1.99
201511,-2.91,-2.34
201512,-1.12,-1.40
201601,-1.55,-1.36
201602,2.34,2.55
201603,-2.75,-2.57
201604,-1.41,-1.27
201605,-0.92,-0.65
201606,-2.27,-2.60
201607,-1.37,-1.51
201608,-1.49,-1.49
201609,-2.62,-2.86
201610,-0.70,-1.78
201611,-1.81,-1.24
201612,-0.67,-0.95
201701,-0.18,0.01
201702,-1.60,-1.39
201703,-0.60,-0.42
201704,-0.06,0.08
201705,1.25,1.52
201706,-0.37,-0.70
201707,0.64,0.50
201708,-1.28,-1.28
201709,-2.04,-2.28
201710,3.21,2.13
201711,-2.31,-1.74
201712,-1.49,-1.77
201801,0.15,0.34
201802,2.49,2.70
201803,-0.72,-0.54
201804,1.73,1.87
201805,-2.04,-1.77
201806,-0.19,-0.52
201807,1.09,0.95
201808,1.07,1.07
201809,3.78,3.54
201810,1.68,0.60
201811,3.88,4.45
201812,1.05,0.77
201901,2.15,2.34
201902,-0.24,-0.03
201903,-1.32,-1.14
201904,3.10,3.24
201905,0.69,0.96
201906,-0.44,-0.77
201907,0.05,-0.09
201908,-0.35,-0.35
201909,-2.12,-2.36
201910,2.73,1.65
201911,-0.93,-0.36
201912,2.61,2.33
202001,-1.68,-1.49
202002,-0.08,0.13
202003,-0.80,-0.62
202004,1.39,1.53
202005,-1.29,-1.02
202006,-1.70,-2.03
202007,-1.80,-1.94
202008,-2.64,-2.64
202009,-2.22,-2.46
202010,0.64,-0.44
202011,-0.46,0.11
202012,2.32,2.04
202101,-1.57,-1.38
202102,-0.20,0.01
202103,-1.84,-1.66
202104,-1.48,-1.34
202105,1.27,1.54
202106,-2.28,-2.61
202107,5.43,5.29
202108,1.25,1.25
202109,3.81,3.57
202110,2.19,1.11
202111,-1.96,-1.39
202112,-1.94,-2.22
202201,-1.10,-0.91
