Delaware, Precipitation
Units: Inches
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,3.63,0.28
199002,1.94,-1.02
199003,3.30,-0.81
199004,3.84,0.38
199005,7.46,3.77
199006,1.97,-2.03
199007,5.01,0.55
199008,5.43,0.70
199009,2.11,-2.03
199010,2.64,-1.24
199011,1.61,-1.53
199012,4.09,0.32
199101,4.72,1.37
199102,1.23,-1.73
199103,5.47,1.36
199104,3.17,-0.29
199105,1.61,-2.08
199106,3.40,-0.60
199107,5.32,0.86
199108,4.47,-0.26
199109,4.32,0.18
199110,2.37,-1.51
199111,0.90,-2.24
199112,4.86,1.09
199201,1.31,-2.04
199202,2.99,0.03
199203,3.82,-0.29
199204,1.65,-1.81
199205,4.13,0.44
199206,2.77,-1.23
199207,3.51,-0.95
199208,6.57,1.84
199209,4.82,0.68
199210,1.61,-2.27
199211,3.44,0.30
199212,3.92,0.15
199301,3.20,-0.15
199302,2.66,-0.30
199303,6.71,2.60
199304,4.52,1.06
199305,2.94,-0.75
199306,2.62,-1.38
199307,2.12,-2.34
199308,3.91,-0.82
199309,4.13,-0.01
199310,3.86,-0.02
199311,3.28,0.14
199312,4.49,0.72
199401,4.67,1.32
199402,4.96,2.00
199403,8.36,4.25
199404,3.11,-0.35
199405,3.24,-0.45
199406,2.55,-1.45
199407,5.67,1.21
199408,4.94,0.21
199409,3.69,-0.45
199410,1.00,-2.88
199411,3.41,0.27
199412,1.71,-2.06
199501,3.36,0.01
199502,2.30,-0.66
199503,2.30,-1.81
199504,2.33,-1.13
199505,4.49,0.80
199506,2.58,-1.42
199507,3.10,-1.36
199508,1.51,-3.22
199509,3.84,-0.30
199510,6.05,2.17
199511,4.27,1.13
199512,2.26,-1.51
199601,4.94,1.59
199602,2.66,-0.30
199603,3.60,-0.51
199604,4.61,1.15
199605,5.83,2.14
199606,5.89,1.89
199607,6.30,1.84
199608,4.26,-0.47
199609,5.35,1.21
199610,4.72,0.84
199611,2.03,-1.11
199612,7.71,3.94
199701,2.48,-0.87
199702,2.99,0.03
199703,4.90,0.79
199704,3.36,-0.10
199705,2.89,-0.80
199706,2.66,-1.34
199707,2.62,-1.84
199708,4.90,0.17
199709,2.09,-2.05
199710,3.02,-0.86
199711,6.35,3.21
199712,2.85,-0.92
199801,6.14,2.79
199802,5.53,2.57
199803,5.20,1.09
199804,3.14,-0.32
199805,4.16,0.47
199806,3.57,-0.43
199807,1.84,-2.62
199808,3.39,-1.34
199809,2.25,-1.89
199810,2.35,-1.53
199811,1.22,-1.92
199812,2.75,-1.02
199901,5.84,2.49
199902,2.73,-0.23
199903,4.76,0.65
199904,2.88,-0.58
199905,1.54,-2.15
199906,2.11,-1.89
199907,2.21,-2.25
199908,4.52,-0.21
199909,10.37,6.23
199910,3.80,-0.08
199911,2.10,-1.04
199912,2.78,-0.99
200001,3.33,-0.02
200002,2.12,-0.84
200003,7.01,2.90
200004,3.83,0.37
200005,3.36,-0.33
200006,4.91,0.91
200007,6.03,1.57
200008,4.55,-0.18
200009,5.48,1.34
200010,0.31,-3.57
200011,2.45,-0.69
200012,2.81,-0.96
200101,3.06,-0.29
200102,2.94,-0.02
200103,5.61,1.50
200104,1.84,-1.62
200105,3.80,0.11
200106,5.10,1.10
200107,4.96,0.50
200108,6.27,1.54
200109,2.10,-2.04
200110,0.94,-2.94
200111,0.57,-2.57
200112,2.03,-1.74
200201,2.50,-0.85
200202,0.69,-2.27
200203,4.77,0.66
200204,4.04,0.58
200205,3.20,-0.49
200206,2.92,-1.08
200207,2.41,-2.05
200208,2.88,-1.85
200209,6.14,2.00
200210,7.33,3.45
200211,5.50,2.36
200212,4.09,0.32
200301,1.59,-1.76
200302,6.25,3.29
200303,4.13,0.02
200304,3.46,0.00
200305,4.79,1.10
200306,6.40,2.40
200307,5.35,0.89
200308,5.17,0.44
200309,5.84,1.70
200310,3.94,0.06
200311,5.07,1.93
200312,5.83,2.06
200401,2.31,-1.04
200402,2.21,-0.75
200403,2.70,-1.41
200404,5.50,2.04
200405,3.15,-0.54
200406,3.43,-0.57
200407,5.85,1.39
200408,6.51,1.78
200409,3.78,-0.36
200410,1.91,-1.97
200411,4.58,1.44
200412,2.78,-0.99
200501,4.39,1.04
200502,2.12,-0.84
200503,4.11,0.00
