Delaware, Palmer Z-Index
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,-0.16,0.03
199002,-1.93,-1.70
199003,-1.07,-1.11
199004,0.29,0.62
199005,3.81,4.08
199006,-1.70,-1.98
199007,0.30,0.40
199008,0.63,0.68
199009,-1.40,-1.71
199010,-1.38,-2.00
199011,-2.69,-2.51
199012,-0.50,-0.77
199101,1.44,1.63
199102,-2.69,-2.46
199103,1.35,1.31
199104,-0.69,-0.36
199105,-3.02,-2.75
199106,-0.94,-1.22
199107,0.26,0.36
199108,-0.53,-0.48
199109,0.49,0.18
199110,-1.17,-1.79
199111,-3.11,-2.93
199112,0.43,0.16
199201,-2.40,-2.21
199202,-0.17,0.06
199203,0.04,0.00
199204,-2.02,-1.69
199205,0.77,1.04
199206,-0.35,-0.63
199207,-0.54,-0.44
199208,1.92,1.97
199209,1.56,1.25
199210,-0.75,-1.37
199211,0.64,0.82
199212,0.90,0.63
199301,-0.40,-0.21
199302,-0.29,-0.06
199303,3.31,3.27
199304,1.30,1.63
199305,-1.05,-0.78
199306,-1.05,-1.33
199307,-2.75,-2.65
199308,-1.30,-1.25
199309,-0.12,-0.43
199310,0.30,-0.32
199311,-0.46,-0.28
199312,1.38,1.11
199401,1.54,1.73
199402,2.67,2.90
199403,4.85,4.81
199404,-1.19,-0.86
199405,-0.18,0.09
199406,-1.45,-1.73
199407,0.74,0.84
199408,0.49,0.54
199409,0.24,-0.07
199410,-2.20,-2.82
199411,-0.84,-0.66
199412,-2.22,-2.49
199501,-0.24,-0.05
199502,-0.77,-0.54
199503,-2.06,-2.10
199504,-1.50,-1.17
199505,0.76,1.03
199506,-0.98,-1.26
199507,-1.51,-1.41
199508,-3.24,-3.19
199509,-0.39,-0.70
199510,2.14,1.52
199511,1.43,1.61
199512,-0.62,-0.89
199601,1.83,2.02
199602,-0.41,-0.18
199603,-0.04,-0.08
199604,1.22,1.55
199605,2.27,2.54
199606,2.62,2.34
199607,2.55,2.65
199608,0.44,0.49
199609,2.23,1.92
199610,2.47,1.85
199611,-0.24,-0.06
199612,4.81,4.54
199701,-0.99,-0.80
199702,-0.42,-0.19
199703,0.81,0.77
199704,0.05,0.38
199705,-0.57,-0.30
199706,-0.66,-0.94
199707,-1.57,-1.47
199708,0.01,0.06
199709,-1.81,-2.12
199710,-0.73,-1.35
199711,2.71,2.89
199712,-0.28,-0.55
199801,2.64,2.83
199802,2.86,3.09
199803,1.11,1.07
199804,-0.78,-0.45
199805,0.04,0.31
199806,0.13,-0.15
199807,-2.08,-1.98
199808,-1.56,-1.51
199809,-2.34,-2.65
199810,-1.70,-2.32
199811,-3.45,-3.27
199812,-2.53,-2.80
199901,1.62,1.81
199902,-0.55,-0.32
199903,0.99,0.95
199904,-0.83,-0.50
199905,-2.35,-2.08
199906,-1.95,-2.23
199907,-3.10,-3.00
199908,-0.94,-0.89
199909,6.21,5.90
199910,1.55,0.93
199911,-1.02,-0.84
199912,-0.46,-0.73
200001,0.00,0.19
