Georgia, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,51.4,4.5
199002,55.6,5.2
199003,58.9,2.0
199004,62.0,-1.4
199005,70.7,-0.5
199006,78.2,0.5
199007,80.7,0.2
199008,80.5,0.8
199009,75.5,0.8
199010,65.8,0.6
199011,57.0,1.9
199012,51.6,2.3
199101,47.2,0.3
199102,51.8,1.4
199103,58.1,1.2
199104,66.5,3.1
199105,73.8,2.6
199106,76.4,-1.3
199107,80.3,-0.2
199108,78.4,-1.3
199109,74.2,-0.5
199110,64.6,-0.6
199111,52.2,-2.9
199112,51.0,1.7
199201,46.2,-0.7
199202,52.2,1.8
199203,55.2,-1.7
199204,61.2,-2.2
199205,67.8,-3.4
199206,75.2,-2.5
199207,80.2,-0.3
199208,77.0,-2.7
199209,73.8,-0.9
199210,61.9,-3.3
199211,54.8,-0.3
199212,47.3,-2.0
199301,50.3,3.4
199302,46.6,-3.8
199303,52.6,-4.3
199304,59.0,-4.4
199305,69.7,-1.5
199306,78.1,0.4
199307,83.1,2.6
199308,80.1,0.4
199309,75.7,1.0
199310,64.0,-1.2
199311,53.8,-1.3
199312,45.7,-3.6
199401,42.3,-4.6
199402,51.6,1.2
199403,57.5,0.6
199404,65.3,1.9
199405,68.8,-2.4
199406,77.6,-0.1
199407,78.0,-2.5
199408,77.0,-2.7
199409,72.3,-2.4
199410,63.6,-1.6
199411,59.0,3.9
199412,50.5,1.2
199501,46.4,-0.5
199502,47.9,-2.5
199503,58.9,2.0
199504,64.0,0.6
199505,72.7,1.5
199506,75.4,-2.3
199507,81.2,0.7
199508,80.6,0.9
199509,73.0,-1.7
199510,65.5,0.3
199511,50.9,-4.2
199512,45.3,-4.0
199601,44.6,-2.3
199602,49.1,-1.3
199603,51.1,-5.8
199604,60.9,-2.5
199605,73.1,1.9
199606,76.7,-1.0
199607,80.3,-0.2
199608,77.7,-2.0
199609,73.2,-1.5
199610,63.1,-2.1
199611,52.8,-2.3
199612,49.2,-0.1
199701,48.0,1.1
199702,52.0,1.6
199703,62.5,5.6
199704,60.1,-3.3
199705,67.1,-4.1
199706,73.5,-4.2
199707,80.3,-0.2
199708,77.5,-2.2
199709,74.8,0.1
199710,64.1,-1.1
199711,51.4,-3.7
199712,47.2,-2.1
199801,49.5,2.6
199802,50.3,-0.1
199803,53.7,-3.2
199804,62.4,-1.0
199805,74.1,2.9
199806,80.9,3.2
199807,82.4,1.9
199808,79.5,-0.2
199809,76.1,1.4
199810,66.8,1.6
199811,59.6,4.5
199812,53.0,3.7
199901,49.9,3.0
199902,51.7,1.3
199903,53.4,-3.5
199904,67.1,3.7
199905,69.5,-1.7
199906,76.3,-1.4
199907,80.5,0.0
199908,82.1,2.4
199909,73.4,-1.3
199910,64.4,-0.8
199911,57.7,2.6
199912,47.9,-1.4
200001,46.2,-0.7
200002,51.6,1.2
200003,59.1,2.2
200004,60.6,-2.8
200005,73.9,2.7
200006,78.0,0.3
200007,80.8,0.3
200008,79.5,-0.2
200009,72.6,-2.1
200010,63.7,-1.5
200011,53.6,-1.5
200012,40.6,-8.7
200101,43.3,-3.6
200102,53.6,3.2
200103,53.8,-3.1
200104,64.2,0.8
200105,70.8,-0.4
200106,76.4,-1.3
200107,79.3,-1.2
200108,79.3,-0.4
200109,72.1,-2.6
200110,61.7,-3.5
200111,59.9,4.8
200112,52.9,3.6
200201,48.1,1.2
200202,48.4,-2.0
200203,56.9,0.0
200204,67.9,4.5
200205,70.2,-1.0
200206,77.4,-0.3
200207,80.8,0.3
200208,79.6,-0.1
200209,76.8,2.1
200210,68.2,3.0
200211,52.3,-2.8
200212,45.7,-3.6
200301,42.3,-4.6
200302,48.9,-1.5
200303,59.0,2.1
200304,62.7,-0.7
200305,71.7,0.5
200306,76.1,-1.6
200307,78.7,-1.8
200308,79.2,-0.5
200309,73.1,-1.6
200310,64.4,-0.8
200311,59.4,4.3
200312,44.3,-5.0
200401,45.0,-1.9
200402,46.1,-4.3
200403,59.0,2.1
200404,62.2,-1.2
200405,73.6,2.4
200406,78.1,0.4
200407,80.1,-0.4
200408,77.6,-2.1
200409,73.6,-1.1
200410,67.7,2.5
200411,57.9,2.8
200412,46.8,-2.5
200501,49.5,2.6
200502,50.9,0.5
200503,53.7,-3.2
200504,60.7,-2.7
200505,68.3,-2.9
200506,76.6,-1.1
200507,80.9,0.4
200508,80.3,0.6
200509,77.0,2.3
200510,65.8,0.6
200511,57.0,1.9
200512,44.8,-4.5
200601,51.8,4.9
200602,47.4,-3.0
200603,56.1,-0.8
200604,67.0,3.6
200605,70.4,-0.8
200606,77.4,-0.3
200607,81.0,0.5
200608,81.6,1.9
200609,73.3,-1.4
200610,62.5,-2.7
200611,54.2,-0.9
200612,51.9,2.6
200701,49.2,2.3
200702,46.7,-3.7
200703,60.0,3.1
200704,60.9,-2.5
200705,70.5,-0.7
200706,77.7,0.0
200707,78.9,-1.6
200708,83.2,3.5
200709,75.8,1.1
200710,67.8,2.6
200711,54.0,-1.1
200712,52.9,3.6
200801,45.0,-1.9
200802,50.8,0.4
200803,55.4,-1.5
200804,62.6,-0.8
200805,70.3,-0.9
200806,79.4,1.7
200807,79.7,-0.8
200808,78.9,-0.8
200809,74.6,-0.1
200810,62.4,-2.8
200811,51.4,-3.7
200812,51.7,2.4
200901,46.3,-0.6
200902,47.7,-2.7
200903,56.4,-0.5
200904,61.8,-1.6
200905,71.3,0.1
200906,79.8,2.1
200907,78.5,-2.0
200908,78.8,-0.9
200909,74.5,-0.2
200910,64.1,-1.1
200911,55.6,0.5
200912,46.2,-3.1
201001,41.8,-5.1
201002,42.1,-8.3
201003,52.1,-4.8
201004,64.5,1.1
201005,73.6,2.4
201006,81.0,3.3
201007,82.2,1.7
201008,82.2,2.5
201009,76.5,1.8
201010,64.8,-0.4
201011,54.8,-0.3
201012,39.9,-9.4
201101,41.8,-5.1
201102,51.1,0.7
201103,57.8,0.9
201104,65.8,2.4
201105,71.3,0.1
201106,81.1,3.4
201107,81.9,1.4
201108,82.2,2.5
201109,73.6,-1.1
201110,61.6,-3.6
201111,56.2,1.1
201112,51.3,2.0
201201,50.0,3.1
201202,52.8,2.4
201203,64.8,7.9
201204,65.6,2.2
201205,73.5,2.3
201206,75.6,-2.1
201207,82.2,1.7
201208,78.1,-1.6
201209,74.0,-0.7
201210,64.7,-0.5
201211,52.6,-2.5
201212,52.1,2.8
201301,52.5,5.6
201302,48.8,-1.6
201303,50.2,-6.7
201304,62.9,-0.5
201305,68.4,-2.8
201306,77.8,0.1
201307,78.2,-2.3
201308,78.0,-1.7
201309,74.5,-0.2
201310,65.0,-0.2
201311,53.2,-1.9
201312,51.2,1.9
201401,40.0,-6.9
201402,49.8,-0.6
201403,52.9,-4.0
201404,63.1,-0.3
201405,71.2,0.0
201406,78.3,0.6
201407,78.9,-1.6
201408,79.2,-0.5
201409,75.5,0.8
201410,65.6,0.4
201411,49.8,-5.3
201412,51.3,2.0
201501,44.9,-2.0
201502,43.2,-7.2
201503,58.8,1.9
201504,66.8,3.4
201505,72.4,1.2
201506,79.3,1.6
201507,81.5,1.0
201508,79.5,-0.2
201509,73.8,-0.9
201510,64.8,-0.4
201511,59.8,4.7
201512,58.9,9.6
201601,44.4,-2.5
201602,50.0,-0.4
201603,60.9,4.0
201604,63.9,0.5
201605,70.8,-0.4
201606,79.7,2.0
201607,82.8,2.3
201608,81.6,1.9
201609,77.5,2.8
201610,67.8,2.6
201611,58.0,2.9
201612,52.1,2.8
201701,53.2,6.3
201702,56.5,6.1
201703,58.0,1.1
201704,67.5,4.1
201705,71.4,0.2
201706,76.6,-1.1
201707,80.6,0.1
201708,79.4,-0.3
201709,74.0,-0.7
201710,67.0,1.8
201711,56.4,1.3
201712,49.3,0.0
201801,42.5,-4.4
201802,59.2,8.8
201803,54.5,-2.4
201804,60.6,-2.8
201805,73.7,2.5
201806,79.3,1.6
201807,80.2,-0.3
201808,79.4,-0.3
201809,79.8,5.1
201810,68.4,3.2
201811,53.2,-1.9
201812,50.2,0.9
201901,48.2,1.3
201902,56.1,5.7
201903,56.3,-0.6
201904,64.6,1.2
201905,75.7,4.5
201906,78.1,0.4
201907,81.0,0.5
201908,80.7,1.0
201909,79.1,4.4
201910,69.7,4.5
201911,52.8,-2.3
201912,52.3,3.0
202001,51.4,4.5
202002,51.9,1.5
202003,63.1,6.2
202004,63.1,-0.3
202005,69.4,-1.8
202006,76.9,-0.8
202007,81.5,1.0
202008,80.4,0.7
202009,74.3,-0.4
202010,68.5,3.3
202011,60.4,5.3
202012,46.4,-2.9
202101,47.6,0.7
202102,49.5,-0.9
202103,59.9,3.0
202104,62.0,-1.4
202105,69.4,-1.8
202106,77.0,-0.7
202107,79.3,-1.2
202108,80.0,0.3
202109,73.7,-1.0
202110,67.1,1.9
202111,52.6,-2.5
202112,56.5,7.2
202201,45.8,-1.1
