Iowa, Precipitation
Units: Inches
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,0.88,-0.09
199002,0.67,-0.48
199003,4.30,2.21
199004,2.26,-1.30
199005,5.73,0.89
199006,7.96,2.67
199007,6.37,2.14
199008,4.32,0.17
199009,1.39,-1.97
199010,1.88,-0.85
199011,1.65,-0.14
199012,1.50,0.14
199101,0.77,-0.20
199102,0.30,-0.85
199103,4.19,2.10
199104,5.83,2.27
199105,5.19,0.35
199106,4.14,-1.15
199107,2.32,-1.91
199108,3.45,-0.70
199109,2.79,-0.57
199110,2.92,0.19
199111,4.36,2.57
199112,1.48,0.12
199201,1.00,0.03
199202,1.29,0.14
199203,2.21,0.12
199204,3.60,0.04
199205,1.75,-3.09
199206,1.89,-3.40
199207,8.55,4.32
199208,2.55,-1.60
199209,5.58,2.22
199210,1.63,-1.10
199211,4.38,2.59
199212,1.78,0.42
199301,1.18,0.21
199302,1.15,0.00
199303,2.75,0.66
199304,3.65,0.09
199305,5.60,0.76
199306,8.00,2.71
199307,10.45,6.22
199308,8.25,4.10
199309,3.69,0.33
199310,1.31,-1.42
199311,1.09,-0.70
199312,0.76,-0.60
199401,1.06,0.09
199402,1.18,0.03
199403,0.20,-1.89
199404,2.41,-1.15
199405,2.05,-2.79
199406,6.23,0.94
199407,3.89,-0.34
199408,3.62,-0.53
199409,3.58,0.22
199410,1.93,-0.80
199411,2.21,0.42
199412,1.19,-0.17
199501,0.82,-0.15
199502,0.32,-0.83
199503,2.57,0.48
199504,4.90,1.34
199505,5.88,1.04
199506,3.73,-1.56
199507,3.46,-0.77
199508,3.52,-0.63
199509,2.96,-0.40
199510,2.00,-0.73
199511,1.70,-0.09
199512,0.40,-0.96
199601,1.84,0.87
199602,0.27,-0.88
199603,1.38,-0.71
199604,1.63,-1.93
199605,7.34,2.50
199606,5.07,-0.22
199607,3.20,-1.03
199608,3.79,-0.36
199609,2.88,-0.48
199610,2.74,0.01
199611,2.65,0.86
199612,0.87,-0.49
199701,0.96,-0.01
199702,1.68,0.53
199703,1.32,-0.77
199704,2.63,-0.93
199705,4.03,-0.81
199706,4.38,-0.91
199707,2.95,-1.28
199708,2.76,-1.39
199709,3.11,-0.25
199710,3.37,0.64
199711,1.02,-0.77
199712,1.00,-0.36
199801,1.05,0.08
199802,1.63,0.48
199803,3.65,1.56
199804,3.94,0.38
199805,4.30,-0.54
199806,7.91,2.62
199807,3.16,-1.07
199808,5.01,0.86
199809,2.06,-1.30
199810,4.83,2.10
199811,1.61,-0.18
199812,0.42,-0.94
199901,1.29,0.32
199902,0.91,-0.24
199903,0.98,-1.11
199904,6.26,2.70
199905,4.89,0.05
199906,5.29,0.00
199907,5.21,0.98
199908,3.11,-1.04
199909,1.84,-1.52
199910,0.77,-1.96
199911,1.02,-0.77
199912,0.71,-0.65
200001,0.73,-0.24
200002,1.37,0.22
200003,1.00,-1.09
200004,2.03,-1.53
200005,3.60,-1.24
200006,6.56,1.27
200007,4.09,-0.14
200008,2.62,-1.53
200009,2.11,-1.25
200010,1.80,-0.93
200011,2.15,0.36
200012,1.67,0.31
200101,1.42,0.45
200102,2.16,1.01
200103,1.30,-0.79
200104,3.60,0.04
200105,7.04,2.20
200106,4.07,-1.22
200107,3.12,-1.11
200108,2.97,-1.18
200109,4.07,0.71
200110,2.46,-0.27
200111,1.55,-0.24
200112,0.83,-0.53
200201,0.40,-0.57
200202,0.89,-0.26
200203,1.16,-0.93
200204,3.62,0.06
200205,4.10,-0.74
200206,3.51,-1.78
200207,4.24,0.01
200208,5.81,1.66
200209,1.71,-1.65
200210,3.58,0.85
200211,0.22,-1.57
200212,0.24,-1.12
200301,0.39,-0.58
200302,0.82,-0.33
200303,1.15,-0.94
200304,3.25,-0.31
200305,4.61,-0.23
200306,4.48,-0.81
200307,4.11,-0.12
200308,1.03,-3.12
200309,3.11,-0.25
200310,1.00,-1.73
