Iowa, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,29.7,9.9
199002,27.8,4.0
199003,39.6,2.9
199004,48.1,-0.6
199005,56.4,-3.4
199006,70.3,0.3
199007,72.3,-1.1
199008,71.7,0.6
199009,66.2,2.4
199010,50.4,-0.7
199011,41.2,4.1
199012,19.8,-5.2
199101,13.4,-6.4
199102,29.2,5.4
199103,39.2,2.5
199104,51.4,2.7
199105,64.2,4.4
199106,73.0,3.0
199107,73.6,0.2
199108,71.6,0.5
199109,62.4,-1.4
199110,49.7,-1.4
199111,28.2,-8.9
199112,27.1,2.1
199201,27.2,7.4
199202,32.0,8.2
199203,39.0,2.3
199204,46.0,-2.7
199205,60.1,0.3
199206,67.4,-2.6
199207,68.3,-5.1
199208,65.7,-5.4
199209,60.8,-3.0
199210,50.6,-0.5
199211,33.0,-4.1
199212,24.0,-1.0
199301,17.6,-2.2
199302,18.9,-4.9
199303,31.0,-5.7
199304,45.0,-3.7
199305,59.2,-0.6
199306,66.9,-3.1
199307,71.9,-1.5
199308,71.6,0.5
199309,57.4,-6.4
199310,49.2,-1.9
199311,33.8,-3.3
199312,25.5,0.5
199401,10.5,-9.3
199402,17.2,-6.6
199403,38.0,1.3
199404,49.2,0.5
199405,60.6,0.8
199406,70.9,0.9
199407,70.3,-3.1
199408,68.6,-2.5
199409,64.3,0.5
199410,53.5,2.4
199411,39.4,2.3
199412,27.0,2.0
199501,18.3,-1.5
199502,25.4,1.6
199503,37.0,0.3
199504,44.8,-3.9
199505,56.5,-3.3
199506,69.9,-0.1
199507,73.9,0.5
199508,76.2,5.1
199509,60.2,-3.6
199510,50.7,-0.4
199511,30.3,-6.8
199512,23.9,-1.1
199601,15.8,-4.0
199602,23.2,-0.6
199603,29.9,-6.8
199604,45.7,-3.0
199605,56.4,-3.4
199606,69.5,-0.5
199607,70.5,-2.9
199608,70.0,-1.1
199609,60.7,-3.1
199610,51.7,0.6
199611,29.0,-8.1
199612,19.6,-5.4
199701,14.6,-5.2
199702,25.0,1.2
199703,37.2,0.5
199704,44.3,-4.4
199705,54.2,-5.6
199706,70.4,0.4
199707,73.4,0.0
199708,69.5,-1.6
199709,64.2,0.4
199710,52.1,1.0
199711,32.9,-4.2
199712,27.4,2.4
199801,23.5,3.7
199802,34.8,11.0
199803,32.8,-3.9
199804,49.7,1.0
199805,65.0,5.2
199806,67.1,-2.9
199807,73.8,0.4
199808,72.9,1.8
199809,68.2,4.4
199810,53.1,2.0
199811,40.7,3.6
199812,29.4,4.4
199901,17.0,-2.8
199902,32.9,9.1
199903,36.3,-0.4
199904,50.0,1.3
199905,60.5,0.7
199906,68.9,-1.1
199907,76.8,3.4
199908,70.0,-1.1
199909,61.3,-2.5
199910,50.9,-0.2
199911,44.3,7.2
199912,27.0,2.0
200001,21.6,1.8
200002,32.5,8.7
200003,43.1,6.4
200004,49.4,0.7
200005,62.8,3.0
200006,67.7,-2.3
200007,72.2,-1.2
200008,72.7,1.6
200009,64.6,0.8
200010,54.8,3.7
200011,32.2,-4.9
200012,10.0,-15.0
200101,20.8,1.0
200102,18.1,-5.7
200103,30.2,-6.5
200104,52.7,4.0
200105,60.9,1.1
200106,68.3,-1.7
200107,75.1,1.7
200108,72.5,1.4
200109,61.2,-2.6
200110,50.2,-0.9
200111,48.0,10.9
200112,30.7,5.7
200201,28.6,8.8
200202,29.8,6.0
200203,31.0,-5.7
200204,48.9,0.2
200205,56.8,-3.0
200206,72.4,2.4
200207,76.5,3.1
200208,70.9,-0.2
200209,65.3,1.5
200210,46.2,-4.9
200211,34.7,-2.4
200212,28.9,3.9
200301,19.1,-0.7
200302,20.4,-3.4
200303,35.1,-1.6
200304,50.4,1.7
200305,57.9,-1.9
200306,67.3,-2.7
200307,73.1,-0.3
200308,74.1,3.0
200309,61.1,-2.7
200310,52.4,1.3
200311,35.9,-1.2
200312,28.2,3.2
200401,17.7,-2.1
200402,22.7,-1.1
200403,40.8,4.1
200404,51.1,2.4
200405,60.7,0.9
