Iowa, Palmer Z-Index
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,-0.85,-1.00
199002,-1.11,-1.65
199003,2.32,2.32
199004,-0.69,-1.67
199005,2.92,1.68
199006,4.00,3.23
199007,3.84,3.04
199008,1.25,0.71
199009,-1.88,-1.82
199010,-0.24,-0.98
199011,-0.43,-0.57
199012,0.72,0.24
199101,0.11,-0.04
199102,-0.78,-1.32
199103,3.04,3.04
199104,3.70,2.72
199105,0.95,-0.29
199106,-1.11,-1.88
199107,-1.72,-2.52
199108,-0.92,-1.46
199109,-1.21,-1.15
199110,0.58,-0.16
199111,3.45,3.31
199112,1.20,0.72
199201,0.52,0.37
199202,1.04,0.50
199203,0.10,0.10
199204,1.48,0.50
199205,-2.65,-3.89
199206,-3.04,-3.81
199207,6.19,5.39
199208,-0.22,-0.76
199209,3.19,3.25
199210,0.08,-0.66
199211,5.03,4.89
199212,1.70,1.22
199301,0.85,0.70
199302,0.78,0.24
199303,1.68,1.68
199304,1.70,0.72
199305,2.30,1.06
199306,4.60,3.83
199307,9.08,8.28
199308,6.04,5.50
199309,1.87,1.93
199310,-0.19,-0.93
199311,0.42,0.28
199312,-0.01,-0.49
199401,0.63,0.48
199402,0.84,0.30
199403,-2.78,-2.78
199404,-0.74,-1.72
199405,-2.36,-3.60
199406,1.71,0.94
199407,0.83,0.03
199408,0.44,-0.10
199409,0.30,0.36
199410,-0.41,-1.15
199411,0.60,0.46
199412,0.52,0.04
199501,0.20,0.05
199502,-0.74,-1.28
199503,0.90,0.90
199504,3.44,2.46
199505,3.09,1.85
199506,-1.10,-1.87
199507,-0.28,-1.08
199508,-1.18,-1.72
199509,-0.63,-0.57
199510,-0.59,-1.33
199511,-0.34,-0.48
199512,-1.58,-2.06
199601,1.26,1.11
199602,-1.00,-1.54
199603,-0.44,-0.44
199604,-1.18,-2.16
199605,4.92,3.68
199606,0.60,-0.17
199607,0.04,-0.76
199608,0.40,-0.14
199609,-0.16,-0.10
199610,0.75,0.01
199611,2.01,1.87
199612,0.17,-0.31
199701,0.45,0.30
199702,1.76,1.22
199703,-1.00,-1.00
199704,0.40,-0.58
199705,1.15,-0.09
199706,-0.38,-1.15
199707,-0.74,-1.54
199708,-1.16,-1.70
199709,-0.87,-0.81
199710,1.05,0.31
199711,-0.82,-0.96
199712,-0.38,-0.86
199801,0.23,0.08
199802,1.39,0.85
199803,2.97,2.97
199804,1.37,0.39
199805,-0.29,-1.53
199806,4.46,3.69
199807,-0.44,-1.24
199808,1.35,0.81
199809,-1.93,-1.87
199810,3.04,2.30
199811,0.16,0.02
199812,-0.58,-1.06
199901,1.05,0.90
199902,0.28,-0.26
199903,-1.40,-1.40
199904,4.51,3.53
199905,1.20,-0.04
199906,0.97,0.20
199907,1.77,0.97
199908,-0.18,-0.72
199909,-1.37,-1.31
199910,-1.92,-2.66
199911,-2.24,-2.38
199912,-1.49,-1.97
200001,-1.03,-1.18
200002,0.19,-0.35
200003,-2.77,-2.77
200004,-1.57,-2.55
200005,-0.93,-2.17
200006,2.65,1.88
200007,0.95,0.15
200008,-1.20,-1.74
200009,-1.75,-1.69
200010,-1.28,-2.02
200011,0.17,0.03
200012,0.62,0.14
200101,1.01,0.86
200102,2.64,2.10
200103,-0.50,-0.50
200104,0.42,-0.56
200105,3.81,2.57
200106,-0.42,-1.19
200107,-0.74,-1.54
200108,-1.34,-1.88
200109,0.52,0.58
200110,0.39,-0.35
200111,-1.46,-1.60
200112,-0.78,-1.26
200201,-1.11,-1.26
200202,-0.18,-0.72
200203,-0.85,-0.85
200204,1.06,0.08
200205,0.82,-0.42
200206,-1.78,-2.55
200207,0.17,-0.63
200208,2.29,1.75
200209,-1.98,-1.92
200210,2.16,1.42
200211,-1.46,-1.60
200212,-1.46,-1.94
200301,-1.03,-1.18
200302,-0.21,-0.75
200303,-1.06,-1.06
200304,0.31,-0.67
200305,1.28,0.04
200306,0.24,-0.53
200307,0.84,0.04
200308,-3.39,-3.93
200309,-0.71,-0.65
200310,-2.22,-2.96
200311,1.29,1.15
200312,0.00,-0.48
200401,0.08,-0.07
200402,0.77,0.23
200403,2.16,2.16
200404,-1.72,-2.70
200405,4.71,3.47
200406,-0.85,-1.62
200407,1.36,0.56
200408,1.84,1.30
200409,-0.69,-0.63
200410,-0.08,-0.82
200411,0.57,0.43
200412,-0.45,-0.93
200501,1.08,0.93
200502,1.46,0.92
200503,-1.26,-1.26
200504,0.10,-0.88
200505,0.35,-0.89
200506,0.31,-0.46
200507,-0.45,-1.25
200508,-0.96,-1.50
200509,-0.95,-0.89
200510,-2.20,-2.94
200511,-1.14,-1.28
200512,-0.67,-1.15
200601,-0.39,-0.54
200602,-1.37,-1.91
200603,1.29,1.29
200604,1.20,0.22
200605,-1.87,-3.11
200606,-2.67,-3.44
200607,-1.57,-2.37
200608,1.51,0.97
200609,0.91,0.97
200610,-0.33,-1.07
200611,-0.28,-0.42
200612,1.62,1.14
200701,0.36,0.21
200702,1.76,1.22
200703,0.68,0.68
200704,2.71,1.73
200705,1.07,-0.17
200706,-1.61,-2.38
200707,-0.48,-1.28
200708,6.49,5.95
200709,0.15,0.21
200710,3.91,3.17
200711,-1.05,-1.19
200712,2.77,2.29
200801,-0.05,-0.20
200802,1.81,1.27
200803,-0.59,-0.59
200804,4.59,3.61
200805,2.68,1.44
200806,5.29,4.52
200807,3.11,2.31
200808,-1.39,-1.93
200809,1.01,1.07
200810,1.82,1.08
200811,1.00,0.86
200812,1.87,1.39
200901,-0.05,-0.20
200902,0.12,-0.42
200903,1.49,1.49
200904,1.33,0.35
200905,-0.24,-1.48
200906,0.97,0.20
200907,2.17,1.37
200908,3.38,2.84
200909,-1.00,-0.94
200910,6.56,5.82
200911,-0.29,-0.43
200912,2.98,2.50
201001,1.06,0.91
201002,0.43,-0.11
201003,-0.55,-0.55
201004,0.14,-0.84
201005,0.43,-0.81
201006,6.75,5.98
201007,5.47,4.67
201008,1.54,1.00
201009,3.05,3.11
201010,-1.24,-1.98
201011,0.46,0.32
201012,0.78,0.30
201101,0.42,0.27
201102,1.22,0.68
201103,-0.48,-0.48
201104,1.52,0.54
201105,1.57,0.33
201106,1.95,1.18
201107,-0.70,-1.50
201108,-1.07,-1.61
201109,-1.96,-1.90
201110,-2.65,-3.39
201111,-0.92,-1.06
201112,0.75,0.27
201201,-0.90,-1.05
201202,1.22,0.68
201203,-2.30,-2.30
201204,0.88,-0.10
201205,-1.28,-2.52
201206,-2.49,-3.26
201207,-4.60,-5.40
201208,-2.28,-2.82
201209,-3.21,-3.15
201210,0.16,-0.58
201211,-2.60,-2.74
201212,-0.81,-1.29
201301,-1.02,-1.17
201302,-0.32,-0.86
201303,-0.23,-0.23
201304,5.69,4.71
201305,6.13,4.89
201306,0.48,-0.29
201307,-2.05,-2.85
201308,-3.10,-3.64
201309,-2.94,-2.88
201310,0.01,-0.73
201311,-1.02,-1.16
201312,-1.67,-2.15
201401,-1.63,-1.78
201402,0.27,-0.27
201403,-1.85,-1.85
201404,2.48,1.50
201405,-1.02,-2.26
201406,6.08,5.31
201407,0.38,-0.42
201408,2.94,2.40
201409,1.96,2.02
201410,2.04,1.30
201411,0.12,-0.02
201412,0.56,0.08
201501,-0.34,-0.49
