Idaho, Precipitation
Units: Inches
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,3.59,0.77
199002,1.94,-0.27
199003,1.54,-0.83
199004,2.59,0.42
199005,3.14,0.84
199006,1.44,-0.30
199007,0.76,0.06
199008,1.38,0.63
199009,0.37,-0.70
199010,2.05,0.15
199011,2.59,0.09
199012,2.02,-1.02
199101,1.83,-0.99
199102,1.06,-1.15
199103,2.85,0.48
199104,2.57,0.40
199105,3.26,0.96
199106,1.86,0.12
199107,0.52,-0.18
199108,0.63,-0.12
199109,0.97,-0.10
199110,1.38,-0.52
199111,3.76,1.26
199112,1.73,-1.31
199201,1.27,-1.55
199202,1.79,-0.42
199203,0.87,-1.50
199204,1.96,-0.21
199205,0.65,-1.65
199206,2.26,0.52
199207,1.22,0.52
199208,0.44,-0.31
199209,1.15,0.08
199210,1.50,-0.40
199211,2.51,0.01
199212,3.34,0.30
199301,2.81,-0.01
199302,1.78,-0.43
199303,2.95,0.58
199304,3.24,1.07
199305,2.20,-0.10
199306,3.33,1.59
199307,1.98,1.28
199308,1.40,0.65
199309,0.31,-0.76
199310,1.28,-0.62
199311,0.97,-1.53
199312,1.83,-1.21
199401,1.89,-0.93
199402,2.57,0.36
199403,0.87,-1.50
199404,1.98,-0.19
199405,2.02,-0.28
199406,1.12,-0.62
199407,0.53,-0.17
199408,0.37,-0.38
199409,0.61,-0.46
199410,2.35,0.45
199411,3.41,0.91
199412,2.67,-0.37
199501,3.55,0.73
199502,1.75,-0.46
199503,4.07,1.70
199504,2.39,0.22
199505,2.98,0.68
199506,3.19,1.45
199507,1.39,0.69
199508,0.87,0.12
199509,0.82,-0.25
199510,1.97,0.07
199511,4.20,1.70
199512,3.93,0.89
199601,4.07,1.25
199602,3.17,0.96
199603,2.07,-0.30
199604,3.09,0.92
199605,3.75,1.45
199606,0.76,-0.98
199607,0.48,-0.22
199608,0.34,-0.41
199609,0.97,-0.10
199610,1.95,0.05
199611,3.71,1.21
199612,7.74,4.70
199701,4.44,1.62
199702,1.59,-0.62
199703,2.64,0.27
199704,2.68,0.51
199705,1.67,-0.63
199706,2.13,0.39
199707,1.79,1.09
199708,1.12,0.37
199709,1.70,0.63
199710,2.29,0.39
199711,1.74,-0.76
199712,1.49,-1.55
199801,4.09,1.27
199802,1.98,-0.23
199803,2.17,-0.20
199804,1.79,-0.38
199805,4.63,2.33
199806,2.77,1.03
199807,1.18,0.48
199808,0.37,-0.38
199809,1.84,0.77
199810,0.86,-1.04
199811,3.96,1.46
199812,3.31,0.27
199901,3.33,0.51
199902,4.49,2.28
199903,1.61,-0.76
199904,1.58,-0.59
199905,2.21,-0.09
199906,1.83,0.09
199907,0.26,-0.44
199908,1.06,0.31
199909,0.21,-0.86
199910,1.17,-0.73
199911,2.20,-0.30
199912,2.69,-0.35
200001,3.41,0.59
200002,3.05,0.84
200003,1.92,-0.45
200004,1.50,-0.67
200005,2.05,-0.25
200006,0.86,-0.88
200007,0.35,-0.35
200008,0.31,-0.44
200009,1.65,0.58
200010,2.77,0.87
200011,1.34,-1.16
200012,1.68,-1.36
200101,1.37,-1.45
200102,1.18,-1.03
200103,1.58,-0.79
200104,2.33,0.16
200105,1.02,-1.28
200106,1.40,-0.34
200107,1.12,0.42
200108,0.17,-0.58
200109,0.73,-0.34
200110,2.22,0.32
200111,2.51,0.01
200112,3.50,0.46
200201,2.97,0.15
200202,1.33,-0.88
200203,2.39,0.02
200204,1.98,-0.19
200205,1.53,-0.77
200206,1.42,-0.32
200207,0.51,-0.19
200208,0.51,-0.24
200209,1.03,-0.04
200210,0.63,-1.27
200211,1.60,-0.90
200212,3.08,0.04
200301,3.19,0.37
200302,2.01,-0.20
200303,3.31,0.94
200304,2.54,0.37
200305,2.02,-0.28
200306,0.64,-1.10
200307,0.30,-0.40
200308,0.96,0.21
200309,0.72,-0.35
200310,0.80,-1.10
200311,2.45,-0.05
200312,3.62,0.58
200401,2.90,0.08
200402,2.19,-0.02
200403,1.10,-1.27
200404,1.37,-0.80
200405,3.50,1.20
200406,1.43,-0.31
200407,0.91,0.21
200408,1.90,1.15
200409,1.55,0.48
200410,2.41,0.51
200411,1.38,-1.12
200412,2.54,-0.50
200501,1.81,-1.01
200502,0.71,-1.50
200503,2.44,0.07
200504,2.22,0.05
200505,4.11,1.81
200506,2.44,0.70
200507,0.35,-0.35
200508,0.47,-0.28
200509,0.93,-0.14
200510,1.84,-0.06
200511,2.88,0.38
200512,4.38,1.34
200601,4.71,1.89
200602,1.79,-0.42
200603,2.69,0.32
200604,3.07,0.90
200605,1.63,-0.67
200606,1.74,0.00
200607,0.46,-0.24
200608,0.40,-0.35
200609,1.25,0.18
200610,1.58,-0.32
200611,4.34,1.84
200612,2.72,-0.32
200701,1.36,-1.46
200702,2.45,0.24
200703,1.45,-0.92
200704,1.59,-0.58
200705,1.09,-1.21
200706,1.23,-0.51
200707,0.38,-0.32
200708,0.51,-0.24
200709,1.26,0.19
200710,2.58,0.68
200711,2.04,-0.46
200712,3.62,0.58
200801,3.53,0.71
200802,2.23,0.02
200803,2.28,-0.09
200804,1.20,-0.97
200805,1.82,-0.48
200806,1.43,-0.31
200807,0.31,-0.39
200808,0.82,0.07
200809,0.77,-0.30
200810,1.04,-0.86
200811,2.80,0.30
200812,3.74,0.70
200901,2.72,-0.10
200902,1.46,-0.75
200903,3.17,0.80
200904,1.84,-0.33
200905,2.03,-0.27
200906,3.51,1.77
200907,0.71,0.01
200908,1.45,0.70
200909,0.35,-0.72
200910,2.47,0.57
200911,1.33,-1.17
200912,1.84,-1.20
201001,2.54,-0.28
201002,1.06,-1.15
201003,1.86,-0.51
201004,2.64,0.47
201005,2.77,0.47
201006,3.24,1.50
201007,0.52,-0.18
201008,0.83,0.08
201009,0.94,-0.13
201010,2.49,0.59
201011,3.03,0.53
201012,4.22,1.18
201101,2.79,-0.03
201102,1.93,-0.28
201103,3.88,1.51
201104,3.18,1.01
201105,3.15,0.85
201106,1.96,0.22
201107,0.55,-0.15
201108,0.51,-0.24
201109,0.39,-0.68
201110,2.83,0.93
201111,1.99,-0.51
201112,1.53,-1.51
201201,3.33,0.51
201202,1.78,-0.43
201203,4.25,1.88
201204,2.12,-0.05
201205,1.91,-0.39
201206,1.60,-0.14
201207,0.93,0.23
201208,0.28,-0.47
201209,0.32,-0.75
201210,2.32,0.42
201211,2.75,0.25
201212,4.12,1.08
201301,1.90,-0.92
201302,1.07,-1.14
201303,1.47,-0.90
201304,1.81,-0.36
201305,1.51,-0.79
201306,1.35,-0.39
201307,0.53,-0.17
201308,0.71,-0.04
201309,2.96,1.89
201310,0.85,-1.05
201311,1.72,-0.78
201312,1.76,-1.28
201401,2.02,-0.80
201402,3.68,1.47
201403,3.92,1.55
201404,2.15,-0.02
201405,1.26,-1.04
201406,1.32,-0.42
201407,0.39,-0.31
201408,2.29,1.54
201409,1.53,0.46
201410,1.29,-0.61
201411,3.32,0.82
201412,3.30,0.26
201501,2.06,-0.76
201502,1.86,-0.35
201503,1.51,-0.86
201504,1.23,-0.94
201505,2.89,0.59
201506,0.77,-0.97
201507,1.37,0.67
201508,0.76,0.01
201509,1.31,0.24
201510,1.69,-0.21
201511,2.51,0.01
201512,4.56,1.52
201601,2.66,-0.16
201602,1.65,-0.56
201603,3.58,1.21
201604,1.65,-0.52
201605,2.21,-0.09
201606,0.80,-0.94
201607,0.72,0.02
201608,0.15,-0.60
201609,1.82,0.75
201610,4.54,2.64
201611,1.44,-1.06
201612,3.66,0.62
201701,3.33,0.51
201702,4.91,2.70
201703,4.14,1.77
201704,2.95,0.78
201705,1.60,-0.70
201706,1.69,-0.05
201707,0.33,-0.37
201708,0.35,-0.40
201709,2.09,1.02
201710,1.65,-0.25
201711,3.55,1.05
201712,2.24,-0.80
201801,2.78,-0.04
201802,2.33,0.12
201803,2.75,0.38
201804,2.54,0.37
201805,2.47,0.17
201806,1.64,-0.10
201807,0.12,-0.58
201808,0.53,-0.22
201809,0.16,-0.91
201810,1.94,0.04
201811,2.38,-0.12
201812,2.24,-0.80
201901,2.22,-0.60
201902,4.78,2.57
201903,1.40,-0.97
201904,3.20,1.03
201905,2.83,0.53
201906,1.09,-0.65
201907,0.54,-0.16
201908,0.60,-0.15
201909,2.09,1.02
201910,1.58,-0.32
201911,0.82,-1.68
201912,2.26,-0.78
202001,3.96,1.14
202002,2.12,-0.09
202003,2.01,-0.36
202004,1.44,-0.73
202005,2.45,0.15
202006,2.99,1.25
202007,0.43,-0.27
202008,0.25,-0.50
202009,0.68,-0.39
202010,1.52,-0.38
202011,2.43,-0.07
202012,1.91,-1.13
202101,2.31,-0.51
202102,3.07,0.86
202103,1.18,-1.19
202104,0.86,-1.31
202105,1.38,-0.92
202106,0.56,-1.18
202107,0.59,-0.11
202108,1.22,0.47
202109,0.84,-0.23
202110,2.88,0.98
202111,2.18,-0.32
202112,3.87,0.83
202201,2.30,-0.52
