Illinois, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,36.4,9.5
199002,35.5,4.6
199003,44.6,2.9
199004,50.8,-1.7
199005,59.0,-4.1
199006,71.9,-0.4
199007,74.2,-1.2
199008,72.4,-1.2
199009,67.9,1.0
199010,52.8,-2.2
199011,46.8,4.5
199012,30.4,-1.4
199101,23.3,-3.6
199102,34.2,3.3
199103,43.9,2.2
199104,56.0,3.5
199105,68.6,5.5
199106,75.1,2.8
199107,76.3,0.9
199108,74.7,1.1
199109,66.4,-0.5
199110,55.6,0.6
199111,37.3,-5.0
199112,33.5,1.7
199201,31.0,4.1
199202,37.2,6.3
199203,42.7,1.0
199204,51.0,-1.5
199205,61.2,-1.9
199206,68.8,-3.5
199207,73.2,-2.2
199208,68.4,-5.2
199209,64.3,-2.6
199210,53.5,-1.5
199211,40.6,-1.7
199212,30.7,-1.1
199301,27.8,0.9
199302,27.0,-3.9
199303,36.8,-4.9
199304,49.2,-3.3
199305,63.2,0.1
199306,70.5,-1.8
199307,76.6,1.2
199308,74.9,1.3
199309,61.6,-5.3
199310,51.8,-3.2
199311,39.6,-2.7
199312,31.4,-0.4
199401,19.9,-7.0
199402,27.1,-3.8
199403,41.1,-0.6
199404,53.2,0.7
199405,60.6,-2.5
199406,73.8,1.5
199407,73.8,-1.6
199408,70.6,-3.0
199409,65.3,-1.6
199410,56.4,1.4
199411,46.2,3.9
199412,35.9,4.1
199501,25.8,-1.1
199502,29.8,-1.1
199503,43.3,1.6
199504,50.1,-2.4
199505,60.1,-3.0
199506,72.3,0.0
199507,76.4,1.0
199508,78.8,5.2
199509,63.3,-3.6
199510,55.4,0.4
199511,35.6,-6.7
199512,28.2,-3.6
199601,24.4,-2.5
199602,30.4,-0.5
199603,34.5,-7.2
199604,48.6,-3.9
199605,61.6,-1.5
199606,71.5,-0.8
199607,72.6,-2.8
199608,73.5,-0.1
199609,64.2,-2.7
199610,54.8,-0.2
199611,34.9,-7.4
199612,30.5,-1.3
199701,21.4,-5.5
199702,33.6,2.7
199703,42.9,1.2
199704,47.6,-4.9
199705,57.6,-5.5
199706,70.6,-1.7
199707,75.1,-0.3
199708,71.0,-2.6
199709,66.3,-0.6
199710,54.9,-0.1
199711,38.6,-3.7
199712,32.0,0.2
199801,31.8,4.9
199802,40.0,9.1
199803,40.6,-1.1
199804,52.6,0.1
199805,67.4,4.3
199806,71.8,-0.5
199807,75.4,0.0
199808,74.8,1.2
199809,70.9,4.0
199810,56.6,1.6
199811,45.6,3.3
199812,35.1,3.3
199901,25.1,-1.8
199902,37.4,6.5
199903,38.3,-3.4
199904,54.3,1.8
199905,64.1,1.0
199906,72.2,-0.1
199907,78.6,3.2
199908,71.7,-1.9
199909,65.2,-1.7
199910,54.5,-0.5
199911,48.4,6.1
199912,32.6,0.8
200001,27.3,0.4
200002,37.4,6.5
200003,46.2,4.5
200004,51.5,-1.0
200005,65.1,2.0
200006,70.3,-2.0
200007,73.2,-2.2
200008,74.6,1.0
200009,66.3,-0.6
200010,58.0,3.0
200011,38.9,-3.4
200012,17.6,-14.2
200101,25.7,-1.2
200102,30.9,0.0
200103,37.1,-4.6
200104,57.6,5.1
200105,64.8,1.7
200106,69.8,-2.5
200107,75.9,0.5
200108,74.6,1.0
200109,64.4,-2.5
200110,53.8,-1.2
200111,49.9,7.6
200112,35.8,4.0
200201,33.6,6.7
200202,34.6,3.7
200203,37.8,-3.9
200204,53.5,1.0
200205,59.1,-4.0
200206,73.9,1.6
200207,78.2,2.8
200208,75.0,1.4
200209,69.3,2.4
200210,52.1,-2.9
200211,39.6,-2.7
200212,32.2,0.4
200301,22.8,-4.1
200302,26.4,-4.5
200303,41.6,-0.1
200304,53.5,1.0
200305,61.1,-2.0
200306,67.9,-4.4
200307,74.8,-0.6
200308,75.3,1.7
200309,64.1,-2.8
200310,54.5,-0.5
200311,44.8,2.5
200312,33.8,2.0
200401,24.7,-2.2
200402,30.0,-0.9
200403,45.4,3.7
200404,54.1,1.6
200405,65.7,2.6
200406,70.0,-2.3
200407,72.8,-2.6
200408,68.6,-5.0
200409,67.7,0.8
200410,55.4,0.4
200411,45.6,3.3
200412,31.0,-0.8
200501,29.2,2.3
200502,36.1,5.2
200503,39.0,-2.7
200504,55.4,2.9
200505,60.9,-2.2
200506,75.0,2.7
200507,76.3,0.9
200508,75.6,2.0
200509,70.7,3.8
200510,55.7,0.7
200511,44.5,2.2
200512,26.0,-5.8
200601,38.1,11.2
200602,30.9,0.0
200603,41.8,0.1
200604,57.0,4.5
200605,62.3,-0.8
200606,71.4,-0.9
200607,77.1,1.7
200608,74.7,1.1
200609,63.7,-3.2
200610,51.3,-3.7
200611,44.4,2.1
200612,35.3,3.5
200701,30.3,3.4
200702,21.7,-9.2
200703,48.0,6.3
200704,50.2,-2.3
200705,67.6,4.5
200706,72.7,0.4
200707,73.3,-2.1
200708,78.2,4.6
200709,69.8,2.9
200710,59.9,4.9
200711,42.2,-0.1
200712,30.2,-1.6
200801,26.9,0.0
200802,26.0,-4.9
200803,39.0,-2.7
200804,51.4,-1.1
200805,59.0,-4.1
200806,73.2,0.9
200807,74.5,-0.9
200808,71.8,-1.8
200809,67.1,0.2
200810,54.2,-0.8
200811,41.1,-1.2
200812,26.8,-5.0
200901,20.6,-6.3
200902,32.5,1.6
200903,43.6,1.9
200904,51.4,-1.1
200905,62.8,-0.3
200906,72.7,0.4
200907,70.3,-5.1
200908,70.9,-2.7
200909,65.9,-1.0
200910,50.1,-4.9
200911,47.2,4.9
200912,29.1,-2.7
201001,21.5,-5.4
201002,25.7,-5.2
201003,43.8,2.1
201004,58.7,6.2
201005,64.3,1.2
201006,74.9,2.6
201007,77.6,2.2
201008,76.8,3.2
201009,67.2,0.3
201010,56.5,1.5
201011,43.7,1.4
201012,24.0,-7.8
201101,22.7,-4.2
201102,30.2,-0.7
201103,41.6,-0.1
201104,53.1,0.6
201105,62.1,-1.0
201106,72.9,0.6
201107,79.9,4.5
201108,74.8,1.2
201109,63.6,-3.3
201110,55.2,0.2
201111,45.8,3.5
201112,35.9,4.1
201201,31.9,5.0
201202,35.8,4.9
201203,55.5,13.8
201204,54.6,2.1
201205,68.1,5.0
201206,72.6,0.3
201207,81.8,6.4
201208,73.6,0.0
201209,64.9,-2.0
201210,52.5,-2.5
201211,41.2,-1.1
201212,36.8,5.0
201301,29.2,2.3
201302,29.9,-1.0
201303,34.3,-7.4
201304,50.2,-2.3
201305,63.9,0.8
201306,71.5,-0.8
201307,73.1,-2.3
201308,72.8,-0.8
201309,68.6,1.7
201310,54.5,-0.5
201311,38.8,-3.5
201312,26.2,-5.6
201401,19.3,-7.6
201402,19.4,-11.5
201403,34.4,-7.3
201404,52.4,-0.1
201405,63.7,0.6
201406,73.0,0.7
201407,70.3,-5.1
201408,73.8,0.2
201409,64.7,-2.2
201410,54.3,-0.7
201411,34.6,-7.7
201412,33.9,2.1
201501,25.7,-1.2
201502,19.4,-11.5
201503,38.3,-3.4
201504,54.3,1.8
201505,64.9,1.8
201506,71.7,-0.6
201507,74.2,-1.2
201508,71.9,-1.7
201509,70.4,3.5
201510,56.0,1.0
201511,46.6,4.3
201512,41.1,9.3
201601,26.9,0.0
201602,33.8,2.9
201603,47.3,5.6
201604,53.0,0.5
201605,62.0,-1.1
201606,74.8,2.5
201607,75.6,0.2
201608,75.7,2.1
201609,70.8,3.9
201610,59.9,4.9
201611,48.1,5.8
201612,28.9,-2.9
201701,32.1,5.2
201702,41.1,10.2
201703,43.2,1.5
201704,56.5,4.0
201705,61.9,-1.2
201706,72.7,0.4
201707,76.1,0.7
201708,70.5,-3.1
201709,68.8,1.9
201710,58.1,3.1
201711,41.9,-0.4
201712,29.8,-2.0
201801,24.1,-2.8
201802,31.8,0.9
201803,39.2,-2.5
201804,44.8,-7.7
201805,70.7,7.6
201806,74.9,2.6
201807,75.0,-0.4
201808,74.7,1.1
201809,70.3,3.4
201810,54.2,-0.8
201811,35.6,-6.7
201812,34.4,2.6
201901,25.4,-1.5
201902,29.3,-1.6
201903,37.3,-4.4
201904,52.5,0.0
201905,62.5,-0.6
201906,70.9,-1.4
201907,77.4,2.0
201908,72.8,-0.8
201909,71.6,4.7
201910,53.7,-1.3
201911,36.2,-6.1
201912,35.6,3.8
202001,31.8,4.9
202002,31.9,1.0
202003,44.4,2.7
202004,49.6,-2.9
202005,60.6,-2.5
202006,73.6,1.3
202007,77.3,1.9
202008,72.8,-0.8
202009,65.6,-1.3
202010,52.0,-3.0
202011,47.1,4.8
202012,33.0,1.2
202101,29.4,2.5
202102,20.7,-10.2
202103,46.2,4.5
202104,52.5,0.0
202105,61.1,-2.0
202106,74.1,1.8
202107,74.6,-0.8
202108,75.5,1.9
202109,69.6,2.7
202110,60.2,5.2
202111,40.9,-1.4
202112,40.1,8.3
202201,22.2,-4.7
