Illinois, Palmer Z-Index
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,-0.39,-0.90
199002,3.26,2.73
199003,-0.13,0.16
199004,-0.83,-1.30
199005,4.67,3.95
199006,2.85,2.14
199007,0.98,0.42
199008,1.15,0.84
199009,-1.49,-1.50
199010,1.99,1.23
199011,1.88,1.47
199012,4.20,3.90
199101,-0.16,-0.67
199102,-1.17,-1.70
199103,0.80,1.09
199104,-0.95,-1.42
199105,0.02,-0.70
199106,-3.31,-4.02
199107,-2.64,-3.20
199108,-1.93,-2.24
199109,-0.86,-0.87
199110,2.92,2.16
199111,1.33,0.92
199112,0.37,0.07
199201,-0.70,-1.21
199202,-0.67,-1.20
199203,-0.97,-0.68
199204,-0.76,-1.23
199205,-2.89,-3.61
199206,-2.60,-3.31
199207,4.50,3.94
199208,-1.07,-1.38
199209,1.97,1.96
199210,-1.16,-1.92
199211,4.43,4.02
199212,1.11,0.81
199301,2.49,1.98
199302,0.15,-0.38
199303,0.36,0.65
199304,2.10,1.63
199305,-0.99,-1.71
199306,3.49,2.78
199307,3.73,3.17
199308,2.68,2.37
199309,6.50,6.49
199310,1.04,0.28
199311,3.33,2.92
199312,-0.24,-0.54
199401,0.18,-0.33
199402,0.03,-0.50
199403,-2.42,-2.13
199404,2.74,2.27
199405,-1.85,-2.57
199406,-0.28,-0.99
199407,-1.06,-1.62
199408,0.31,0.00
199409,-1.12,-1.13
199410,-1.38,-2.14
199411,1.73,1.32
199412,-0.40,-0.70
199501,1.85,1.34
199502,-1.00,-1.53
199503,-1.15,-0.86
199504,1.19,0.72
199505,5.58,4.86
199506,-0.63,-1.34
199507,-0.93,-1.49
199508,-0.05,-0.36
199509,-2.22,-2.23
199510,-0.23,-0.99
199511,-0.65,-1.06
199512,-1.62,-1.92
199601,0.27,-0.24
199602,-1.30,-1.83
199603,-0.72,-0.43
199604,2.06,1.59
199605,4.10,3.38
199606,0.32,-0.39
199607,1.44,0.88
199608,-1.40,-1.71
199609,-0.15,-0.16
199610,-0.49,-1.25
199611,0.61,0.20
199612,-0.50,-0.80
199701,0.98,0.47
199702,3.21,2.68
199703,-0.38,-0.09
199704,-1.10,-1.57
