Indiana, Palmer Z-Index
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,-0.33,-0.81
199002,3.96,3.53
199003,-1.37,-0.97
199004,-0.98,-1.44
199005,4.08,3.47
199006,0.80,-0.09
199007,1.72,1.03
199008,3.20,2.74
199009,0.01,-0.33
199010,3.90,2.87
199011,1.45,0.91
199012,5.39,4.92
199101,-0.42,-0.90
199102,-0.47,-0.90
199103,0.86,1.26
199104,-0.75,-1.21
199105,-1.19,-1.80
199106,-3.62,-4.51
199107,-2.77,-3.46
199108,-1.29,-1.75
199109,-1.62,-1.96
199110,1.57,0.54
199111,-0.26,-0.80
199112,-0.50,-0.97
199201,-0.95,-1.43
199202,-1.55,-1.98
199203,-0.58,-0.18
199204,-0.34,-0.80
199205,-1.57,-2.18
199206,-0.85,-1.74
199207,6.15,5.46
199208,0.62,0.16
199209,2.81,2.47
199210,0.23,-0.80
199211,4.60,4.06
199212,-0.41,-0.88
199301,1.60,1.12
199302,-0.17,-0.60
199303,-0.59,-0.19
199304,1.41,0.95
199305,-0.77,-1.38
199306,2.42,1.53
199307,0.61,-0.08
199308,1.58,1.12
199309,4.94,4.60
199310,2.37,1.34
199311,4.27,3.73
199312,-0.31,-0.78
199401,0.32,-0.16
199402,-1.01,-1.44
199403,-2.71,-2.31
199404,2.05,1.59
199405,-1.16,-1.77
199406,-0.16,-1.05
199407,-0.46,-1.15
199408,0.41,-0.05
199409,-0.79,-1.13
199410,-2.02,-3.05
199411,0.09,-0.45
199412,-0.71,-1.18
199501,0.53,0.05
199502,-1.31,-1.74
199503,-1.60,-1.20
199504,0.96,0.50
199505,3.61,3.00
199506,-0.17,-1.06
199507,-1.33,-2.02
199508,0.12,-0.34
199509,-2.50,-2.84
199510,-0.49,-1.52
199511,-1.05,-1.59
199512,-1.31,-1.78
199601,0.74,0.26
199602,-1.28,-1.71
199603,-0.62,-0.22
199604,3.85,3.39
199605,3.93,3.32
199606,1.26,0.37
199607,2.19,1.50
199608,-1.94,-2.40
199609,2.72,2.38
199610,0.08,-0.95
199611,2.47,1.93
199612,1.22,0.75
199701,0.74,0.26
199702,1.40,0.97
199703,1.42,1.82
199704,-1.50,-1.96
199705,2.48,1.87
199706,2.09,1.20
199707,-0.86,-1.55
199708,1.29,0.83
199709,-0.76,-1.10
199710,-1.30,-2.33
199711,-0.81,-1.35
199712,-1.10,-1.57
199801,0.61,0.13
199802,-0.96,-1.39
199803,0.80,1.20
199804,2.54,2.08
199805,-0.28,-0.89
199806,4.56,3.67
199807,1.74,1.05
199808,0.65,0.19
199809,-2.74,-3.08
199810,0.57,-0.46
199811,-1.32,-1.86
199812,-1.23,-1.70
199901,2.85,2.37
199902,1.45,1.02
199903,-1.60,-1.20
199904,0.96,0.50
199905,-1.45,-2.06
199906,-0.13,-1.02
199907,-2.07,-2.76
199908,-1.95,-2.41
199909,-2.73,-3.07
199910,-1.82,-2.85
199911,-4.79,-5.33
199912,-1.61,-2.08
200001,-0.99,-1.47
200002,0.93,0.50
200003,-2.34,-1.94
200004,-0.59,-1.05
200005,0.00,-0.61
200006,2.78,1.89
200007,0.63,-0.06
200008,1.92,1.46
200009,2.59,2.25
200010,0.25,-0.78
200011,1.31,0.77
200012,0.73,0.26
200101,-1.53,-2.01
200102,0.90,0.47
200103,-2.97,-2.57
200104,-2.07,-2.53
200105,-0.20,-0.81
200106,0.36,-0.53
200107,2.33,1.64
200108,1.25,0.79
200109,1.56,1.22
200110,7.03,6.00
200111,1.17,0.63
200112,1.19,0.72
200201,-0.25,-0.73
200202,0.06,-0.37
200203,1.32,1.72
200204,1.81,1.35
200205,3.67,3.06
200206,-1.24,-2.13
200207,-2.09,-2.78
200208,-1.75,-2.21
200209,-0.20,-0.54
200210,-0.41,-1.44
200211,-1.77,-2.31
200212,-0.60,-1.07
200301,-1.12,-1.60
200302,0.81,0.38
200303,-1.97,-1.57
200304,-1.27,-1.73
200305,2.79,2.18
200306,-0.35,-1.24
200307,5.86,5.17
200308,0.63,0.17
200309,4.81,4.47
200310,1.03,0.00
200311,2.50,1.96
200312,0.29,-0.18
200401,1.23,0.75
200402,-1.78,-2.21
200403,-0.57,-0.17
200404,-2.70,-3.16
200405,2.50,1.89
200406,0.72,-0.17
200407,2.24,1.55
200408,3.13,2.67
200409,-2.42,-2.76
200410,1.97,0.94
200411,2.68,2.14
200412,0.22,-0.25
