Kansas, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,36.1,4.8
199002,36.1,1.5
199003,45.3,0.4
199004,52.7,-1.1
199005,60.4,-3.3
199006,76.8,2.5
199007,77.7,-1.2
199008,77.0,-0.2
199009,71.9,2.8
199010,56.1,-0.2
199011,48.0,4.5
199012,28.0,-5.3
199101,26.0,-5.3
199102,41.8,7.2
199103,46.8,1.9
199104,55.8,2.0
199105,67.0,3.3
199106,76.2,1.9
199107,80.1,1.2
199108,77.0,-0.2
199109,68.3,-0.8
199110,56.8,0.5
199111,36.3,-7.2
199112,36.3,3.0
199201,36.4,5.1
199202,41.7,7.1
199203,47.8,2.9
199204,54.6,0.8
199205,62.7,-1.0
199206,68.7,-5.6
199207,75.5,-3.4
199208,70.9,-6.3
199209,67.9,-1.2
199210,56.4,0.1
199211,37.8,-5.7
199212,29.5,-3.8
199301,24.8,-6.5
199302,28.1,-6.5
199303,41.0,-3.9
199304,50.0,-3.8
199305,62.3,-1.4
199306,71.6,-2.7
199307,77.6,-1.3
199308,76.9,-0.3
199309,63.5,-5.6
199310,53.6,-2.7
199311,38.3,-5.2
199312,35.5,2.2
199401,28.8,-2.5
199402,29.9,-4.7
199403,47.2,2.3
199404,53.4,-0.4
199405,64.7,1.0
199406,77.0,2.7
199407,75.8,-3.1
199408,76.9,-0.3
199409,68.0,-1.1
199410,57.5,1.2
199411,43.8,0.3
199412,36.0,2.7
199501,31.2,-0.1
199502,39.2,4.6
199503,43.3,-1.6
199504,50.4,-3.4
199505,57.3,-6.4
199506,70.4,-3.9
199507,78.1,-0.8
199508,80.2,3.0
199509,66.2,-2.9
199510,56.2,-0.1
199511,42.1,-1.4
199512,32.5,-0.8
199601,27.0,-4.3
199602,36.2,1.6
199603,37.8,-7.1
199604,53.5,-0.3
199605,65.2,1.5
199606,74.4,0.1
199607,76.8,-2.1
199608,74.5,-2.7
199609,65.0,-4.1
199610,56.3,0.0
199611,38.2,-5.3
199612,32.1,-1.2
199701,28.6,-2.7
199702,34.8,0.2
199703,46.6,1.7
199704,48.6,-5.2
199705,60.7,-3.0
199706,72.3,-2.0
199707,78.2,-0.7
199708,75.1,-2.1
199709,69.9,0.8
199710,56.8,0.5
199711,40.2,-3.3
199712,32.2,-1.1
199801,32.6,1.3
199802,39.6,5.0
199803,38.2,-6.7
199804,51.9,-1.9
199805,67.9,4.2
199806,73.6,-0.7
199807,79.6,0.7
199808,77.9,0.7
199809,74.4,5.3
199810,58.5,2.2
199811,47.1,3.6
199812,34.5,1.2
199901,31.7,0.4
199902,42.8,8.2
199903,42.8,-2.1
199904,53.5,-0.3
199905,63.1,-0.6
199906,71.0,-3.3
199907,80.4,1.5
199908,77.5,0.3
199909,65.4,-3.7
199910,56.5,0.2
199911,50.4,6.9
199912,36.8,3.5
200001,33.3,2.0
200002,41.0,6.4
200003,46.3,1.4
200004,53.8,0.0
200005,66.5,2.8
200006,72.0,-2.3
200007,79.0,0.1
200008,83.0,5.8
200009,71.1,2.0
200010,59.4,3.1
200011,36.8,-6.7
200012,24.2,-9.1
200101,31.0,-0.3
200102,30.4,-4.2
200103,41.1,-3.8
200104,58.3,4.5
200105,65.1,1.4
200106,72.9,-1.4
200107,83.0,4.1
200108,79.0,1.8
200109,67.9,-1.2
200110,56.2,-0.1
200111,49.2,5.7
200112,36.9,3.6
200201,33.8,2.5
200202,35.9,1.3
200203,39.2,-5.7
200204,56.4,2.6
200205,62.1,-1.6
200206,76.9,2.6
200207,80.7,1.8
200208,78.4,1.2
200209,70.4,1.3
200210,50.5,-5.8
200211,42.4,-1.1
200212,35.5,2.2
200301,31.8,0.5
200302,31.3,-3.3
200303,44.2,-0.7
200304,56.1,2.3
200305,62.9,-0.8
200306,70.4,-3.9
200307,81.8,2.9
200308,80.2,3.0
200309,65.1,-4.0
200310,58.3,2.0
200311,42.2,-1.3
200312,35.3,2.0
200401,30.4,-0.9
200402,31.8,-2.8
200403,49.2,4.3
200404,54.9,1.1
200405,66.9,3.2
200406,71.2,-3.1
200407,75.2,-3.7
200408,72.7,-4.5
200409,70.8,1.7
200410,57.8,1.5
200411,44.2,0.7
200412,35.7,2.4
200501,29.9,-1.4
200502,39.2,4.6
200503,44.7,-0.2
200504,55.0,1.2
200505,64.1,0.4
200506,74.7,0.4
200507,78.7,-0.2
200508,77.3,0.1
200509,72.2,3.1
200510,57.7,1.4
200511,46.4,2.9
200512,30.8,-2.5
200601,41.3,10.0
200602,34.5,-0.1
200603,45.6,0.7
200604,59.6,5.8
200605,65.8,2.1
200606,75.8,1.5
200607,81.1,2.2
200608,78.8,1.6
200609,64.4,-4.7
200610,55.1,-1.2
200611,44.6,1.1
200612,35.9,2.6
200701,27.0,-4.3
200702,30.0,-4.6
200703,52.3,7.4
200704,50.9,-2.9
200705,65.9,2.2
200706,72.3,-2.0
200707,78.0,-0.9
200708,81.5,4.3
200709,70.5,1.4
200710,59.1,2.8
200711,44.1,0.6
200712,29.3,-4.0
200801,30.0,-1.3
200802,32.3,-2.3
200803,43.2,-1.7
200804,50.5,-3.3
