Kansas, Palmer Z-Index
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,0.30,0.14
199002,0.72,0.46
199003,1.18,1.21
199004,-0.13,-0.51
199005,2.92,2.22
199006,-0.92,-0.94
199007,0.83,-0.07
199008,0.40,-0.43
199009,-1.62,-1.30
199010,-1.36,-1.89
199011,-0.35,-0.32
199012,-0.68,-1.02
199101,-0.70,-0.86
199102,-2.51,-2.77
199103,-1.62,-1.59
199104,-0.22,-0.60
199105,-1.12,-1.82
199106,-2.50,-2.52
199107,-2.32,-3.22
199108,-1.49,-2.32
199109,-2.04,-1.72
199110,-1.28,-1.81
199111,1.58,1.61
199112,1.38,1.04
199201,0.54,0.38
199202,-0.39,-0.65
199203,0.34,0.37
199204,-1.48,-1.86
199205,-1.70,-2.40
199206,2.41,2.39
199207,4.64,3.74
199208,2.95,2.12
199209,0.19,0.51
199210,0.70,0.17
199211,4.29,4.32
199212,2.83,2.49
199301,2.65,2.49
199302,3.19,2.93
199303,1.56,1.59
199304,0.47,0.09
199305,3.63,2.93
199306,1.09,1.07
199307,7.70,6.80
199308,3.34,2.51
199309,2.70,3.02
199310,0.28,-0.25
199311,1.01,1.04
199312,0.81,0.47
199401,0.96,0.80
199402,0.93,0.67
199403,-1.62,-1.59
199404,3.37,2.99
199405,-2.61,-3.31
199406,-1.42,-1.44
199407,1.84,0.94
199408,-0.56,-1.39
199409,-1.76,-1.44
199410,0.14,-0.39
199411,1.20,1.23
199412,0.07,-0.27
199501,0.44,0.28
199502,-1.25,-1.51
199503,0.30,0.33
199504,1.14,0.76
199505,7.84,7.14
199506,1.83,1.81
199507,1.32,0.42
199508,0.62,-0.21
199509,-0.04,0.28
199510,-2.04,-2.57
199511,-1.53,-1.50
199512,-0.60,-0.94
199601,-0.86,-1.02
199602,-1.82,-2.08
199603,-0.87,-0.84
199604,-1.55,-1.93
199605,0.38,-0.32
199606,-0.33,-0.35
199607,0.96,0.06
199608,3.23,2.40
199609,2.53,2.85
199610,-0.04,-0.57
199611,2.86,2.89
199612,-0.54,-0.88
199701,-0.29,-0.45
199702,2.95,2.69
199703,-1.51,-1.48
199704,1.53,1.15
199705,0.41,-0.29
199706,0.98,0.96
199707,1.23,0.33
199708,3.16,2.33
199709,0.46,0.78
199710,2.00,1.47
199711,0.16,0.19
199712,2.91,2.57
199801,0.77,0.61
199802,0.83,0.57
199803,3.08,3.11
199804,0.35,-0.03
199805,-2.48,-3.18
199806,-1.04,-1.06
199807,3.16,2.26
199808,-0.97,-1.80
199809,-0.38,-0.06
199810,2.78,2.25
199811,4.22,4.25
199812,0.32,-0.02
199901,2.18,2.02
199902,-0.39,-0.65
199903,0.63,0.66
199904,4.20,3.82
199905,1.41,0.71
199906,2.25,2.23
199907,0.59,-0.31
199908,0.82,-0.01
199909,1.15,1.47
199910,-1.64,-2.17
199911,-1.62,-1.59
199912,0.23,-0.11
200001,-0.74,-0.90
200002,0.63,0.37
200003,2.71,2.74
200004,-1.25,-1.63
200005,-1.60,-2.30
200006,0.65,0.63
200007,1.00,0.10
200008,-3.52,-4.35
200009,-2.88,-2.56
200010,2.06,1.53
200011,0.27,0.30
200012,-0.65,-0.99
200101,1.06,0.90
200102,3.23,2.97
200103,0.26,0.29
200104,-1.29,-1.67
200105,1.96,1.26
200106,0.45,0.43
200107,1.18,0.28
200108,-0.69,-1.52
200109,0.98,1.30
200110,-1.12,-1.65
200111,-1.93,-1.90
200112,-1.71,-2.05
200201,0.03,-0.13
200202,-1.34,-1.60
200203,-1.99,-1.96
200204,-0.72,-1.10
200205,-0.46,-1.16
200206,-2.38,-2.40
200207,-3.01,-3.91
200208,-1.05,-1.88
200209,-2.29,-1.97
200210,3.67,3.14
200211,-1.36,-1.33
200212,-0.91,-1.25
200301,-1.18,-1.34
200302,0.42,0.16
200303,0.23,0.26
200304,0.86,0.48
