Kentucky, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,41.6,7.0
199002,44.6,6.4
199003,49.4,2.8
199004,53.9,-2.3
199005,62.0,-3.0
199006,72.2,-0.7
199007,75.4,-1.0
199008,73.7,-1.6
199009,69.0,0.1
199010,56.0,-1.7
199011,49.8,3.6
199012,40.2,1.8
199101,34.3,-0.3
199102,39.5,1.3
199103,48.3,1.7
199104,58.8,2.6
199105,70.0,5.0
199106,74.0,1.1
199107,77.4,1.0
199108,75.0,-0.3
199109,68.7,-0.2
199110,58.4,0.7
199111,43.8,-2.4
199112,40.3,1.9
199201,35.6,1.0
199202,42.2,4.0
199203,45.7,-0.9
199204,55.6,-0.6
199205,61.9,-3.1
199206,68.8,-4.1
199207,75.9,-0.5
199208,70.7,-4.6
199209,67.0,-1.9
199210,55.0,-2.7
199211,46.1,-0.1
199212,36.5,-1.9
199301,37.7,3.1
199302,34.3,-3.9
199303,42.2,-4.4
199304,53.1,-3.1
199305,64.3,-0.7
199306,71.8,-1.1
199307,79.3,2.9
199308,76.0,0.7
199309,66.5,-2.4
199310,54.5,-3.2
199311,44.4,-1.8
199312,35.9,-2.5
199401,27.0,-7.6
199402,37.8,-0.4
199403,44.8,-1.8
199404,58.0,1.8
199405,60.0,-5.0
199406,74.6,1.7
199407,75.6,-0.8
199408,72.7,-2.6
199409,65.4,-3.5
199410,57.0,-0.7
199411,50.7,4.5
199412,41.1,2.7
199501,35.0,0.4
199502,35.0,-3.2
199503,48.4,1.8
199504,56.1,-0.1
199505,63.6,-1.4
199506,72.0,-0.9
199507,76.8,0.4
199508,79.3,4.0
199509,66.5,-2.4
199510,57.2,-0.5
199511,40.6,-5.6
199512,33.9,-4.5
199601,32.4,-2.2
199602,36.4,-1.8
199603,40.0,-6.6
199604,52.5,-3.7
199605,66.5,1.5
199606,72.4,-0.5
199607,73.8,-2.6
199608,74.3,-1.0
199609,66.2,-2.7
199610,57.0,-0.7
199611,41.0,-5.2
199612,40.3,1.9
199701,32.5,-2.1
199702,41.9,3.7
199703,48.5,1.9
199704,50.2,-6.0
199705,59.0,-6.0
199706,70.1,-2.8
199707,76.3,-0.1
199708,73.0,-2.3
199709,67.2,-1.7
199710,56.2,-1.5
199711,42.2,-4.0
199712,36.6,-1.8
199801,40.8,6.2
199802,42.4,4.2
199803,46.5,-0.1
199804,54.5,-1.7
199805,67.9,2.9
199806,73.5,0.6
199807,76.0,-0.4
199808,75.4,0.1
199809,73.0,4.1
199810,59.2,1.5
199811,48.3,2.1
199812,40.7,2.3
199901,37.5,2.9
199902,41.4,3.2
199903,41.7,-4.9
199904,58.4,2.2
199905,64.9,-0.1
199906,73.5,0.6
199907,79.5,3.1
199908,75.3,0.0
199909,68.1,-0.8
199910,56.8,-0.9
199911,51.3,5.1
199912,38.7,0.3
200001,33.8,-0.8
200002,43.1,4.9
200003,50.1,3.5
200004,53.9,-2.3
200005,67.0,2.0
200006,73.1,0.2
200007,74.5,-1.9
200008,74.8,-0.5
200009,67.2,-1.7
200010,59.6,1.9
200011,44.2,-2.0
200012,26.7,-11.7
200101,31.8,-2.8
200102,41.3,3.1
200103,41.4,-5.2
200104,59.9,3.7
200105,66.2,1.2
200106,71.0,-1.9
200107,75.7,-0.7
200108,76.4,1.1
200109,66.3,-2.6
200110,56.1,-1.6
200111,51.2,5.0
200112,41.8,3.4
200201,37.9,3.3
200202,38.8,0.6
200203,45.6,-1.0
200204,58.6,2.4
200205,62.1,-2.9
200206,74.3,1.4
200207,78.3,1.9
200208,77.2,1.9
200209,71.7,2.8
200210,57.4,-0.3
200211,43.6,-2.6
200212,36.5,-1.9
200301,28.4,-6.2
200302,33.6,-4.6
200303,48.8,2.2
200304,57.7,1.5
200305,64.2,-0.8
200306,68.7,-4.2
200307,75.2,-1.2
200308,75.9,0.6
200309,66.2,-2.7
200310,56.7,-1.0
200311,50.5,4.3
200312,37.0,-1.4
200401,32.5,-2.1
200402,36.9,-1.3
200403,49.3,2.7
200404,55.8,-0.4
200405,69.2,4.2
200406,72.1,-0.8
200407,74.3,-2.1
200408,71.2,-4.1
200409,68.7,-0.2
200410,60.0,2.3
200411,50.5,4.3
200412,36.4,-2.0
200501,39.0,4.4
200502,40.9,2.7
200503,42.6,-4.0
200504,57.0,0.8
200505,61.7,-3.3
200506,73.9,1.0
200507,77.4,1.0
200508,78.0,2.7
200509,71.5,2.6
200510,57.9,0.2
200511,48.2,2.0
200512,33.3,-5.1
200601,43.1,8.5
200602,36.2,-2.0
200603,46.1,-0.5
200604,60.3,4.1
200605,62.6,-2.4
200606,71.4,-1.5
200607,76.7,0.3
200608,77.4,2.1
200609,64.8,-4.1
200610,54.2,-3.5
200611,47.3,1.1
200612,41.6,3.2
200701,38.0,3.4
200702,29.8,-8.4
200703,53.3,6.7
200704,53.5,-2.7
200705,67.8,2.8
