Louisiana, Palmer Z-Index
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,3.99,3.62
199002,1.35,1.56
199003,0.91,1.26
199004,-0.88,-1.26
199005,0.45,0.63
199006,-0.70,-1.21
199007,-2.21,-1.92
199008,-2.74,-3.05
199009,-1.28,-1.50
199010,-0.48,-1.29
199011,-0.72,-0.72
199012,0.14,0.48
199101,4.69,4.32
199102,0.77,0.98
199103,-0.83,-0.48
199104,6.03,5.65
199105,5.03,5.21
199106,0.87,0.36
199107,0.42,0.71
199108,1.54,1.23
199109,0.50,0.28
199110,0.86,0.05
199111,-0.33,-0.33
199112,-0.23,0.11
199201,2.85,2.48
199202,1.43,1.64
199203,0.27,0.62
199204,-0.36,-0.74
199205,-1.32,-1.14
199206,2.64,2.13
199207,0.07,0.36
199208,2.51,2.20
199209,0.82,0.60
199210,-0.34,-1.15
199211,3.39,3.39
199212,-0.24,0.10
199301,1.77,1.40
199302,-1.46,-1.25
199303,1.22,1.57
199304,2.57,2.19
199305,-0.01,0.17
199306,2.20,1.69
199307,-1.23,-0.94
199308,-1.72,-2.03
199309,-1.78,-2.00
199310,1.08,0.27
199311,0.74,0.74
199312,-1.42,-1.08
199401,0.97,0.60
199402,-0.84,-0.63
199403,-0.67,-0.32
199404,-0.11,-0.49
199405,1.44,1.62
199406,0.56,0.05
199407,1.78,2.07
199408,0.23,-0.08
199409,-0.39,-0.61
199410,3.11,2.30
199411,-1.52,-1.52
199412,-0.57,-0.23
199501,0.80,0.43
199502,-1.74,-1.53
199503,3.25,3.60
199504,2.87,2.49
199505,0.83,1.01
199506,-1.30,-1.81
199507,0.34,0.63
199508,-0.97,-1.28
199509,-1.88,-2.10
199510,-0.28,-1.09
199511,0.12,0.12
199512,0.53,0.87
199601,-0.97,-1.34
199602,-2.88,-2.67
199603,-1.18,-0.83
199604,0.55,0.17
199605,-2.96,-2.78
199606,0.86,0.35
199607,-0.37,-0.08
199608,1.85,1.54
199609,1.84,1.62
199610,1.84,1.03
199611,-0.24,-0.24
199612,-0.92,-0.58
199701,0.32,-0.05
199702,3.36,3.57
199703,-0.89,-0.54
199704,2.85,2.47
199705,1.17,1.35
199706,1.06,0.55
199707,-0.63,-0.34
199708,-0.87,-1.18
199709,-1.90,-2.12
199710,0.53,-0.28
199711,0.84,0.84
199712,0.55,0.89
199801,5.65,5.28
199802,1.17,1.38
199803,0.26,0.61
199804,-0.43,-0.81
199805,-4.51,-4.33
199806,-3.34,-3.85
199807,-3.25,-2.96
199808,-1.16,-1.47
199809,5.03,4.81
199810,-0.12,-0.93
199811,0.55,0.55
199812,0.02,0.36
199901,2.55,2.18
199902,-3.50,-3.29
199903,0.49,0.84
199904,-2.03,-2.41
199905,-0.96,-0.78
199906,1.71,1.20
199907,-0.75,-0.46
199908,-3.40,-3.71
199909,-0.97,-1.19
199910,-0.08,-0.89
199911,-3.17,-3.17
199912,-1.63,-1.29
200001,-3.02,-3.39
200002,-3.94,-3.73
200003,-0.70,-0.35
200004,0.22,-0.16
200005,-1.18,-1.00
200006,0.38,-0.13
200007,-2.73,-2.44
200008,-3.50,-3.81
200009,-1.15,-1.37
200010,-2.00,-2.81
200011,5.23,5.23
200012,-0.72,-0.38
200101,0.59,0.22
200102,-1.43,-1.22
200103,4.17,4.52
200104,-2.50,-2.88
200105,-3.33,-3.15
200106,5.75,5.24
200107,-0.63,-0.34
200108,1.89,1.58
200109,2.62,2.40
200110,2.18,1.37
200111,1.30,1.30
200112,-0.01,0.33
200201,-1.03,-1.40
200202,-1.45,-1.24
200203,0.60,0.95
200204,-1.08,-1.46
200205,-2.35,-2.17
200206,-0.02,-0.53
200207,-0.44,-0.15
200208,0.03,-0.28
200209,1.45,1.23
200210,6.02,5.21
200211,1.45,1.45
200212,2.37,2.71
200301,-3.12,-3.49
200302,2.25,2.46
200303,-1.44,-1.09
200304,-0.92,-1.30
200305,-2.82,-2.64
200306,2.58,2.07
200307,0.79,1.08
200308,-0.09,-0.40
200309,0.88,0.66
200310,-0.68,-1.49
200311,0.33,0.33
200312,-1.60,-1.26
200401,-0.03,-0.40
200402,3.77,3.98
200403,-2.74,-2.39
200404,-0.07,-0.45
200405,4.03,4.21
200406,5.92,5.41
200407,-0.51,-0.22
200408,-0.56,-0.87
200409,-2.45,-2.67
200410,2.18,1.37
200411,3.59,3.59
200412,-0.98,-0.64
200501,-1.55,-1.92
200502,1.51,1.72
200503,-1.33,-0.98
200504,-0.88,-1.26
200505,-1.40,-1.22
200506,-1.51,-2.02
200507,-0.58,-0.29
200508,-1.05,-1.36
200509,0.52,0.30
200510,-2.79,-3.60
200511,-2.08,-2.08
200512,-2.12,-1.78
200601,-1.54,-1.91
200602,0.63,0.84
200603,-2.42,-2.07
200604,-0.88,-1.26
200605,-2.30,-2.12
200606,-2.23,-2.74
200607,-0.65,-0.36
200608,-0.96,-1.27
200609,-1.24,-1.46
200610,5.15,4.34
200611,-0.99,-0.99
200612,2.29,2.63
200701,1.75,1.38
200702,-2.43,-2.22
200703,-3.51,-3.16
200704,-0.14,-0.52
200705,-0.58,-0.40
200706,0.43,-0.08
200707,3.31,3.60
200708,-1.09,-1.40
200709,0.69,0.47
200710,0.19,-0.62
200711,-1.14,-1.14
200712,-1.59,-1.25
200801,-0.09,-0.46
200802,0.29,0.50
200803,-1.38,-1.03
200804,-1.03,-1.41
200805,0.50,0.68
200806,-0.82,-1.33
200807,-3.12,-2.83
200808,2.31,2.00
200809,4.72,4.50
200810,-0.71,-1.52
200811,-0.17,-0.17
200812,-0.14,0.20
200901,-2.25,-2.62
200902,-2.60,-2.39
200903,1.55,1.90
200904,0.05,-0.33
200905,-0.50,-0.32
200906,-2.60,-3.11
200907,0.22,0.51
200908,-1.46,-1.77
200909,1.31,1.09
200910,7.97,7.16
200911,-1.71,-1.71
200912,4.78,5.12
201001,-1.13,-1.50
201002,1.01,1.22
201003,-1.88,-1.53
201004,-2.64,-3.02
201005,-2.84,-2.66
201006,-1.64,-2.15
201007,-0.97,-0.68
201008,0.36,0.05
201009,-3.60,-3.82
201010,-2.10,-2.91
201011,0.10,0.10
201012,-2.98,-2.64
201101,-0.23,-0.60
201102,-2.42,-2.21
201103,-1.35,-1.00
201104,-2.10,-2.48
201105,-3.42,-3.24
201106,-2.61,-3.12
201107,-0.61,-0.32
201108,-4.27,-4.58
201109,2.23,2.01
201110,-1.67,-2.48
201111,-1.09,-1.09
201112,-0.26,0.08
201201,-0.73,-1.10
201202,2.01,2.22
201203,1.54,1.89
201204,-0.25,-0.63
201205,-2.97,-2.79
201206,-1.11,-1.62
201207,1.40,1.69
201208,4.02,3.71
201209,1.98,1.76
201210,-0.67,-1.48
201211,-1.86,-1.86
201212,0.17,0.51
201301,4.64,4.27
201302,1.20,1.41
201303,-2.73,-2.38
201304,1.76,1.38
201305,0.55,0.73
201306,-0.01,-0.52
201307,-0.80,-0.51
201308,-1.87,-2.18
201309,0.59,0.37
201310,0.40,-0.41
201311,0.54,0.54
201312,-1.22,-0.88
201401,-2.24,-2.61
201402,0.83,1.04
201403,-0.07,0.28
201404,0.00,-0.38
201405,2.24,2.42
201406,1.50,0.99
201407,1.14,1.43
201408,1.93,1.62
201409,-0.57,-0.79
201410,-0.04,-0.85
201411,-0.39,-0.39
201412,-1.20,-0.86
201501,0.75,0.38
201502,-1.28,-1.07
201503,0.56,0.91
201504,2.24,1.86
201505,2.38,2.56
201506,0.71,0.20
201507,-2.42,-2.13
201508,-2.61,-2.92
201509,-2.10,-2.32
201510,2.79,1.98
201511,3.46,3.46
201512,-0.29,0.05
201601,-0.65,-1.02
201602,-1.63,-1.42
201603,4.32,4.67
201604,1.19,0.81
201605,0.53,0.71
201606,1.16,0.65
201607,-0.54,-0.25
201608,8.30,7.99
201609,-0.52,-0.74
201610,-2.47,-3.28
201611,-1.82,-1.82
201612,0.10,0.44
201701,0.74,0.37
201702,-3.04,-2.83
201703,-1.88,-1.53
201704,0.34,-0.04
201705,3.65,3.83
201706,3.91,3.40
201707,-0.25,0.04
201708,8.62,8.31
201709,-2.19,-2.41
201710,-0.70,-1.51
201711,-2.74,-2.74
201712,-0.89,-0.55
201801,-0.08,-0.45
201802,2.37,2.58
201803,-0.50,-0.15
201804,0.53,0.15
201805,-3.34,-3.16
201806,-1.97,-2.48
201807,-1.37,-1.08
201808,-0.88,-1.19
201809,2.12,1.90
201810,1.30,0.49
201811,2.42,2.42
201812,2.92,3.26
201901,0.48,0.11
201902,-0.71,-0.50
201903,-2.55,-2.20
201904,2.95,2.57
201905,2.11,2.29
201906,1.52,1.01
201907,2.22,2.51
201908,0.96,0.65
201909,-2.42,-2.64
201910,3.41,2.60
201911,-1.46,-1.46
201912,-2.24,-1.90
202001,1.74,1.37
202002,0.78,0.99
202003,-2.11,-1.76
202004,1.26,0.88
202005,0.54,0.72
202006,0.79,0.28
202007,1.46,1.75
202008,2.17,1.86
202009,0.66,0.44
202010,2.52,1.71
202011,-0.56,-0.56
202012,-0.03,0.31
202101,-1.37,-1.74
202102,-0.21,0.00
202103,-0.07,0.28
202104,3.13,2.75
202105,5.43,5.61
202106,1.78,1.27
202107,1.73,2.02
202108,2.29,1.98
202109,3.44,3.22
202110,-0.35,-1.16
202111,-2.03,-2.03
202112,-3.39,-3.05
202201,-2.07,-2.44
