Massachusetts, Precipitation
Units: Inches
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,4.66,1.03
199002,3.86,0.58
199003,2.57,-1.59
199004,4.57,0.43
199005,7.12,3.26
199006,1.99,-2.17
199007,3.57,-0.45
199008,7.37,3.20
199009,1.91,-2.36
199010,6.93,1.98
199011,2.58,-1.25
199012,4.88,0.43
199101,3.07,-0.56
199102,1.99,-1.29
199103,4.76,0.60
199104,3.51,-0.63
199105,3.84,-0.02
199106,2.48,-1.68
199107,2.63,-1.39
199108,7.33,3.16
199109,6.79,2.52
199110,3.62,-1.33
199111,4.92,1.09
199112,3.29,-1.16
199201,2.73,-0.90
199202,2.14,-1.14
199203,3.89,-0.27
199204,2.90,-1.24
199205,1.86,-2.00
199206,5.25,1.09
199207,3.65,-0.37
199208,5.65,1.48
199209,3.34,-0.93
199210,2.37,-2.58
199211,4.98,1.15
199212,6.03,1.58
199301,2.45,-1.18
199302,3.54,0.26
199303,6.59,2.43
199304,5.04,0.90
199305,1.18,-2.68
199306,2.28,-1.88
199307,2.68,-1.34
199308,2.04,-2.13
199309,4.95,0.68
199310,3.87,-1.08
199311,4.28,0.45
199312,5.55,1.10
199401,5.17,1.54
199402,2.51,-0.77
199403,6.38,2.22
199404,2.86,-1.28
199405,4.43,0.57
199406,2.58,-1.58
199407,3.66,-0.36
199408,5.55,1.38
199409,4.50,0.23
199410,0.94,-4.01
199411,4.15,0.32
199412,5.08,0.63
199501,3.75,0.12
199502,2.74,-0.54
199503,2.49,-1.67
199504,2.31,-1.83
199505,2.69,-1.17
199506,2.45,-1.71
199507,3.12,-0.90
199508,2.12,-2.05
199509,3.13,-1.14
199510,8.40,3.45
199511,5.81,1.98
199512,2.48,-1.97
199601,6.60,2.97
199602,3.06,-0.22
199603,2.95,-1.21
199604,6.83,2.69
199605,4.02,0.16
199606,2.96,-1.20
199607,6.46,2.44
199608,2.48,-1.69
199609,7.50,3.23
199610,7.69,2.74
199611,3.10,-0.73
199612,6.96,2.51
199701,3.41,-0.22
199702,2.08,-1.20
199703,4.37,0.21
199704,5.15,1.01
199705,3.43,-0.43
199706,1.35,-2.81
199707,3.23,-0.79
199708,4.63,0.46
199709,1.75,-2.52
199710,2.08,-2.87
199711,6.47,2.64
199712,3.17,-1.28
199801,5.81,2.18
199802,4.48,1.20
199803,5.09,0.93
199804,3.67,-0.47
199805,4.96,1.10
199806,9.21,5.05
199807,2.88,-1.14
199808,2.82,-1.35
199809,2.34,-1.93
199810,4.99,0.04
199811,2.33,-1.50
199812,1.58,-2.87
199901,6.40,2.77
199902,3.59,0.31
199903,4.89,0.73
199904,1.12,-3.02
199905,3.91,0.05
199906,1.44,-2.72
199907,2.92,-1.10
199908,2.90,-1.27
199909,9.03,4.76
199910,4.58,-0.37
199911,2.98,-0.85
199912,2.28,-2.17
200001,3.52,-0.11
200002,3.37,0.09
200003,4.42,0.26
200004,5.87,1.73
200005,3.94,0.08
200006,6.20,2.04
200007,5.37,1.35
200008,3.63,-0.54
200009,3.57,-0.70
200010,2.47,-2.48
200011,3.53,-0.30
200012,4.30,-0.15
200101,2.20,-1.43
200102,2.78,-0.50
200103,8.75,4.59
200104,1.75,-2.39
