Massachusetts, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,32.6,6.4
199002,30.1,2.0
199003,36.9,1.4
199004,45.6,-0.7
199005,53.2,-3.6
199006,65.0,-0.8
199007,70.4,-0.8
199008,70.0,0.2
199009,60.3,-2.1
199010,54.5,3.2
199011,42.5,1.5
199012,35.0,3.2
199101,24.9,-1.3
199102,31.6,3.5
199103,38.2,2.7
199104,48.8,2.5
199105,61.2,4.4
199106,66.3,0.5
199107,69.9,-1.3
199108,70.0,0.2
199109,59.4,-3.0
199110,52.3,1.0
199111,41.1,0.1
199112,31.1,-0.7
199201,26.4,0.2
199202,28.2,0.1
199203,32.1,-3.4
199204,43.0,-3.3
199205,55.0,-1.8
199206,63.7,-2.1
199207,66.8,-4.4
199208,66.4,-3.4
199209,60.2,-2.2
199210,46.8,-4.5
199211,38.4,-2.6
199212,29.8,-2.0
199301,27.7,1.5
199302,20.8,-7.3
199303,31.8,-3.7
199304,45.8,-0.5
199305,57.8,1.0
199306,64.9,-0.9
199307,70.8,-0.4
199308,69.9,0.1
199309,60.8,-1.6
199310,47.8,-3.5
199311,40.1,-0.9
199312,29.5,-2.3
199401,17.1,-9.1
199402,21.9,-6.2
199403,34.0,-1.5
199404,47.4,1.1
199405,54.7,-2.1
199406,67.8,2.0
199407,73.8,2.6
199408,67.2,-2.6
199409,59.8,-2.6
199410,50.0,-1.3
199411,44.2,3.2
199412,33.9,2.1
199501,31.6,5.4
199502,24.5,-3.6
199503,37.5,2.0
199504,43.5,-2.8
199505,54.4,-2.4
199506,65.8,0.0
199507,72.6,1.4
199508,68.9,-0.9
199509,59.1,-3.3
199510,53.6,2.3
199511,36.9,-4.1
199512,25.1,-6.7
199601,24.6,-1.6
199602,26.0,-2.1
199603,31.8,-3.7
199604,45.2,-1.1
199605,54.8,-2.0
199606,66.0,0.2
199607,68.8,-2.4
199608,69.0,-0.8
199609,61.1,-1.3
199610,49.5,-1.8
199611,36.2,-4.8
199612,34.9,3.1
199701,25.4,-0.8
199702,32.5,4.4
199703,33.7,-1.8
199704,43.4,-2.9
199705,53.0,-3.8
199706,65.3,-0.5
199707,69.7,-1.5
199708,67.6,-2.2
199709,60.5,-1.9
199710,48.6,-2.7
199711,37.6,-3.4
199712,31.0,-0.8
199801,31.1,4.9
199802,33.7,5.6
199803,37.9,2.4
199804,47.2,0.9
199805,59.7,2.9
199806,64.2,-1.6
199807,70.4,-0.8
199808,70.2,0.4
199809,63.0,0.6
199810,51.1,-0.2
199811,40.3,-0.7
199812,35.6,3.8
199901,26.0,-0.2
199902,30.6,2.5
199903,36.4,0.9
199904,46.6,0.3
199905,57.4,0.6
199906,68.1,2.3
199907,73.0,1.8
199908,68.5,-1.3
199909,64.3,1.9
199910,48.9,-2.4
199911,44.8,3.8
199912,32.8,1.0
200001,23.5,-2.7
200002,30.1,2.0
200003,40.6,5.1
200004,45.1,-1.2
200005,56.4,-0.4
200006,65.1,-0.7
200007,67.0,-4.2
200008,67.0,-2.8
200009,60.2,-2.2
200010,50.2,-1.1
200011,40.0,-1.0
200012,25.0,-6.8
200101,24.6,-1.6
200102,27.8,-0.3
200103,32.5,-3.0
200104,45.9,-0.4
200105,57.8,1.0
200106,67.5,1.7
200107,67.2,-4.0
200108,71.7,1.9
200109,61.9,-0.5
200110,51.9,0.6
200111,44.4,3.4
200112,35.9,4.1
200201,32.4,6.2
200202,32.4,4.3
200203,37.1,1.6
200204,48.5,2.2
200205,54.6,-2.2
200206,64.0,-1.8
200207,71.4,0.2
200208,71.4,1.6
200209,64.4,2.0
200210,48.4,-2.9
200211,39.0,-2.0
200212,28.5,-3.3
200301,19.0,-7.2
200302,22.8,-5.3
200303,34.5,-1.0
200304,42.9,-3.4
200305,54.2,-2.6
200306,64.0,-1.8
200307,71.0,-0.2
200308,71.5,1.7
200309,62.6,0.2
200310,48.6,-2.7
200311,42.8,1.8
200312,31.4,-0.4
200401,17.3,-8.9
200402,27.4,-0.7
200403,36.6,1.1
200404,46.9,0.6
200405,58.5,1.7
200406,63.7,-2.1
200407,69.0,-2.2
200408,69.0,-0.8
200409,62.4,0.0
200410,50.0,-1.3
200411,40.6,-0.4
200412,30.0,-1.8
200501,23.0,-3.2
200502,28.2,0.1
200503,31.2,-4.3
200504,48.0,1.7
200505,51.5,-5.3
200506,68.2,2.4
200507,71.4,0.2
200508,72.1,2.3
200509,64.8,2.4
200510,52.1,0.8
200511,42.2,1.2
200512,28.0,-3.8
200601,32.9,6.7
200602,28.2,0.1
200603,35.4,-0.1
200604,47.7,1.4
200605,56.1,-0.7
200606,66.4,0.6
200607,73.3,2.1
200608,68.3,-1.5
200609,60.3,-2.1
200610,50.0,-1.3
200611,45.8,4.8
200612,37.0,5.2
200701,29.9,3.7
200702,22.4,-5.7
200703,34.0,-1.5
200704,43.3,-3.0
200705,58.4,1.6
200706,65.6,-0.2
200707,70.1,-1.1
200708,69.4,-0.4
200709,63.3,0.9
200710,56.0,4.7
200711,38.7,-2.3
200712,28.4,-3.4
200801,28.2,2.0
200802,28.6,0.5
200803,34.6,-0.9
200804,47.9,1.6
200805,54.2,-2.6
200806,67.4,1.6
200807,72.4,1.2
200808,67.2,-2.6
200809,62.4,0.0
200810,49.1,-2.2
200811,39.9,-1.1
200812,31.4,-0.4
200901,19.8,-6.4
200902,28.6,0.5
200903,35.3,-0.2
200904,48.3,2.0
200905,57.0,0.2
200906,62.8,-3.0
200907,67.6,-3.6
200908,71.0,1.2
200909,59.8,-2.6
200910,48.4,-2.9
200911,45.3,4.3
200912,29.0,-2.8
201001,25.9,-0.3
201002,29.3,1.2
201003,41.4,5.9
201004,50.6,4.3
201005,60.3,3.5
201006,67.6,1.8
201007,74.1,2.9
201008,70.1,0.3
201009,64.6,2.2
201010,51.5,0.2
201011,41.0,0.0
201012,27.8,-4.0
201101,22.4,-3.8
201102,25.5,-2.6
201103,35.4,-0.1
201104,47.7,1.4
201105,58.5,1.7
201106,65.2,-0.6
201107,72.8,1.6
201108,69.8,0.0
201109,64.9,2.5
201110,52.6,1.3
201111,45.4,4.4
201112,35.8,4.0
201201,30.4,4.2
201202,33.6,5.5
201203,44.1,8.6
201204,48.7,2.4
201205,60.4,3.6
201206,65.0,-0.8
201207,73.0,1.8
201208,71.5,1.7
201209,61.9,-0.5
201210,53.5,2.2
201211,39.2,-1.8
201212,34.7,2.9
201301,27.5,1.3
201302,28.4,0.3
201303,34.9,-0.6
201304,46.3,0.0
201305,57.7,0.9
201306,67.0,1.2
201307,75.0,3.8
201308,68.0,-1.8
201309,60.8,-1.6
201310,51.8,0.5
201311,38.8,-2.2
201312,29.4,-2.4
201401,23.0,-3.2
201402,24.1,-4.0
201403,29.1,-6.4
201404,45.9,-0.4
201405,57.2,0.4
201406,65.9,0.1
201407,71.2,0.0
201408,67.2,-2.6
201409,62.3,-0.1
201410,53.3,2.0
201411,38.8,-2.2
201412,34.7,2.9
201501,21.8,-4.4
201502,14.6,-13.5
201503,29.3,-6.2
201504,45.5,-0.8
201505,61.8,5.0
201506,63.6,-2.2
201507,71.0,-0.2
201508,71.1,1.3
201509,66.2,3.8
201510,50.1,-1.2
201511,44.7,3.7
201512,41.8,10.0
201601,28.5,2.3
201602,30.9,2.8
201603,41.0,5.5
201604,45.0,-1.3
201605,57.2,0.4
201606,66.1,0.3
201607,72.6,1.4
201608,72.5,2.7
201609,64.6,2.2
201610,52.2,0.9
