Maryland, Precipitation
Units: Inches
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,3.98,0.78
199002,2.08,-0.71
199003,2.77,-1.14
199004,3.81,0.31
199005,6.93,2.83
199006,2.70,-1.45
199007,4.82,0.41
199008,5.95,1.67
199009,2.02,-2.31
199010,4.31,0.51
199011,1.99,-1.07
199012,4.91,1.27
199101,3.71,0.51
199102,1.29,-1.50
199103,4.80,0.89
199104,2.47,-1.03
199105,1.78,-2.32
199106,2.33,-1.82
199107,3.53,-0.88
199108,3.59,-0.69
199109,3.67,-0.66
199110,2.36,-1.44
199111,1.60,-1.46
199112,4.66,1.02
199201,1.72,-1.48
199202,2.67,-0.12
199203,4.46,0.55
199204,2.25,-1.25
199205,3.86,-0.24
199206,2.70,-1.45
199207,5.31,0.90
199208,4.19,-0.09
199209,5.00,0.67
199210,1.83,-1.97
199211,3.88,0.82
199212,4.45,0.81
199301,2.80,-0.40
199302,2.55,-0.24
199303,7.40,3.49
199304,5.23,1.73
199305,2.93,-1.17
199306,3.05,-1.10
199307,2.09,-2.32
199308,3.65,-0.63
199309,4.57,0.24
199310,3.22,-0.58
199311,4.03,0.97
199312,4.20,0.56
199401,4.42,1.22
199402,4.39,1.60
199403,8.27,4.36
199404,2.71,-0.79
199405,3.23,-0.87
199406,2.51,-1.64
199407,5.36,0.95
199408,5.18,0.90
199409,3.30,-1.03
199410,1.20,-2.60
199411,3.17,0.11
199412,2.09,-1.55
199501,3.74,0.54
199502,1.92,-0.87
199503,1.96,-1.95
199504,2.33,-1.17
199505,4.51,0.41
199506,3.70,-0.45
199507,3.33,-1.08
199508,1.85,-2.43
199509,3.12,-1.21
199510,6.29,2.49
199511,4.40,1.34
199512,2.38,-1.26
199601,5.70,2.50
199602,2.51,-0.28
199603,3.91,0.00
199604,3.71,0.21
199605,5.70,1.60
199606,5.51,1.36
199607,7.52,3.11
199608,3.96,-0.32
199609,6.43,2.10
199610,4.56,0.76
199611,3.14,0.08
199612,6.32,2.68
199701,2.37,-0.83
199702,2.60,-0.19
199703,5.06,1.15
199704,2.59,-0.91
199705,2.43,-1.67
199706,3.02,-1.13
199707,2.84,-1.57
199708,3.89,-0.39
199709,2.57,-1.76
199710,2.72,-1.08
199711,6.20,3.14
199712,2.48,-1.16
199801,6.16,2.96
199802,5.82,3.03
199803,5.58,1.67
199804,3.91,0.41
199805,4.74,0.64
199806,4.99,0.84
199807,2.22,-2.19
199808,2.34,-1.94
199809,1.78,-2.55
199810,1.77,-2.03
199811,1.04,-2.02
199812,2.11,-1.53
199901,5.40,2.20
199902,2.56,-0.23
199903,4.31,0.40
199904,3.04,-0.46
199905,1.53,-2.57
199906,2.19,-1.96
199907,2.61,-1.80
199908,4.40,0.12
199909,10.35,6.02
199910,3.14,-0.66
199911,2.08,-0.98
199912,2.66,-0.98
