Maryland, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,40.6,6.5
199002,41.9,5.6
199003,46.8,3.0
199004,53.5,-0.7
199005,61.0,-2.3
199006,71.3,-0.8
199007,76.1,-0.6
199008,73.1,-1.7
199009,65.8,-2.4
199010,59.6,2.3
199011,48.4,2.1
199012,41.2,2.9
199101,34.6,0.5
199102,39.6,3.3
199103,45.6,1.8
199104,54.9,0.7
199105,68.8,5.5
199106,72.4,0.3
199107,77.5,0.8
199108,75.7,0.9
199109,66.9,-1.3
199110,56.9,-0.4
199111,45.5,-0.8
199112,39.5,1.2
199201,35.2,1.1
199202,37.5,1.2
199203,41.4,-2.4
199204,52.2,-2.0
199205,59.2,-4.1
199206,68.0,-4.1
199207,75.4,-1.3
199208,70.7,-4.1
199209,66.4,-1.8
199210,53.1,-4.2
199211,45.9,-0.4
199212,36.8,-1.5
199301,36.9,2.8
199302,31.4,-4.9
199303,39.2,-4.6
199304,51.9,-2.3
199305,64.0,0.7
199306,71.0,-1.1
199307,78.3,1.6
199308,75.3,0.5
199309,67.7,-0.5
199310,54.7,-2.6
199311,45.6,-0.7
199312,34.6,-3.7
199401,26.0,-8.1
199402,32.8,-3.5
199403,41.7,-2.1
199404,57.9,3.7
199405,59.3,-4.0
199406,74.3,2.2
199407,77.4,0.7
199408,71.6,-3.2
199409,65.6,-2.6
199410,54.6,-2.7
199411,50.1,3.8
199412,41.0,2.7
199501,36.6,2.5
199502,31.7,-4.6
199503,45.7,1.9
199504,52.8,-1.4
199505,61.9,-1.4
199506,71.2,-0.9
199507,77.6,0.9
199508,76.4,1.6
199509,66.9,-1.3
199510,59.0,1.7
199511,40.9,-5.4
199512,32.0,-6.3
199601,30.6,-3.5
199602,34.1,-2.2
199603,38.7,-5.1
199604,53.4,-0.8
199605,60.4,-2.9
199606,72.4,0.3
199607,73.5,-3.2
199608,72.6,-2.2
199609,67.2,-1.0
199610,56.0,-1.3
199611,40.4,-5.9
199612,39.6,1.3
199701,33.3,-0.8
199702,40.0,3.7
199703,44.9,1.1
199704,50.4,-3.8
199705,59.1,-4.2
199706,69.3,-2.8
199707,75.7,-1.0
199708,72.7,-2.1
199709,66.3,-1.9
199710,55.9,-1.4
199711,43.2,-3.1
199712,37.7,-0.6
199801,40.3,6.2
199802,40.5,4.2
199803,44.9,1.1
199804,55.1,0.9
199805,65.3,2.0
199806,70.6,-1.5
199807,75.4,-1.3
199808,75.1,0.3
199809,71.5,3.3
199810,57.0,-0.3
199811,46.7,0.4
199812,41.7,3.4
199901,36.1,2.0
199902,37.5,1.2
199903,41.0,-2.8
199904,53.5,-0.7
199905,63.2,-0.1
199906,71.3,-0.8
199907,78.9,2.2
199908,75.0,0.2
199909,67.4,-0.8
199910,54.8,-2.5
199911,50.7,4.4
199912,39.1,0.8
200001,32.5,-1.6
200002,38.7,2.4
200003,48.4,4.6
200004,52.7,-1.5
200005,64.9,1.6
200006,72.4,0.3
200007,72.0,-4.7
200008,72.6,-2.2
200009,65.7,-2.5
200010,57.2,-0.1
200011,43.3,-3.0
200012,29.2,-9.1
200101,32.2,-1.9
200102,38.0,1.7
200103,40.4,-3.4
200104,54.5,0.3
200105,62.6,-0.7
200106,72.4,0.3
200107,72.3,-4.4
200108,76.0,1.2
200109,65.6,-2.6
200110,56.5,-0.8
200111,50.8,4.5
200112,42.6,4.3
200201,39.0,4.9
200202,39.8,3.5
