Maine, Precipitation
Units: Inches
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,4.06,0.84
199002,2.24,-0.53
199003,1.98,-1.28
199004,3.56,-0.13
199005,5.28,1.58
199006,4.46,0.18
199007,3.57,-0.49
199008,4.87,1.15
199009,3.56,-0.25
199010,7.71,2.80
199011,4.28,0.31
199012,5.61,1.50
199101,2.83,-0.39
199102,1.27,-1.50
199103,5.14,1.88
199104,3.69,0.00
199105,3.70,0.00
199106,2.35,-1.93
199107,2.25,-1.81
199108,8.17,4.45
199109,4.63,0.82
199110,4.38,-0.53
199111,3.27,-0.70
199112,2.56,-1.55
199201,4.02,0.80
199202,2.97,0.20
199203,3.57,0.31
199204,2.15,-1.54
199205,1.07,-2.63
199206,4.58,0.30
199207,4.31,0.25
199208,3.65,-0.07
199209,2.71,-1.10
199210,3.49,-1.42
199211,3.22,-0.75
199212,1.76,-2.35
199301,2.28,-0.94
199302,3.21,0.44
199303,3.20,-0.06
199304,5.48,1.79
199305,2.32,-1.38
199306,4.27,-0.01
199307,2.60,-1.46
199308,2.50,-1.22
199309,4.38,0.57
199310,4.30,-0.61
199311,4.04,0.07
199312,5.03,0.92
199401,4.63,1.41
199402,1.41,-1.36
199403,4.13,0.87
199404,4.08,0.39
199405,4.30,0.60
199406,3.89,-0.39
199407,3.73,-0.33
199408,2.63,-1.09
199409,4.41,0.60
199410,1.52,-3.39
199411,4.21,0.24
199412,2.74,-1.37
199501,4.44,1.22
199502,2.60,-0.17
199503,2.57,-0.69
199504,2.24,-1.45
199505,3.92,0.22
199506,2.36,-1.92
199507,3.94,-0.12
199508,1.77,-1.95
199509,2.55,-1.26
199510,6.70,1.79
199511,6.47,2.50
199512,3.16,-0.95
199601,4.79,1.57
199602,3.73,0.96
199603,2.22,-1.04
199604,4.94,1.25
199605,4.90,1.20
199606,4.34,0.06
199607,7.57,3.51
199608,1.66,-2.06
199609,5.08,1.27
199610,4.12,-0.79
199611,2.05,-1.92
199612,5.99,1.88
199701,4.14,0.92
199702,2.61,-0.16
199703,3.29,0.03
199704,2.82,-0.87
199705,4.15,0.45
199706,3.28,-1.00
199707,3.44,-0.62
199708,4.52,0.80
199709,3.09,-0.72
199710,1.43,-3.48
199711,3.97,0.00
199712,2.77,-1.34
199801,5.39,2.17
199802,3.57,0.80
199803,4.00,0.74
199804,3.09,-0.60
199805,3.13,-0.57
199806,6.81,2.53
199807,3.94,-0.12
199808,2.78,-0.94
199809,2.86,-0.95
199810,5.04,0.13
199811,2.69,-1.28
199812,1.94,-2.17
199901,5.43,2.21
199902,2.22,-0.55
199903,5.41,2.15
199904,0.87,-2.82
199905,2.85,-0.85
199906,3.37,-0.91
199907,3.17,-0.89
199908,3.07,-0.65
199909,9.04,5.23
199910,4.43,-0.48
199911,3.49,-0.48
199912,3.00,-1.11
200001,3.62,0.40
200002,3.11,0.34
200003,3.60,0.34
200004,5.74,2.05
200005,4.62,0.92
200006,2.65,-1.63
200007,4.17,0.11
200008,2.61,-1.11
200009,2.27,-1.54
200010,3.37,-1.54
200011,2.99,-0.98
200012,4.40,0.29
200101,1.33,-1.89
200102,2.69,-0.08
200103,3.71,0.45
200104,1.00,-2.69
200105,2.06,-1.64
200106,3.76,-0.52
200107,3.76,-0.30
200108,1.53,-2.19
200109,3.70,-0.11
200110,1.96,-2.95
200111,2.23,-1.74
200112,2.10,-2.01
200201,2.66,-0.56
200202,3.25,0.48
200203,3.52,0.26
200204,4.42,0.73
200205,3.40,-0.30
200206,4.17,-0.11
200207,3.96,-0.10
200208,0.98,-2.74
200209,4.25,0.44
200210,3.06,-1.85
200211,4.21,0.24
200212,3.10,-1.01
200301,1.31,-1.91
200302,2.66,-0.11
200303,3.51,0.25
200304,1.92,-1.77
200305,3.49,-0.21
200306,3.27,-1.01
200307,3.47,-0.59
200308,3.53,-0.19
200309,4.20,0.39
200310,7.93,3.02
200311,4.40,0.43
200312,6.33,2.22
200401,0.97,-2.25
200402,1.44,-1.33
200403,1.61,-1.65
200404,3.41,-0.28
200405,3.79,0.09
200406,2.77,-1.51
200407,4.68,0.62
200408,6.38,2.66
200409,2.74,-1.07
200410,2.46,-2.45
200411,4.19,0.22
200412,4.36,0.25
