Minnesota, Precipitation
Units: Inches
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,0.39,-0.36
199002,0.55,-0.20
199003,2.32,0.99
199004,2.67,0.35
199005,2.52,-0.87
199006,6.02,1.59
199007,3.56,-0.33
199008,2.86,-0.67
199009,1.80,-1.27
199010,2.42,-0.13
199011,0.41,-0.90
199012,0.84,-0.18
199101,0.47,-0.28
199102,0.78,0.03
199103,1.58,0.25
199104,3.57,1.25
199105,4.45,1.06
199106,4.80,0.37
199107,4.53,0.64
199108,2.47,-1.06
199109,4.83,1.76
199110,1.39,-1.16
199111,2.66,1.35
199112,0.67,-0.35
199201,0.65,-0.10
199202,0.65,-0.10
199203,1.29,-0.04
199204,1.92,-0.40
199205,2.03,-1.36
199206,3.86,-0.57
199207,4.08,0.19
199208,4.23,0.70
199209,2.88,-0.19
199210,1.13,-1.42
199211,1.69,0.38
199212,1.06,0.04
199301,0.96,0.21
199302,0.30,-0.45
199303,0.96,-0.37
199304,2.44,0.12
199305,4.37,0.98
199306,5.89,1.46
199307,6.28,2.39
199308,4.90,1.37
199309,2.11,-0.96
199310,0.82,-1.73
199311,1.66,0.35
199312,0.75,-0.27
199401,0.96,0.21
199402,0.57,-0.18
199403,0.63,-0.70
199404,3.30,0.98
199405,1.94,-1.45
199406,4.94,0.51
199407,4.33,0.44
199408,3.58,0.05
199409,3.34,0.27
199410,2.80,0.25
199411,1.46,0.15
199412,0.38,-0.64
199501,0.65,-0.10
199502,0.51,-0.24
199503,2.12,0.79
199504,2.01,-0.31
199505,2.93,-0.46
199506,2.26,-2.17
199507,5.64,1.75
199508,4.62,1.09
199509,3.00,-0.07
199510,3.71,1.16
199511,1.07,-0.24
199512,0.99,-0.03
199601,1.65,0.90
199602,0.72,-0.03
199603,0.94,-0.39
199604,1.06,-1.26
199605,3.01,-0.38
199606,3.71,-0.72
199607,3.43,-0.46
199608,2.65,-0.88
199609,2.79,-0.28
199610,3.36,0.81
199611,3.15,1.84
199612,1.30,0.28
199701,1.59,0.84
199702,0.30,-0.45
199703,1.32,-0.01
199704,1.47,-0.85
199705,2.16,-1.23
199706,4.18,-0.25
199707,5.09,1.20
199708,2.96,-0.57
199709,2.46,-0.61
199710,2.41,-0.14
199711,0.99,-0.32
199712,0.27,-0.75
199801,0.92,0.17
199802,1.08,0.33
199803,1.64,0.31
199804,1.56,-0.76
199805,3.78,0.39
199806,5.36,0.93
199807,3.17,-0.72
199808,3.09,-0.44
199809,1.68,-1.39
199810,4.29,1.74
199811,1.66,0.35
199812,0.60,-0.42
199901,1.15,0.40
199902,0.44,-0.31
199903,1.22,-0.11
199904,2.81,0.49
199905,4.94,1.55
199906,4.30,-0.13
199907,5.62,1.73
199908,4.09,0.56
199909,3.38,0.31
199910,1.07,-1.48
199911,0.32,-0.99
199912,0.33,-0.69
200001,0.58,-0.17
200002,1.03,0.28
200003,1.21,-0.12
200004,1.44,-0.88
200005,3.65,0.26
200006,4.99,0.56
200007,3.79,-0.10
200008,3.47,-0.06
200009,1.53,-1.54
