Minnesota, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,20.3,9.9
199002,16.6,2.1
199003,30.5,2.3
199004,42.5,0.5
199005,52.3,-2.4
199006,65.4,0.4
199007,67.6,-1.5
199008,67.4,0.5
199009,59.8,1.0
199010,43.6,-1.6
199011,32.2,2.3
199012,11.3,-5.1
199101,5.8,-4.6
199102,20.4,5.9
199103,29.2,1.0
199104,45.8,3.8
199105,58.6,3.9
199106,68.0,3.0
199107,68.2,-0.9
199108,68.8,1.9
199109,55.8,-3.0
199110,42.1,-3.1
199111,21.5,-8.4
199112,16.7,0.3
199201,17.1,6.7
199202,22.5,8.0
199203,29.6,1.4
199204,39.0,-3.0
199205,57.3,2.6
199206,61.3,-3.7
199207,61.8,-7.3
199208,62.3,-4.6
199209,55.6,-3.2
199210,43.8,-1.4
199211,26.9,-3.0
199212,13.5,-2.9
199301,8.0,-2.4
199302,11.6,-2.9
199303,25.5,-2.7
199304,40.4,-1.6
199305,53.6,-1.1
199306,60.7,-4.3
199307,66.0,-3.1
199308,66.6,-0.3
199309,51.6,-7.2
199310,42.1,-3.1
199311,25.2,-4.7
199312,15.8,-0.6
199401,-2.5,-12.9
199402,6.3,-8.2
199403,30.2,2.0
199404,41.9,-0.1
199405,57.0,2.3
199406,65.8,0.8
199407,66.2,-2.9
199408,63.9,-3.0
199409,59.9,1.1
199410,48.6,3.4
199411,33.4,3.5
199412,20.4,4.0
199501,11.8,1.4
199502,12.8,-1.7
199503,29.0,0.8
199504,37.1,-4.9
199505,53.1,-1.6
199506,68.4,3.4
199507,68.4,-0.7
199508,69.5,2.6
199509,56.0,-2.8
199510,44.1,-1.1
199511,21.1,-8.8
199512,12.3,-4.1
199601,1.0,-9.4
199602,12.0,-2.5
199603,19.3,-8.9
199604,36.5,-5.5
199605,51.6,-3.1
199606,65.3,0.3
199607,66.4,-2.7
199608,67.4,0.5
199609,57.6,-1.2
199610,45.2,0.0
199611,20.3,-9.6
199612,8.8,-7.6
199701,4.5,-5.9
199702,15.0,0.5
199703,24.0,-4.2
199704,38.8,-3.2
199705,49.6,-5.1
199706,67.0,2.0
199707,68.0,-1.1
199708,64.9,-2.0
199709,59.9,1.1
199710,46.3,1.1
199711,24.9,-5.0
199712,23.9,7.5
199801,14.0,3.6
199802,28.8,14.3
199803,27.5,-0.7
199804,46.8,4.8
199805,60.4,5.7
199806,62.1,-2.9
199807,69.0,-0.1
199808,68.9,2.0
199809,62.4,3.6
199810,47.7,2.5
199811,31.9,2.0
199812,19.4,3.0
199901,7.6,-2.8
199902,23.2,8.7
199903,30.4,2.2
199904,44.7,2.7
199905,56.8,2.1
199906,64.4,-0.6
199907,71.3,2.2
199908,66.3,-0.6
199909,56.4,-2.4
199910,44.2,-1.0
199911,37.6,7.7
199912,21.4,5.0
200001,10.3,-0.1
200002,22.8,8.3
200003,36.4,8.2
200004,42.2,0.2
200005,56.7,2.0
200006,61.5,-3.5
200007,68.6,-0.5
200008,67.6,0.7
200009,56.6,-2.2
200010,48.2,3.0
200011,28.4,-1.5
200012,2.5,-13.9
200101,16.0,5.6
200102,6.7,-7.8
200103,24.2,-4.0
200104,43.4,1.4
200105,56.6,1.9
200106,65.1,0.1
200107,70.4,1.3
200108,69.3,2.4
200109,57.4,-1.4
200110,44.5,-0.7
200111,40.7,10.8
200112,22.3,5.9
200201,18.1,7.7
200202,23.8,9.3
200203,19.5,-8.7
200204,40.4,-1.6
200205,49.8,-4.9
200206,67.0,2.0
200207,72.2,3.1
200208,66.5,-0.4
200209,60.5,1.7
200210,37.7,-7.5
200211,27.8,-2.1
200212,21.2,4.8
200301,10.1,-0.3
200302,9.9,-4.6
200303,25.8,-2.4
200304,43.4,1.4
200305,54.3,-0.4
200306,63.6,-1.4
200307,68.8,-0.3
200308,70.2,3.3
200309,57.9,-0.9
200310,47.0,1.8
200311,26.6,-3.3
200312,20.6,4.2
200401,5.1,-5.3
200402,16.7,2.2
200403,30.9,2.7
200404,43.7,1.7
200405,51.2,-3.5
200406,60.7,-4.3
200407,66.7,-2.4
200408,60.9,-6.0
200409,62.1,3.3
200410,46.8,1.6
200411,34.0,4.1
200412,16.8,0.4
200501,7.6,-2.8
200502,20.3,5.8
200503,26.2,-2.0
200504,47.7,5.7
200505,52.4,-2.3
200506,67.4,2.4
200507,70.6,1.5
200508,66.4,-0.5
200509,61.6,2.8
200510,47.8,2.6
200511,32.2,2.3
200512,16.6,0.2
200601,24.1,13.7
200602,12.7,-1.8
200603,29.4,1.2
200604,48.8,6.8
200605,56.8,2.1
200606,65.7,0.7
200607,73.1,4.0
200608,67.7,0.8
200609,56.3,-2.5
200610,42.2,-3.0
200611,32.0,2.1
200612,23.8,7.4
200701,14.5,4.1
200702,7.7,-6.8
200703,31.7,3.5
200704,41.2,-0.8
200705,58.7,4.0
200706,67.2,2.2
200707,70.6,1.5
200708,66.5,-0.4
200709,59.2,0.4
200710,49.4,4.2
200711,30.4,0.5
200712,11.6,-4.8
200801,8.5,-1.9
200802,9.4,-5.1
200803,23.5,-4.7
200804,39.6,-2.4
200805,51.5,-3.2
200806,62.9,-2.1
200807,68.4,-0.7
200808,66.8,-0.1
200809,58.7,-0.1
200810,46.0,0.8
200811,30.8,0.9
200812,6.9,-9.5
200901,2.2,-8.2
200902,15.0,0.5
200903,26.0,-2.2
200904,41.8,-0.2
200905,53.4,-1.3
200906,62.3,-2.7
200907,64.1,-5.0
200908,64.2,-2.7
200909,62.6,3.8
200910,39.9,-5.3
200911,37.8,7.9
200912,12.0,-4.4
201001,8.8,-1.6
201002,12.8,-1.7
201003,35.8,7.6
201004,50.0,8.0
201005,56.0,1.3
201006,63.8,-1.2
201007,70.4,1.3
201008,70.2,3.3
201009,55.0,-3.8
201010,49.1,3.9
201011,30.7,0.8
201012,11.5,-4.9
201101,5.0,-5.4
201102,13.2,-1.3
201103,23.6,-4.6
201104,41.6,-0.4
201105,53.6,-1.1
201106,63.4,-1.6
201107,72.7,3.6
201108,68.2,1.3
201109,57.5,-1.3
201110,49.9,4.7
201111,32.9,3.0
201112,22.7,6.3
201201,18.4,8.0
201202,22.4,7.9
201203,41.8,13.6
201204,45.5,3.5
201205,58.3,3.6
201206,66.8,1.8
201207,74.3,5.2
201208,66.7,-0.2
201209,57.3,-1.5
201210,43.2,-2.0
201211,30.9,1.0
201212,16.8,0.4
201301,11.4,1.0
201302,13.0,-1.5
201303,20.6,-7.6
201304,34.0,-8.0
201305,53.2,-1.5
201306,63.9,-1.1
201307,69.0,-0.1
201308,67.8,0.9
201309,61.5,2.7
201310,44.9,-0.3
201311,27.6,-2.3
201312,5.0,-11.4
201401,2.3,-8.1
201402,3.8,-10.7
201403,19.6,-8.6
201404,38.4,-3.6
201405,54.3,-0.4
201406,65.0,0.0
201407,66.7,-2.4
201408,67.1,0.2
201409,58.5,-0.3
201410,46.2,1.0
201411,21.4,-8.5
201412,20.4,4.0
201501,13.7,3.3
201502,5.6,-8.9
201503,30.7,2.5
201504,44.6,2.6
201505,54.2,-0.5
201506,64.7,-0.3
201507,69.5,0.4
201508,65.9,-1.0
201509,63.8,5.0
201510,47.9,2.7
201511,36.5,6.6
201512,24.8,8.4
201601,12.6,2.2
201602,19.9,5.4
201603,35.7,7.5
201604,42.5,0.5
201605,56.7,2.0
201606,65.6,0.6
201607,69.3,0.2
201608,68.1,1.2
201609,60.7,1.9
201610,48.2,3.0
201611,40.2,10.3
201612,15.3,-1.1
201701,14.6,4.2
201702,23.9,9.4
201703,28.2,0.0
201704,44.4,2.4
