Missouri, Precipitation
Units: Inches
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,2.79,0.61
199002,4.41,2.11
199003,5.06,1.60
199004,3.67,-0.89
199005,8.99,3.50
199006,4.89,0.25
199007,3.92,-0.38
199008,2.97,-0.79
199009,2.35,-1.43
199010,3.62,0.13
199011,3.13,-0.05
199012,4.65,2.11
199101,2.02,-0.16
199102,0.71,-1.59
199103,2.76,-0.70
199104,5.38,0.82
199105,5.26,-0.23
199106,2.21,-2.43
199107,3.40,-0.90
199108,2.26,-1.50
199109,3.71,-0.07
199110,4.28,0.79
199111,4.29,1.11
199112,2.84,0.30
199201,0.98,-1.20
199202,2.07,-0.23
199203,2.91,-0.55
199204,3.53,-1.03
199205,2.43,-3.06
199206,2.93,-1.71
199207,7.13,2.83
199208,2.37,-1.39
199209,4.78,1.00
199210,1.44,-2.05
199211,7.72,4.54
199212,3.46,0.92
199301,3.26,1.08
199302,1.97,-0.33
199303,2.69,-0.77
199304,4.36,-0.20
199305,4.97,-0.52
199306,6.35,1.71
199307,8.92,4.62
199308,4.25,0.49
199309,11.31,7.53
199310,2.33,-1.16
199311,4.41,1.23
199312,1.79,-0.75
199401,1.54,-0.64
199402,2.11,-0.19
199403,2.04,-1.42
199404,9.41,4.85
199405,2.48,-3.01
199406,3.73,-0.91
199407,3.08,-1.22
199408,3.67,-0.09
199409,2.48,-1.30
199410,3.17,-0.32
199411,6.43,3.25
199412,1.94,-0.60
199501,3.13,0.95
199502,1.43,-0.87
199503,1.93,-1.53
199504,5.14,0.58
199505,9.78,4.29
199506,5.40,0.76
199507,3.89,-0.41
199508,3.49,-0.27
199509,2.33,-1.45
199510,1.81,-1.68
199511,1.67,-1.51
199512,2.05,-0.49
199601,2.48,0.30
199602,0.55,-1.75
199603,2.78,-0.68
199604,4.50,-0.06
199605,6.82,1.33
199606,3.94,-0.70
199607,4.80,0.50
199608,2.85,-0.91
199609,5.73,1.95
199610,2.94,-0.55
199611,5.15,1.97
199612,1.14,-1.40
199701,1.86,-0.32
199702,4.26,1.96
199703,3.03,-0.43
199704,3.74,-0.82
199705,5.06,-0.43
199706,4.02,-0.62
199707,2.21,-2.09
199708,4.13,0.37
199709,3.21,-0.57
199710,3.42,-0.07
199711,2.39,-0.79
199712,2.48,-0.06
199801,2.49,0.31
199802,2.96,0.66
199803,5.83,2.37
199804,4.09,-0.47
199805,3.20,-2.29
199806,7.27,2.63
199807,6.44,2.14
199808,2.38,-1.38
199809,4.65,0.87
199810,5.66,2.17
199811,3.21,0.03
199812,1.69,-0.85
199901,3.28,1.10
199902,2.27,-0.03
199903,2.75,-0.71
199904,6.01,1.45
199905,4.65,-0.84
199906,4.78,0.14
199907,1.93,-2.37
199908,2.20,-1.56
199909,2.56,-1.22
199910,1.53,-1.96
199911,1.14,-2.04
199912,3.75,1.21
200001,1.37,-0.81
200002,2.74,0.44
200003,2.55,-0.91
200004,1.23,-3.33
200005,4.16,-1.33
200006,6.94,2.30
200007,4.05,-0.25
200008,2.69,-1.07
200009,2.83,-0.95
200010,2.81,-0.68
200011,2.88,-0.30
200012,1.45,-1.09
200101,1.98,-0.20
200102,4.39,2.09
200103,1.71,-1.75
200104,2.97,-1.59
200105,5.50,0.01
200106,5.91,1.27
200107,4.87,0.57
200108,2.98,-0.78
200109,3.48,-0.30
200110,4.36,0.87
200111,2.55,-0.63
200112,2.91,0.37
200201,2.64,0.46
200202,1.42,-0.88
200203,3.51,0.05
200204,4.60,0.04
200205,9.60,4.11
200206,2.95,-1.69
200207,3.11,-1.19
200208,3.74,-0.02
200209,1.94,-1.84
200210,3.54,0.05
200211,0.84,-2.34
200212,2.32,-0.22
200301,0.59,-1.59
200302,2.46,0.16
200303,2.30,-1.16
200304,4.04,-0.52
200305,4.90,-0.59
200306,4.72,0.08
200307,2.47,-1.83
200308,3.74,-0.02
200309,5.19,1.41
200310,2.24,-1.25
200311,4.08,0.90
200312,3.30,0.76
200401,2.16,-0.02
200402,0.93,-1.37
200403,4.98,1.52
200404,3.43,-1.13
200405,5.65,0.16
200406,3.47,-1.17
200407,5.65,1.35
200408,5.21,1.45
200409,1.14,-2.64
200410,4.76,1.27
200411,5.71,2.53
200412,1.44,-1.10
200501,4.94,2.76
200502,2.37,0.07
200503,1.62,-1.84
200504,3.35,-1.21
200505,2.16,-3.33
200506,3.90,-0.74
200507,2.92,-1.38
200508,5.54,1.78
200509,3.94,0.16
200510,1.71,-1.78
200511,3.13,-0.05
200512,0.83,-1.71
200601,2.09,-0.09
200602,0.53,-1.77
200603,3.84,0.38
200604,3.74,-0.82
200605,3.62,-1.87
