Missouri, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,39.3,8.2
199002,39.7,4.4
199003,46.9,1.6
199004,53.6,-1.7
199005,60.7,-3.8
199006,73.9,0.3
199007,76.5,-1.0
199008,75.0,-0.9
199009,71.1,2.7
199010,54.9,-1.8
199011,50.1,5.2
199012,32.7,-2.3
199101,26.5,-4.6
199102,39.9,4.6
199103,48.2,2.9
199104,57.8,2.5
199105,69.1,4.6
199106,75.4,1.8
199107,78.1,0.6
199108,76.3,0.4
199109,67.6,-0.8
199110,57.6,0.9
199111,39.0,-5.9
199112,37.3,2.3
199201,35.4,4.3
199202,41.1,5.8
199203,47.0,1.7
199204,54.8,-0.5
199205,62.3,-2.2
199206,69.9,-3.7
199207,75.6,-1.9
199208,69.9,-6.0
199209,65.9,-2.5
199210,56.1,-0.6
199211,42.0,-2.9
199212,34.2,-0.8
199301,29.6,-1.5
199302,30.7,-4.6
199303,40.6,-4.7
199304,51.2,-4.1
199305,63.4,-1.1
199306,72.0,-1.6
199307,78.4,0.9
199308,77.4,1.5
199309,63.3,-5.1
199310,53.5,-3.2
199311,40.4,-4.5
199312,35.2,0.2
199401,26.2,-4.9
199402,32.5,-2.8
199403,45.6,0.3
199404,55.5,0.2
199405,62.3,-2.2
199406,75.1,1.5
199407,75.2,-2.3
199408,73.7,-2.2
199409,65.8,-2.6
199410,58.0,1.3
199411,48.1,3.2
199412,38.2,3.2
199501,29.4,-1.7
199502,36.0,0.7
199503,46.2,0.9
199504,53.6,-1.7
199505,60.9,-3.6
199506,71.6,-2.0
199507,77.1,-0.4
199508,79.9,4.0
199509,64.8,-3.6
199510,57.4,0.7
199511,40.5,-4.4
199512,32.8,-2.2
199601,27.7,-3.4
199602,35.4,0.1
199603,38.2,-7.1
199604,52.3,-3.0
199605,65.7,1.2
199606,72.8,-0.8
199607,74.9,-2.6
199608,74.8,-1.1
199609,64.8,-3.6
199610,56.6,-0.1
199611,38.1,-6.8
199612,34.0,-1.0
199701,26.4,-4.7
199702,37.4,2.1
199703,47.0,1.7
199704,50.0,-5.3
199705,59.8,-4.7
199706,71.5,-2.1
199707,77.7,0.2
199708,73.8,-2.1
199709,68.4,0.0
199710,56.9,0.2
199711,41.2,-3.7
199712,34.1,-0.9
199801,35.3,4.2
199802,41.2,5.9
199803,41.1,-4.2
199804,54.0,-1.3
199805,69.2,4.7
199806,73.6,0.0
199807,78.0,0.5
199808,76.8,0.9
199809,73.4,5.0
199810,58.6,1.9
199811,48.4,3.5
199812,36.4,1.4
199901,30.6,-0.5
199902,42.4,7.1
199903,42.3,-3.0
199904,56.9,1.6
199905,63.8,-0.7
199906,72.6,-1.0
199907,80.0,2.5
199908,75.6,-0.3
199909,66.5,-1.9
199910,56.9,0.2
199911,52.0,7.1
199912,36.8,1.8
200001,33.0,1.9
200002,42.2,6.9
200003,48.2,2.9
200004,54.4,-0.9
200005,67.2,2.7
200006,71.2,-2.4
200007,76.1,-1.4
200008,79.5,3.6
200009,69.0,0.6
200010,60.1,3.4
200011,39.8,-5.1
200012,21.1,-13.9
200101,29.4,-1.7
200102,34.3,-1.0
200103,40.1,-5.2
200104,60.5,5.2
200105,65.9,1.4
200106,71.7,-1.9
200107,78.9,1.4
200108,77.2,1.3
200109,66.3,-2.1
200110,55.8,-0.9
200111,51.1,6.2
200112,38.5,3.5
200201,35.1,4.0
200202,37.3,2.0
200203,40.5,-4.8
200204,57.3,2.0
200205,61.4,-3.1
200206,74.7,1.1
200207,79.0,1.5
200208,76.9,1.0
200209,70.8,2.4
200210,53.1,-3.6
200211,42.0,-2.9
200212,35.7,0.7
200301,27.4,-3.7
200302,31.2,-4.1
200303,44.6,-0.7
200304,56.7,1.4
200305,63.5,-1.0
200306,69.2,-4.4
200307,78.1,0.6
200308,78.8,2.9
200309,64.8,-3.6
200310,57.2,0.5
