Missouri, Palmer Z-Index
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,0.18,-0.19
199002,3.21,2.80
199003,1.88,1.82
199004,0.08,-0.77
199005,5.00,4.19
199006,0.29,0.23
199007,0.85,-0.08
199008,-0.21,-0.59
199009,-1.63,-1.70
199010,0.45,0.09
199011,-0.34,-0.63
199012,2.89,2.69
199101,0.46,0.09
199102,-1.94,-2.35
199103,-1.11,-1.17
199104,1.43,0.58
199105,-0.14,-0.95
199106,-2.45,-2.51
199107,-0.65,-1.58
199108,-1.93,-2.31
199109,-0.51,-0.58
199110,0.57,0.21
199111,1.35,1.06
199112,0.93,0.73
199201,-0.92,-1.29
199202,-0.18,-0.59
199203,-0.78,-0.84
199204,-0.24,-1.09
199205,-1.99,-2.80
199206,-1.13,-1.19
199207,3.98,3.05
199208,-0.12,-0.50
199209,1.53,1.46
199210,-1.21,-1.57
199211,5.44,5.15
199212,1.87,1.67
199301,1.96,1.59
199302,0.27,-0.14
199303,-0.36,-0.42
199304,1.19,0.34
199305,0.46,-0.35
199306,1.92,1.86
199307,6.15,5.22
199308,1.45,1.07
199309,8.40,8.33
199310,0.34,-0.02
199311,2.90,2.61
199312,-0.17,-0.37
199401,-0.12,-0.49
199402,0.46,0.05
199403,-1.69,-1.75
199404,6.36,5.51
199405,-1.94,-2.75
199406,-1.04,-1.10
199407,-0.44,-1.37
199408,0.13,-0.25
199409,-1.18,-1.25
199410,-0.47,-0.83
199411,2.76,2.47
199412,-0.16,-0.36
199501,1.81,1.44
199502,-0.65,-1.06
199503,-1.89,-1.95
199504,1.76,0.91
199505,5.78,4.97
199506,1.07,1.01
199507,0.78,-0.15
199508,-0.09,-0.47
199509,-0.98,-1.05
199510,-1.65,-2.01
199511,-1.66,-1.95
199512,-1.05,-1.25
199601,0.42,0.05
199602,-1.84,-2.25
199603,-0.03,-0.09
199604,1.21,0.36
199605,2.01,1.20
199606,-0.46,-0.52
199607,1.90,0.97
199608,-0.20,-0.58
199609,2.34,2.27
199610,0.38,0.02
199611,3.66,3.37
199612,-0.89,-1.09
199701,0.27,-0.10
199702,3.18,2.77
199703,-0.63,-0.69
199704,0.64,-0.21
199705,1.09,0.28
199706,-0.22,-0.28
199707,-1.17,-2.10
199708,0.61,0.23
199709,-0.72,-0.79
199710,-0.02,-0.38
199711,-0.61,-0.90
199712,0.03,-0.17
199801,0.91,0.54
199802,1.07,0.66
199803,3.46,3.40
199804,0.51,-0.34
199805,-2.28,-3.09
199806,2.45,2.39
199807,3.47,2.54
199808,-0.55,-0.93
199809,0.61,0.54
199810,2.70,2.34
199811,1.07,0.78
199812,-0.35,-0.55
199901,1.99,1.62
199902,0.00,-0.41
199903,-0.45,-0.51
199904,2.28,1.43
199905,0.07,-0.74
199906,0.36,0.30
199907,-1.80,-2.73
199908,-1.84,-2.22
199909,-1.44,-1.51
199910,-2.31,-2.67
199911,-3.82,-4.11
199912,-0.39,-0.59
200001,-1.65,-2.02
200002,-0.39,-0.80
200003,-1.37,-1.43
200004,-2.81,-3.66
200005,-1.41,-2.22
200006,2.53,2.47
200007,1.06,0.13
200008,-0.82,-1.20
200009,-1.04,-1.11
200010,-0.98,-1.34
200011,-0.31,-0.60
200012,-1.22,-1.42
200101,0.17,-0.20
200102,3.55,3.14
200103,-1.51,-1.57
200104,-1.72,-2.57
200105,0.62,-0.19
200106,1.55,1.49
200107,1.65,0.72
200108,-0.18,-0.56
200109,0.05,-0.02
200110,1.43,1.07
200111,-0.31,-0.60
200112,0.98,0.78
200201,1.11,0.74
200202,-0.75,-1.16
200203,0.66,0.60
200204,0.62,-0.23
200205,5.52,4.71
200206,-1.65,-1.71
200207,-0.82,-1.75
200208,-0.33,-0.71
200209,-2.40,-2.47
200210,0.25,-0.11
200211,-2.51,-2.80
200212,-1.09,-1.29
200301,-2.08,-2.45
200302,0.16,-0.25
200303,-1.25,-1.31
200304,0.07,-0.78
200305,0.37,-0.44
200306,0.73,0.67
200307,-0.89,-1.82
200308,-0.16,-0.54
200309,1.59,1.52
200310,-0.75,-1.11
200311,1.15,0.86
200312,1.58,1.38
200401,0.63,0.26
200402,-1.20,-1.61
200403,1.60,1.54
200404,-0.56,-1.41
200405,0.60,-0.21
200406,-0.65,-0.71
200407,2.86,1.93
200408,3.01,2.63
200409,-1.67,-1.74
200410,1.75,1.39
200411,3.55,3.26
200412,-0.56,-0.76
200501,3.97,3.60
200502,0.35,-0.06
200503,-1.96,-2.02
200504,-0.73,-1.58
200505,-2.40,-3.21
200506,-0.96,-1.02
200507,-1.04,-1.97
200508,1.46,1.08
200509,-0.49,-0.56
200510,-1.86,-2.22
200511,-0.93,-1.22
200512,-2.39,-2.59
200601,-0.97,-1.34
200602,-2.22,-2.63
200603,0.39,0.33
200604,-0.91,-1.76
200605,-1.11,-1.92
200606,-1.34,-1.40
200607,-0.24,-1.17
200608,0.42,0.04
200609,-0.72,-0.79
200610,0.61,0.25
200611,0.35,0.06
200612,0.92,0.72
200701,1.48,1.11
200702,0.83,0.42
200703,-1.84,-1.90
200704,0.38,-0.47
200705,-0.13,-0.94
200706,0.57,0.51
200707,-0.83,-1.76
200708,-1.12,-1.50
200709,-1.30,-1.37
200710,0.03,-0.33
200711,-2.36,-2.65
200712,1.07,0.87
200801,-0.15,-0.52
200802,3.74,3.33
200803,4.45,4.39
200804,3.61,2.76
200805,1.07,0.26
200806,2.33,2.27
200807,3.52,2.59
200808,-0.08,-0.46
200809,4.77,4.70
200810,0.32,-0.04
200811,-0.20,-0.49
200812,1.55,1.35
200901,-0.91,-1.28
200902,-0.18,-0.59
200903,0.58,0.52
200904,1.89,1.04
200905,1.31,0.50
200906,1.04,0.98
200907,1.86,0.93
200908,2.43,2.05
200909,0.98,0.91
200910,8.43,8.07
200911,-0.02,-0.31
200912,1.35,1.15
201001,0.58,0.21
201002,-0.06,-0.47
201003,-0.01,-0.07
201004,-0.62,-1.47
201005,2.14,1.33
201006,-0.26,-0.32
201007,3.59,2.66
201008,-0.74,-1.12
201009,3.92,3.85
201010,-1.85,-2.21
201011,0.58,0.29
201012,-1.12,-1.32
201101,-0.75,-1.12
201102,2.39,1.98
201103,0.13,0.07
201104,4.11,3.26
201105,1.98,1.17
201106,-0.73,-0.79
201107,-1.77,-2.70
201108,-0.49,-0.87
201109,-1.24,-1.31
201110,-2.68,-3.04
201111,1.27,0.98
201112,1.36,1.16
201201,-0.58,-0.95
201202,0.25,-0.16
201203,-0.77,-0.83
201204,-0.62,-1.47
201205,-3.40,-4.21
201206,-3.00,-3.06
201207,-4.10,-5.03
201208,-2.46,-2.84
201209,0.34,0.27
201210,-0.22,-0.58
201211,-2.20,-2.49
201212,-2.06,-2.26
201301,0.82,0.45
201302,1.88,1.47
201303,0.82,0.76
201304,3.18,2.33
201305,2.38,1.57
201306,0.00,-0.06
201307,0.07,-0.86
201308,0.85,0.47
201309,-1.38,-1.45
201310,0.39,0.03
201311,-0.33,-0.62
201312,0.39,0.19
201401,-0.67,-1.04
201402,-0.77,-1.18
201403,-1.47,-1.53
201404,1.49,0.64
201405,-1.67,-2.48
201406,1.41,1.35
201407,-0.17,-1.10
201408,1.10,0.72
201409,0.42,0.35
201410,3.35,2.99
201411,0.29,0.00
201412,0.24,0.04
201501,-0.55,-0.92
201502,-0.10,-0.51
201503,-0.08,-0.14
201504,-0.66,-1.51
201505,2.64,1.83
201506,2.58,2.52
201507,5.17,4.24
201508,1.53,1.15
201509,-1.05,-1.12
201510,-1.55,-1.91
201511,4.65,4.36
201512,6.36,6.16
201601,-0.90,-1.27
201602,-1.46,-1.87
201603,-1.12,-1.18
201604,-0.40,-1.25
201605,1.40,0.59
201606,-2.44,-2.50
201607,2.79,1.86
201608,3.40,3.02
201609,0.78,0.71
201610,-1.03,-1.39
201611,-1.74,-2.03
201612,-1.39,-1.59
201701,-0.15,-0.52
201702,-2.60,-3.01
201703,0.21,0.15
201704,6.10,5.25
201705,1.38,0.57
201706,-0.20,-0.26
201707,0.00,-0.93
201708,2.16,1.78
201709,-2.64,-2.71
201710,0.12,-0.24
201711,-2.47,-2.76
201712,-2.39,-2.59
201801,-1.13,-1.50
201802,3.57,3.16
201803,0.64,0.58
201804,-1.08,-1.93
201805,-1.82,-2.63
201806,-1.38,-1.44
201807,-1.61,-2.54
201808,1.64,1.26
201809,-0.88,-0.95
201810,1.25,0.89
201811,0.24,-0.05
201812,1.85,1.65
201901,1.70,1.33
201902,2.51,2.10
201903,1.47,1.41
201904,-0.55,-1.40
201905,5.79,4.98
201906,1.27,1.21
201907,1.37,0.44
201908,3.49,3.11
201909,-0.33,-0.40
201910,2.61,2.25
201911,1.33,1.04
201912,-0.53,-0.73
202001,3.28,2.91
202002,0.88,0.47
202003,2.19,2.13
202004,0.51,-0.34
202005,2.00,1.19
202006,-1.05,-1.11
202007,2.26,1.33
202008,-0.20,-0.58
202009,-0.49,-0.56
202010,0.80,0.44
202011,-0.05,-0.34
202012,-0.65,-0.85
202101,2.01,1.64
202102,-0.87,-1.28
202103,1.74,1.68
202104,0.77,-0.08
202105,0.65,-0.16
202106,0.82,0.76
202107,1.89,0.96
202108,-0.08,-0.46
202109,-1.56,-1.63
202110,2.35,1.99
202111,-1.35,-1.64
202112,-0.65,-0.85
202201,0.08,-0.29
