Mississippi, Precipitation
Units: Inches
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,9.15,3.68
199002,9.17,3.71
199003,6.07,0.48
199004,3.99,-1.67
199005,6.67,1.91
199006,3.82,-1.04
199007,3.07,-1.96
199008,1.76,-2.71
199009,2.41,-1.40
199010,2.42,-1.39
199011,3.87,-0.38
199012,8.57,2.94
199101,6.15,0.68
199102,7.98,2.52
199103,6.12,0.53
199104,14.36,8.70
199105,10.57,5.81
199106,4.10,-0.76
199107,3.65,-1.38
199108,3.77,-0.70
199109,4.03,0.22
199110,2.46,-1.35
199111,3.56,-0.69
199112,7.15,1.52
199201,5.23,-0.24
199202,4.99,-0.47
199203,4.69,-0.90
199204,3.22,-2.44
199205,1.76,-3.00
199206,6.75,1.89
199207,4.93,-0.10
199208,7.06,2.59
199209,3.20,-0.61
199210,1.84,-1.97
199211,7.38,3.13
199212,4.96,-0.67
199301,6.57,1.10
199302,3.39,-2.07
199303,5.31,-0.28
199304,5.29,-0.37
199305,5.19,0.43
199306,4.40,-0.46
199307,4.12,-0.91
199308,4.34,-0.13
199309,3.27,-0.54
199310,4.02,0.21
199311,4.84,0.59
199312,4.34,-1.29
199401,7.11,1.64
199402,5.14,-0.32
199403,6.53,0.94
199404,4.42,-1.24
199405,4.18,-0.58
199406,6.22,1.36
199407,7.70,2.67
199408,2.27,-2.20
199409,2.95,-0.86
199410,5.57,1.76
199411,3.69,-0.56
199412,4.71,-0.92
199501,5.02,-0.45
199502,3.74,-1.72
199503,7.46,1.87
199504,7.49,1.83
199505,5.25,0.49
199506,2.92,-1.94
199507,4.87,-0.16
199508,3.93,-0.54
199509,1.76,-2.05
199510,3.93,0.12
199511,4.87,0.62
199512,6.21,0.58
199601,5.99,0.52
199602,2.82,-2.64
199603,5.88,0.29
199604,5.70,0.04
199605,2.29,-2.47
199606,4.74,-0.12
199607,4.91,-0.12
199608,4.61,0.14
199609,4.48,0.67
199610,3.28,-0.53
199611,4.34,0.09
199612,5.08,-0.55
199701,6.48,1.01
199702,7.30,1.84
199703,5.35,-0.24
199704,7.09,1.43
199705,7.10,2.34
199706,7.34,2.48
199707,4.11,-0.92
199708,3.46,-1.01
199709,2.58,-1.23
199710,4.59,0.78
199711,4.27,0.02
199712,5.18,-0.45
199801,9.29,3.82
199802,6.00,0.54
199803,5.75,0.16
199804,5.35,-0.31
199805,2.29,-2.47
199806,2.38,-2.48
199807,6.49,1.46
199808,3.07,-1.40
199809,4.77,0.96
199810,1.54,-2.27
199811,3.78,-0.47
199812,6.34,0.71
199901,9.67,4.20
199902,2.16,-3.30
199903,6.59,1.00
199904,3.45,-2.21
199905,3.77,-0.99
199906,5.05,0.19
199907,3.83,-1.20
199908,1.89,-2.58
199909,2.60,-1.21
199910,3.15,-0.66
199911,1.99,-2.26
199912,3.75,-1.88
200001,3.14,-2.33
200002,1.88,-3.58
200003,5.15,-0.44
200004,6.73,1.07
200005,2.36,-2.40
200006,4.51,-0.35
200007,1.88,-3.15
200008,1.95,-2.52
200009,2.67,-1.14
200010,0.99,-2.82
200011,9.17,4.92
200012,4.21,-1.42
200101,5.91,0.44
200102,5.71,0.25
200103,7.71,2.12
200104,3.48,-2.18
200105,3.29,-1.47
200106,6.58,1.72
200107,4.50,-0.53
200108,5.86,1.39
200109,5.06,1.25
200110,5.61,1.80
200111,6.59,2.34
200112,5.98,0.35
