Montana, Precipitation
Units: Inches
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,1.55,0.39
199002,0.70,-0.34
199003,1.15,-0.08
199004,1.64,-0.14
199005,2.78,0.14
199006,1.73,-1.06
199007,1.39,-0.11
199008,1.69,0.43
199009,0.22,-1.10
199010,1.35,-0.17
199011,1.50,0.24
199012,1.20,-0.01
199101,1.06,-0.10
199102,0.67,-0.37
199103,1.41,0.18
199104,2.75,0.97
199105,3.09,0.45
199106,4.29,1.50
199107,0.76,-0.74
199108,0.96,-0.30
199109,1.73,0.41
199110,0.89,-0.63
199111,1.60,0.34
199112,0.85,-0.36
199201,0.74,-0.42
199202,0.49,-0.55
199203,0.82,-0.41
199204,2.02,0.24
199205,1.44,-1.20
199206,3.51,0.72
199207,2.46,0.96
199208,1.16,-0.10
199209,1.11,-0.21
199210,1.27,-0.25
199211,1.18,-0.08
199212,1.31,0.10
199301,1.07,-0.09
199302,0.75,-0.29
199303,1.13,-0.10
199304,1.95,0.17
199305,1.91,-0.73
199306,3.72,0.93
199307,5.55,4.05
199308,2.39,1.13
199309,1.03,-0.29
199310,1.34,-0.18
199311,0.86,-0.40
199312,0.80,-0.41
199401,1.10,-0.06
199402,1.04,0.00
199403,0.66,-0.57
199404,1.91,0.13
199405,1.93,-0.71
199406,2.39,-0.40
199407,1.17,-0.33
199408,0.42,-0.84
199409,0.65,-0.67
199410,2.55,1.03
199411,1.29,0.03
199412,0.94,-0.27
199501,0.96,-0.20
199502,0.81,-0.23
199503,1.65,0.42
199504,1.90,0.12
199505,2.79,0.15
199506,3.74,0.95
199507,2.50,1.00
199508,1.31,0.05
199509,1.25,-0.07
199510,1.88,0.36
199511,2.00,0.74
199512,1.23,0.02
199601,1.86,0.70
199602,1.37,0.33
199603,1.41,0.18
199604,1.61,-0.17
199605,3.60,0.96
199606,1.78,-1.01
199607,0.76,-0.74
199608,0.54,-0.72
199609,1.82,0.50
199610,1.11,-0.41
199611,1.96,0.70
199612,2.78,1.57
199701,1.60,0.44
199702,0.86,-0.18
199703,1.51,0.28
199704,1.78,0.00
199705,2.43,-0.21
199706,3.00,0.21
199707,2.79,1.29
199708,1.60,0.34
199709,1.00,-0.32
199710,1.54,0.02
199711,0.75,-0.51
199712,0.58,-0.63
199801,1.40,0.24
199802,0.60,-0.44
199803,1.46,0.23
199804,1.33,-0.45
199805,2.13,-0.51
199806,4.02,1.23
199807,1.88,0.38
199808,1.22,-0.04
199809,1.02,-0.30
199810,1.61,0.09
199811,1.92,0.66
199812,1.66,0.45
199901,1.45,0.29
199902,1.38,0.34
199903,0.77,-0.46
199904,1.75,-0.03
199905,2.36,-0.28
199906,2.56,-0.23
199907,1.05,-0.45
199908,1.84,0.58
199909,1.07,-0.25
199910,0.99,-0.53
199911,1.19,-0.07
199912,1.03,-0.18
200001,1.19,0.03
200002,1.26,0.22
200003,1.00,-0.23
200004,1.28,-0.50
200005,2.09,-0.55
200006,2.09,-0.70
200007,1.64,0.14
200008,0.38,-0.88
200009,1.54,0.22
200010,1.35,-0.17
200011,0.98,-0.28
200012,0.87,-0.34
200101,0.51,-0.65
200102,0.82,-0.22
200103,0.83,-0.40
200104,1.72,-0.06
200105,0.83,-1.81
200106,3.83,1.04
200107,2.48,0.98
200108,0.21,-1.05
200109,0.92,-0.40
200110,1.29,-0.23
200111,0.71,-0.55
200112,0.79,-0.42
200201,1.26,0.10
200202,0.98,-0.06
200203,1.48,0.25
200204,1.25,-0.53
200205,2.04,-0.60
200206,3.37,0.58
200207,1.41,-0.09
200208,1.89,0.63
200209,1.37,0.05
200210,0.68,-0.84
200211,0.66,-0.60
200212,0.78,-0.43
200301,1.37,0.21
200302,1.21,0.17
200303,2.10,0.87
200304,2.03,0.25
200305,2.33,-0.31
200306,2.18,-0.61
200307,0.50,-1.00
200308,0.71,-0.55
200309,1.08,-0.24
200310,1.33,-0.19
200311,1.15,-0.11
200312,1.40,0.19
200401,1.30,0.14
200402,0.72,-0.32
200403,0.64,-0.59
200404,1.15,-0.63
200405,3.00,0.36
200406,2.03,-0.76
200407,1.48,-0.02
200408,1.97,0.71
200409,1.53,0.21
200410,1.49,-0.03
200411,0.60,-0.66
200412,0.93,-0.28
200501,0.79,-0.37
200502,0.27,-0.77
200503,1.46,0.23
200504,1.94,0.16
200505,2.72,0.08
200506,4.80,2.01
200507,0.67,-0.83
200508,1.24,-0.02
200509,1.30,-0.02
200510,1.93,0.41
200511,1.66,0.40
200512,1.23,0.02
200601,1.40,0.24
200602,0.91,-0.13
200603,1.25,0.02
200604,2.68,0.90
200605,1.80,-0.84
200606,2.35,-0.44
200607,0.59,-0.91
200608,0.82,-0.44
200609,1.92,0.60
200610,1.94,0.42
200611,1.71,0.45
200612,0.87,-0.34
200701,0.72,-0.44
200702,1.42,0.38
200703,1.16,-0.07
200704,1.78,0.00
200705,4.05,1.41
200706,2.09,-0.70
200707,0.83,-0.67
200708,0.74,-0.52
200709,1.46,0.14
200710,1.61,0.09
200711,0.92,-0.34
200712,1.19,-0.02
200801,1.26,0.10
200802,1.08,0.04
200803,0.93,-0.30
200804,0.98,-0.80
200805,4.05,1.41
200806,2.85,0.06
200807,1.05,-0.45
200808,1.16,-0.10
200809,1.62,0.30
200810,1.32,-0.20
200811,1.37,0.11
200812,1.81,0.60
200901,1.34,0.18
200902,0.74,-0.30
200903,1.72,0.49
200904,1.94,0.16
200905,1.34,-1.30
200906,2.15,-0.64
200907,2.03,0.53
200908,1.86,0.60
200909,0.55,-0.77
200910,2.17,0.65
200911,0.56,-0.70
200912,1.05,-0.16
201001,1.08,-0.08
201002,0.50,-0.54
201003,0.74,-0.49
201004,2.08,0.30
201005,3.93,1.29
201006,3.66,0.87
201007,1.51,0.01
201008,2.18,0.92
201009,1.87,0.55
201010,0.91,-0.61
201011,1.92,0.66
201012,1.61,0.40
201101,1.77,0.61
201102,1.37,0.33
201103,1.62,0.39
201104,2.52,0.74
201105,5.70,3.06
201106,3.36,0.57
201107,1.39,-0.11
201108,0.77,-0.49
201109,0.47,-0.85
201110,1.99,0.47
201111,1.08,-0.18
201112,0.81,-0.40
201201,1.23,0.07
201202,0.95,-0.09
201203,1.60,0.37
201204,1.98,0.20
201205,2.42,-0.22
201206,2.01,-0.78
201207,1.29,-0.21
201208,0.57,-0.69
201209,0.17,-1.15
201210,1.82,0.30
201211,1.45,0.19
201212,1.32,0.11
201301,1.05,-0.11
201302,0.55,-0.49
201303,0.91,-0.32
201304,1.50,-0.28
201305,4.15,1.51
201306,3.12,0.33
201307,1.19,-0.31
201308,1.46,0.20
201309,2.53,1.21
201310,1.19,-0.33
201311,0.91,-0.35
201312,1.46,0.25
201401,1.21,0.05
201402,1.71,0.67
201403,2.26,1.03
201404,1.47,-0.31
201405,1.92,-0.72
201406,3.20,0.41
201407,0.69,-0.81
201408,3.70,2.44
201409,1.20,-0.12
201410,0.96,-0.56
201411,1.98,0.72
201412,1.30,0.09
201501,1.18,0.02
201502,0.90,-0.14
201503,0.99,-0.24
201504,1.08,-0.70
201505,2.43,-0.21
201506,1.77,-1.02
201507,1.88,0.38
201508,1.01,-0.25
201509,1.29,-0.03
201510,1.40,-0.12
201511,1.34,0.08
201512,1.61,0.40
201601,0.91,-0.25
201602,0.85,-0.19
201603,1.37,0.14
201604,2.33,0.55
201605,3.10,0.46
201606,1.53,-1.26
201607,2.07,0.57
201608,1.04,-0.22
201609,2.47,1.15
201610,3.36,1.84
201611,0.65,-0.61
201612,1.49,0.28
201701,0.91,-0.25
201702,1.72,0.68
201703,1.84,0.61
201704,2.13,0.35
201705,1.54,-1.10
201706,1.72,-1.07
201707,0.43,-1.07
201708,0.37,-0.89
201709,2.10,0.78
201710,1.16,-0.36
201711,1.70,0.44
201712,1.81,0.60
201801,1.16,0.00
201802,2.12,1.08
201803,1.44,0.21
201804,2.17,0.39
201805,2.80,0.16
201806,3.62,0.83
201807,0.76,-0.74
201808,1.05,-0.21
201809,1.09,-0.23
201810,1.34,-0.18
201811,1.44,0.18
201812,0.99,-0.22
201901,1.04,-0.12
201902,1.92,0.88
201903,0.63,-0.60
201904,2.18,0.40
201905,2.67,0.03
201906,2.56,-0.23
201907,2.03,0.53
201908,1.53,0.27
201909,3.58,2.26
201910,1.36,-0.16
201911,1.12,-0.14
201912,0.79,-0.42
202001,1.20,0.04
202002,1.22,0.18
202003,0.94,-0.29
202004,1.15,-0.63
202005,2.48,-0.16
202006,3.43,0.64
202007,1.08,-0.42
202008,0.47,-0.79
202009,0.94,-0.38
202010,2.07,0.55
202011,1.23,-0.03
202012,0.68,-0.53
202101,0.75,-0.41
202102,1.40,0.36
202103,0.58,-0.65
202104,1.00,-0.78
202105,2.48,-0.16
202106,0.83,-1.96
202107,0.65,-0.85
202108,2.04,0.78
202109,0.44,-0.88
202110,1.49,-0.03
202111,0.98,-0.28
202112,1.66,0.45
202201,0.97,-0.19
