Montana, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,25.6,4.2
199002,23.8,0.6
199003,33.4,0.8
199004,42.3,1.1
199005,48.8,-1.6
199006,58.9,0.0
199007,65.6,-1.2
199008,66.1,0.7
199009,60.3,4.4
199010,42.6,-0.3
199011,33.1,2.2
199012,13.2,-8.5
199101,15.6,-5.8
199102,33.9,10.7
199103,32.1,-0.5
199104,40.6,-0.6
199105,49.8,-0.6
199106,58.2,-0.7
199107,66.3,-0.5
199108,68.6,3.2
199109,55.6,-0.3
199110,40.4,-2.5
199111,27.2,-3.7
199112,27.0,5.3
199201,28.0,6.6
199202,32.3,9.1
199203,38.7,6.1
199204,43.8,2.6
199205,53.5,3.1
199206,60.9,2.0
199207,59.9,-6.9
199208,61.4,-4.0
199209,53.4,-2.5
199210,44.7,1.8
199211,29.7,-1.2
199212,15.4,-6.3
199301,12.2,-9.2
199302,15.1,-8.1
199303,34.4,1.8
199304,41.5,0.3
199305,53.7,3.3
199306,55.8,-3.1
199307,57.2,-9.6
199308,59.7,-5.7
199309,51.6,-4.3
199310,43.0,0.1
199311,25.2,-5.7
199312,26.3,4.6
199401,20.8,-0.6
199402,15.2,-8.0
199403,35.9,3.3
199404,42.6,1.4
199405,53.6,3.2
199406,59.3,0.4
199407,65.9,-0.9
199408,66.6,1.2
199409,58.6,2.7
199410,42.5,-0.4
199411,27.5,-3.4
199412,23.9,2.2
199501,22.4,1.0
199502,27.8,4.6
199503,29.9,-2.7
199504,38.0,-3.2
199505,48.4,-2.0
199506,57.9,-1.0
199507,64.1,-2.7
199508,64.4,-1.0
199509,54.5,-1.4
199510,41.3,-1.6
199511,31.4,0.5
199512,20.8,-0.9
199601,11.3,-10.1
199602,23.1,-0.1
199603,24.2,-8.4
199604,41.7,0.5
199605,45.9,-4.5
199606,60.5,1.6
199607,66.0,-0.8
199608,66.5,1.1
199609,52.6,-3.3
199610,41.8,-1.1
199611,22.3,-8.6
199612,15.0,-6.7
199701,14.3,-7.1
199702,26.0,2.8
199703,31.8,-0.8
199704,36.0,-5.2
199705,51.0,0.6
199706,60.6,1.7
199707,64.4,-2.4
199708,64.8,-0.6
199709,58.1,2.2
199710,43.4,0.5
199711,30.4,-0.5
199712,25.8,4.1
199801,19.0,-2.4
199802,30.4,7.2
199803,28.9,-3.7
199804,43.7,2.5
199805,52.7,2.3
199806,54.4,-4.5
199807,69.1,2.3
199808,68.1,2.7
199809,61.4,5.5
199810,44.2,1.3
199811,33.1,2.2
199812,21.2,-0.5
199901,22.2,0.8
199902,30.2,7.0
199903,35.2,2.6
199904,40.0,-1.2
199905,48.7,-1.7
199906,57.0,-1.9
199907,64.0,-2.8
199908,66.4,1.0
199909,51.6,-4.3
199910,44.7,1.8
199911,39.0,8.1
199912,29.5,7.8
200001,22.1,0.7
200002,26.9,3.7
200003,35.5,2.9
200004,43.2,2.0
200005,51.5,1.1
200006,58.0,-0.9
200007,68.4,1.6
200008,66.8,1.4
200009,54.4,-1.5
200010,43.5,0.6
200011,22.1,-8.8
200012,15.8,-5.9
200101,24.6,3.2
200102,16.5,-6.7
200103,33.8,1.2
200104,41.1,-0.1
200105,53.3,2.9
200106,58.4,-0.5
200107,67.1,0.3
200108,68.9,3.5
200109,58.7,2.8
200110,42.7,-0.2
200111,36.3,5.4
200112,22.4,0.7
200201,22.7,1.3
200202,26.4,3.2
200203,19.8,-12.8
200204,37.6,-3.6
200205,47.5,-2.9
200206,59.5,0.6
200207,69.6,2.8
200208,61.3,-4.1
200209,55.7,-0.2
200210,36.6,-6.3
200211,33.8,2.9
200212,26.8,5.1
200301,24.7,3.3
200302,21.4,-1.8
200303,29.8,-2.8
200304,44.1,2.9
200305,50.1,-0.3
200306,58.4,-0.5
200307,70.3,3.5
200308,70.0,4.6
200309,54.6,-1.3
200310,47.5,4.6
200311,24.0,-6.9
200312,25.1,3.4
200401,17.0,-4.4
200402,24.1,0.9
200403,37.5,4.9
200404,44.3,3.1
200405,48.1,-2.3
200406,56.1,-2.8
200407,66.1,-0.7
200408,62.4,-3.0
200409,54.1,-1.8
200410,43.1,0.2
200411,33.6,2.7
200412,27.4,5.7
200501,18.1,-3.3
200502,28.9,5.7
200503,34.6,2.0
200504,42.7,1.5
200505,49.0,-1.4
200506,57.7,-1.2
200507,67.6,0.8
200508,63.9,-1.5
200509,55.4,-0.5
200510,45.1,2.2
200511,33.2,2.3
200512,20.5,-1.2
200601,31.4,10.0
200602,23.4,0.2
200603,30.6,-2.0
200604,44.9,3.7
200605,52.9,2.5
200606,61.6,2.7
200607,71.2,4.4
200608,65.5,0.1
200609,54.8,-1.1
200610,40.4,-2.5
200611,30.3,-0.6
200612,25.5,3.8
200701,21.8,0.4
200702,22.0,-1.2
200703,38.9,6.3
200704,40.9,-0.3
200705,52.1,1.7
200706,60.7,1.8
200707,73.3,6.5
200708,65.8,0.4
200709,55.0,-0.9
200710,44.6,1.7
200711,31.6,0.7
200712,21.6,-0.1
200801,18.1,-3.3
200802,24.2,1.0
200803,31.2,-1.4
200804,37.6,-3.6
200805,49.6,-0.8
200806,56.7,-2.2
200807,66.5,-0.3
200808,65.6,0.2
200809,53.6,-2.3
200810,43.7,0.8
200811,35.8,4.9
200812,14.0,-7.7
200901,21.1,-0.3
200902,25.1,1.9
200903,28.3,-4.3
200904,39.8,-1.4
200905,50.5,0.1
200906,56.6,-2.3
200907,64.6,-2.2
200908,63.4,-2.0
200909,60.7,4.8
200910,36.4,-6.5
200911,35.2,4.3
200912,12.0,-9.7
201001,20.6,-0.8
201002,21.1,-2.1
201003,36.2,3.6
201004,41.6,0.4
201005,46.3,-4.1
201006,57.5,-1.4
201007,64.3,-2.5
201008,63.8,-1.6
201009,54.1,-1.8
201010,47.6,4.7
201011,26.6,-4.3
201012,19.0,-2.7
201101,19.1,-2.3
201102,16.4,-6.8
201103,28.6,-4.0
201104,37.7,-3.5
201105,47.1,-3.3
201106,56.3,-2.6
201107,66.6,-0.2
201108,66.8,1.4
201109,58.3,2.4
201110,45.9,3.0
201111,30.0,-0.9
201112,26.2,4.5
201201,25.1,3.7
201202,24.9,1.7
201203,39.4,6.8
201204,44.8,3.6
201205,49.5,-0.9
201206,60.2,1.3
201207,70.7,3.9
201208,66.7,1.3
201209,58.2,2.3
201210,41.0,-1.9
201211,32.4,1.5
201212,21.5,-0.2
201301,21.7,0.3
201302,27.4,4.2
201303,30.5,-2.1
201304,36.9,-4.3
201305,51.9,1.5
201306,59.0,0.1
201307,67.5,0.7
201308,67.3,1.9
201309,58.8,2.9
201310,40.8,-2.1
201311,30.4,-0.5
201312,16.4,-5.3
201401,24.5,3.1
201402,14.7,-8.5
201403,29.4,-3.2
201404,41.0,-0.2
201405,51.1,0.7
201406,56.5,-2.4
201407,67.6,0.8
201408,64.8,-0.6
201409,55.1,-0.8
201410,47.9,5.0
201411,25.3,-5.6
201412,25.0,3.3
201501,24.7,3.3
201502,26.9,3.7
201503,39.5,6.9
201504,42.8,1.6
201505,49.6,-0.8
201506,63.8,4.9
201507,66.2,-0.6
201508,65.9,0.5
201509,57.3,1.4
201510,48.0,5.1
201511,30.0,-0.9
201512,23.6,1.9
201601,23.4,2.0
201602,33.6,10.4
201603,37.4,4.8
201604,45.0,3.8
201605,51.0,0.6
201606,62.4,3.5
201607,65.9,-0.9
201608,64.4,-1.0
201609,54.8,-1.1
201610,44.3,1.4
201611,39.1,8.2
201612,14.2,-7.5
201701,15.2,-6.2
201702,25.4,2.2
201703,35.8,3.2
201704,42.1,0.9
201705,52.3,1.9
201706,60.6,1.7
201707,71.6,4.8
201708,65.5,0.1
201709,55.2,-0.7
201710,42.6,-0.3
201711,30.7,-0.2
201712,21.1,-0.6
201801,21.7,0.3
201802,11.4,-11.8
201803,28.3,-4.3
201804,37.9,-3.3
201805,55.7,5.3
201806,59.2,0.3
201807,66.8,0.0
201808,64.5,-0.9
201809,53.0,-2.9
201810,41.6,-1.3
201811,30.2,-0.7
201812,25.0,3.3
201901,24.7,3.3
201902,5.1,-18.1
201903,25.2,-7.4
201904,41.9,0.7
201905,47.7,-2.7
201906,58.6,-0.3
201907,65.0,-1.8
201908,64.8,-0.6
201909,55.0,-0.9
201910,35.4,-7.5
201911,29.3,-1.6
201912,25.8,4.1
202001,23.4,2.0
202002,25.6,2.4
202003,31.6,-1.0
202004,38.3,-2.9
202005,50.6,0.2
202006,59.3,0.4
202007,65.6,-1.2
202008,67.4,2.0
202009,57.0,1.1
202010,39.3,-3.6
202011,32.8,1.9
202012,28.5,6.8
202101,26.7,5.3
202102,13.7,-9.5
202103,36.1,3.5
202104,40.4,-0.8
202105,48.6,-1.8
202106,65.3,6.4
202107,72.5,5.7
202108,64.7,-0.7
202109,58.3,2.4
202110,45.6,2.7
202111,36.3,5.4
202112,19.3,-2.4
202201,22.9,1.5
