North Carolina, Precipitation
Units: Inches
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,3.83,-0.15
199002,4.43,0.93
199003,4.80,0.66
199004,2.75,-1.01
199005,6.47,2.42
199006,1.41,-3.27
199007,3.83,-1.30
199008,5.81,0.57
199009,1.31,-3.79
199010,8.26,4.46
199011,2.19,-1.26
199012,3.51,-0.31
199101,5.15,1.17
199102,1.95,-1.55
199103,6.24,2.10
199104,4.16,0.40
199105,3.14,-0.91
199106,3.96,-0.72
199107,7.06,1.93
199108,5.76,0.52
199109,3.06,-2.04
199110,1.66,-2.14
199111,2.12,-1.33
199112,3.61,-0.21
199201,3.90,-0.08
199202,2.95,-0.55
199203,3.76,-0.38
199204,3.33,-0.43
199205,4.35,0.30
199206,5.80,1.12
199207,3.42,-1.71
199208,8.03,2.79
199209,3.06,-2.04
199210,4.09,0.29
199211,6.35,2.90
199212,3.57,-0.25
199301,5.81,1.83
199302,2.82,-0.68
199303,6.72,2.58
199304,4.38,0.62
199305,2.97,-1.08
199306,2.50,-2.18
199307,3.73,-1.40
199308,3.03,-2.21
199309,3.88,-1.22
199310,3.64,-0.16
199311,2.90,-0.55
199312,3.76,-0.06
199401,5.06,1.08
199402,3.50,0.00
199403,6.96,2.82
199404,2.17,-1.59
199405,2.73,-1.32
199406,5.23,0.55
199407,6.01,0.88
199408,5.59,0.35
199409,3.61,-1.49
199410,3.85,0.05
199411,3.01,-0.44
199412,2.39,-1.43
199501,5.40,1.42
199502,4.94,1.44
199503,3.32,-0.82
199504,1.07,-2.69
199505,4.02,-0.03
199506,9.74,5.06
199507,4.29,-0.84
199508,5.13,-0.11
199509,3.31,-1.79
199510,7.07,3.27
199511,4.18,0.73
199512,1.88,-1.94
199601,5.26,1.28
199602,2.79,-0.71
199603,4.57,0.43
199604,3.26,-0.50
199605,3.73,-0.32
199606,4.03,-0.65
199607,6.70,1.57
199608,5.85,0.61
199609,9.14,4.04
199610,3.97,0.17
199611,3.54,0.09
199612,3.95,0.13
199701,3.63,-0.35
199702,3.77,0.27
199703,4.30,0.16
199704,4.86,1.10
199705,2.15,-1.90
199706,3.91,-0.77
199707,5.78,0.65
199708,1.90,-3.34
199709,5.00,-0.10
199710,3.09,-0.71
199711,3.77,0.32
199712,3.93,0.11
199801,7.68,3.70
199802,6.56,3.06
199803,5.13,0.99
199804,5.60,1.84
199805,4.58,0.53
199806,3.58,-1.10
199807,4.02,-1.11
199808,5.03,-0.21
199809,3.22,-1.88
199810,1.76,-2.04
199811,2.10,-1.35
199812,4.57,0.75
199901,5.73,1.75
199902,2.56,-0.94
199903,3.09,-1.05
199904,3.68,-0.08
199905,2.78,-1.27
199906,3.80,-0.88
199907,4.35,-0.78
199908,4.22,-1.02
199909,13.22,8.12
199910,4.77,0.97
199911,2.37,-1.08
199912,1.90,-1.92
200001,4.92,0.94
200002,2.01,-1.49
200003,3.36,-0.78
200004,4.97,1.21
200005,2.70,-1.35
200006,4.49,-0.19
200007,5.23,0.10
200008,5.18,-0.06
200009,6.36,1.26
200010,0.08,-3.72
200011,3.14,-0.31
200012,1.92,-1.90
200101,2.02,-1.96
200102,2.76,-0.74
200103,5.25,1.11
200104,1.68,-2.08
200105,3.27,-0.78
200106,5.94,1.26
200107,5.35,0.22
200108,4.19,-1.05
200109,2.99,-2.11
200110,1.21,-2.59
200111,1.15,-2.30
200112,2.00,-1.82
200201,4.97,0.99
200202,1.64,-1.86
200203,4.64,0.50
200204,1.88,-1.88
200205,2.79,-1.26
200206,2.97,-1.71
200207,4.48,-0.65
200208,4.97,-0.27
200209,4.65,-0.45
200210,5.46,1.66
200211,4.51,1.06
200212,4.57,0.75
200301,2.20,-1.78
200302,5.19,1.69
200303,5.95,1.81
200304,6.42,2.66
200305,7.46,3.41
200306,5.53,0.85
200307,7.70,2.57
200308,6.39,1.15
200309,5.63,0.53
200310,3.76,-0.04
200311,2.79,-0.66
200312,4.14,0.32
200401,1.57,-2.41
