North Dakota, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,21.8,10.7
199002,17.7,3.2
199003,31.9,4.4
199004,42.1,0.9
199005,52.7,-0.9
199006,64.3,0.5
199007,67.9,-1.2
199008,69.2,1.6
199009,60.6,2.5
199010,43.4,-0.1
199011,30.2,2.1
199012,9.0,-6.3
199101,6.7,-4.4
199102,25.1,10.6
199103,30.1,2.6
199104,45.4,4.2
199105,56.5,2.9
199106,66.2,2.4
199107,68.8,-0.3
199108,70.7,3.1
199109,56.7,-1.4
199110,39.6,-3.9
199111,21.7,-6.4
199112,20.3,5.0
199201,20.3,9.2
199202,24.4,9.9
199203,33.3,5.8
199204,40.1,-1.1
199205,57.0,3.4
199206,61.4,-2.4
199207,61.8,-7.3
199208,62.8,-4.8
199209,54.9,-3.2
199210,43.7,0.2
199211,26.0,-2.1
199212,9.2,-6.1
199301,5.9,-5.2
199302,9.6,-4.9
199303,28.2,0.7
199304,41.3,0.1
199305,54.2,0.6
199306,58.8,-5.0
199307,62.4,-6.7
199308,64.5,-3.1
199309,52.2,-5.9
199310,41.8,-1.7
199311,24.2,-3.9
199312,16.3,1.0
199401,-1.9,-13.0
199402,3.0,-11.5
199403,30.8,3.3
199404,41.8,0.6
199405,57.3,3.7
199406,63.9,0.1
199407,65.7,-3.4
199408,65.7,-1.9
199409,59.9,1.8
199410,46.6,3.1
199411,29.7,1.6
199412,17.3,2.0
199501,9.7,-1.4
199502,16.5,2.0
199503,24.9,-2.6
199504,36.6,-4.6
199505,51.6,-2.0
199506,66.3,2.5
199507,67.6,-1.5
199508,69.5,1.9
199509,56.1,-2.0
199510,43.1,-0.4
199511,22.0,-6.1
199512,11.6,-3.7
199601,0.3,-10.8
199602,14.6,0.1
199603,17.3,-10.2
199604,36.3,-4.9
199605,50.4,-3.2
199606,65.1,1.3
199607,66.6,-2.5
199608,69.1,1.5
199609,56.1,-2.0
199610,42.8,-0.7
199611,15.0,-13.1
199612,4.6,-10.7
199701,1.6,-9.5
199702,16.7,2.2
199703,22.5,-5.0
199704,36.5,-4.7
199705,51.7,-1.9
199706,67.2,3.4
199707,68.7,-0.4
199708,67.4,-0.2
199709,60.4,2.3
199710,45.3,1.8
199711,25.4,-2.7
199712,24.9,9.6
199801,10.4,-0.7
199802,27.8,13.3
199803,21.8,-5.7
199804,46.9,5.7
199805,56.9,3.3
199806,59.8,-4.0
199807,70.2,1.1
199808,70.6,3.0
199809,62.4,4.3
199810,45.4,1.9
199811,28.8,0.7
199812,17.4,2.1
199901,6.9,-4.2
199902,22.9,8.4
199903,31.2,3.7
199904,42.6,1.4
199905,54.3,0.7
199906,62.6,-1.2
199907,69.2,0.1
199908,67.3,-0.3
199909,53.6,-4.5
199910,43.3,-0.2
199911,37.3,9.2
199912,24.3,9.0
200001,12.4,1.3
200002,22.1,7.6
200003,35.1,7.6
200004,41.6,0.4
200005,55.4,1.8
200006,60.4,-3.4
200007,69.7,0.6
200008,68.4,0.8
200009,57.0,-1.1
200010,46.3,2.8
200011,21.7,-6.4
200012,2.8,-12.5
200101,17.0,5.9
200102,5.5,-9.0
200103,27.1,-0.4
200104,42.6,1.4
200105,56.0,2.4
200106,62.7,-1.1
200107,70.2,1.1
200108,70.3,2.7
200109,58.3,0.2
200110,42.2,-1.3
200111,37.1,9.0
200112,17.9,2.6
200201,16.9,5.8
200202,24.1,9.6
200203,16.3,-11.2
200204,38.2,-3.0
200205,48.6,-5.0
200206,65.6,1.8
200207,72.1,3.0
200208,66.1,-1.5
200209,59.2,1.1
200210,34.7,-8.8
200211,29.4,1.3
200212,20.8,5.5
200301,10.7,-0.4
200302,8.8,-5.7
200303,22.8,-4.7
200304,44.9,3.7
200305,53.3,-0.3
200306,62.0,-1.8
200307,69.9,0.8
200308,72.2,4.6
200309,56.8,-1.3
200310,47.9,4.4
200311,19.6,-8.5
200312,20.3,5.0
200401,3.8,-7.3
200402,15.5,1.0
200403,30.4,2.9
200404,43.4,2.2
200405,49.8,-3.8
200406,59.1,-4.7
200407,67.1,-2.0
200408,61.5,-6.1
200409,59.0,0.9
200410,44.2,0.7
200411,33.3,5.2
200412,19.4,4.1
200501,6.4,-4.7
200502,20.3,5.8
200503,28.9,1.4
200504,46.8,5.6
200505,51.2,-2.4
200506,64.9,1.1
200507,69.8,0.7
200508,66.1,-1.5
200509,59.7,1.6
200510,45.4,1.9
200511,31.5,3.4
200512,17.8,2.5
200601,25.9,14.8
200602,15.0,0.5
200603,27.5,0.0
200604,48.5,7.3
200605,55.5,1.9
200606,65.3,1.5
200607,73.8,4.7
200608,69.1,1.5
200609,55.7,-2.4
200610,39.9,-3.6
200611,28.4,0.3
200612,21.4,6.1
200701,13.7,2.6
200702,7.7,-6.8
200703,32.6,5.1
200704,40.7,-0.5
200705,55.8,2.2
200706,65.3,1.5
200707,73.1,4.0
200708,66.0,-1.6
200709,58.1,0.0
200710,46.3,2.8
200711,29.2,1.1
200712,12.7,-2.6
200801,9.6,-1.5
200802,10.3,-4.2
200803,26.5,-1.0
200804,40.0,-1.2
200805,51.4,-2.2
200806,60.8,-3.0
200807,69.2,0.1
200808,68.6,1.0
200809,56.7,-1.4
200810,44.4,0.9
200811,29.5,1.4
200812,5.0,-10.3
200901,5.0,-6.1
200902,11.4,-3.1
200903,20.0,-7.5
200904,39.2,-2.0
200905,51.7,-1.9
200906,60.7,-3.1
200907,64.6,-4.5
200908,64.5,-3.1
200909,63.3,5.2
200910,38.0,-5.5
200911,36.4,8.3
200912,7.4,-7.9
201001,9.7,-1.4
201002,9.3,-5.2
201003,31.6,4.1
201004,47.2,6.0
201005,52.4,-1.2
201006,63.1,-0.7
201007,68.8,-0.3
201008,69.0,1.4
201009,54.6,-3.5
201010,48.0,4.5
201011,27.2,-0.9
201012,9.6,-5.7
201101,6.4,-4.7
201102,10.0,-4.5
201103,19.2,-8.3
201104,39.1,-2.1
201105,50.9,-2.7
201106,62.4,-1.4
201107,71.1,2.0
201108,68.6,1.0
201109,58.3,0.2
201110,48.4,4.9
201111,30.5,2.4
201112,23.0,7.7
201201,20.0,8.9
201202,21.0,6.5
201203,40.6,13.1
201204,45.8,4.6
201205,55.0,1.4
201206,65.5,1.7
201207,74.1,5.0
201208,67.4,-0.2
201209,58.2,0.1
201210,41.2,-2.3
201211,27.5,-0.6
201212,13.3,-2.0
201301,11.4,0.3
201302,16.8,2.3
201303,17.6,-9.9
201304,31.3,-9.9
201305,53.4,-0.2
201306,63.3,-0.5
201307,68.3,-0.8
201308,68.6,1.0
201309,62.0,3.9
201310,41.6,-1.9
201311,26.2,-1.9
201312,5.0,-10.3
201401,8.5,-2.6
201402,5.6,-8.9
201403,22.7,-4.8
201404,38.2,-3.0
201405,53.7,0.1
201406,62.5,-1.3
201407,66.8,-2.3
201408,67.0,-0.6
201409,57.8,-0.3
201410,46.5,3.0
201411,20.2,-7.9
201412,18.2,2.9
201501,16.0,4.9
201502,8.4,-6.1
201503,33.0,5.5
201504,44.3,3.1
201505,52.4,-1.2
201506,65.1,1.3
201507,69.9,0.8
201508,68.0,0.4
201509,62.0,3.9
201510,47.8,4.3
201511,32.5,4.4
201512,21.1,5.8
201601,14.6,3.5
201602,25.6,11.1
201603,36.3,8.8
201604,41.8,0.6
201605,56.6,3.0
201606,66.0,2.2
201607,69.3,0.2
201608,68.0,0.4
201609,58.6,0.5
201610,46.1,2.6
201611,39.3,11.2
201612,10.2,-5.1
201701,11.2,0.1
201702,20.5,6.0
201703,27.4,-0.1
201704,42.7,1.5
201705,54.8,1.2
201706,64.8,1.0
201707,72.2,3.1
201708,65.2,-2.4
201709,58.3,0.2
201710,45.0,1.5
201711,26.4,-1.7
201712,15.6,0.3
201801,11.8,0.7
201802,5.4,-9.1
201803,24.7,-2.8
201804,33.3,-7.9
201805,60.2,6.6
201806,67.4,3.6
201807,69.3,0.2
201808,67.6,0.0
201809,55.0,-3.1
201810,39.1,-4.4
201811,22.9,-5.2
201812,20.8,5.5
201901,9.8,-1.3
201902,-2.7,-17.2
201903,20.6,-6.9
201904,41.8,0.6
201905,49.6,-4.0
201906,64.0,0.2
201907,69.3,0.2
201908,65.5,-2.1
201909,58.3,0.2
201910,37.6,-5.9
201911,26.1,-2.0
201912,16.1,0.8
202001,12.9,1.8
202002,17.8,3.3
202003,29.8,2.3
202004,37.6,-3.6
202005,52.5,-1.1
202006,66.9,3.1
202007,70.3,1.2
202008,69.2,1.6
202009,57.1,-1.0
202010,37.8,-5.7
202011,31.8,3.7
202012,23.4,8.1
202101,21.1,10.0
202102,5.8,-8.7
202103,35.8,8.3
202104,40.6,-0.6
202105,52.7,-0.9
202106,69.3,5.5
202107,73.8,4.7
202108,68.9,1.3
202109,62.2,4.1
202110,48.6,5.1
202111,32.6,4.5
202112,14.1,-1.2
202201,8.7,-2.4
