North Dakota, Palmer Z-Index
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,-1.37,-1.50
199002,-1.39,-1.68
199003,-0.29,-0.45
199004,-1.42,-1.21
199005,-1.60,-2.73
199006,1.45,1.08
199007,-1.47,-2.73
199008,-2.10,-2.67
199009,-1.97,-2.43
199010,-1.50,-2.92
199011,-1.77,-1.99
199012,-0.36,-1.03
199101,-1.60,-1.73
199102,-0.59,-0.88
199103,-2.07,-2.23
199104,-0.04,0.17
199105,0.65,-0.48
199106,0.51,0.14
199107,-1.58,-2.84
199108,-2.03,-2.60
199109,1.83,1.37
199110,1.82,0.40
199111,-0.26,-0.48
199112,-0.74,-1.41
199201,-0.51,-0.64
199202,-0.65,-0.94
199203,-0.67,-0.83
199204,-0.90,-0.69
199205,-1.99,-3.12
199206,-1.36,-1.73
199207,0.18,-1.08
199208,-0.04,-0.61
199209,-0.46,-0.92
199210,-1.87,-3.29
199211,1.40,1.18
199212,0.00,-0.67
199301,-0.17,-0.30
199302,-0.84,-1.13
199303,-0.79,-0.95
199304,-1.05,-0.84
199305,0.71,-0.42
199306,4.24,3.87
199307,13.15,11.89
199308,4.55,3.98
199309,-0.32,-0.78
199310,-0.84,-2.26
199311,2.18,1.96
199312,1.50,0.83
199401,1.93,1.80
199402,1.35,1.06
199403,0.79,0.63
199404,0.54,0.75
199405,-0.24,-1.37
199406,1.55,1.18
199407,2.78,1.52
199408,0.13,-0.44
199409,0.98,0.52
199410,7.57,6.15
199411,2.37,2.15
199412,0.63,-0.04
199501,1.19,1.06
199502,0.91,0.62
199503,3.84,3.68
199504,1.30,1.51
199505,3.46,2.33
199506,-1.31,-1.68
199507,5.91,4.65
199508,2.00,1.43
199509,-0.28,-0.74
199510,2.05,0.63
199511,1.19,0.97
199512,0.83,0.16
199601,1.81,1.68
199602,0.79,0.50
199603,1.78,1.62
199604,0.08,0.29
199605,1.94,0.81
199606,-0.33,-0.70
199607,3.01,1.75
199608,-1.07,-1.64
199609,2.45,1.99
199610,0.72,-0.70
199611,2.84,2.62
199612,1.86,1.19
199701,2.04,1.91
199702,0.25,-0.04
199703,1.30,1.14
199704,3.21,3.42
199705,-1.43,-2.56
199706,-1.62,-1.99
199707,4.40,3.14
199708,-0.57,-1.14
199709,-1.34,-1.80
199710,1.47,0.05
199711,-0.58,-0.80
199712,-1.13,-1.80
199801,-0.37,-0.50
199802,3.89,3.60
199803,-0.56,-0.72
199804,-2.02,-1.81
199805,-1.17,-2.30
199806,1.89,1.52
199807,-0.91,-2.17
199808,1.29,0.72
199809,-2.27,-2.73
199810,6.77,5.35
199811,2.61,2.39
199812,0.22,-0.45
199901,2.32,2.19
199902,0.77,0.48
199903,0.84,0.68
199904,0.33,0.54
199905,6.82,5.69
199906,0.91,0.54
199907,3.19,1.93
199908,4.35,3.78
199909,3.05,2.59
199910,-1.04,-2.46
199911,-2.30,-2.52
199912,-0.52,-1.19
200001,-0.60,-0.73
200002,2.19,1.90
200003,-0.35,-0.51
200004,-0.06,0.15
200005,0.32,-0.81
200006,2.19,1.82
200007,2.10,0.84
200008,1.36,0.79
200009,-0.26,-0.72
200010,1.17,-0.25
200011,5.58,5.36
200012,0.60,-0.07
200101,-0.20,-0.33
200102,0.38,0.09
200103,-0.82,-0.98
200104,0.90,1.11
200105,-0.53,-1.66
200106,2.07,1.70
200107,5.37,4.11
200108,-1.54,-2.11
200109,-1.17,-1.63
200110,0.10,-1.32
200111,-2.15,-2.37
200112,-0.62,-1.29
200201,-0.89,-1.02
200202,-1.36,-1.65
200203,-1.17,-1.33
200204,-0.30,-0.09
200205,-0.98,-2.11
200206,-1.20,-1.57
200207,-0.48,-1.74
200208,1.54,0.97
200209,-1.82,-2.28
200210,0.96,-0.46
200211,-1.36,-1.58
200212,0.45,-0.22
200301,-0.73,-0.86
200302,-0.97,-1.26
200303,-0.15,-0.31
200304,-1.82,-1.61
200305,3.39,2.26
200306,0.11,-0.26
200307,-1.67,-2.93
200308,-3.23,-3.80
200309,0.11,-0.35
200310,-1.85,-3.27
200311,-0.52,-0.74
200312,0.29,-0.38
200401,0.64,0.51
200402,-0.52,-0.81
200403,1.94,1.78
200404,-1.94,-1.73
200405,3.94,2.81
200406,-0.87,-1.24
200407,0.78,-0.48
200408,0.80,0.23
200409,1.94,1.48
200410,1.92,0.50
200411,-1.38,-1.60
200412,0.14,-0.53
200501,0.47,0.34
200502,-0.96,-1.25
200503,-0.52,-0.68
200504,-3.09,-2.88
200505,2.51,1.38
200506,6.72,6.35
200507,1.46,0.20
200508,1.60,1.03
200509,-1.65,-2.11
200510,1.13,-0.29
200511,1.97,1.75
200512,0.90,0.23
200601,-0.36,-0.49
200602,-0.03,-0.32
200603,0.92,0.76
200604,-0.74,-0.53
200605,-1.17,-2.30
200606,-3.89,-4.26
200607,-4.50,-5.76
200608,-0.44,-1.01
200609,0.79,0.33
200610,0.42,-1.00
200611,-1.40,-1.62
200612,0.44,-0.23
200701,-1.53,-1.66
200702,0.27,-0.02
200703,1.70,1.54
200704,-0.78,-0.57
200705,5.89,4.76
200706,1.07,0.70
200707,-0.37,-1.63
200708,-0.05,-0.62
200709,-0.94,-1.40
200710,-0.64,-2.06
200711,-1.30,-1.52
200712,-0.53,-1.20
200801,-1.66,-1.79
200802,-0.50,-0.79
200803,-1.81,-1.97
200804,-1.98,-1.77
200805,-1.25,-2.38
200806,0.83,0.46
200807,-1.75,-3.01
200808,-0.92,-1.49
200809,1.94,1.48
200810,3.36,1.94
200811,2.84,2.62
200812,3.26,2.59
200901,1.18,1.05
200902,2.83,2.54
200903,3.97,3.81
200904,1.09,1.30
200905,0.50,-0.63
200906,0.99,0.62
200907,1.96,0.70
200908,1.20,0.63
200909,0.13,-0.33
200910,5.26,3.84
200911,-1.71,-1.93
200912,2.82,2.15
201001,1.87,1.74
201002,1.35,1.06
201003,1.58,1.42
201004,0.37,0.58
201005,4.94,3.81
201006,2.01,1.64
201007,3.38,2.12
201008,2.31,1.74
201009,6.22,5.76
201010,0.95,-0.47
201011,0.91,0.69
201012,3.50,2.83
201101,2.72,2.59
201102,0.86,0.57
201103,2.81,2.65
201104,2.75,2.96
201105,5.35,4.22
201106,2.68,2.31
201107,5.42,4.16
201108,3.22,2.65
201109,0.56,0.10
201110,-0.06,-1.48
201111,-0.88,-1.10
201112,-0.24,-0.91
201201,-0.33,-0.46
201202,0.44,0.15
201203,-2.87,-3.03
201204,0.00,0.21
201205,-0.63,-1.76
201206,-2.39,-2.76
201207,-2.37,-3.63
201208,-2.14,-2.71
201209,-3.76,-4.22
201210,2.56,1.14
201211,0.39,0.17
201212,-0.01,-0.68
201301,-0.49,-0.62
201302,0.29,0.00
201303,0.71,0.55
201304,0.99,1.20
201305,7.25,6.12
201306,2.13,1.76
201307,2.26,1.00
201308,0.32,-0.25
201309,2.32,1.86
201310,6.75,5.33
201311,-0.16,-0.38
201312,2.34,1.67
201401,0.82,0.69
201402,0.17,-0.12
201403,0.63,0.47
201404,3.10,3.31
201405,1.45,0.32
201406,4.22,3.85
201407,1.13,-0.13
201408,6.86,6.29
201409,0.13,-0.33
201410,-1.05,-2.47
201411,0.06,-0.16
201412,-0.67,-1.34
201501,0.26,0.13
201502,0.20,-0.09
201503,-0.77,-0.93
201504,-2.25,-2.04
201505,3.67,2.54
201506,0.57,0.20
201507,0.72,-0.54
201508,-1.02,-1.59
201509,-0.85,-1.31
201510,0.02,-1.40
201511,-0.43,-0.65
201512,0.25,-0.42
201601,-1.09,-1.22
201602,-0.39,-0.68
201603,-2.24,-2.40
201604,1.68,1.89
201605,-0.40,-1.53
201606,-2.47,-2.84
201607,2.88,1.62
201608,0.46,-0.11
201609,2.88,2.42
201610,0.19,-1.23
201611,-0.61,-0.83
201612,2.86,2.19
201701,0.09,-0.04
201702,0.01,-0.28
201703,-0.62,-0.78
201704,-1.24,-1.03
201705,-2.79,-3.92
201706,-3.24,-3.61
201707,-4.38,-5.64
201708,0.83,0.26
201709,1.29,0.83
201710,-2.32,-3.74
201711,-1.04,-1.26
201712,-0.56,-1.23
201801,-1.35,-1.48
201802,-0.81,-1.10
201803,1.06,0.90
201804,-0.93,-0.72
201805,-2.15,-3.28
201806,0.49,0.12
201807,-0.22,-1.48
201808,-2.09,-2.66
201809,0.04,-0.42
201810,1.56,0.14
201811,0.61,0.39
201812,0.73,0.06
201901,-0.14,-0.27
201902,2.08,1.79
201903,-0.25,-0.41
201904,-0.44,-0.23
201905,1.26,0.13
201906,-0.41,-0.78
201907,2.03,0.77
201908,2.23,1.66
201909,9.65,9.19
201910,5.32,3.90
201911,1.66,1.44
201912,2.64,1.97
202001,1.32,1.19
202002,0.59,0.30
202003,0.68,0.52
202004,0.73,0.94
202005,-0.37,-1.50
202006,-1.25,-1.62
202007,3.57,2.31
202008,0.58,0.01
202009,-2.22,-2.68
202010,-0.14,-1.56
202011,-1.39,-1.61
202012,-0.95,-1.62
202101,-1.09,-1.22
202102,-1.24,-1.53
202103,-3.56,-3.72
202104,-2.63,-2.42
202105,-1.20,-2.33
202106,-4.49,-4.86
202107,-5.52,-6.78
202108,-0.25,-0.82
202109,-2.30,-2.76
202110,4.58,3.16
202111,-0.33,-0.55
202112,1.55,0.88
202201,0.08,-0.05
