Nebraska, Precipitation
Units: Inches
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,0.53,0.04
199002,0.25,-0.40
199003,2.36,0.96
199004,1.26,-1.20
199005,4.22,0.35
199006,3.27,-0.45
199007,3.19,0.00
199008,2.66,-0.19
199009,0.90,-1.17
199010,1.27,-0.58
199011,1.17,0.30
199012,0.42,-0.23
199101,0.40,-0.09
199102,0.32,-0.33
199103,1.54,0.14
199104,2.34,-0.12
199105,5.05,1.18
199106,3.56,-0.16
199107,1.91,-1.28
199108,1.50,-1.35
199109,1.64,-0.43
199110,1.44,-0.41
199111,1.66,0.79
199112,0.67,0.02
199201,1.05,0.56
199202,0.92,0.27
199203,2.62,1.22
199204,0.80,-1.66
199205,1.83,-2.04
199206,4.08,0.36
199207,5.41,2.22
199208,3.88,1.03
199209,1.62,-0.45
199210,1.81,-0.04
199211,1.01,0.14
199212,0.56,-0.09
199301,0.84,0.35
199302,1.20,0.55
199303,1.24,-0.16
199304,2.64,0.18
199305,3.45,-0.42
199306,5.34,1.62
199307,7.76,4.57
199308,3.67,0.82
199309,2.59,0.52
199310,1.67,-0.18
199311,1.03,0.16
199312,0.44,-0.21
199401,0.64,0.15
199402,0.64,-0.01
199403,0.16,-1.24
199404,2.07,-0.39
199405,1.39,-2.48
199406,3.87,0.15
199407,4.99,1.80
199408,2.11,-0.74
199409,1.76,-0.31
199410,2.25,0.40
199411,1.18,0.31
199412,0.85,0.20
199501,0.42,-0.07
199502,0.35,-0.30
199503,1.88,0.48
199504,3.17,0.71
199505,6.72,2.85
199506,3.10,-0.62
199507,2.24,-0.95
199508,2.13,-0.72
199509,2.61,0.54
199510,1.89,0.04
199511,0.49,-0.38
199512,0.19,-0.46
199601,0.81,0.32
199602,0.03,-0.62
199603,0.65,-0.75
199604,1.48,-0.98
199605,6.12,2.25
199606,2.93,-0.79
199607,3.17,-0.02
199608,3.80,0.95
199609,3.66,1.59
199610,0.81,-1.04
199611,1.80,0.93
199612,0.23,-0.42
199701,0.25,-0.24
199702,0.73,0.08
199703,0.29,-1.11
199704,2.28,-0.18
199705,2.80,-1.07
199706,3.35,-0.37
199707,2.85,-0.34
199708,2.83,-0.02
199709,2.66,0.59
199710,3.06,1.21
199711,0.57,-0.30
199712,0.47,-0.18
199801,0.32,-0.17
199802,0.61,-0.04
199803,2.02,0.62
199804,2.15,-0.31
199805,2.95,-0.92
199806,4.78,1.06
199807,4.18,0.99
199808,2.71,-0.14
199809,1.01,-1.06
199810,2.93,1.08
199811,2.07,1.20
199812,0.20,-0.45
199901,0.32,-0.17
