New Hampshire, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,26.0,6.7
199002,22.2,0.8
199003,31.4,1.4
199004,42.5,0.4
199005,50.2,-3.5
199006,62.5,-0.2
199007,67.0,-0.5
199008,66.6,0.5
199009,56.7,-1.7
199010,49.5,2.5
199011,36.8,0.9
199012,28.1,2.5
199101,17.6,-1.7
199102,24.7,3.3
199103,32.9,2.9
199104,45.0,2.9
199105,57.0,3.3
199106,62.7,0.0
199107,66.0,-1.5
199108,66.5,0.4
199109,54.7,-3.7
199110,48.0,1.0
199111,36.4,0.5
199112,22.8,-2.8
199201,18.7,-0.6
199202,21.5,0.1
199203,26.1,-3.9
199204,39.1,-3.0
199205,52.5,-1.2
199206,60.9,-1.8
199207,62.9,-4.6
199208,63.3,-2.8
199209,56.8,-1.6
199210,42.5,-4.5
199211,32.8,-3.1
199212,24.5,-1.1
199301,21.0,1.7
199302,12.0,-9.4
199303,26.9,-3.1
199304,42.8,0.7
199305,54.1,0.4
199306,61.4,-1.3
199307,67.3,-0.2
199308,66.4,0.3
199309,56.3,-2.1
199310,43.0,-4.0
199311,34.8,-1.1
199312,24.3,-1.3
199401,8.7,-10.6
199402,14.8,-6.6
199403,29.1,-0.9
199404,41.9,-0.2
199405,51.3,-2.4
199406,65.0,2.3
199407,69.9,2.4
199408,63.5,-2.6
199409,55.4,-3.0
199410,46.7,-0.3
199411,38.7,2.8
199412,27.5,1.9
199501,24.8,5.5
199502,17.7,-3.7
199503,32.8,2.8
199504,38.0,-4.1
199505,51.6,-2.1
199506,63.9,1.2
199507,69.4,1.9
199508,65.5,-0.6
199509,54.0,-4.4
199510,49.9,2.9
199511,32.2,-3.7
199512,19.5,-6.1
199601,17.8,-1.5
199602,19.6,-1.8
199603,27.4,-2.6
199604,41.0,-1.1
199605,50.9,-2.8
199606,63.2,0.5
199607,65.8,-1.7
199608,65.7,-0.4
199609,58.2,-0.2
199610,44.8,-2.2
199611,31.6,-4.3
199612,29.6,4.0
199701,17.8,-1.5
199702,24.9,3.5
199703,26.7,-3.3
199704,38.9,-3.2
199705,48.6,-5.1
199706,62.8,0.1
199707,65.6,-1.9
199708,64.1,-2.0
199709,56.2,-2.2
199710,44.4,-2.6
199711,32.9,-3.0
199712,24.7,-0.9
199801,23.2,3.9
199802,27.8,6.4
199803,32.7,2.7
199804,43.8,1.7
199805,57.6,3.9
199806,61.4,-1.3
199807,66.9,-0.6
199808,66.3,0.2
199809,58.6,0.2
199810,47.2,0.2
199811,36.1,0.2
199812,30.1,4.5
199901,18.8,-0.5
199902,24.4,3.0
199903,31.5,1.5
199904,42.4,0.3
199905,55.4,1.7
199906,66.0,3.3
199907,69.1,1.6
199908,64.6,-1.5
199909,61.2,2.8
199910,44.0,-3.0
199911,40.2,4.3
199912,27.1,1.5
200001,16.9,-2.4
200002,22.8,1.4
200003,35.5,5.5
200004,41.3,-0.8
200005,52.7,-1.0
200006,61.6,-1.1
200007,63.7,-3.8
200008,63.7,-2.4
200009,56.2,-2.2
200010,46.2,-0.8
200011,36.1,0.2
200012,19.2,-6.4
200101,18.5,-0.8
200102,20.8,-0.6
200103,26.8,-3.2
200104,40.8,-1.3
200105,55.2,1.5
200106,64.2,1.5
200107,64.3,-3.2
200108,68.6,2.5
200109,58.3,-0.1
200110,47.9,0.9
200111,38.9,3.0
200112,30.6,5.0
200201,26.6,7.3
200202,25.0,3.6
200203,30.9,0.9
200204,44.0,1.9
200205,50.6,-3.1
200206,60.6,-2.1
200207,67.5,0.0
