New Jersey, Palmer Z-Index
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,0.86,0.90
199002,-1.83,-1.55
199003,-1.70,-1.80
199004,-0.30,0.08
199005,3.73,3.97
199006,-0.93,-1.37
199007,-0.67,-0.84
199008,3.12,3.07
199009,-0.84,-1.04
199010,0.83,-0.09
199011,-1.31,-0.79
199012,1.52,0.99
199101,1.11,1.15
199102,-2.51,-2.23
199103,0.97,0.87
199104,-0.30,0.08
199105,-2.42,-2.18
199106,-1.56,-2.00
199107,0.53,0.36
199108,-0.34,-0.39
199109,0.14,-0.06
199110,-1.62,-2.54
199111,-2.24,-1.72
199112,-0.09,-0.62
199201,-1.80,-1.76
199202,-1.53,-1.25
199203,-0.15,-0.25
199204,-2.11,-1.73
199205,-0.40,-0.16
199206,1.36,0.92
199207,0.83,0.66
199208,1.08,1.03
199209,0.72,0.52
199210,-0.90,-1.82
199211,1.32,1.84
199212,1.68,1.15
199301,-0.99,-0.95
199302,-0.09,0.19
199303,3.64,3.54
199304,0.86,1.24
199305,-2.71,-2.47
199306,-1.55,-1.99
199307,-2.64,-2.81
199308,-1.54,-1.59
199309,1.11,0.91
199310,0.83,-0.09
199311,-0.72,-0.20
199312,1.33,0.80
199401,2.33,2.37
199402,0.86,1.14
199403,3.70,3.60
199404,-1.52,-1.14
199405,-0.15,0.09
199406,-0.72,-1.16
199407,0.47,0.30
199408,1.56,1.51
199409,-0.38,-0.58
199410,-2.20,-3.12
199411,-0.71,-0.19
199412,-1.24,-1.77
199501,-0.35,-0.31
199502,-0.77,-0.49
199503,-2.62,-2.72
199504,-2.10,-1.72
199505,-0.11,0.13
199506,-1.93,-2.37
199507,-0.61,-0.78
199508,-3.28,-3.33
199509,-0.12,-0.32
199510,2.99,2.07
199511,1.89,2.41
199512,-0.99,-1.52
199601,2.68,2.72
199602,-0.89,-0.61
199603,0.75,0.65
199604,1.24,1.62
199605,-0.07,0.17
199606,1.52,1.08
199607,3.27,3.10
199608,-0.27,-0.32
199609,1.95,1.75
199610,4.22,3.30
199611,-0.47,0.05
199612,4.41,3.88
199701,-0.18,-0.14
199702,-1.12,-0.84
199703,0.68,0.58
199704,0.26,0.64
199705,-0.39,-0.15
199706,-1.64,-2.08
199707,0.57,0.40
199708,1.02,0.97
199709,-1.17,-1.37
199710,-1.19,-2.11
199711,0.27,0.79
199712,0.45,-0.08
199801,0.97,1.01
199802,1.56,1.84
199803,0.98,0.88
199804,0.63,1.01
199805,1.51,1.75
199806,1.71,1.27
199807,-2.03,-2.20
199808,-2.36,-2.41
199809,-2.41,-2.61
199810,-1.73,-2.65
199811,-3.23,-2.71
199812,-3.69,-4.22
199901,2.82,2.86
199902,-0.28,0.00
199903,1.14,1.04
199904,-1.33,-0.95
199905,-0.99,-0.75
199906,-2.58,-3.02
199907,-4.29,-4.46
199908,-0.50,-0.55
199909,4.55,4.35
199910,0.95,0.03
199911,-1.36,-0.84
199912,-0.62,-1.15
200001,-0.27,-0.23
200002,-1.26,-0.98
200003,0.15,0.05
200004,-0.51,-0.13
200005,-0.39,-0.15
200006,0.67,0.23
200007,1.93,1.76
200008,1.52,1.47
200009,1.94,1.74
200010,-2.19,-3.11
200011,-0.48,0.04
200012,0.33,-0.20
200101,-0.35,-0.31
200102,-0.60,-0.32
200103,2.43,2.33
200104,-2.39,-2.01
200105,-0.98,-0.74
200106,1.57,1.13
200107,-0.65,-0.82
200108,-1.25,-1.30
200109,-0.93,-1.13
200110,-3.25,-4.17
200111,-3.83,-3.31
200112,-2.96,-3.49
200201,-2.75,-2.71
200202,-3.75,-3.47
200203,-0.02,-0.12
200204,-0.50,-0.12
200205,0.38,0.62
200206,1.37,0.93
200207,-2.60,-2.77
200208,-1.69,-1.74
200209,-0.52,-0.72
200210,3.27,2.35
200211,1.72,2.24
200212,1.24,0.71
200301,-0.90,-0.86
200302,2.38,2.66
200303,0.02,-0.08
200304,-0.87,-0.49
200305,0.19,0.43
200306,5.89,5.45
200307,-0.25,-0.42
200308,0.24,0.19
200309,2.28,2.08
200310,2.83,1.91
200311,0.54,1.06
200312,2.40,1.87
200401,-1.53,-1.49
200402,-0.62,-0.34
200403,-1.00,-1.10
200404,1.42,1.80
200405,-0.98,-0.74
200406,-0.74,-1.18
200407,3.02,2.85
200408,0.88,0.83
200409,2.37,2.17
200410,-0.32,-1.24
200411,1.00,1.52
200412,0.03,-0.50
200501,1.13,1.17
200502,-0.82,-0.54
200503,0.35,0.25
200504,0.41,0.79
200505,-0.95,-0.71
200506,-0.61,-1.05
200507,-0.10,-0.27
200508,-2.92,-2.97
200509,-3.44,-3.64
200510,8.64,7.72
200511,0.23,0.75
200512,0.31,-0.22
