New Mexico, Palmer Z-Index
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,-0.04,0.20
199002,0.38,0.83
199003,0.11,0.75
199004,0.82,1.46
199005,-1.46,-0.67
199006,-3.55,-2.68
199007,2.33,2.15
199008,1.19,1.77
199009,1.92,2.14
199010,-1.24,-1.10
199011,1.35,1.49
199012,1.24,1.11
199101,0.34,0.58
199102,-0.90,-0.45
199103,0.75,1.39
199104,-0.86,-0.22
199105,-0.52,0.27
199106,0.10,0.97
199107,4.96,4.78
199108,2.38,2.96
199109,3.05,3.27
199110,-1.77,-1.63
199111,2.66,2.80
199112,5.36,5.23
199201,1.89,2.13
199202,0.06,0.51
199203,0.62,1.26
199204,0.74,1.38
199205,6.75,7.54
199206,3.30,4.17
199207,1.93,1.75
199208,0.96,1.54
199209,-1.99,-1.77
199210,-1.36,-1.22
199211,0.39,0.53
199212,2.23,2.10
199301,3.04,3.28
199302,1.27,1.72
199303,0.29,0.93
199304,-0.08,0.56
199305,0.58,1.37
199306,0.65,1.52
199307,-0.86,-1.04
199308,4.19,4.77
199309,-2.15,-1.93
199310,-0.34,-0.20
199311,0.63,0.77
199312,-1.27,-1.40
199401,-1.43,-1.19
199402,-0.72,-0.27
199403,0.11,0.75
199404,-0.21,0.43
199405,2.09,2.88
199406,-2.89,-2.02
199407,-2.46,-2.64
199408,-1.51,-0.93
199409,-1.08,-0.86
199410,0.62,0.76
199411,2.53,2.67
199412,0.52,0.39
199501,0.86,1.10
199502,-1.36,-0.91
199503,-0.41,0.23
199504,0.08,0.72
199505,0.59,1.38
199506,0.31,1.18
199507,-2.32,-2.50
199508,-1.64,-1.06
199509,1.48,1.70
199510,-2.70,-2.56
199511,-1.82,-1.68
199512,-1.23,-1.36
199601,-1.34,-1.10
199602,-1.91,-1.46
199603,-2.17,-1.53
199604,-2.90,-2.26
199605,-4.41,-3.62
199606,1.78,2.65
199607,0.97,0.79
199608,0.91,1.49
199609,1.42,1.64
199610,0.78,0.92
199611,-0.37,-0.23
199612,-1.97,-2.10
199701,1.24,1.48
199702,0.92,1.37
199703,-2.01,-1.37
199704,2.51,3.15
199705,0.78,1.57
199706,1.39,2.26
199707,0.71,0.53
199708,-0.12,0.46
199709,1.57,1.79
199710,-0.37,-0.23
199711,0.53,0.67
199712,3.27,3.14
199801,-1.50,-1.26
199802,0.61,1.06
199803,2.37,3.01
199804,1.05,1.69
199805,-1.78,-0.99
199806,-2.08,-1.21
199807,3.01,2.83
199808,-0.96,-0.38
199809,-2.93,-2.71
199810,4.99,5.13
199811,0.52,0.66
199812,-0.93,-1.06
199901,-1.14,-0.90
199902,-2.59,-2.14
199903,-0.76,-0.12
199904,1.17,1.81
199905,0.67,1.46
199906,0.47,1.34
199907,2.24,2.06
199908,2.14,2.72
199909,-0.45,-0.23
199910,-1.97,-1.83
199911,-2.67,-2.53
199912,-0.97,-1.10
200001,-2.23,-1.99
200002,-3.09,-2.64
200003,1.09,1.73
200004,-2.02,-1.38
200005,-4.47,-3.68
200006,1.54,2.41
200007,-2.35,-2.53
200008,-2.65,-2.07
200009,-4.27,-4.05
200010,5.07,5.21
200011,2.80,2.94
200012,-0.15,-0.28
200101,2.26,2.50
200102,0.44,0.89
200103,1.22,1.86
200104,0.23,0.87
200105,1.06,1.85
200106,0.16,1.03
200107,-1.36,-1.54
200108,-0.34,0.24
200109,-2.31,-2.09
200110,-2.57,-2.43
200111,0.25,0.39
200112,-0.86,-0.99
200201,-0.80,-0.56
200202,-0.95,-0.50
200203,-0.75,-0.11
200204,-2.93,-2.29
200205,-3.79,-3.00
200206,-2.75,-1.88
200207,-0.76,-0.94
200208,-2.51,-1.93
200209,1.77,1.99
200210,1.13,1.27
200211,-0.32,-0.18
200212,1.19,1.06
200301,-2.71,-2.47
200302,0.95,1.40
200303,-0.22,0.42
200304,-1.60,-0.96
200305,-3.00,-2.21
200306,-0.58,0.29
200307,-5.17,-5.35
200308,-2.85,-2.27
200309,-2.24,-2.02
200310,-0.98,-0.84
200311,0.19,0.33
200312,-1.67,-1.80
200401,-1.15,-0.91
200402,1.39,1.84
200403,-0.92,-0.28
200404,4.30,4.94
200405,-1.80,-1.01
200406,-0.66,0.21
200407,-0.08,-0.26
200408,-0.40,0.18
200409,1.14,1.36
200410,1.12,1.26
200411,3.07,3.21
200412,0.17,0.04
200501,2.25,2.49
200502,3.47,3.92
200503,1.62,2.26
200504,1.63,2.27
200505,2.26,3.05
200506,0.26,1.13
200507,-3.13,-3.31
200508,1.35,1.93
200509,-0.26,-0.04
200510,0.12,0.26
200511,-2.13,-1.99
200512,-2.07,-2.20
200601,-2.45,-2.21
200602,-2.44,-1.99
200603,-1.73,-1.09
200604,-3.27,-2.63
200605,-3.54,-2.75
200606,-1.82,-0.95
200607,1.62,1.44
200608,5.46,6.04
200609,2.08,2.30
200610,1.85,1.99
200611,-1.81,-1.67
200612,0.78,0.65
200701,1.37,1.61
200702,-0.46,-0.01
200703,0.21,0.85
200704,0.55,1.19
200705,2.22,3.01
200706,-0.09,0.78
200707,0.07,-0.11
200708,-1.83,-1.25
200709,-0.33,-0.11
200710,-2.49,-2.35
200711,-1.28,-1.14
200712,1.96,1.83
200801,0.19,0.43
200802,-0.47,-0.02
200803,-1.44,-0.80
200804,-1.83,-1.19
200805,-0.52,0.27
200806,-2.12,-1.25
200807,4.65,4.47
200808,0.60,1.18
200809,-1.03,-0.81
200810,0.33,0.47
200811,-1.14,-1.00
200812,0.09,-0.04
200901,-1.97,-1.73
200902,-2.21,-1.76
200903,-2.20,-1.56
200904,-1.93,-1.29
200905,-1.97,-1.18
200906,-0.18,0.69
200907,0.15,-0.03
200908,-3.47,-2.89
200909,0.01,0.23
200910,0.27,0.41
200911,-1.20,-1.06
200912,0.84,0.71
201001,2.45,2.69
201002,2.15,2.60
201003,1.17,1.81
201004,1.34,1.98
201005,-0.50,0.29
201006,-0.09,0.78
201007,3.88,3.70
201008,-0.70,-0.12
201009,-1.35,-1.13
201010,-1.14,-1.00
201011,-1.51,-1.37
201012,-1.00,-1.13
201101,-1.85,-1.61
201102,-0.73,-0.28
201103,-3.39,-2.75
201104,-3.24,-2.60
201105,-3.01,-2.22
201106,-4.03,-3.16
201107,-2.80,-2.98
201108,-2.90,-2.32
201109,-0.61,-0.39
201110,-0.34,-0.20
201111,-0.73,-0.59
201112,3.20,3.07
201201,-1.56,-1.32
201202,-0.86,-0.41
201203,-1.99,-1.35
201204,-2.65,-2.01
201205,-1.72,-0.93
201206,-3.37,-2.50
201207,-1.58,-1.76
201208,-2.94,-2.36
201209,-1.40,-1.18
201210,-2.36,-2.22
201211,-2.04,-1.90
201212,-0.49,-0.62
201301,-0.39,-0.15
201302,-0.60,-0.15
201303,-1.87,-1.23
201304,-2.66,-2.02
201305,-3.34,-2.55
201306,-2.97,-2.10
201307,2.68,2.50
201308,-1.31,-0.73
201309,5.38,5.60
201310,-0.98,-0.84
201311,0.49,0.63
201312,-0.84,-0.97
201401,-2.31,-2.07
201402,-2.45,-2.00
201403,-2.16,-1.52
201404,-2.31,-1.67
201405,-1.01,-0.22
201406,-3.04,-2.17
201407,1.63,1.45
201408,-0.94,-0.36
201409,2.86,3.08
201410,-1.63,-1.49
201411,-0.11,0.03
201412,-0.37,-0.50
201501,1.95,2.19
201502,-0.34,0.11
201503,-0.70,-0.06
201504,-0.25,0.39
201505,3.71,4.50
201506,0.66,1.53
201507,3.68,3.50
201508,-1.57,-0.99
201509,-2.30,-2.08
201510,3.77,3.91
201511,0.93,1.07
201512,0.92,0.79
201601,-0.18,0.06
201602,-1.73,-1.28
201603,-2.89,-2.25
201604,-0.25,0.39
201605,-0.39,0.40
201606,-0.99,-0.12
201607,-3.73,-3.91
201608,1.74,2.32
201609,-0.11,0.11
201610,-2.79,-2.65
201611,1.19,1.33
201612,0.71,0.58
201701,2.81,3.05
201702,-1.06,-0.61
201703,-2.31,-1.67
201704,-0.18,0.46
201705,-0.81,-0.02
201706,-0.94,-0.07
201707,0.54,0.36
201708,1.13,1.71
201709,1.23,1.45
201710,-0.48,-0.34
201711,-2.85,-2.71
201712,-2.26,-2.39
201801,-2.24,-2.00
201802,-0.87,-0.42
201803,-2.78,-2.14
201804,-3.41,-2.77
201805,-3.46,-2.67
201806,-2.48,-1.61
201807,-0.56,-0.74
201808,-2.01,-1.43
201809,-0.36,-0.14
201810,3.91,4.05
201811,-0.55,-0.41
201812,0.51,0.38
201901,-0.39,-0.15
201902,-0.10,0.35
201903,0.70,1.34
201904,0.60,1.24
201905,-0.12,0.67
201906,-0.96,-0.09
201907,-2.06,-2.24
201908,-3.35,-2.77
201909,-1.41,-1.19
201910,0.40,0.54
201911,2.94,3.08
201912,-0.03,-0.16
202001,-0.64,-0.40
202002,0.43,0.88
202003,0.60,1.24
202004,-1.05,-0.41
202005,-3.01,-2.22
202006,-2.57,-1.70
202007,-1.27,-1.45
202008,-5.60,-5.02
202009,-2.40,-2.18
202010,-1.73,-1.59
202011,-1.92,-1.78
202012,-0.96,-1.09
202101,-0.79,-0.55
202102,-0.74,-0.29
202103,-0.76,-0.12
202104,-1.80,-1.16
202105,-1.42,-0.63
202106,-0.23,0.64
202107,1.19,1.01
202108,-0.85,-0.27
202109,-1.86,-1.64
202110,-1.58,-1.44
202111,-2.46,-2.32
202112,-1.72,-1.85
202201,-1.41,-1.17
