Nevada, Precipitation
Units: Inches
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,1.03,-0.11
199002,0.90,-0.18
199003,0.67,-0.40
199004,1.54,0.56
199005,1.28,0.22
199006,0.57,0.01
199007,0.57,0.06
199008,0.62,0.16
199009,0.67,0.14
199010,0.29,-0.52
199011,0.45,-0.31
199012,0.57,-0.57
199101,0.45,-0.69
199102,0.57,-0.51
199103,2.09,1.02
199104,0.69,-0.29
199105,1.67,0.61
199106,0.56,0.00
199107,0.26,-0.25
199108,0.62,0.16
199109,0.89,0.36
199110,0.79,-0.02
199111,0.85,0.09
199112,0.63,-0.51
199201,0.64,-0.50
199202,1.20,0.12
199203,1.85,0.78
199204,0.23,-0.75
199205,0.35,-0.71
199206,0.86,0.30
199207,0.56,0.05
199208,0.44,-0.02
199209,0.27,-0.26
199210,1.03,0.22
199211,0.56,-0.20
199212,1.73,0.59
199301,2.44,1.30
199302,1.81,0.73
199303,1.27,0.20
199304,0.42,-0.56
199305,0.64,-0.42
199306,1.46,0.90
199307,0.27,-0.24
199308,0.37,-0.09
199309,0.17,-0.36
199310,0.94,0.13
199311,0.51,-0.25
199312,0.49,-0.65
199401,0.40,-0.74
199402,1.19,0.11
199403,0.76,-0.31
199404,1.27,0.29
199405,1.35,0.29
199406,0.06,-0.50
199407,0.18,-0.33
199408,0.42,-0.04
199409,0.51,-0.02
199410,0.63,-0.18
199411,1.63,0.87
199412,1.13,-0.01
199501,2.54,1.40
199502,0.50,-0.58
199503,2.41,1.34
199504,1.36,0.38
199505,2.70,1.64
199506,1.48,0.92
199507,0.31,-0.20
199508,0.27,-0.19
199509,0.23,-0.30
199510,0.05,-0.76
199511,0.29,-0.47
199512,1.61,0.47
199601,1.75,0.61
199602,1.44,0.36
199603,1.21,0.14
199604,0.60,-0.38
199605,1.41,0.35
199606,0.33,-0.23
199607,0.53,0.02
199608,0.11,-0.35
199609,0.27,-0.26
199610,0.88,0.07
199611,1.39,0.63
199612,2.27,1.13
199701,2.15,1.01
199702,0.48,-0.60
199703,0.25,-0.82
199704,0.81,-0.17
199705,0.39,-0.67
199706,1.75,1.19
199707,0.65,0.14
199708,0.35,-0.11
199709,1.31,0.78
199710,0.47,-0.34
199711,0.88,0.12
199712,0.52,-0.62
199801,1.30,0.16
199802,2.94,1.86
199803,1.72,0.65
199804,1.19,0.21
199805,2.52,1.46
199806,1.78,1.22
199807,0.87,0.36
199808,0.28,-0.18
199809,1.89,1.36
199810,1.13,0.32
199811,0.87,0.11
199812,0.42,-0.72
199901,1.30,0.16
199902,0.75,-0.33
199903,0.39,-0.68
199904,1.63,0.65
199905,0.74,-0.32
199906,1.00,0.44
199907,0.52,0.01
199908,0.56,0.10
199909,0.27,-0.26
199910,0.15,-0.66
199911,0.23,-0.53
199912,0.20,-0.94
200001,1.43,0.29
200002,2.28,1.20
200003,0.97,-0.10
200004,0.69,-0.29
200005,1.06,0.00
200006,0.25,-0.31
200007,0.04,-0.47
200008,1.03,0.57
200009,0.33,-0.20
200010,1.65,0.84
200011,0.39,-0.37
200012,0.36,-0.78
200101,1.14,0.00
200102,1.09,0.01
