Nevada, Palmer Z-Index
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,-0.85,-0.75
199002,-0.72,-0.59
199003,-2.27,-1.70
199004,-0.33,-0.12
199005,-0.60,-0.30
199006,-2.59,-1.63
199007,-2.02,-1.47
199008,-0.58,0.27
199009,-0.08,0.26
199010,-1.62,-1.62
199011,-1.38,-0.65
199012,-1.42,-1.60
199101,-2.13,-2.03
199102,-3.15,-3.02
199103,2.06,2.63
199104,-0.08,0.13
199105,2.01,2.31
199106,-1.10,-0.14
199107,-1.82,-1.27
199108,-0.49,0.36
199109,0.90,1.24
199110,-0.33,-0.33
199111,-0.40,0.33
199112,-1.10,-1.28
199201,-1.40,-1.30
199202,-0.91,-0.78
199203,0.68,1.25
199204,-3.27,-3.06
199205,-4.12,-3.82
199206,-1.61,-0.65
199207,-1.50,-0.95
199208,-1.27,-0.42
199209,-1.34,-1.00
199210,0.27,0.27
199211,-0.51,0.22
199212,1.85,1.67
199301,3.99,4.09
199302,3.32,3.45
199303,0.66,1.23
199304,-0.82,-0.61
199305,0.39,0.69
199306,3.08,4.04
199307,1.24,1.79
199308,0.13,0.98
199309,-1.21,-0.87
199310,0.48,0.48
199311,-0.55,0.18
199312,-1.43,-1.61
199401,-2.37,-2.27
199402,0.07,0.20
199403,-2.32,-1.75
199404,-0.18,0.03
199405,-0.79,-0.49
199406,-3.81,-2.85
199407,-3.37,-2.82
199408,-1.68,-0.83
199409,-0.53,-0.19
199410,-0.21,-0.21
199411,2.80,3.53
199412,0.78,0.60
199501,4.31,4.41
199502,-1.55,-1.42
199503,3.80,4.37
199504,1.94,2.15
199505,6.48,6.78
199506,6.11,7.07
199507,6.86,7.41
199508,1.22,2.07
199509,-0.88,-0.54
199510,-2.15,-2.15
199511,-2.98,-2.25
199512,0.99,0.81
199601,1.58,1.68
199602,0.87,1.00
199603,0.19,0.76
199604,-0.96,-0.75
199605,1.06,1.36
199606,-0.64,0.32
199607,-0.64,-0.09
199608,-2.31,-1.46
199609,-1.09,-0.75
199610,0.42,0.42
199611,0.82,1.55
199612,3.20,3.02
199701,3.67,3.77
199702,-0.11,0.02
199703,-2.32,-1.75
199704,-0.18,0.03
199705,-1.55,-1.25
199706,2.35,3.31
199707,0.78,1.33
199708,-0.74,0.11
199709,2.61,2.95
199710,-0.74,-0.74
199711,-0.56,0.17
199712,-1.41,-1.59
199801,-0.18,-0.08
199802,4.71,4.84
199803,2.01,2.58
199804,1.55,1.76
199805,5.84,6.14
199806,6.39,7.35
199807,8.54,9.09
199808,1.05,1.90
199809,5.06,5.40
199810,1.52,1.52
199811,-0.27,0.46
199812,-1.54,-1.72
199901,0.05,0.15
199902,-1.03,-0.90
199903,-2.25,-1.68
199904,2.27,2.48
199905,-0.21,0.09
199906,-0.14,0.82
199907,-0.72,-0.17
199908,-0.34,0.51
199909,-1.17,-0.83
199910,-2.27,-2.27
199911,-2.97,-2.24
199912,-2.45,-2.63
200001,-0.14,-0.04
200002,1.93,2.06
200003,-0.57,0.00
200004,-1.66,-1.45
200005,-1.21,-0.91
200006,-2.61,-1.65
200007,-3.04,-2.49
200008,0.74,1.59
200009,-1.00,-0.66
200010,2.67,2.67
200011,-0.66,0.07
200012,-2.20,-2.38
200101,-0.28,-0.18
200102,0.08,0.21
200103,-1.31,-0.74
200104,0.76,0.97
200105,-3.59,-3.29
200106,-3.58,-2.62
200107,-1.13,-0.58
200108,-2.14,-1.29
200109,-1.60,-1.26
200110,-1.99,-1.99
200111,0.26,0.99
200112,0.97,0.79
200201,-0.83,-0.73
200202,-1.22,-1.09
200203,-1.23,-0.66
200204,-0.88,-0.67
200205,-2.59,-2.29
200206,-2.95,-1.99
200207,-2.81,-2.26
200208,-2.67,-1.82
200209,-0.62,-0.28
200210,-1.00,-1.00
200211,-0.27,0.46
200212,-0.80,-0.98
200301,-3.25,-3.15
200302,-0.62,-0.49
200303,-1.85,-1.28
200304,2.15,2.36
200305,-0.73,-0.43
200306,-3.65,-2.69
200307,-2.57,-2.02
200308,1.03,1.88
200309,-1.33,-0.99
200310,-2.79,-2.79
200311,0.57,1.30
200312,1.80,1.62
200401,-0.97,-0.87
200402,2.08,2.21
200403,-3.28,-2.71
200404,-0.83,-0.62
200405,-1.55,-1.25
200406,-1.76,-0.80
200407,-1.24,-0.69
200408,0.33,1.18
200409,-0.46,-0.12
200410,4.83,4.83
200411,1.57,2.30
200412,1.17,0.99
200501,3.96,4.06
200502,2.29,2.42
200503,1.26,1.83
200504,1.76,1.97
200505,4.58,4.88
200506,3.54,4.50
200507,3.68,4.23
