New York, Precipitation
Units: Inches
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,3.70,0.69
199002,3.66,1.13
199003,2.44,-0.58
199004,4.07,0.49
199005,6.37,2.60
199006,3.29,-0.95
199007,3.44,-0.80
199008,5.01,0.91
199009,2.96,-1.04
199010,6.39,1.96
199011,3.21,-0.15
199012,5.48,1.95
199101,2.52,-0.49
199102,1.62,-0.91
199103,3.91,0.89
199104,3.87,0.29
199105,3.21,-0.56
199106,1.60,-2.64
199107,3.04,-1.20
199108,4.15,0.05
199109,3.91,-0.09
199110,2.96,-1.47
199111,3.11,-0.25
199112,3.17,-0.36
199201,2.08,-0.93
199202,1.96,-0.57
199203,3.19,0.17
199204,3.39,-0.19
199205,3.60,-0.17
199206,2.87,-1.37
199207,6.49,2.25
199208,4.42,0.32
199209,4.03,0.03
199210,3.11,-1.32
199211,4.50,1.14
199212,3.05,-0.48
199301,3.02,0.01
199302,2.59,0.06
199303,3.82,0.80
199304,5.50,1.92
199305,1.70,-2.07
199306,3.93,-0.31
199307,2.44,-1.80
199308,2.87,-1.23
199309,4.91,0.91
199310,3.30,-1.13
199311,4.17,0.81
199312,3.12,-0.41
199401,3.88,0.87
199402,2.00,-0.53
199403,4.06,1.04
199404,3.61,0.03
199405,3.35,-0.42
199406,5.07,0.83
199407,3.46,-0.78
199408,5.50,1.40
199409,3.32,-0.68
199410,1.03,-3.40
199411,4.19,0.83
199412,2.64,-0.89
199501,3.09,0.08
199502,2.23,-0.30
199503,1.62,-1.40
199504,2.30,-1.28
199505,2.17,-1.60
199506,1.79,-2.45
199507,4.08,-0.16
199508,2.42,-1.68
199509,3.21,-0.79
199510,7.51,3.08
199511,4.30,0.94
199512,2.38,-1.15
199601,4.55,1.54
199602,2.03,-0.50
199603,2.07,-0.95
199604,5.26,1.68
199605,4.92,1.15
199606,4.81,0.57
199607,5.54,1.30
199608,2.69,-1.41
199609,5.25,1.25
199610,4.12,-0.31
199611,4.70,1.34
199612,4.89,1.36
199701,2.70,-0.31
199702,2.52,-0.01
199703,3.91,0.89
199704,2.63,-0.95
199705,3.22,-0.55
199706,2.97,-1.27
199707,3.24,-1.00
199708,4.10,0.00
199709,3.86,-0.14
199710,2.16,-2.27
199711,4.61,1.25
199712,3.09,-0.44
199801,5.24,2.23
199802,2.57,0.04
199803,3.64,0.62
199804,3.12,-0.46
199805,3.59,-0.18
199806,6.74,2.50
199807,3.94,-0.30
199808,3.41,-0.69
199809,2.78,-1.22
199810,2.84,-1.59
199811,1.84,-1.52
199812,1.69,-1.84
199901,5.58,2.57
199902,1.34,-1.19
199903,3.93,0.91
199904,1.79,-1.79
199905,2.61,-1.16
199906,2.19,-2.05
199907,3.28,-0.96
199908,2.84,-1.26
199909,7.09,3.09
199910,3.04,-1.39
199911,3.10,-0.26
199912,1.98,-1.55
200001,3.30,0.29
200002,2.88,0.35
200003,3.03,0.01
200004,5.16,1.58
200005,5.80,2.03
200006,5.32,1.08
200007,4.34,0.10
200008,4.16,0.06
200009,3.69,-0.31
200010,2.34,-2.09
200011,2.74,-0.62
200012,3.48,-0.05
200101,1.61,-1.40
200102,2.22,-0.31
200103,4.92,1.90
200104,1.18,-2.40
200105,2.94,-0.83
200106,4.29,0.05
200107,2.40,-1.84
200108,3.11,-0.99
200109,4.13,0.13
200110,2.36,-2.07
200111,2.24,-1.12
200112,2.74,-0.79
200201,2.19,-0.82
200202,2.30,-0.23
200203,3.31,0.29
200204,4.06,0.48
200205,5.34,1.57
200206,5.44,1.20
200207,2.00,-2.24
200208,2.63,-1.47
200209,4.60,0.60
200210,4.31,-0.12
200211,3.84,0.48
200212,3.54,0.01
200301,2.51,-0.50
200302,2.52,-0.01
200303,2.81,-0.21
200304,2.65,-0.93
200305,4.83,1.06
200306,4.08,-0.16
200307,4.53,0.29
200308,4.60,0.50
200309,5.43,1.43
200310,5.34,0.91
200311,4.30,0.94
200312,4.42,0.89
200401,2.24,-0.77
200402,1.49,-1.04
200403,2.37,-0.65
200404,3.80,0.22
200405,5.57,1.80
200406,2.88,-1.36
200407,6.08,1.84
200408,5.72,1.62
200409,5.32,1.32
200410,2.26,-2.17
200411,3.25,-0.11
200412,4.19,0.66
200501,3.90,0.89
200502,2.14,-0.39
200503,2.66,-0.36
200504,4.73,1.15
200505,1.59,-2.18
200506,3.62,-0.62
200507,4.05,-0.19
200508,4.24,0.14
200509,3.88,-0.12
200510,8.29,3.86
200511,4.95,1.59
200512,2.80,-0.73
200601,4.07,1.06
200602,2.02,-0.51
200603,1.73,-1.29
200604,3.36,-0.22
200605,3.73,-0.04
200606,7.16,2.92
200607,5.21,0.97
200608,4.26,0.16
200609,4.44,0.44
200610,6.16,1.73
200611,3.44,0.08
200612,3.31,-0.22
200701,3.97,0.96
200702,2.42,-0.11
200703,3.67,0.65
200704,4.92,1.34
200705,1.92,-1.85
200706,2.91,-1.33
200707,4.71,0.47
200708,2.55,-1.55
200709,3.31,-0.69
200710,5.01,0.58
200711,4.25,0.89
200712,4.83,1.30
200801,2.06,-0.95
200802,5.28,2.75
200803,5.15,2.13
200804,2.81,-0.77
200805,2.28,-1.49
200806,4.38,0.14
200807,5.52,1.28
200808,4.06,-0.04
200809,3.39,-0.61
200810,4.74,0.31
200811,2.77,-0.59
200812,5.29,1.76
200901,2.53,-0.48
200902,1.68,-0.85
200903,2.81,-0.21
200904,2.51,-1.07
200905,4.64,0.87
200906,5.03,0.79
200907,5.51,1.27
200908,5.05,0.95
200909,2.49,-1.51
200910,4.42,-0.01
200911,2.06,-1.30
200912,3.64,0.11
201001,2.41,-0.60
201002,2.72,0.19
201003,3.64,0.62
201004,2.09,-1.49
201005,2.63,-1.14
201006,5.57,1.33
201007,4.02,-0.22
201008,4.47,0.37
201009,3.30,-0.70
201010,6.90,2.47
201011,2.86,-0.50
201012,3.31,-0.22
201101,2.01,-1.00
201102,3.53,1.00
201103,4.51,1.49
201104,6.78,3.20
201105,6.17,2.40
