New York, Palmer Z-Index
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,1.54,1.14
199002,2.04,2.08
199003,-1.30,-1.11
199004,0.76,0.56
199005,4.19,4.22
199006,-0.58,-1.28
199007,-0.32,-1.05
199008,2.12,1.57
199009,-0.71,-1.09
199010,3.76,2.24
199011,-0.26,-0.22
199012,3.64,3.14
199101,-0.41,-0.81
199102,-1.71,-1.67
199103,1.17,1.36
199104,0.00,-0.20
199105,-1.58,-1.55
199106,-3.49,-4.19
199107,-1.78,-2.51
199108,-0.34,-0.89
199109,-0.05,-0.43
199110,-1.31,-2.83
199111,-1.42,-1.38
199112,0.00,-0.50
199201,-1.14,-1.54
199202,-1.09,-1.05
199203,0.37,0.56
199204,0.39,0.19
199205,-0.04,-0.01
199206,-0.74,-1.44
199207,5.15,4.42
199208,2.34,1.79
199209,1.40,1.02
199210,1.11,-0.41
199211,2.12,2.16
199212,-0.19,-0.69
199301,0.41,0.01
199302,0.07,0.11
199303,1.44,1.63
199304,3.64,3.44
199305,-2.81,-2.78
199306,0.43,-0.27
199307,-2.31,-3.04
199308,-2.36,-2.91
199309,1.36,0.98
199310,0.17,-1.35
199311,1.42,1.46
199312,-0.08,-0.58
199401,1.84,1.44
199402,-1.01,-0.97
199403,1.85,2.04
199404,0.08,-0.12
199405,0.00,0.03
199406,1.78,1.08
199407,-0.57,-1.30
199408,3.72,3.17
199409,0.27,-0.11
199410,-2.18,-3.70
199411,0.59,0.63
199412,-0.84,-1.34
199501,0.53,0.13
199502,-0.59,-0.55
199503,-2.83,-2.64
199504,-1.19,-1.39
199505,-1.90,-1.87
199506,-3.33,-4.03
199507,-0.52,-1.25
199508,-3.43,-3.98
199509,-1.10,-1.48
199510,4.01,2.49
199511,2.20,2.24
199512,-1.25,-1.75
199601,2.94,2.54
199602,-0.96,-0.92
199603,-1.53,-1.34
199604,3.77,3.57
199605,2.10,2.13
199606,1.48,0.78
199607,3.42,2.69
199608,-1.41,-1.96
199609,2.34,1.96
199610,1.94,0.42
199611,2.85,2.89
199612,2.71,2.21
199701,-0.11,-0.51
199702,-0.06,-0.02
199703,1.60,1.79
199704,-0.85,-1.05
199705,0.23,0.26
199706,-1.24,-1.94
199707,-0.55,-1.28
199708,0.80,0.25
199709,0.34,-0.04
199710,-1.30,-2.82
199711,1.80,1.84
199712,-0.13,-0.63
199801,4.08,3.68
199802,0.03,0.07
199803,0.70,0.89
199804,-1.04,-1.24
199805,-1.12,-1.09
199806,4.66,3.96
199807,0.65,-0.08
199808,-0.43,-0.98
199809,-1.51,-1.89
