Ohio, Palmer Z-Index
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,-0.42,-0.84
199002,2.82,2.45
199003,-2.73,-2.40
199004,-0.69,-0.92
199005,4.52,4.10
199006,0.16,-0.32
199007,3.93,3.42
199008,1.70,1.63
199009,2.44,1.97
199010,3.98,2.99
199011,0.39,0.08
199012,7.29,6.58
199101,-0.26,-0.68
199102,-0.39,-0.76
199103,-0.15,0.18
199104,-0.34,-0.57
199105,-2.57,-2.99
199106,-3.60,-4.08
199107,-2.92,-3.43
199108,-1.83,-1.90
199109,-1.03,-1.50
199110,-1.85,-2.84
199111,-3.36,-3.67
199112,-1.75,-2.46
199201,-1.45,-1.87
199202,-1.49,-1.86
199203,0.11,0.44
199204,-0.55,-0.78
199205,-0.59,-1.01
199206,-0.91,-1.39
199207,7.57,7.06
199208,1.80,1.73
199209,1.41,0.94
199210,0.46,-0.53
199211,3.87,3.56
199212,-0.39,-1.10
199301,1.20,0.78
199302,0.00,-0.37
199303,0.61,0.94
199304,0.71,0.48
199305,-2.21,-2.63
199306,1.03,0.55
199307,-0.34,-0.85
199308,-3.27,-3.34
199309,1.23,0.76
199310,0.67,-0.32
199311,2.23,1.92
199312,0.00,-0.71
199401,1.28,0.86
199402,-0.50,-0.87
199403,-0.55,-0.22
199404,1.21,0.98
199405,-1.05,-1.47
199406,-0.07,-0.55
199407,-0.44,-0.95
199408,1.50,1.43
199409,-1.39,-1.86
199410,-2.36,-3.35
199411,-1.16,-1.47
199412,-1.07,-1.78
199501,1.71,1.29
199502,-1.26,-1.63
199503,-2.46,-2.13
199504,0.38,0.15
199505,2.94,2.52
199506,0.25,-0.23
199507,-1.07,-1.58
199508,0.10,0.03
199509,-1.96,-2.43
199510,2.11,1.12
199511,0.46,0.15
199512,-0.02,-0.73
199601,1.63,1.21
199602,-0.03,-0.40
199603,0.27,0.60
199604,2.96,2.73
199605,3.46,3.04
199606,1.22,0.74
199607,1.59,1.08
199608,-2.28,-2.35
199609,3.62,3.15
199610,0.50,-0.49
199611,2.42,2.11
199612,2.16,1.45
199701,-0.21,-0.63
199702,-0.01,-0.38
199703,2.04,2.37
199704,-2.06,-2.29
199705,2.54,2.12
199706,1.83,1.35
199707,-0.47,-0.98
199708,2.88,2.81
199709,-0.45,-0.92
199710,-0.86,-1.85
199711,0.27,-0.04
199712,0.00,-0.71
199801,1.04,0.62
199802,0.00,-0.37
199803,-1.17,-0.84
199804,2.67,2.44
199805,-1.53,-1.95
199806,4.38,3.90
199807,-0.54,-1.05
199808,0.36,0.29
199809,-2.59,-3.06
199810,0.27,-0.72
199811,-2.17,-2.48
199812,-1.95,-2.66
199901,1.88,1.46
199902,0.53,0.16
199903,-1.54,-1.21
199904,0.25,0.02
199905,-2.40,-2.82
199906,-2.94,-3.42
199907,-1.95,-2.46
199908,-1.08,-1.15
199909,-2.15,-2.62
199910,-1.24,-2.23
199911,-2.80,-3.11
199912,-1.94,-2.65
200001,-0.52,-0.94
200002,1.30,0.93
200003,-1.98,-1.65
200004,0.76,0.53
200005,0.71,0.29
200006,1.25,0.77
200007,0.74,0.23
200008,1.18,1.11
200009,1.92,1.45
200010,0.06,-0.93
200011,-0.10,-0.41
200012,1.41,0.70
200101,-1.41,-1.83
200102,-1.00,-1.37
200103,-1.84,-1.51
200104,-0.65,-0.88
200105,1.72,1.30
200106,-0.93,-1.41
200107,-0.28,-0.79
200108,-0.29,-0.36
200109,0.39,-0.08
200110,2.89,1.90
200111,0.45,0.14
200112,0.54,-0.17
200201,-0.54,-0.96
200202,-0.98,-1.35
200203,0.59,0.92
200204,1.26,1.03
200205,2.22,1.80
200206,-0.78,-1.26
200207,-2.30,-2.81
200208,-3.02,-3.09
200209,0.53,0.06
200210,0.26,-0.73
200211,-0.71,-1.02
200212,-0.21,-0.92
200301,-0.99,-1.41
200302,1.03,0.66
200303,-1.86,-1.53
200304,-1.74,-1.97
200305,3.76,3.34
200306,0.65,0.17
200307,4.62,4.11
200308,2.39,2.32
200309,5.15,4.68
200310,1.53,0.54
200311,2.32,2.01
200312,0.97,0.26
200401,1.50,1.08
200402,-1.19,-1.56
200403,-0.56,-0.23
200404,-0.61,-0.84
200405,3.05,2.63
200406,1.15,0.67
200407,1.42,0.91
200408,1.80,1.73
200409,2.20,1.73
200410,1.36,0.37
200411,2.40,2.09
200412,1.62,0.91
200501,5.36,4.94
200502,-0.69,-1.06
200503,-0.63,-0.30
200504,0.87,0.64
200505,-1.17,-1.59
200506,-3.45,-3.93
200507,-0.72,-1.23
200508,1.14,1.07
200509,-0.22,-0.69
200510,-0.31,-1.30
200511,-0.32,-0.63
200512,-1.32,-2.03
200601,0.36,-0.06
200602,-0.79,-1.16
200603,-0.92,-0.59
200604,-1.22,-1.45
200605,0.57,0.15
200606,1.19,0.71
200607,2.43,1.92
200608,-0.39,-0.46
200609,3.25,2.78
200610,5.97,4.98
200611,0.63,0.32
200612,0.89,0.18
200701,2.58,2.16
200702,-0.18,-0.55
200703,0.39,0.72
200704,0.09,-0.14
200705,-3.50,-3.92
200706,-2.17,-2.65
200707,-0.73,-1.24
200708,2.05,1.98
200709,-1.52,-1.99
200710,-0.40,-1.39
200711,-0.56,-0.87
200712,2.24,1.53
200801,-0.06,-0.48
200802,3.98,3.61
200803,4.56,4.89
200804,-1.91,-2.14
200805,1.53,1.11
200806,3.14,2.66
200807,-0.17,-0.68
200808,-1.95,-2.02
200809,-1.14,-1.61
200810,-1.03,-2.02
200811,-1.37,-1.68
200812,1.87,1.16
200901,0.08,-0.34
200902,-0.21,-0.58
200903,-1.63,-1.30
200904,0.28,0.05
200905,-0.38,-0.80
200906,0.20,-0.28
200907,1.10,0.59
200908,-0.22,-0.29
200909,-0.34,-0.81
200910,2.93,1.94
200911,-1.60,-1.91
200912,0.89,0.18
201001,-0.81,-1.23
201002,-0.18,-0.55
201003,-1.08,-0.75
201004,-2.81,-3.04
201005,1.17,0.75
201006,2.76,2.28
201007,-0.90,-1.41
201008,-1.49,-1.56
201009,-1.61,-2.08
201010,-1.40,-2.39
201011,0.40,0.09
201012,-1.13,-1.84
201101,-1.17,-1.59
201102,3.52,3.15
201103,1.20,1.53
201104,5.37,5.14
201105,3.10,2.68
201106,-0.30,-0.78
201107,-0.88,-1.39
201108,0.36,0.29
201109,4.14,3.67
201110,3.51,2.52
201111,4.56,4.25
201112,2.71,2.00
201201,1.21,0.79
201202,-1.03,-1.40
201203,-2.23,-1.90
201204,-2.28,-2.51
201205,-1.28,-1.70
201206,-2.63,-3.11
201207,-2.16,-2.67
201208,-1.50,-1.57
201209,2.76,2.29
201210,2.95,1.96
201211,-1.40,-1.71
201212,2.63,1.92
201301,0.26,-0.16
201302,-0.43,-0.80
201303,-0.82,-0.49
201304,0.32,0.09
201305,-2.48,-2.90
201306,2.45,1.97
201307,4.32,3.81
201308,-0.43,-0.50
201309,-0.16,-0.63
201310,1.91,0.92
201311,1.67,1.36
201312,2.86,2.15
201401,-0.41,-0.83
201402,0.62,0.25
201403,-1.28,-0.95
201404,2.20,1.97
201405,-0.11,-0.53
201406,1.83,1.35
201407,0.09,-0.42
201408,1.39,1.32
201409,-0.75,-1.22
201410,0.95,-0.04
201411,-0.06,-0.37
201412,0.36,-0.35
201501,0.07,-0.35
201502,-1.03,-1.40
201503,0.62,0.95
201504,1.21,0.98
201505,-1.46,-1.88
201506,5.39,4.91
201507,1.68,1.17
201508,-0.78,-0.85
201509,-0.24,-0.71
201510,0.42,-0.57
201511,-1.07,-1.38
201512,1.35,0.64
201601,-1.33,-1.75
201602,1.46,1.09
201603,-0.07,0.26
201604,-0.23,-0.46
201605,-0.50,-0.92
201606,-1.14,-1.62
201607,-1.48,-1.99
201608,-0.10,-0.17
201609,0.10,-0.37
201610,-0.34,-1.33
201611,-3.20,-3.51
201612,-0.57,-1.28
201701,1.71,1.29
201702,-0.95,-1.32
201703,1.46,1.79
201704,-0.40,-0.63
201705,1.79,1.37
201706,0.92,0.44
201707,3.75,3.24
201708,-0.92,-0.99
201709,-1.49,-1.96
201710,1.35,0.36
201711,3.53,3.22
201712,-0.69,-1.40
201801,-0.12,-0.54
201802,4.37,4.00
201803,0.26,0.59
201804,2.30,2.07
201805,-1.16,-1.58
201806,1.73,1.25
201807,-0.97,-1.48
201808,1.87,1.80
201809,4.19,3.72
201810,1.29,0.30
201811,5.18,4.87
201812,1.58,0.87
201901,1.27,0.85
201902,3.63,3.26
201903,0.55,0.88
201904,0.69,0.46
201905,0.76,0.34
201906,3.93,3.45
201907,0.47,-0.04
201908,0.50,0.43
201909,-2.37,-2.84
201910,1.26,0.27
201911,-0.30,-0.61
201912,1.26,0.55
202001,1.21,0.79
202002,1.14,0.77
202003,1.55,1.88
202004,0.52,0.29
202005,1.84,1.42
202006,-1.23,-1.71
202007,-1.98,-2.49
202008,-0.29,-0.36
202009,-0.03,-0.50
202010,2.01,1.02
202011,-0.79,-1.10
202012,-0.57,-1.28
202101,-0.53,-0.95
202102,-0.21,-0.58
202103,-1.26,-0.93
202104,-1.15,-1.38
202105,0.13,-0.29
202106,0.10,-0.38
202107,2.75,2.24
202108,1.21,1.14
202109,1.17,0.70
202110,2.72,1.73
202111,0.21,-0.10
202112,1.77,1.06
202201,-0.11,-0.53
