Oregon, Precipitation
Units: Inches
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,6.02,1.50
199002,3.69,0.25
199003,2.24,-1.27
199004,2.50,-0.31
199005,2.80,0.46
199006,1.27,-0.16
199007,0.49,0.04
199008,1.35,0.86
199009,0.27,-0.73
199010,3.20,0.65
199011,3.58,-0.63
199012,2.50,-2.67
199101,2.44,-2.08
199102,2.47,-0.97
199103,4.50,0.99
199104,3.30,0.49
199105,3.80,1.46
199106,1.68,0.25
199107,0.43,-0.02
199108,0.56,0.07
199109,0.17,-0.83
199110,1.92,-0.63
199111,5.41,1.20
199112,2.89,-2.28
199201,2.68,-1.84
199202,2.70,-0.74
199203,1.27,-2.24
199204,3.57,0.76
199205,0.50,-1.84
199206,1.79,0.36
199207,1.06,0.61
199208,0.34,-0.15
199209,0.97,-0.03
199210,2.64,0.09
199211,4.09,-0.12
199212,5.94,0.77
199301,4.48,-0.04
199302,2.28,-1.16
199303,4.37,0.86
199304,4.80,1.99
199305,3.41,1.07
199306,2.50,1.07
199307,1.44,0.99
199308,1.09,0.60
199309,0.09,-0.91
199310,1.19,-1.36
199311,1.43,-2.78
199312,4.07,-1.10
199401,3.12,-1.40
199402,3.58,0.14
199403,2.01,-1.50
199404,2.21,-0.60
199405,2.05,-0.29
199406,1.29,-0.14
199407,0.26,-0.19
199408,0.09,-0.40
199409,0.86,-0.14
199410,2.89,0.34
199411,6.12,1.91
199412,4.11,-1.06
199501,7.02,2.50
199502,2.61,-0.83
199503,4.86,1.35
199504,3.95,1.14
199505,2.16,-0.18
199506,2.57,1.14
199507,1.01,0.56
199508,0.60,0.11
199509,1.08,0.08
199510,2.10,-0.45
199511,5.97,1.76
199512,7.49,2.32
199601,7.26,2.74
199602,6.28,2.84
199603,2.49,-1.02
199604,4.19,1.38
199605,3.69,1.35
199606,1.04,-0.39
199607,0.39,-0.06
199608,0.29,-0.20
199609,1.32,0.32
199610,3.63,1.08
199611,6.78,2.57
199612,11.51,6.34
199701,6.05,1.53
199702,2.26,-1.18
199703,4.06,0.55
199704,3.35,0.54
199705,1.65,-0.69
199706,1.88,0.45
199707,1.04,0.59
199708,0.77,0.28
199709,2.07,1.07
199710,3.76,1.21
199711,3.08,-1.13
199712,2.63,-2.54
199801,7.04,2.52
199802,4.79,1.35
199803,3.86,0.35
199804,2.18,-0.63
199805,5.48,3.14
199806,1.50,0.07
199807,0.66,0.21
199808,0.10,-0.39
199809,1.15,0.15
199810,1.86,-0.69
199811,8.32,4.11
199812,5.97,0.80
199901,5.31,0.79
199902,7.54,4.10
199903,3.18,-0.33
199904,1.43,-1.38
199905,2.01,-0.33
199906,0.88,-0.55
199907,0.20,-0.25
199908,1.11,0.62
199909,0.05,-0.95
199910,2.09,-0.46
199911,4.46,0.25
199912,3.38,-1.79
200001,5.97,1.45
200002,4.65,1.21
200003,2.72,-0.79
200004,2.09,-0.72
200005,2.10,-0.24
200006,1.01,-0.42
200007,0.35,-0.10
200008,0.10,-0.39
200009,1.10,0.10
200010,3.07,0.52
200011,2.06,-2.15
200012,2.69,-2.48
200101,1.81,-2.71
200102,1.60,-1.84
200103,2.54,-0.97
200104,2.60,-0.21
200105,1.28,-1.06
200106,1.41,-0.02
200107,0.77,0.32
200108,0.39,-0.10
200109,0.69,-0.31
200110,2.22,-0.33
200111,5.37,1.16
200112,6.16,0.99
200201,5.17,0.65
200202,2.29,-1.15
200203,3.10,-0.41
200204,2.42,-0.39
200205,1.06,-1.28
200206,1.07,-0.36
200207,0.19,-0.26
200208,0.24,-0.25
200209,0.62,-0.38
200210,0.45,-2.10
200211,2.54,-1.67
200212,7.06,1.89
200301,4.96,0.44
200302,2.36,-1.08
200303,4.93,1.42
200304,4.11,1.30
200305,1.89,-0.45
200306,0.21,-1.22
200307,0.25,-0.20
200308,0.49,0.00
200309,1.04,0.04
200310,1.29,-1.26
200311,3.75,-0.46
200312,6.78,1.61
200401,5.35,0.83
200402,3.86,0.42
200403,1.81,-1.70
200404,1.91,-0.90
200405,2.86,0.52
200406,1.23,-0.20
200407,0.25,-0.20
200408,1.71,1.22
200409,1.29,0.29
200410,3.32,0.77
200411,1.78,-2.43
200412,4.32,-0.85
200501,2.13,-2.39
200502,1.06,-2.38
200503,3.45,-0.06
200504,3.17,0.36
200505,4.81,2.47
200506,1.62,0.19
200507,0.33,-0.12
200508,0.09,-0.40
200509,0.65,-0.35
200510,2.55,0.00
200511,5.39,1.18
200512,7.97,2.80
200601,8.28,3.76
200602,2.37,-1.07
200603,3.81,0.30
200604,2.68,-0.13
200605,2.00,-0.34
200606,1.57,0.14
200607,0.23,-0.22
200608,0.20,-0.29
200609,0.71,-0.29
200610,1.07,-1.48
200611,8.08,3.87
200612,5.44,0.27
200701,2.62,-1.90
200702,4.54,1.10
200703,2.22,-1.29
200704,2.22,-0.59
200705,0.95,-1.39
200706,1.18,-0.25
200707,0.45,0.00
200708,0.59,0.10
200709,1.08,0.08
200710,3.56,1.01
200711,3.65,-0.56
200712,5.93,0.76
200801,5.87,1.35
200802,2.43,-1.01
200803,3.45,-0.06
200804,2.05,-0.76
200805,1.94,-0.40
200806,1.01,-0.42
200807,0.13,-0.32
200808,0.74,0.25
200809,0.32,-0.68
200810,1.42,-1.13
200811,3.83,-0.38
200812,5.44,0.27
200901,2.95,-1.57
200902,2.43,-1.01
200903,3.95,0.44
200904,2.01,-0.80
200905,2.65,0.31
200906,2.19,0.76
200907,0.17,-0.28
200908,0.76,0.27
200909,0.51,-0.49
200910,2.96,0.41
200911,3.70,-0.51
