Oregon, Palmer Z-Index
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,1.06,1.43
199002,0.22,0.67
199003,-2.29,-1.93
199004,-0.59,-1.25
199005,1.45,1.15
199006,-0.34,-0.01
199007,0.41,0.78
199008,1.20,1.89
199009,-2.16,-1.53
199010,0.94,1.05
199011,-0.87,-0.39
199012,-2.44,-2.53
199101,-2.45,-2.08
199102,-2.37,-1.92
199103,1.50,1.86
199104,1.80,1.14
199105,3.21,2.91
199106,0.71,1.04
199107,1.33,1.70
199108,-0.04,0.65
199109,-2.32,-1.69
199110,-1.12,-1.01
199111,0.38,0.86
199112,-2.19,-2.28
199201,-2.46,-2.09
199202,-2.03,-1.58
199203,-4.22,-3.86
199204,1.05,0.39
199205,-3.38,-3.68
199206,-1.04,-0.71
199207,-0.79,-0.42
199208,-1.23,-0.54
199209,-0.62,0.01
199210,-0.28,-0.17
199211,-0.57,-0.09
199212,0.92,0.83
199301,-0.19,0.18
199302,-1.54,-1.09
199303,0.71,1.07
199304,3.89,3.23
199305,1.53,1.23
199306,1.87,2.20
199307,3.48,3.85
199308,3.30,3.99
199309,-1.37,-0.74
199310,-1.86,-1.75
199311,-2.99,-2.51
199312,-1.54,-1.63
199401,-2.16,-1.79
199402,0.02,0.47
199403,-2.82,-2.46
199404,-0.58,-1.24
199405,-0.36,-0.66
199406,-0.41,-0.08
199407,-0.96,-0.59
199408,-1.80,-1.11
199409,-1.20,-0.57
199410,0.46,0.57
199411,2.18,2.66
199412,-0.43,-0.52
199501,2.34,2.71
199502,-2.11,-1.66
199503,1.71,2.07
199504,2.71,2.05
199505,0.08,-0.22
199506,1.82,2.15
199507,2.42,2.79
199508,0.85,1.54
199509,-0.18,0.45
199510,-0.39,-0.28
199511,0.96,1.44
199512,2.67,2.58
199601,2.79,3.16
199602,3.27,3.72
199603,-1.88,-1.52
199604,2.62,1.96
199605,2.89,2.59
199606,-0.70,-0.37
199607,-0.03,0.34
199608,-1.18,-0.49
199609,0.26,0.89
199610,1.38,1.49
199611,2.52,3.00
199612,6.81,6.72
199701,1.49,1.86
199702,-1.91,-1.46
199703,0.31,0.67
199704,1.74,1.08
199705,-1.32,-1.62
199706,0.36,0.69
199707,0.85,1.22
199708,0.45,1.14
199709,1.59,2.22
199710,1.74,1.85
199711,-1.23,-0.75
199712,-2.29,-2.38
199801,2.34,2.71
199802,1.28,1.73
199803,0.15,0.51
199804,-0.22,-0.88
199805,5.64,5.34
199806,0.16,0.49
199807,1.18,1.55
199808,-1.30,-0.61
199809,-0.63,0.00
199810,-0.84,-0.73
199811,3.55,4.03
199812,1.43,1.34
199901,0.50,0.87
199902,5.11,5.56
199903,-0.41,-0.05
199904,-0.98,-1.64
199905,0.37,0.07
199906,-0.84,-0.51
199907,-0.43,-0.06
199908,0.81,1.50
199909,-2.25,-1.62
199910,-0.92,-0.81
199911,-0.91,-0.43
199912,-1.95,-2.04
200001,1.43,1.80
200002,0.91,1.36
200003,-1.25,-0.89
200004,-0.96,-1.62
200005,0.04,-0.26
200006,-1.06,-0.73
200007,-0.94,-0.57
200008,-1.52,-0.83
200009,-0.30,0.33
200010,0.66,0.77
200011,-2.12,-1.64
200012,-2.67,-2.76
200101,-3.22,-2.85
200102,-2.54,-2.09
200103,-1.92,-1.56
200104,0.82,0.16
200105,-1.77,-2.07
200106,-0.49,-0.16
200107,-0.28,0.09
200108,-0.84,-0.15
200109,-1.38,-0.75
200110,-0.63,-0.52
200111,0.38,0.86
200112,1.30,1.21
200201,0.58,0.95
200202,-1.90,-1.45
200203,-0.46,-0.10
200204,0.01,-0.65
200205,-1.38,-1.68
200206,-1.21,-0.88
200207,-2.11,-1.74
200208,-1.66,-0.97
200209,-1.45,-0.82
200210,-2.68,-2.57
200211,-2.89,-2.41
200212,1.15,1.06
200301,-0.31,0.06
200302,-1.77,-1.32
200303,1.40,1.76
200304,3.09,2.43
200305,-0.27,-0.57
200306,-2.47,-2.14
200307,-2.72,-2.35
200308,-1.61,-0.92
200309,-0.92,-0.29
200310,-2.27,-2.16
200311,-1.12,-0.64
200312,1.35,1.26
200401,0.78,1.15
200402,0.18,0.63
200403,-3.40,-3.04
200404,-1.13,-1.79
200405,1.23,0.93
200406,-0.56,-0.23
200407,-0.34,0.03
200408,1.57,2.26
200409,0.28,0.91
200410,0.95,1.06
200411,-2.65,-2.17
200412,-1.26,-1.35
200501,-2.96,-2.59
200502,-3.63,-3.18
200503,-0.80,-0.44
200504,1.30,0.64
200505,4.02,3.72
200506,0.50,0.83
200507,0.92,1.29
200508,-1.29,-0.60
200509,-1.04,-0.41
200510,-0.18,-0.07
200511,0.77,1.25
200512,3.25,3.16
200601,3.75,4.12
200602,-1.62,-1.17
200603,0.62,0.98
200604,0.46,-0.20
200605,-0.41,-0.71
200606,-0.29,0.04
200607,-1.31,-0.94
200608,-1.69,-1.00
200609,-1.29,-0.66
200610,-2.00,-1.89
200611,3.12,3.60
200612,0.83,0.74
200701,-2.25,-1.88
200702,0.88,1.33
200703,-2.72,-2.36
200704,-0.24,-0.90
200705,-1.99,-2.29
200706,-1.12,-0.79
200707,-1.74,-1.37
200708,-1.03,-0.34
200709,-0.33,0.30
200710,1.43,1.54
200711,-0.72,-0.24
200712,1.06,0.97
200801,1.35,1.72
200802,-1.78,-1.33
200803,0.10,0.46
200804,0.24,-0.42
200805,-0.26,-0.56
200806,-0.74,-0.41
200807,-1.13,-0.76
200808,-0.40,0.29
200809,-1.97,-1.34
200810,-1.66,-1.55
200811,-1.65,-1.17
200812,0.08,-0.01
200901,-2.09,-1.72
200902,-1.68,-1.23
200903,0.82,1.18
200904,-0.34,-1.00
200905,0.58,0.28
200906,1.04,1.37
200907,0.40,0.77
200908,-0.13,0.56
200909,-1.73,-1.10
200910,0.80,0.91
200911,-0.74,-0.26
200912,-1.59,-1.68
201001,-0.60,-0.23
201002,-1.76,-1.31
201003,-0.19,0.17
201004,2.72,2.06
201005,2.16,1.86
201006,2.41,2.74
201007,1.45,1.82
201008,0.26,0.95
201009,0.74,1.37
201010,1.19,1.30
201011,0.60,1.08
201012,2.43,2.34
201101,-1.84,-1.47
201102,-0.35,0.10
201103,3.98,4.34
201104,3.21,2.55
201105,2.72,2.42
201106,0.24,0.57
201107,1.39,1.76
201108,-0.48,0.21
201109,-2.26,-1.63
201110,-0.82,-0.71
201111,-1.29,-0.81
201112,-2.72,-2.81
201201,1.02,1.39
201202,-1.04,-0.59
201203,5.07,5.43
201204,1.21,0.55
201205,-0.21,-0.51
201206,1.68,2.01
201207,1.19,1.56
201208,-1.08,-0.39
201209,-2.60,-1.97
201210,1.40,1.51
201211,0.94,1.42
201212,2.19,2.10
201301,-2.27,-1.90
201302,-2.75,-2.30
201303,-2.81,-2.45
201304,-0.30,-0.96
201305,0.33,0.03
201306,-0.20,0.13
201307,-0.64,-0.27
201308,-0.38,0.31
201309,5.59,6.22
201310,-1.40,-1.29
201311,-2.49,-2.01
201312,-3.51,-3.60
201401,-3.19,-2.82
201402,2.63,3.08
201403,2.18,2.54
201404,0.02,-0.64
201405,-0.73,-1.03
201406,-0.78,-0.45
201407,-1.04,-0.67
201408,-0.85,-0.16
201409,-0.61,0.02
201410,0.56,0.67
201411,-0.42,0.06
201412,0.99,0.90
201501,-3.53,-3.16
201502,-0.95,-0.50
201503,-2.54,-2.18
201504,-1.25,-1.91
201505,-0.20,-0.50
201506,-2.57,-2.24
201507,-2.02,-1.65
201508,-1.62,-0.93
201509,-1.00,-0.37
201510,-1.68,-1.57
201511,-1.08,-0.60
201512,4.85,4.76
201601,0.47,0.84
201602,-2.23,-1.78
201603,1.49,1.85
201604,-1.82,-2.48
201605,-1.20,-1.50
201606,-1.49,-1.16
201607,-1.22,-0.85
201608,-1.75,-1.06
201609,-1.27,-0.64
201610,5.99,6.10
201611,0.45,0.93
201612,0.72,0.63
201701,0.40,0.77
201702,3.58,4.03
201703,2.59,2.95
201704,2.57,1.91
201705,-0.99,-1.29
201706,-0.64,-0.31
201707,-1.95,-1.58
201708,-2.19,-1.50
201709,-0.15,0.48
201710,0.71,0.82
201711,0.53,1.01
201712,-2.56,-2.65
201801,-1.08,-0.71
201802,-1.66,-1.21
201803,-0.23,0.13
201804,1.27,0.61
201805,-1.85,-2.15
201806,-1.19,-0.86
201807,-2.48,-2.11
201808,-2.17,-1.48
201809,-1.96,-1.33
201810,-0.80,-0.69
201811,-2.45,-1.97
201812,-0.97,-1.06
201901,-1.60,-1.23
201902,4.06,4.51
201903,-1.98,-1.62
201904,3.34,2.68
201905,0.50,0.20
201906,-1.47,-1.14
201907,-1.06,-0.69
201908,-0.52,0.17
201909,2.81,3.44
201910,-0.75,-0.64
201911,-3.97,-3.49
201912,-2.39,-2.48
202001,1.85,2.22
202002,-2.12,-1.67
202003,-1.74,-1.38
202004,-1.79,-2.45
202005,1.07,0.77
202006,0.78,1.11
202007,0.24,0.61
202008,-1.27,-0.58
202009,-1.19,-0.56
202010,-2.03,-1.92
202011,-0.48,0.00
202012,-1.31,-1.40
202101,-0.41,-0.04
202102,1.13,1.58
202103,-2.53,-2.17
202104,-2.89,-3.55
202105,-2.00,-2.30
202106,-2.65,-2.32
202107,-4.06,-3.69
202108,-2.46,-1.77
202109,0.78,1.41
202110,0.65,0.76
202111,-1.07,-0.59
202112,0.68,0.59
202201,-1.90,-1.53
