Pennsylvania, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,34.2,7.4
199002,33.9,4.9
199003,40.2,3.1
199004,48.8,0.4
199005,55.2,-3.2
199006,66.0,-1.0
199007,69.9,-1.2
199008,68.2,-1.4
199009,60.8,-2.0
199010,53.5,1.9
199011,43.1,2.3
199012,34.4,2.5
199101,26.6,-0.2
199102,32.4,3.4
199103,39.4,2.3
199104,50.0,1.6
199105,64.4,6.0
199106,68.4,1.4
199107,72.0,0.9
199108,70.7,1.1
199109,60.9,-1.9
199110,51.9,0.3
199111,39.3,-1.5
199112,32.7,0.8
199201,28.2,1.4
199202,30.9,1.9
199203,34.4,-2.7
199204,46.8,-1.6
199205,55.8,-2.6
199206,63.1,-3.9
199207,69.1,-2.0
199208,65.4,-4.2
199209,60.6,-2.2
199210,47.0,-4.6
199211,40.2,-0.6
199212,30.3,-1.6
199301,30.4,3.6
199302,23.5,-5.5
199303,32.8,-4.3
199304,47.4,-1.0
199305,58.7,0.3
199306,65.8,-1.2
199307,72.3,1.2
199308,70.2,0.6
199309,60.6,-2.2
199310,48.5,-3.1
199311,39.8,-1.0
199312,28.8,-3.1
199401,17.8,-9.0
199402,24.1,-4.9
199403,33.8,-3.3
199404,50.5,2.1
199405,53.9,-4.5
199406,68.8,1.8
199407,72.1,1.0
199408,66.4,-3.2
199409,60.3,-2.5
199410,49.3,-2.3
199411,44.4,3.6
199412,34.6,2.7
199501,29.8,3.0
199502,23.9,-5.1
199503,39.7,2.6
199504,45.0,-3.4
199505,56.4,-2.0
199506,67.6,0.6
199507,72.1,1.0
199508,72.4,2.8
199509,60.4,-2.4
199510,53.8,2.2
199511,35.4,-5.4
199512,25.1,-6.8
199601,23.6,-3.2
199602,27.0,-2.0
199603,31.8,-5.3
199604,47.1,-1.3
199605,55.6,-2.8
199606,67.9,0.9
199607,68.1,-3.0
199608,68.7,-0.9
199609,61.9,-0.9
199610,50.5,-1.1
199611,35.2,-5.6
199612,34.0,2.1
199701,25.1,-1.7
199702,33.0,4.0
199703,37.6,0.5
199704,44.6,-3.8
199705,52.7,-5.7
199706,65.9,-1.1
199707,69.5,-1.6
199708,66.8,-2.8
199709,60.4,-2.4
199710,50.5,-1.1
