Rhode Island, Precipitation
Units: Inches
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,5.27,1.36
199002,3.35,-0.11
199003,1.99,-2.66
199004,5.29,0.87
199005,6.21,2.53
199006,1.40,-2.42
199007,4.98,1.44
199008,5.42,1.47
199009,2.37,-1.76
199010,6.22,1.38
199011,2.28,-1.74
199012,5.21,0.51
199101,3.35,-0.56
199102,2.12,-1.34
199103,5.87,1.22
199104,4.12,-0.30
199105,3.19,-0.49
199106,1.20,-2.62
199107,2.63,-0.91
199108,7.37,3.42
199109,6.19,2.06
199110,2.84,-2.00
199111,4.79,0.77
199112,3.05,-1.65
199201,3.86,-0.05
199202,2.22,-1.24
199203,3.90,-0.75
199204,2.50,-1.92
199205,1.26,-2.42
199206,4.62,0.80
199207,3.62,0.08
199208,7.15,3.20
199209,4.58,0.45
199210,2.04,-2.80
199211,5.26,1.24
199212,7.13,2.43
199301,2.53,-1.38
199302,4.23,0.77
199303,6.69,2.04
199304,4.90,0.48
199305,1.13,-2.55
199306,1.68,-2.14
199307,3.11,-0.43
199308,1.62,-2.33
199309,4.47,0.34
199310,3.74,-1.10
199311,3.48,-0.54
199312,6.18,1.48
199401,5.38,1.47
199402,2.65,-0.81
199403,7.28,2.63
199404,2.21,-2.21
199405,3.36,-0.32
199406,2.22,-1.60
199407,1.86,-1.68
199408,6.16,2.21
199409,4.06,-0.07
199410,0.59,-4.25
199411,5.33,1.31
199412,4.90,0.20
199501,3.61,-0.30
199502,3.13,-0.33
199503,2.56,-2.09
199504,2.86,-1.56
199505,3.32,-0.36
199506,2.74,-1.08
199507,1.89,-1.65
199508,1.96,-1.99
199509,3.50,-0.63
199510,6.85,2.01
199511,5.21,1.19
199512,2.56,-2.14
199601,5.98,2.07
199602,3.14,-0.32
199603,2.96,-1.69
199604,6.16,1.74
199605,3.36,-0.32
199606,2.24,-1.58
199607,5.97,2.43
199608,2.79,-1.16
199609,6.48,2.35
199610,7.19,2.35
199611,2.64,-1.38
199612,7.55,2.85
199701,4.01,0.10
199702,2.13,-1.33
199703,4.94,0.29
199704,4.72,0.30
199705,2.84,-0.84
199706,1.65,-2.17
199707,1.91,-1.63
199708,6.09,2.14
199709,1.22,-2.91
199710,2.06,-2.78
199711,6.12,2.10
199712,3.19,-1.51
