Rhode Island, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,35.2,5.9
199002,32.9,2.1
199003,38.7,0.9
199004,46.6,-1.1
199005,54.2,-3.3
199006,65.9,-0.7
199007,71.3,-1.0
199008,71.8,0.6
199009,61.9,-2.1
199010,56.7,3.3
199011,44.8,1.3
199012,38.2,3.4
199101,28.2,-1.1
199102,33.6,2.8
199103,39.8,2.0
199104,49.8,2.1
199105,61.9,4.4
199106,67.0,0.4
199107,71.6,-0.7
199108,71.3,0.1
199109,61.1,-2.9
199110,54.1,0.7
199111,43.5,0.0
199112,34.6,-0.2
199201,29.4,0.1
199202,30.8,0.0
199203,34.5,-3.3
199204,44.2,-3.5
199205,55.7,-1.8
199206,64.7,-1.9
199207,68.2,-4.1
199208,67.8,-3.4
199209,61.9,-2.1
199210,49.7,-3.7
199211,41.1,-2.4
199212,32.8,-2.0
199301,30.1,0.8
199302,24.4,-6.4
199303,34.2,-3.6
199304,47.1,-0.6
199305,59.0,1.5
199306,66.3,-0.3
199307,71.9,-0.4
199308,71.3,0.1
199309,62.8,-1.2
199310,50.1,-3.3
199311,42.7,-0.8
199312,32.2,-2.6
199401,21.3,-8.0
199402,24.6,-6.2
199403,36.8,-1.0
199404,49.0,1.3
199405,55.0,-2.5
199406,68.0,1.4
199407,74.7,2.4
199408,68.5,-2.7
199409,61.5,-2.5
199410,51.9,-1.5
199411,46.7,3.2
199412,36.6,1.8
199501,34.1,4.8
199502,27.8,-3.0
199503,39.5,1.7
199504,46.2,-1.5
199505,55.4,-2.1
199506,66.2,-0.4
199507,73.4,1.1
199508,70.7,-0.5
199509,61.4,-2.6
199510,55.7,2.3
199511,39.9,-3.6
199512,28.4,-6.4
199601,27.6,-1.7
199602,28.3,-2.5
199603,34.2,-3.6
199604,46.7,-1.0
199605,56.0,-1.5
199606,66.6,0.0
199607,69.4,-2.9
199608,69.8,-1.4
199609,62.8,-1.2
199610,51.2,-2.2
199611,38.7,-4.8
199612,37.6,2.8
199701,28.4,-0.9
199702,35.4,4.6
199703,36.7,-1.1
199704,45.6,-2.1
199705,54.0,-3.5
199706,66.0,-0.6
199707,71.2,-1.1
199708,69.0,-2.2
199709,62.5,-1.5
199710,50.9,-2.5
199711,40.2,-3.3
199712,33.4,-1.4
199801,34.3,5.0
199802,36.0,5.2
199803,39.9,2.1
199804,48.4,0.7
199805,59.8,2.3
199806,64.9,-1.7
199807,71.6,-0.7
199808,71.6,0.4
199809,64.7,0.7
199810,52.7,-0.7
199811,42.6,-0.9
199812,37.7,2.9
199901,29.6,0.3
199902,33.4,2.6
199903,38.8,1.0
199904,48.3,0.6
199905,58.4,0.9
199906,68.6,2.0
199907,74.4,2.1
199908,70.4,-0.8
199909,65.5,1.5
199910,51.4,-2.0
199911,46.5,3.0
199912,35.7,0.9
200001,26.8,-2.5
200002,33.0,2.2
200003,42.3,4.5
200004,46.1,-1.6
200005,57.2,-0.3
200006,66.2,-0.4
200007,68.5,-3.8
200008,68.7,-2.5
200009,62.2,-1.8
200010,52.3,-1.1
200011,42.2,-1.3
200012,28.1,-6.7
200101,28.0,-1.3
200102,30.9,0.1
200103,35.3,-2.5
200104,47.5,-0.2
200105,58.9,1.4
200106,68.9,2.3
200107,68.2,-4.1
200108,72.7,1.5
200109,63.6,-0.4
200110,53.6,0.2
200111,46.9,3.4
200112,38.6,3.8
200201,34.7,5.4
200202,34.9,4.1
200203,39.3,1.5
200204,50.0,2.3
200205,55.3,-2.2
200206,64.6,-2.0
200207,72.5,0.2
200208,72.6,1.4
200209,65.6,1.6
200210,51.1,-2.3
200211,41.7,-1.8
200212,31.8,-3.0
200301,23.5,-5.8
200302,25.2,-5.6
200303,36.8,-1.0
200304,44.2,-3.5
200305,54.0,-3.5
200306,64.2,-2.4
200307,71.7,-0.6
200308,73.0,1.8
200309,64.6,0.6
200310,50.7,-2.7
200311,45.2,1.7
200312,34.7,-0.1
200401,20.2,-9.1
200402,30.9,0.1
200403,37.9,0.1
200404,48.1,0.4
200405,58.7,1.2
200406,64.9,-1.7
200407,70.0,-2.3
200408,69.8,-1.4
200409,63.8,-0.2
200410,51.7,-1.7
200411,42.5,-1.0
200412,33.4,-1.4
200501,26.3,-3.0
200502,30.3,-0.5
200503,33.3,-4.5
200504,48.5,0.8
200505,52.1,-5.4
200506,68.1,1.5
200507,72.0,-0.3
200508,73.8,2.6
200509,66.3,2.3
200510,54.0,0.6
200511,45.1,1.6
200512,31.3,-3.5
200601,36.0,6.7
200602,30.6,-0.2
200603,37.3,-0.5
200604,48.7,1.0
200605,57.0,-0.5
200606,67.1,0.5
200607,74.2,1.9
200608,70.0,-1.2
200609,61.8,-2.2
200610,52.0,-1.4
200611,47.7,4.2
200612,39.7,4.9
200701,32.8,3.5
200702,25.4,-5.4
200703,36.7,-1.1
200704,44.8,-2.9
200705,59.0,1.5
200706,66.5,-0.1
200707,71.6,-0.7
200708,71.0,-0.2
200709,65.1,1.1
200710,58.0,4.6
200711,41.1,-2.4
200712,31.4,-3.4
200801,31.7,2.4
200802,31.8,1.0
200803,37.9,0.1
200804,49.3,1.6
200805,55.4,-2.1
200806,69.0,2.4
200807,73.9,1.6
200808,68.4,-2.8
200809,63.9,-0.1
200810,51.2,-2.2
200811,42.0,-1.5
200812,34.8,0.0
200901,23.4,-5.9
200902,32.0,1.2
200903,37.2,-0.6
200904,49.4,1.7
200905,57.7,0.2
200906,63.4,-3.2
200907,69.1,-3.2
200908,72.7,1.5
200909,61.7,-2.3
200910,50.8,-2.6
200911,47.8,4.3
200912,32.1,-2.7
201001,28.4,-0.9
201002,31.4,0.6
201003,43.6,5.8
201004,52.0,4.3
201005,60.9,3.4
201006,68.9,2.3
201007,75.0,2.7
201008,70.8,-0.4
201009,65.5,1.5
201010,53.5,0.1
201011,43.3,-0.2
201012,30.3,-4.5
201101,25.2,-4.1
201102,28.8,-2.0
201103,38.0,0.2
201104,49.1,1.4
201105,58.9,1.4
201106,66.2,-0.4
201107,73.8,1.5
201108,71.3,0.1
201109,66.5,2.5
201110,54.9,1.5
201111,47.8,4.3
201112,39.0,4.2
201201,33.5,4.2
201202,35.7,4.9
201203,45.5,7.7
201204,50.1,2.4
201205,60.6,3.1
201206,65.7,-0.9
201207,73.6,1.3
201208,72.5,1.3
201209,63.3,-0.7
201210,55.4,2.0
201211,41.0,-2.5
201212,37.6,2.8
201301,30.4,1.1
201302,30.2,-0.6
201303,37.1,-0.7
201304,47.7,0.0
201305,58.5,1.0
201306,68.0,1.4
201307,76.4,4.1
201308,69.1,-2.1
201309,62.1,-1.9
201310,54.0,0.6
201311,41.3,-2.2
201312,33.0,-1.8
201401,26.1,-3.2
201402,27.2,-3.6
201403,32.8,-5.0
201404,47.0,-0.7
201405,58.0,0.5
201406,66.4,-0.2
201407,72.3,0.0
201408,68.6,-2.6
201409,64.4,0.4
201410,55.3,1.9
201411,41.4,-2.1
201412,37.4,2.6
201501,25.5,-3.8
201502,17.7,-13.1
201503,31.8,-6.0
201504,47.2,-0.5
201505,61.2,3.7
