Rhode Island, Palmer Z-Index
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,1.23,1.21
199002,-0.04,-0.12
199003,-2.44,-2.77
199004,1.27,1.05
199005,2.89,2.95
199006,-1.94,-2.28
199007,1.53,1.34
199008,1.18,1.37
199009,-0.97,-1.21
199010,2.26,1.01
199011,-1.79,-1.41
199012,0.85,0.35
199101,-0.50,-0.52
199102,-1.64,-1.72
199103,1.38,1.05
199104,-0.35,-0.57
199105,-1.11,-1.05
199106,-2.37,-2.71
199107,-1.44,-1.63
199108,2.48,2.67
199109,2.67,2.43
199110,-0.36,-1.61
199111,0.63,1.01
199112,-0.92,-1.42
199201,0.01,-0.01
199202,-1.40,-1.48
199203,-0.12,-0.45
199204,-1.37,-1.59
199205,-2.28,-2.22
199206,1.04,0.70
199207,0.86,0.67
199208,3.40,3.59
199209,1.67,1.43
199210,-0.74,-1.99
199211,1.25,1.63
199212,2.98,2.48
199301,-1.31,-1.33
199302,1.13,1.05
199303,2.73,2.40
199304,0.80,0.58
199305,-2.82,-2.76
199306,-2.27,-2.61
199307,-1.11,-1.30
199308,-2.93,-2.74
199309,0.07,-0.17
199310,0.14,-1.11
199311,-1.10,-0.72
199312,2.12,1.62
199401,1.53,1.51
199402,-0.86,-0.94
199403,3.10,2.77
199404,-2.26,-2.48
199405,-0.08,-0.02
199406,-1.34,-1.68
199407,-2.12,-2.31
199408,1.61,1.80
199409,0.47,0.23
199410,-3.01,-4.26
199411,-0.04,0.34
199412,0.67,0.17
199501,-0.35,-0.37
199502,-0.26,-0.34
199503,-1.95,-2.28
199504,-1.23,-1.45
199505,-0.17,-0.11
199506,-0.63,-0.97
199507,-1.65,-1.84
199508,-2.44,-2.25
199509,-0.60,-0.84
199510,2.68,1.43
199511,1.23,1.61
199512,-1.24,-1.74
199601,2.12,2.10
199602,-0.25,-0.33
199603,-1.05,-1.38
199604,2.17,1.95
199605,-0.20,-0.14
199606,-1.17,-1.51
199607,3.08,2.89
199608,-0.67,-0.48
199609,2.65,2.41
199610,4.60,3.35
199611,-0.99,-0.61
199612,3.07,2.57
199701,0.16,0.14
199702,-1.77,-1.85
199703,0.74,0.41
199704,0.79,0.57
199705,-0.48,-0.42
199706,-1.70,-2.04
199707,-1.77,-1.96
199708,1.58,1.77
199709,-2.18,-2.42
199710,-1.81,-3.06
199711,1.02,1.40
199712,-0.72,-1.22
199801,2.39,2.37
199802,2.59,2.51
199803,1.50,1.17
199804,1.05,0.83
199805,1.59,1.65
199806,7.64,7.30
199807,-0.46,-0.65
199808,-0.50,-0.31
199809,-1.36,-1.60
199810,0.47,-0.78
199811,-1.98,-1.60
199812,-2.54,-3.04
199901,2.93,2.91
199902,2.13,2.05
199903,0.47,0.14
199904,-3.02,-3.24
199905,0.09,0.15
199906,-3.43,-3.77
199907,-2.52,-2.71
199908,-1.95,-1.76
199909,2.58,2.34
199910,2.58,1.33
199911,-1.45,-1.07
199912,-1.26,-1.76
200001,0.09,0.07
200002,-0.32,-0.40
200003,0.53,0.20
200004,2.02,1.80
200005,-0.11,-0.05
200006,1.66,1.32
200007,1.93,1.74
200008,0.13,0.32
200009,0.75,0.51
200010,-1.91,-3.16
200011,-0.30,0.08
200012,0.79,0.29
200101,-1.05,-1.07
200102,-1.03,-1.11
200103,5.82,5.49
200104,-2.25,-2.47
200105,0.20,0.26
200106,2.70,2.36
200107,0.69,0.50
200108,0.43,0.62
200109,-0.44,-0.68
200110,-2.26,-3.51
200111,-3.99,-3.61
200112,-2.27,-2.77
200201,-1.29,-1.31
200202,-2.01,-2.09
200203,0.13,-0.20
200204,-0.90,-1.12
200205,2.18,2.24
200206,0.94,0.60
200207,-1.66,-1.85
200208,-2.13,-1.94
200209,0.80,0.56
200210,0.59,-0.66
200211,1.62,2.00
200212,1.52,1.02
200301,-1.51,-1.53
200302,1.05,0.97
200303,1.06,0.73
200304,1.12,0.90
200305,0.26,0.32
200306,2.90,2.56
200307,0.87,0.68
200308,0.91,1.10
200309,0.51,0.27
200310,3.54,2.29
200311,-1.81,-1.43
200312,1.30,0.80
200401,-2.11,-2.13
200402,-1.39,-1.47
200403,-1.43,-1.76
200404,3.76,3.54
200405,-0.98,-0.92
200406,-1.56,-1.90
200407,-0.30,-0.49
200408,1.82,2.01
200409,3.06,2.82
200410,-0.48,-1.73
200411,0.43,0.81
200412,0.97,0.47
200501,0.96,0.94
200502,-0.45,-0.53
200503,1.28,0.95
200504,1.17,0.95
200505,1.33,1.39
200506,-2.32,-2.66
200507,-2.09,-2.28
200508,-0.92,-0.73
200509,-1.24,-1.48
200510,11.02,9.77
200511,1.33,1.71
200512,0.29,-0.21
200601,1.66,1.64
200602,-0.75,-0.83
200603,-3.73,-4.06
200604,-1.42,-1.64
200605,4.03,4.09
200606,7.11,6.77
200607,-0.23,-0.42
200608,0.53,0.72
200609,-0.45,-0.69
200610,3.88,2.63
200611,1.96,2.34
200612,-1.98,-2.48
200701,0.12,0.10
200702,-1.15,-1.23
200703,1.82,1.49
200704,4.50,4.28
200705,-1.16,-1.10
200706,-0.46,-0.80
200707,0.09,-0.10
200708,-2.49,-2.30
200709,-2.06,-2.30
200710,-2.25,-3.50
200711,-1.96,-1.58
200712,0.45,-0.05
200801,-0.96,-0.98
200802,4.56,4.48
200803,1.35,1.02
200804,-0.24,-0.46
200805,-1.02,-0.96
200806,-0.91,-1.25
200807,1.33,1.14
200808,-0.33,-0.14
200809,4.89,4.65
200810,-0.76,-2.01
200811,0.41,0.79
200812,3.31,2.81
200901,-0.04,-0.06
200902,-1.73,-1.81
200903,-1.55,-1.88
200904,1.20,0.98
200905,-0.33,-0.27
200906,1.45,1.11
200907,8.43,8.24
200908,-0.34,-0.15
200909,-0.92,-1.16
200910,3.64,2.39
200911,-0.83,-0.45
200912,1.98,1.48
201001,-0.56,-0.58
201002,1.79,1.71
201003,9.98,9.65
201004,-2.91,-3.13
201005,-1.46,-1.40
201006,-0.09,-0.43
201007,0.01,-0.18
201008,-1.00,-0.81
201009,-1.24,-1.48
201010,0.35,-0.90
201011,-0.94,-0.56
201012,0.28,-0.22
201101,0.21,0.19
201102,1.54,1.46
201103,-1.84,-2.17
201104,1.02,0.80
201105,-0.52,-0.46
201106,1.05,0.71
201107,-0.41,-0.60
201108,3.85,4.04
201109,2.92,2.68
201110,4.50,3.25
201111,0.03,0.41
201112,-0.34,-0.84
201201,-0.62,-0.64
201202,-3.02,-3.10
201203,-3.74,-4.07
201204,-1.34,-1.56
201205,0.46,0.52
201206,0.92,0.58
201207,0.76,0.57
201208,0.26,0.45
201209,0.87,0.63
201210,0.35,-0.90
201211,-2.68,-2.30
201212,1.46,0.96
201301,-1.98,-2.00
201302,1.83,1.75
201303,-1.78,-2.11
201304,-2.53,-2.75
201305,-0.29,-0.23
201306,6.66,6.32
201307,-0.49,-0.68
201308,-0.53,-0.34
201309,-0.53,-0.77
201310,-3.24,-4.49
201311,-1.04,-0.66
201312,0.05,-0.45
201401,-0.54,-0.56
201402,1.13,1.05
201403,2.04,1.71
201404,0.46,0.24
201405,-0.56,-0.50
201406,-1.08,-1.42
201407,1.37,1.18
201408,-1.11,-0.92
201409,-2.90,-3.14
201410,0.16,-1.09
201411,0.44,0.82
201412,1.65,1.15
201501,-0.14,-0.16
201502,-0.84,-0.92
201503,0.31,-0.02
201504,-1.73,-1.95
201505,-3.20,-3.14
201506,1.48,1.14
201507,-0.28,-0.47
201508,-1.69,-1.50
201509,-0.53,-0.77
201510,0.14,-1.11
201511,-2.28,-1.90
201512,0.13,-0.37
201601,-0.64,-0.66
201602,2.35,2.27
201603,-2.19,-2.52
201604,-0.05,-0.27
201605,-0.34,-0.28
201606,-2.01,-2.35
201607,-1.43,-1.62
201608,-1.98,-1.79
201609,-1.77,-2.01
201610,2.12,0.87
201611,-1.26,-0.88
201612,-0.45,-0.95
201701,0.86,0.84
201702,-1.52,-1.60
201703,-0.27,-0.60
201704,1.99,1.77
201705,2.73,2.79
201706,0.32,-0.02
201707,0.74,0.55
201708,-1.74,-1.55
201709,-1.08,-1.32
201710,2.94,1.69
201711,-1.22,-0.84
201712,-1.04,-1.54
201801,1.93,1.91
201802,2.48,2.40
201803,1.25,0.92
201804,1.65,1.43
201805,-1.91,-1.85
201806,-0.94,-1.28
201807,-1.48,-1.67
201808,-0.53,-0.34
201809,3.05,2.81
201810,3.64,2.39
201811,5.26,5.64
201812,0.53,0.03
201901,2.56,2.54
201902,0.22,0.14
201903,-0.70,-1.03
201904,2.83,2.61
201905,0.45,0.51
201906,1.41,1.07
201907,1.63,1.44
201908,0.48,0.67
201909,-1.65,-1.89
201910,3.37,2.12
201911,-0.65,-0.27
201912,3.06,2.56
202001,-2.54,-2.56
202002,-0.31,-0.39
202003,-0.34,-0.67
202004,1.68,1.46
202005,-0.46,-0.40
202006,-0.73,-1.07
202007,-2.11,-2.30
202008,-3.08,-2.89
202009,-3.13,-3.37
202010,1.49,0.24
202011,0.31,0.69
202012,3.60,3.10
202101,-1.55,-1.57
202102,0.38,0.30
202103,-1.79,-2.12
202104,-0.90,-1.12
202105,1.30,1.36
202106,-1.44,-1.78
202107,4.26,4.07
202108,1.50,1.69
202109,3.73,3.49
202110,2.44,1.19
202111,-1.71,-1.33
202112,-2.20,-2.70
202201,-0.41,-0.43
