South Carolina, Precipitation
Units: Inches
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,3.64,-0.19
199002,3.85,0.24
199003,3.71,-0.18
199004,1.67,-1.60
199005,3.44,-0.07
199006,1.94,-2.83
199007,3.55,-1.39
199008,6.13,0.88
199009,1.82,-2.55
199010,11.56,7.77
199011,2.30,-0.79
199012,2.57,-1.28
199101,6.72,2.89
199102,1.86,-1.75
199103,6.36,2.47
199104,4.50,1.23
199105,5.12,1.61
199106,4.05,-0.72
199107,7.24,2.30
199108,7.89,2.64
199109,1.80,-2.57
199110,0.92,-2.87
199111,1.81,-1.28
199112,2.65,-1.20
199201,3.78,-0.05
199202,3.81,0.20
199203,3.83,-0.06
199204,2.94,-0.33
199205,3.49,-0.02
199206,6.50,1.73
199207,2.88,-2.06
199208,8.25,3.00
199209,3.92,-0.45
199210,4.87,1.08
199211,7.04,3.95
199212,3.48,-0.37
199301,7.12,3.29
199302,3.41,-0.20
199303,6.14,2.25
199304,2.94,-0.33
199305,2.32,-1.19
199306,2.37,-2.40
199307,2.87,-2.07
199308,3.15,-2.10
199309,4.23,-0.14
199310,3.94,0.15
199311,2.77,-0.32
199312,2.86,-0.99
199401,4.63,0.80
199402,2.89,-0.72
199403,5.15,1.26
199404,1.50,-1.77
199405,2.02,-1.49
199406,8.02,3.25
199407,6.04,1.10
199408,6.13,0.88
199409,4.27,-0.10
199410,6.67,2.88
199411,3.24,0.15
199412,5.61,1.76
199501,5.72,1.89
199502,5.23,1.62
199503,2.07,-1.82
199504,1.09,-2.18
199505,2.83,-0.68
199506,8.16,3.39
199507,4.47,-0.47
199508,9.69,4.44
199509,3.58,-0.79
199510,5.71,1.92
199511,3.68,0.59
199512,2.18,-1.67
199601,3.87,0.04
199602,2.21,-1.40
199603,5.52,1.63
199604,3.46,0.19
199605,2.84,-0.67
199606,3.09,-1.68
199607,4.89,-0.05
199608,5.41,0.16
199609,5.60,1.23
199610,3.58,-0.21
199611,2.46,-0.63
199612,3.06,-0.79
199701,4.24,0.41
199702,4.55,0.94
199703,3.26,-0.63
199704,4.79,1.52
199705,2.43,-1.08
199706,5.92,1.15
199707,6.69,1.75
199708,2.21,-3.04
199709,5.63,1.26
199710,4.37,0.58
199711,4.37,1.28
199712,5.41,1.56
199801,7.41,3.58
199802,7.70,4.09
199803,5.10,1.21
199804,6.44,3.17
199805,3.65,0.14
199806,3.36,-1.41
199807,4.32,-0.62
199808,3.82,-1.43
199809,5.62,1.25
199810,1.68,-2.11
199811,1.43,-1.66
199812,3.59,-0.26
199901,5.37,1.54
199902,2.68,-0.93
199903,2.65,-1.24
199904,3.95,0.68
199905,2.38,-1.13
199906,4.84,0.07
199907,3.84,-1.10
199908,3.31,-1.94
199909,6.83,2.46
199910,4.17,0.38
199911,1.83,-1.26
199912,2.29,-1.56
200001,5.80,1.97
200002,1.62,-1.99
200003,4.08,0.19
200004,2.79,-0.48
200005,1.21,-2.30
200006,3.79,-0.98
200007,4.83,-0.11
200008,4.10,-1.15
200009,7.63,3.26
200010,0.02,-3.77
200011,3.50,0.41
200012,1.87,-1.98
200101,2.02,-1.81
200102,2.40,-1.21
200103,6.38,2.49
200104,0.96,-2.31
200105,2.61,-0.90
200106,5.40,0.63
200107,5.24,0.30
200108,2.66,-2.59
200109,3.72,-0.65
200110,0.88,-2.91
200111,0.98,-2.11
200112,1.47,-2.38
200201,3.49,-0.34
200202,2.06,-1.55
200203,4.28,0.39
200204,1.84,-1.43
200205,3.49,-0.02
200206,3.01,-1.76
200207,3.25,-1.69
200208,5.94,0.69
200209,5.40,1.03
200210,4.73,0.94
200211,4.42,1.33
200212,4.63,0.78
200301,1.76,-2.07
200302,4.14,0.53
200303,7.52,3.63
200304,6.00,2.73
200305,5.72,2.21
200306,6.39,1.62
200307,8.37,3.43
200308,4.61,-0.64
200309,2.98,-1.39
200310,3.53,-0.26
200311,1.60,-1.49
200312,2.57,-1.28
200401,1.77,-2.06
200402,5.14,1.53
200403,0.92,-2.97
200404,2.02,-1.25
200405,2.89,-0.62
200406,6.35,1.58
200407,4.96,0.02
200408,6.99,1.74
200409,8.26,3.89
200410,1.43,-2.36
200411,2.92,-0.17
200412,2.20,-1.65
200501,2.02,-1.81
200502,3.82,0.21
200503,4.87,0.98
200504,2.74,-0.53
200505,3.77,0.26
200506,6.83,2.06
200507,5.79,0.85
200508,4.96,-0.29
200509,0.65,-3.72
200510,4.67,0.88
200511,3.20,0.11
200512,4.19,0.34
200601,3.29,-0.54
200602,2.96,-0.65
200603,1.24,-2.65
200604,2.56,-0.71
200605,2.54,-0.97
200606,6.80,2.03
200607,2.96,-1.98
200608,5.11,-0.14
200609,4.55,0.18
200610,3.03,-0.76
200611,4.98,1.89
200612,3.71,-0.14
200701,3.66,-0.17
200702,2.54,-1.07
200703,2.57,-1.32
200704,2.54,-0.73
200705,1.44,-2.07
200706,4.72,-0.05
200707,3.79,-1.15
200708,2.94,-2.31
200709,2.25,-2.12
200710,2.76,-1.03
200711,0.57,-2.52
200712,5.12,1.27
200801,2.88,-0.95
200802,3.94,0.33
200803,3.44,-0.45
200804,3.19,-0.08
200805,2.74,-0.77
200806,2.35,-2.42
200807,4.69,-0.25
200808,7.08,1.83
200809,4.03,-0.34
200810,4.53,0.74
200811,3.94,0.85
200812,2.96,-0.89
200901,2.05,-1.78
200902,2.00,-1.61
200903,5.11,1.22
200904,3.40,0.13
200905,5.68,2.17
200906,4.04,-0.73
200907,4.25,-0.69
200908,3.65,-1.60
200909,2.91,-1.46
200910,4.79,1.00
200911,4.63,1.54
200912,8.05,4.20
201001,4.92,1.09
201002,3.34,-0.27
201003,3.06,-0.83
201004,1.34,-1.93
201005,3.60,0.09
201006,4.51,-0.26
201007,4.86,-0.08
201008,5.96,0.71
201009,4.91,0.54
201010,1.47,-2.32
201011,1.23,-1.86
201012,1.99,-1.86
201101,1.87,-1.96
201102,3.40,-0.21
201103,5.02,1.13
201104,2.87,-0.40
201105,2.95,-0.56
201106,2.62,-2.15
201107,3.89,-1.05
201108,4.27,-0.98
201109,4.27,-0.10
201110,2.25,-1.54
201111,2.85,-0.24
201112,1.95,-1.90
201201,2.19,-1.64
201202,2.23,-1.38
201203,3.64,-0.25
201204,2.55,-0.72
201205,5.72,2.21
201206,4.17,-0.60
201207,5.51,0.57
201208,7.45,2.20
201209,2.54,-1.83
201210,1.77,-2.02
201211,1.46,-1.63
201212,4.54,0.69
201301,2.48,-1.35
201302,6.20,2.59
201303,3.35,-0.54
201304,4.70,1.43
201305,3.56,0.05
201306,7.70,2.93
201307,10.38,5.44
201308,6.40,1.15
201309,2.04,-2.33
201310,1.16,-2.63
201311,3.16,0.07
201312,5.26,1.41
201401,3.15,-0.68
201402,3.31,-0.30
201403,4.34,0.45
201404,4.24,0.97
201405,3.97,0.46
201406,3.43,-1.34
201407,4.62,-0.32
201408,4.31,-0.94
201409,5.47,1.10
201410,1.81,-1.98
201411,4.44,1.35
201412,3.94,0.09
201501,3.56,-0.27
201502,4.06,0.45
201503,3.18,-0.71
201504,4.47,1.20
201505,1.63,-1.88
201506,4.12,-0.65
201507,3.47,-1.47
201508,5.71,0.46
201509,4.35,-0.02
201510,12.17,8.38
201511,7.24,4.15
201512,6.70,2.85
201601,2.83,-1.00
201602,4.66,1.05
201603,2.21,-1.68
201604,2.40,-0.87
201605,5.58,2.07
201606,3.61,-1.16
201607,3.78,-1.16
201608,3.84,-1.41
201609,6.83,2.46
201610,5.55,1.76
201611,0.99,-2.10
201612,3.97,0.12
201701,4.88,1.05
201702,1.38,-2.23
201703,2.34,-1.55
201704,5.51,2.24
201705,5.15,1.64
201706,4.43,-0.34
201707,5.50,0.56
201708,4.55,-0.70
201709,4.83,0.46
201710,3.25,-0.54
201711,1.19,-1.90
201712,3.56,-0.29
201801,2.82,-1.01
201802,2.23,-1.38
201803,3.11,-0.78
201804,4.49,1.22
201805,6.19,2.68
201806,3.72,-1.05
201807,6.03,1.09
201808,4.27,-0.98
201809,6.13,1.76
201810,4.61,0.82
201811,5.72,2.63
201812,7.98,4.13
201901,3.60,-0.23
201902,2.48,-1.13
201903,2.52,-1.37
201904,3.99,0.72
201905,2.15,-1.36
201906,5.94,1.17
201907,3.91,-1.03
201908,4.83,-0.42
201909,2.19,-2.18
201910,4.01,0.22
201911,3.48,0.39
201912,6.93,3.08
202001,4.12,0.29
202002,7.17,3.56
202003,4.26,0.37
202004,5.14,1.87
202005,6.64,3.13
202006,4.27,-0.50
202007,4.69,-0.25
202008,6.95,1.70
202009,6.62,2.25
202010,2.69,-1.10
202011,4.49,1.40
202012,2.83,-1.02
202101,4.67,0.84
202102,6.28,2.67
202103,3.26,-0.63
202104,1.67,-1.60
202105,2.55,-0.96
202106,6.09,1.32
202107,6.60,1.66
202108,5.48,0.23
202109,4.10,-0.27
202110,2.74,-1.05
202111,0.93,-2.16
202112,3.10,-0.75
202201,4.17,0.34
