South Dakota, Precipitation
Units: Inches
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,0.15,-0.30
199002,0.34,-0.27
199003,1.13,0.09
199004,1.60,-0.53
199005,3.25,-0.03
199006,3.79,0.31
199007,2.57,-0.23
199008,1.96,-0.36
199009,0.91,-0.97
199010,0.92,-0.89
199011,0.26,-0.39
199012,0.43,-0.13
199101,0.18,-0.27
199102,0.85,0.24
199103,0.71,-0.33
199104,3.09,0.96
199105,5.33,2.05
199106,4.20,0.72
199107,1.67,-1.13
199108,1.68,-0.64
199109,1.32,-0.56
199110,1.29,-0.52
199111,0.85,0.20
199112,0.07,-0.49
199201,0.59,0.14
199202,0.68,0.07
199203,1.19,0.15
199204,1.02,-1.11
199205,1.39,-1.89
199206,4.09,0.61
199207,4.68,1.88
199208,2.44,0.12
199209,1.43,-0.45
199210,0.69,-1.12
199211,1.19,0.54
199212,0.44,-0.12
199301,0.51,0.06
199302,0.75,0.14
199303,0.98,-0.06
199304,2.29,0.16
199305,3.19,-0.09
199306,5.67,2.19
199307,6.00,3.20
199308,1.89,-0.43
199309,1.66,-0.22
199310,0.62,-1.19
199311,1.24,0.59
199312,0.63,0.07
199401,0.70,0.25
199402,0.61,0.00
199403,0.35,-0.69
199404,2.10,-0.03
199405,1.26,-2.02
199406,3.07,-0.41
199407,3.63,0.83
199408,1.89,-0.43
199409,1.30,-0.58
199410,2.89,1.08
199411,0.67,0.02
199412,0.43,-0.13
199501,0.36,-0.09
199502,0.42,-0.19
199503,1.89,0.85
199504,3.39,1.26
199505,5.42,2.14
199506,3.29,-0.19
199507,2.85,0.05
199508,2.02,-0.30
199509,1.82,-0.06
199510,3.26,1.45
199511,0.53,-0.12
199512,0.22,-0.34
199601,0.87,0.42
199602,0.31,-0.30
199603,0.79,-0.25
199604,0.93,-1.20
199605,5.37,2.09
199606,2.04,-1.44
199607,1.78,-1.02
199608,1.73,-0.59
199609,4.29,2.41
199610,2.42,0.61
199611,1.23,0.58
199612,1.15,0.59
199701,1.18,0.73
199702,0.79,0.18
199703,0.44,-0.60
199704,2.74,0.61
199705,2.92,-0.36
199706,3.16,-0.32
199707,4.16,1.36
199708,2.02,-0.30
199709,1.45,-0.43
199710,1.82,0.01
199711,0.29,-0.36
199712,0.15,-0.41
199801,0.46,0.01
199802,0.77,0.16
199803,1.70,0.66
199804,1.52,-0.61
199805,2.55,-0.73
199806,4.64,1.16
199807,2.80,0.00
199808,2.94,0.62
199809,0.71,-1.17
199810,5.35,3.54
199811,1.26,0.61
199812,0.17,-0.39
199901,0.53,0.08
199902,0.28,-0.33
199903,0.69,-0.35
199904,3.05,0.92
199905,3.61,0.33
199906,4.72,1.24
199907,2.64,-0.16
199908,2.66,0.34
199909,2.60,0.72
199910,0.44,-1.37
199911,0.21,-0.44
199912,0.18,-0.38
200001,0.38,-0.07
200002,0.72,0.11
200003,1.27,0.23
200004,2.63,0.50
200005,3.24,-0.04
200006,2.70,-0.78
200007,2.52,-0.28
200008,1.46,-0.86
200009,0.61,-1.27
200010,1.31,-0.50
200011,1.86,1.21
200012,0.42,-0.14
200101,0.82,0.37
200102,0.87,0.26
200103,0.46,-0.58
200104,3.84,1.71
200105,2.48,-0.80
200106,3.20,-0.28
200107,3.80,1.00
200108,0.70,-1.62
200109,1.80,-0.08
200110,0.96,-0.85
200111,1.19,0.54
200112,0.06,-0.50
200201,0.28,-0.17
200202,0.18,-0.43
200203,0.95,-0.09
200204,1.29,-0.84
200205,1.64,-1.64
200206,1.55,-1.93
200207,1.79,-1.01
200208,3.27,0.95
200209,1.59,-0.29
200210,1.46,-0.35
200211,0.06,-0.59
200212,0.24,-0.32
200301,0.45,0.00
200302,0.63,0.02
200303,0.94,-0.10
200304,2.28,0.15
200305,2.79,-0.49
200306,3.61,0.13
200307,1.63,-1.17
200308,1.12,-1.20
200309,1.81,-0.07
200310,0.84,-0.97
200311,0.74,0.09
200312,0.29,-0.27
200401,0.33,-0.12
200402,0.46,-0.15
200403,1.61,0.57
200404,0.88,-1.25
200405,3.70,0.42
200406,2.64,-0.84
200407,2.86,0.06
200408,1.78,-0.54
200409,3.88,2.00
200410,2.20,0.39
200411,0.36,-0.29
200412,0.09,-0.47
200501,0.37,-0.08
200502,0.39,-0.22
200503,0.69,-0.35
200504,2.07,-0.06
200505,3.70,0.42
200506,5.04,1.56
200507,1.66,-1.14
200508,1.93,-0.39
200509,2.14,0.26
200510,0.90,-0.91
200511,1.07,0.42
200512,0.74,0.18
200601,0.30,-0.15
200602,0.29,-0.32
200603,1.35,0.31
200604,2.36,0.23
200605,1.20,-2.08
200606,1.77,-1.71
200607,0.75,-2.05
200608,3.05,0.73
200609,3.40,1.52
200610,0.38,-1.43
200611,0.35,-0.30
200612,0.73,0.17
200701,0.19,-0.26
200702,0.90,0.29
200703,2.13,1.09
200704,2.21,0.08
200705,4.53,1.25
200706,3.22,-0.26
200707,0.93,-1.87
200708,4.00,1.68
200709,1.49,-0.39
200710,2.68,0.87
200711,0.05,-0.60
200712,0.61,0.05
200801,0.23,-0.22
200802,0.38,-0.23
200803,0.90,-0.14
200804,1.72,-0.41
200805,4.06,0.78
200806,5.04,1.56
200807,2.96,0.16
200808,1.56,-0.76
200809,2.11,0.23
200810,2.86,1.05
200811,1.15,0.50
200812,0.71,0.15
200901,0.40,-0.05
200902,1.00,0.39
200903,1.75,0.71
200904,1.86,-0.27
200905,1.27,-2.01
200906,3.49,0.01
200907,3.45,0.65
200908,2.87,0.55
200909,1.30,-0.58
200910,3.94,2.13
200911,0.11,-0.54
200912,1.15,0.59
201001,0.61,0.16
201002,0.60,-0.01
201003,1.19,0.15
201004,2.38,0.25
201005,3.69,0.41
201006,4.92,1.44
201007,3.73,0.93
201008,2.02,-0.30
201009,3.26,1.38
201010,1.00,-0.81
201011,0.33,-0.32
201012,0.95,0.39
201101,0.93,0.48
201102,1.13,0.52
201103,1.05,0.01
201104,2.29,0.16
201105,4.50,1.22
201106,4.52,1.04
201107,3.15,0.35
201108,2.32,0.00
201109,0.63,-1.25
201110,1.11,-0.70
201111,0.24,-0.41
201112,0.26,-0.30
201201,0.41,-0.04
201202,1.13,0.52
201203,0.37,-0.67
201204,3.06,0.93
201205,2.79,-0.49
201206,2.18,-1.30
201207,1.54,-1.26
201208,1.12,-1.20
201209,0.20,-1.68
201210,0.83,-0.98
201211,0.32,-0.33
201212,0.63,0.07
201301,0.45,0.00
201302,0.70,0.09
201303,0.67,-0.37
201304,2.33,0.20
201305,4.82,1.54
201306,3.12,-0.36
201307,2.47,-0.33
201308,2.41,0.09
201309,1.91,0.03
201310,5.01,3.20
201311,0.30,-0.35
201312,0.75,0.19
201401,0.24,-0.21
201402,0.36,-0.25
201403,0.76,-0.28
201404,1.97,-0.16
201405,2.42,-0.86
201406,5.89,2.41
201407,1.04,-1.76
201408,4.04,1.72
201409,1.61,-0.27
201410,0.57,-1.24
201411,0.62,-0.03
201412,0.67,0.11
201501,0.27,-0.18
201502,0.34,-0.27
201503,0.24,-0.80
201504,0.87,-1.26
201505,5.72,2.44
201506,4.05,0.57
201507,3.02,0.22
201508,3.36,1.04
201509,1.33,-0.55
201510,1.44,-0.37
201511,1.02,0.37
201512,1.12,0.56
201601,0.27,-0.18
201602,0.58,-0.03
201603,1.04,0.00
201604,3.76,1.63
201605,2.54,-0.74
201606,1.78,-1.70
201607,2.74,-0.06
201608,2.61,0.29
201609,1.97,0.09
201610,1.23,-0.58
201611,0.91,0.26
201612,1.25,0.69
201701,0.68,0.23
201702,0.37,-0.24
201703,0.66,-0.38
201704,1.94,-0.19
201705,2.12,-1.16
201706,2.19,-1.29
201707,2.12,-0.68
