South Dakota, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,28.5,9.5
199002,25.1,3.1
199003,36.0,2.4
199004,45.0,0.5
199005,54.2,-1.6
199006,67.5,0.9
199007,71.0,-1.6
199008,71.7,1.0
199009,65.0,3.3
199010,47.3,0.0
199011,36.7,3.3
199012,15.1,-6.8
199101,14.2,-4.8
199102,30.9,8.9
199103,35.8,2.2
199104,47.4,2.9
199105,58.1,2.3
199106,69.3,2.7
199107,72.4,-0.2
199108,72.8,2.1
199109,60.8,-0.9
199110,45.5,-1.8
199111,26.7,-6.7
199112,27.3,5.4
199201,27.4,8.4
199202,31.3,9.3
199203,38.3,4.7
199204,44.3,-0.2
199205,59.0,3.2
199206,63.7,-2.9
199207,64.2,-8.4
199208,64.9,-5.8
199209,59.8,-1.9
199210,47.7,0.4
199211,29.4,-4.0
199212,17.2,-4.7
199301,13.0,-6.0
199302,13.7,-8.3
199303,32.5,-1.1
199304,43.2,-1.3
199305,56.1,0.3
199306,61.6,-5.0
199307,66.7,-5.9
199308,68.0,-2.7
199309,55.0,-6.7
199310,46.0,-1.3
199311,28.2,-5.2
199312,23.6,1.7
199401,9.8,-9.2
199402,12.2,-9.8
199403,36.2,2.6
199404,45.1,0.6
199405,60.3,4.5
199406,67.5,0.9
199407,68.8,-3.8
199408,69.0,-1.7
199409,62.5,0.8
199410,49.5,2.2
199411,34.0,0.6
199412,23.4,1.5
199501,19.2,0.2
199502,26.0,4.0
199503,31.1,-2.5
199504,39.1,-5.4
199505,52.5,-3.3
199506,65.6,-1.0
199507,71.6,-1.0
199508,73.7,3.0
199509,59.5,-2.2
199510,46.4,-0.9
199511,29.8,-3.6
199512,21.9,0.0
199601,10.3,-8.7
199602,23.1,1.1
199603,24.2,-9.4
199604,42.4,-2.1
199605,52.2,-3.6
199606,67.4,0.8
199607,69.6,-3.0
199608,71.2,0.5
199609,58.8,-2.9
199610,46.9,-0.4
199611,22.0,-11.4
199612,11.5,-10.4
199701,10.6,-8.4
199702,22.8,0.8
199703,31.9,-1.7
199704,39.5,-5.0
199705,53.1,-2.7
199706,68.0,1.4
199707,71.4,-1.2
199708,69.4,-1.3
199709,63.1,1.4
199710,49.7,2.4
199711,30.0,-3.4
199712,28.0,6.1
199801,19.3,0.3
199802,32.7,10.7
199803,26.4,-7.2
199804,46.9,2.4
199805,59.3,3.5
199806,61.7,-4.9
199807,73.4,0.8
199808,72.2,1.5
199809,66.9,5.2
199810,48.4,1.1
199811,36.0,2.6
199812,25.6,3.7
199901,17.6,-1.4
199902,32.9,10.9
199903,36.8,3.2
199904,44.7,0.2
199905,55.9,0.1
199906,65.1,-1.5
199907,73.3,0.7
199908,71.0,0.3
199909,57.1,-4.6
199910,47.8,0.5
199911,42.4,9.0
199912,29.1,7.2
200001,21.1,2.1
200002,30.1,8.1
200003,39.3,5.7
200004,45.0,0.5
200005,58.1,2.3
200006,64.4,-2.2
200007,73.0,0.4
200008,73.2,2.5
200009,62.3,0.6
200010,50.1,2.8
200011,24.4,-9.0
200012,10.5,-11.4
200101,22.7,3.7
200102,12.4,-9.6
200103,29.8,-3.8
200104,46.1,1.6
200105,57.8,2.0
200106,66.0,-0.6
200107,74.6,2.0
200108,73.4,2.7
200109,62.1,0.4
200110,47.5,0.2
200111,40.8,7.4
200112,24.7,2.8
200201,24.1,5.1
200202,29.6,7.6
200203,22.2,-11.4
200204,44.5,0.0
200205,52.4,-3.4
200206,70.4,3.8
200207,77.3,4.7
200208,70.4,-0.3
200209,62.7,1.0
200210,39.5,-7.8
200211,34.5,1.1
200212,27.3,5.4
200301,19.8,0.8
200302,18.8,-3.2
200303,32.1,-1.5
200304,47.9,3.4
200305,55.0,-0.8
200306,63.9,-2.7
200307,74.4,1.8
200308,74.8,4.1
200309,60.0,-1.7
200310,51.8,4.5
200311,27.6,-5.8
200312,26.6,4.7
200401,16.1,-2.9
200402,22.9,0.9
200403,38.4,4.8
200404,47.9,3.4
200405,55.6,-0.2
200406,62.1,-4.5
200407,70.8,-1.8
200408,66.1,-4.6
200409,63.1,1.4
200410,48.8,1.5
200411,36.6,3.2
200412,27.2,5.3
200501,16.8,-2.2
200502,29.3,7.3
200503,34.9,1.3
200504,48.2,3.7
200505,54.0,-1.8
200506,67.9,1.3
200507,74.4,1.8
200508,71.0,0.3
200509,65.5,3.8
200510,49.2,1.9
200511,36.8,3.4
200512,20.1,-1.8
200601,32.2,13.2
200602,23.3,1.3
200603,32.4,-1.2
200604,50.2,5.7
200605,58.2,2.4
200606,69.1,2.5
200607,78.2,5.6
200608,72.2,1.5
200609,56.8,-4.9
200610,44.4,-2.9
200611,33.7,0.3
200612,27.0,5.1
200701,20.1,1.1
200702,15.2,-6.8
200703,40.2,6.6
200704,42.9,-1.6
200705,60.0,4.2
200706,68.2,1.6
200707,76.5,3.9
200708,71.4,0.7
200709,62.6,0.9
200710,50.2,2.9
200711,34.9,1.5
200712,19.4,-2.5
200801,16.2,-2.8
200802,19.1,-2.9
200803,32.2,-1.4
200804,42.1,-2.4
200805,53.0,-2.8
200806,63.8,-2.8
200807,72.7,0.1
200808,71.2,0.5
200809,60.3,-1.4
200810,47.2,-0.1
200811,34.2,0.8
200812,14.1,-7.8
200901,16.7,-2.3
200902,23.4,1.4
200903,30.0,-3.6
200904,42.3,-2.2
200905,55.8,0.0
200906,63.2,-3.4
200907,67.9,-4.7
200908,67.4,-3.3
200909,63.0,1.3
200910,39.5,-7.8
200911,40.0,6.6
200912,13.5,-8.4
201001,14.8,-4.2
201002,14.6,-7.4
201003,36.3,2.7
201004,49.3,4.8
201005,54.2,-1.6
201006,65.9,-0.7
201007,72.4,-0.2
201008,73.6,2.9
201009,59.1,-2.6
201010,51.6,4.3
201011,32.1,-1.3
201012,17.7,-4.2
201101,13.0,-6.0
201102,16.3,-5.7
201103,27.3,-6.3
201104,43.1,-1.4
201105,53.0,-2.8
201106,64.7,-1.9
201107,75.9,3.3
201108,71.6,0.9
201109,59.9,-1.8
201110,51.3,4.0
201111,34.4,1.0
201112,26.8,4.9
201201,25.4,6.4
201202,25.7,3.7
201203,47.0,13.4
201204,50.2,5.7
201205,58.3,2.5
201206,70.4,3.8
201207,78.7,6.1
201208,71.0,0.3
201209,62.6,0.9
201210,45.6,-1.7
201211,34.9,1.5
201212,21.4,-0.5
201301,19.4,0.4
201302,23.8,1.8
201303,28.1,-5.5
201304,36.9,-7.6
201305,55.9,0.1
201306,65.3,-1.3
201307,71.8,-0.8
201308,71.6,0.9
201309,65.8,4.1
201310,44.3,-3.0
201311,32.1,-1.3
201312,13.5,-8.4
201401,18.3,-0.7
201402,13.9,-8.1
201403,29.4,-4.2
201404,43.4,-1.1
201405,55.6,-0.2
201406,64.2,-2.4
201407,69.5,-3.1
201408,69.3,-1.4
201409,60.5,-1.2
201410,50.3,3.0
201411,25.6,-7.8
201412,24.2,2.3
201501,22.7,3.7
201502,19.5,-2.5
201503,39.0,5.4
201504,47.7,3.2
201505,53.8,-2.0
201506,67.6,1.0
201507,72.1,-0.5
201508,69.8,-0.9
201509,65.9,4.2
201510,51.6,4.3
201511,36.4,3.0
201512,24.3,2.4
201601,19.8,0.8
201602,31.2,9.2
201603,40.1,6.5
201604,46.3,1.8
201605,56.7,0.9
201606,70.7,4.1
201607,73.0,0.4
201608,71.0,0.3
