Tennessee, Precipitation
Units: Inches
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,4.90,0.27
199002,8.05,3.07
199003,5.29,-0.13
199004,3.65,-1.34
199005,5.33,0.44
199006,2.91,-1.76
199007,4.00,-0.69
199008,2.36,-1.54
199009,3.11,-0.76
199010,5.14,1.44
199011,3.38,-0.73
199012,12.52,6.90
199101,3.14,-1.49
199102,7.49,2.51
199103,6.42,1.00
199104,5.90,0.91
199105,6.56,1.67
199106,4.48,-0.19
199107,3.27,-1.42
199108,3.45,-0.45
199109,3.03,-0.84
199110,2.67,-1.03
199111,3.78,-0.33
199112,10.22,4.60
199201,3.17,-1.46
199202,3.47,-1.51
199203,5.22,-0.20
199204,2.13,-2.86
199205,3.18,-1.71
199206,6.09,1.42
199207,5.32,0.63
199208,4.65,0.75
199209,4.60,0.73
199210,2.68,-1.02
199211,4.50,0.39
199212,4.63,-0.99
199301,3.92,-0.71
199302,3.03,-1.95
199303,5.35,-0.07
199304,4.20,-0.79
199305,4.85,-0.04
199306,3.37,-1.30
199307,2.35,-2.34
199308,3.88,-0.02
199309,4.19,0.32
199310,2.55,-1.15
199311,3.77,-0.34
199312,6.79,1.17
199401,5.96,1.33
199402,6.97,1.99
199403,9.59,4.17
199404,6.55,1.56
199405,3.86,-1.03
199406,5.94,1.27
199407,5.36,0.67
199408,3.82,-0.08
199409,2.91,-0.96
199410,3.61,-0.09
199411,3.93,-0.18
199412,3.41,-2.21
199501,5.51,0.88
199502,2.94,-2.04
199503,4.11,-1.31
199504,3.51,-1.48
199505,6.07,1.18
199506,4.49,-0.18
199507,4.02,-0.67
199508,4.37,0.47
199509,3.36,-0.51
199510,4.95,1.25
199511,5.79,1.68
199512,3.03,-2.59
199601,5.77,1.14
199602,2.96,-2.02
199603,5.89,0.47
199604,4.26,-0.73
199605,4.94,0.05
199606,4.63,-0.04
199607,6.37,1.68
199608,3.18,-0.72
199609,6.41,2.54
199610,3.07,-0.63
199611,6.63,2.52
199612,5.96,0.34
199701,4.97,0.34
199702,4.76,-0.22
199703,9.22,3.80
199704,4.17,-0.82
199705,5.33,0.44
199706,7.56,2.89
199707,2.60,-2.09
199708,3.73,-0.17
199709,4.60,0.73
199710,3.15,-0.55
199711,3.01,-1.10
199712,3.41,-2.21
199801,5.53,0.90
199802,4.70,-0.28
199803,4.58,-0.84
199804,8.40,3.41
199805,4.72,-0.17
199806,8.09,3.42
199807,6.21,1.52
199808,2.87,-1.03
199809,1.13,-2.74
199810,2.45,-1.25
199811,1.96,-2.15
199812,6.93,1.31
199901,8.76,4.13
199902,3.30,-1.68
199903,4.59,-0.83
199904,4.01,-0.98
199905,4.23,-0.66
199906,5.64,0.97
199907,3.78,-0.91
199908,1.38,-2.52
199909,1.29,-2.58
199910,2.55,-1.15
199911,3.29,-0.82
199912,3.23,-2.39
200001,3.58,-1.05
200002,3.72,-1.26
200003,4.47,-0.95
200004,6.44,1.45
200005,4.59,-0.30
200006,4.19,-0.48
200007,2.95,-1.74
200008,2.60,-1.30
200009,3.38,-0.49
200010,0.35,-3.35
200011,5.10,0.99
200012,3.65,-1.97
200101,3.71,-0.92
200102,6.93,1.95
200103,3.33,-2.09
200104,2.93,-2.06
200105,4.42,-0.47
200106,4.36,-0.31
200107,4.84,0.15
200108,4.21,0.31
200109,3.57,-0.30
200110,4.54,0.84
200111,5.68,1.57
200112,5.48,-0.14
200201,6.65,2.02
200202,2.19,-2.79
200203,9.14,3.72
200204,2.43,-2.56
200205,5.55,0.66
200206,2.45,-2.22
200207,4.14,-0.55
200208,3.33,-0.57
200209,7.30,3.43
200210,5.23,1.53
200211,4.23,0.12
200212,6.58,0.96
200301,2.10,-2.53
200302,9.66,4.68
200303,2.54,-2.88
200304,5.14,0.15
200305,9.71,4.82
200306,5.15,0.48
200307,5.79,1.10
200308,4.41,0.51
200309,5.64,1.77
200310,2.03,-1.67
200311,5.77,1.66
200312,3.82,-1.80
200401,3.33,-1.30
200402,5.07,0.09
200403,4.80,-0.62
200404,4.92,-0.07
200405,5.28,0.39
200406,5.83,1.16
200407,4.85,0.16
200408,4.14,0.24
200409,4.35,0.48
200410,5.29,1.59
200411,6.77,2.66
200412,6.61,0.99
200501,4.29,-0.34
200502,4.17,-0.81
200503,3.35,-2.07
200504,6.05,1.06
200505,1.62,-3.27
200506,4.22,-0.45
200507,5.35,0.66
200508,5.74,1.84
200509,2.63,-1.24
200510,0.62,-3.08
200511,3.66,-0.45
200512,2.98,-2.64
200601,6.37,1.74
200602,2.96,-2.02
200603,3.19,-2.23
200604,5.49,0.50
200605,4.13,-0.76
200606,3.38,-1.29
200607,3.65,-1.04
200608,4.09,0.19
200609,4.67,0.80
200610,3.65,-0.05
200611,3.90,-0.21
200612,3.39,-2.23
200701,4.12,-0.51
200702,2.16,-2.82
200703,2.21,-3.21
200704,3.74,-1.25
200705,1.80,-3.09
200706,2.86,-1.81
200707,3.69,-1.00
200708,1.35,-2.55
200709,3.02,-0.85
200710,4.73,1.03
200711,3.57,-0.54
200712,4.47,-1.15
200801,3.45,-1.18
200802,4.01,-0.97
200803,6.52,1.10
200804,5.76,0.77
200805,4.99,0.10
