Texas, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,50.2,3.0
199002,53.3,2.2
199003,57.3,-1.2
199004,64.7,-0.7
199005,72.8,-0.7
199006,83.6,3.0
199007,79.9,-2.9
199008,80.5,-2.0
199009,76.4,0.0
199010,64.5,-2.3
199011,58.3,2.2
199012,45.8,-2.7
199101,43.4,-3.8
199102,52.5,1.4
199103,59.3,0.8
199104,67.1,1.7
199105,74.6,1.1
199106,79.4,-1.2
199107,80.9,-1.9
199108,80.3,-2.2
199109,72.4,-4.0
199110,67.1,0.3
199111,50.9,-5.2
199112,49.2,0.7
199201,45.4,-1.8
199202,53.0,1.9
199203,58.9,0.4
199204,64.5,-0.9
199205,69.6,-3.9
199206,77.9,-2.7
199207,81.4,-1.4
199208,78.2,-4.3
199209,76.0,-0.4
199210,67.4,0.6
199211,51.8,-4.3
199212,48.6,0.1
199301,45.5,-1.7
199302,49.3,-1.8
199303,56.0,-2.5
199304,63.0,-2.4
199305,70.6,-2.9
199306,79.0,-1.6
199307,83.1,0.3
199308,82.9,0.4
199309,75.0,-1.4
199310,64.4,-2.4
199311,51.0,-5.1
199312,49.2,0.7
199401,46.6,-0.6
199402,49.1,-2.0
199403,58.4,-0.1
199404,65.0,-0.4
199405,71.5,-2.0
199406,82.1,1.5
199407,82.9,0.1
199408,81.5,-1.0
199409,74.4,-2.0
199410,66.8,0.0
199411,58.0,1.9
199412,50.6,2.1
199501,48.0,0.8
199502,53.2,2.1
199503,56.5,-2.0
199504,63.8,-1.6
199505,72.4,-1.1
199506,77.4,-3.2
199507,82.7,-0.1
199508,82.2,-0.3
199509,75.4,-1.0
199510,66.3,-0.5
199511,55.9,-0.2
199512,48.8,0.3
199601,45.9,-1.3
199602,52.9,1.8
199603,53.1,-5.4
199604,64.5,-0.9
199605,78.5,5.0
199606,81.1,0.5
199607,83.6,0.8
199608,80.3,-2.2
199609,73.9,-2.5
199610,65.8,-1.0
199611,55.9,-0.2
199612,49.8,1.3
199701,44.9,-2.3
199702,49.0,-2.1
199703,59.4,0.9
199704,59.7,-5.7
199705,70.5,-3.0
199706,77.6,-3.0
199707,82.7,-0.1
199708,81.8,-0.7
199709,78.0,1.6
199710,66.0,-0.8
199711,52.5,-3.6
199712,45.0,-3.5
199801,50.6,3.4
199802,51.1,0.0
199803,55.0,-3.5
199804,63.0,-2.4
199805,77.2,3.7
199806,83.9,3.3
199807,86.4,3.6
199808,82.3,-0.2
199809,79.5,3.1
199810,68.5,1.7
199811,58.5,2.4
199812,48.2,-0.3
199901,50.3,3.1
199902,56.6,5.5
199903,57.6,-0.9
199904,66.9,1.5
199905,72.8,-0.7
199906,79.2,-1.4
199907,81.8,-1.0
199908,84.3,1.8
199909,75.8,-0.6
199910,65.8,-1.0
199911,59.6,3.5
199912,48.6,0.1
200001,50.7,3.5
200002,57.0,5.9
200003,61.4,2.9
200004,66.1,0.7
200005,76.9,3.4
200006,78.6,-2.0
200007,84.1,1.3
200008,84.2,1.7
200009,78.1,1.7
200010,67.2,0.4
200011,51.1,-5.0
200012,42.4,-6.1
200101,43.9,-3.3
200102,51.9,0.8
200103,53.3,-5.2
200104,67.8,2.4
200105,74.1,0.6
200106,80.9,0.3
200107,85.1,2.3
200108,82.8,0.3
200109,74.9,-1.5
