Virginia, Precipitation
Units: Inches
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,3.47,0.04
199002,3.32,0.36
199003,3.42,-0.45
199004,3.20,-0.42
199005,6.69,2.40
199006,1.79,-2.52
199007,4.32,-0.20
199008,4.76,0.59
199009,1.86,-2.44
199010,6.75,3.17
199011,1.68,-1.43
199012,4.22,0.69
199101,3.72,0.29
199102,1.90,-1.06
199103,5.88,2.01
199104,2.38,-1.24
199105,2.42,-1.87
199106,3.46,-0.85
199107,5.49,0.97
199108,2.71,-1.46
199109,2.48,-1.82
199110,1.62,-1.96
199111,2.08,-1.03
199112,4.81,1.28
199201,2.65,-0.78
199202,2.89,-0.07
199203,3.66,-0.21
199204,3.31,-0.31
199205,4.66,0.37
199206,3.74,-0.57
199207,4.26,-0.26
199208,4.69,0.52
199209,3.75,-0.55
199210,2.28,-1.30
199211,4.24,1.13
199212,3.90,0.37
199301,3.77,0.34
199302,2.83,-0.13
199303,7.37,3.50
199304,4.28,0.66
199305,3.54,-0.75
199306,2.83,-1.48
199307,2.77,-1.75
199308,2.79,-1.38
199309,3.76,-0.54
199310,2.50,-1.08
199311,4.03,0.92
199312,4.50,0.97
199401,4.20,0.77
199402,4.79,1.83
199403,7.90,4.03
199404,2.68,-0.94
199405,2.69,-1.60
199406,3.17,-1.14
199407,6.29,1.77
199408,4.85,0.68
199409,2.66,-1.64
199410,1.86,-1.72
199411,2.73,-0.38
199412,1.56,-1.97
199501,5.05,1.62
199502,2.16,-0.80
199503,2.48,-1.39
199504,1.71,-1.91
199505,4.98,0.69
199506,7.50,3.19
199507,3.59,-0.93
199508,1.86,-2.31
199509,3.27,-1.03
199510,5.87,2.29
199511,3.81,0.70
199512,2.03,-1.50
199601,5.93,2.50
199602,2.79,-0.17
199603,3.75,-0.12
199604,2.81,-0.81
199605,5.34,1.05
199606,4.32,0.01
199607,5.49,0.97
199608,5.43,1.26
199609,7.88,3.58
199610,3.69,0.11
199611,3.72,0.61
199612,4.74,1.21
199701,2.66,-0.77
199702,2.87,-0.09
199703,4.32,0.45
199704,3.30,-0.32
199705,1.91,-2.38
199706,3.46,-0.85
199707,4.51,-0.01
199708,2.17,-2.00
199709,3.10,-1.20
199710,2.55,-1.03
199711,4.47,1.36
199712,2.76,-0.77
199801,6.89,3.46
199802,5.99,3.03
199803,5.22,1.35
199804,4.95,1.33
199805,5.30,1.01
199806,4.30,-0.01
199807,2.15,-2.37
199808,2.91,-1.26
199809,1.81,-2.49
199810,1.50,-2.08
199811,1.15,-1.96
199812,3.77,0.24
199901,4.99,1.56
199902,2.20,-0.76
199903,3.46,-0.41
199904,2.90,-0.72
199905,2.31,-1.98
199906,1.89,-2.42
199907,4.18,-0.34
199908,3.35,-0.82
199909,10.37,6.07
199910,2.65,-0.93
199911,2.22,-0.89
199912,2.20,-1.33
200001,3.25,-0.18
200002,1.81,-1.15
200003,3.25,-0.62
200004,4.66,1.04
200005,3.29,-1.00
200006,5.51,1.20
200007,5.14,0.62
200008,4.57,0.40
200009,4.84,0.54
200010,0.09,-3.49
200011,1.88,-1.23
200012,2.04,-1.49
200101,2.27,-1.16
200102,2.01,-0.95
200103,4.45,0.58
200104,1.64,-1.98
200105,4.88,0.59
200106,4.62,0.31
200107,5.21,0.69
200108,3.84,-0.33
200109,2.20,-2.10
200110,0.89,-2.69
200111,0.59,-2.52
200112,2.28,-1.25
200201,2.99,-0.44
200202,0.90,-2.06
200203,4.39,0.52
200204,3.20,-0.42
200205,3.52,-0.77
200206,2.54,-1.77
200207,3.97,-0.55
200208,2.98,-1.19
200209,3.49,-0.81
200210,5.74,2.16
200211,4.80,1.69
200212,4.10,0.57
200301,2.19,-1.24
200302,6.10,3.14
200303,4.33,0.46
200304,4.79,1.17
200305,7.22,2.93
200306,6.49,2.18
200307,6.15,1.63
200308,5.29,1.12
200309,8.15,3.85
200310,2.66,-0.92
200311,4.35,1.24
200312,4.17,0.64
200401,1.95,-1.48
200402,2.38,-0.58
200403,2.17,-1.70
200404,4.13,0.51
200405,4.40,0.11
200406,5.36,1.05
200407,5.81,1.29
200408,6.03,1.86
200409,7.25,2.95
200410,2.35,-1.23
200411,4.21,1.10
200412,2.90,-0.63
200501,3.09,-0.34
200502,1.82,-1.14
200503,3.80,-0.07
200504,3.10,-0.52
200505,3.15,-1.14
200506,2.47,-1.84
200507,5.65,1.13
200508,3.37,-0.80
200509,0.71,-3.59
200510,5.54,1.96
200511,3.66,0.55
200512,3.47,-0.06
200601,3.10,-0.33
200602,1.65,-1.31
200603,0.70,-3.17
200604,3.49,-0.13
200605,2.55,-1.74
200606,7.06,2.75
200607,4.11,-0.41
200608,3.22,-0.95
200609,6.91,2.61
200610,6.23,2.65
200611,5.28,2.17
200612,1.90,-1.63
200701,3.19,-0.24
200702,2.15,-0.81
200703,3.29,-0.58
200704,3.72,0.10
200705,2.16,-2.13
200706,3.77,-0.54
200707,3.09,-1.43
200708,3.17,-1.00
200709,1.54,-2.76
200710,4.71,1.13
200711,1.05,-2.06
200712,3.35,-0.18
200801,1.42,-2.01
200802,2.71,-0.25
200803,3.23,-0.64
200804,5.61,1.99
200805,4.23,-0.06
200806,3.01,-1.30
200807,4.05,-0.47
200808,3.66,-0.51
200809,4.34,0.04
200810,1.49,-2.09
200811,2.89,-0.22
200812,4.00,0.47
200901,2.92,-0.51
200902,0.94,-2.02
200903,4.01,0.14
200904,3.12,-0.50
200905,6.13,1.84
200906,5.20,0.89
200907,4.07,-0.45
200908,4.19,0.02
200909,3.72,-0.58
200910,3.12,-0.46
200911,6.68,3.57
200912,7.15,3.62
201001,4.18,0.75
201002,2.96,0.00
201003,4.61,0.74
201004,1.73,-1.89
201005,4.25,-0.04
201006,2.53,-1.78
201007,2.82,-1.70
201008,4.56,0.39
201009,5.36,1.06
201010,3.79,0.21
201011,2.00,-1.11
201012,2.95,-0.58
201101,1.58,-1.85
201102,1.68,-1.28
201103,5.28,1.41
201104,4.75,1.13
201105,4.33,0.04
201106,3.28,-1.03
201107,4.16,-0.36
201108,5.14,0.97
201109,6.83,2.53
201110,3.78,0.20
201111,3.86,0.75
201112,3.63,0.10
201201,2.26,-1.17
201202,2.54,-0.42
201203,3.87,0.00
201204,3.04,-0.58
201205,4.14,-0.15
201206,2.85,-1.46
201207,4.63,0.11
201208,4.74,0.57
201209,4.14,-0.16
201210,4.09,0.51
201211,0.67,-2.44
201212,3.08,-0.45
201301,5.95,2.52
201302,2.27,-0.69
201303,3.70,-0.17
201304,3.56,-0.06
201305,4.37,0.08
201306,7.02,2.71
201307,6.46,1.94
201308,4.47,0.30
201309,1.64,-2.66
201310,3.09,-0.49
201311,3.03,-0.08
201312,5.81,2.28
201401,2.69,-0.74
201402,3.36,0.40
201403,3.29,-0.58
201404,4.73,1.11
201405,4.35,0.06
201406,3.49,-0.82
201407,3.82,-0.70
201408,4.69,0.52
201409,2.97,-1.33
201410,4.02,0.44
201411,3.13,0.02
201412,3.21,-0.32
201501,2.59,-0.84
201502,2.66,-0.30
201503,3.75,-0.12
201504,4.51,0.89
201505,2.15,-2.14
201506,6.95,2.64
201507,5.05,0.53
201508,2.65,-1.52
201509,5.73,1.43
201510,4.58,1.00
201511,3.92,0.81
201512,5.22,1.69
201601,2.93,-0.50
201602,4.71,1.75
201603,2.05,-1.82
201604,2.34,-1.28
201605,6.92,2.63
201606,5.04,0.73
201607,4.82,0.30
201608,3.23,-0.94
201609,5.27,0.97
201610,3.52,-0.06
201611,1.37,-1.74
201612,3.21,-0.32
201701,3.96,0.53
201702,0.86,-2.10
201703,3.17,-0.70
201704,4.85,1.23
201705,7.52,3.23
201706,3.41,-0.90
201707,4.13,-0.39
201708,4.66,0.49
201709,2.03,-2.27
201710,4.50,0.92
201711,1.36,-1.75
201712,1.11,-2.42
201801,2.67,-0.76
201802,4.35,1.39
201803,3.17,-0.70
201804,4.43,0.81
201805,7.27,2.98
201806,5.96,1.65
201807,5.39,0.87
201808,5.81,1.64
