Virginia, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,42.0,6.1
199002,44.4,5.6
199003,49.3,3.3
199004,54.2,-1.3
199005,62.2,-1.5
199006,70.8,-0.9
199007,75.6,-0.1
199008,73.2,-1.0
199009,66.4,-1.5
199010,58.5,1.3
199011,49.3,2.6
199012,42.7,3.3
199101,37.1,1.2
199102,41.0,2.2
199103,47.4,1.4
199104,56.4,0.9
199105,68.6,4.9
199106,71.8,0.1
199107,76.9,1.2
199108,73.9,-0.3
199109,67.4,-0.5
199110,56.8,-0.4
199111,45.3,-1.4
199112,41.1,1.7
199201,37.4,1.5
199202,40.4,1.6
199203,44.2,-1.8
199204,54.1,-1.4
199205,59.2,-4.5
199206,67.5,-4.2
199207,75.6,-0.1
199208,70.4,-3.8
199209,66.8,-1.1
199210,53.4,-3.8
199211,46.6,-0.1
199212,37.4,-2.0
199301,38.8,2.9
199302,34.8,-4.0
199303,41.3,-4.7
199304,52.8,-2.7
199305,64.2,0.5
199306,71.0,-0.7
199307,78.2,2.5
199308,74.7,0.5
199309,68.4,0.5
199310,54.8,-2.4
199311,46.3,-0.4
199312,35.4,-4.0
199401,29.4,-6.5
199402,37.5,-1.3
199403,45.2,-0.8
199404,58.6,3.1
199405,59.3,-4.4
199406,73.6,1.9
199407,76.0,0.3
199408,71.7,-2.5
199409,65.1,-2.8
199410,54.6,-2.6
199411,50.4,3.7
199412,42.2,2.8
199501,37.3,1.4
199502,34.9,-3.9
199503,47.7,1.7
199504,54.6,-0.9
199505,62.6,-1.1
199506,70.6,-1.1
199507,76.3,0.6
199508,76.1,1.9
199509,66.1,-1.8
199510,58.0,0.8
199511,41.9,-4.8
199512,33.7,-5.7
199601,32.9,-3.0
199602,36.1,-2.7
199603,40.5,-5.5
199604,54.4,-1.1
199605,62.9,-0.8
199606,72.1,0.4
199607,73.3,-2.4
199608,72.2,-2.0
199609,66.2,-1.7
199610,56.3,-0.9
199611,41.0,-5.7
199612,40.3,0.9
199701,35.2,-0.7
199702,41.6,2.8
199703,48.0,2.0
199704,50.8,-4.7
199705,58.8,-4.9
199706,68.6,-3.1
199707,75.3,-0.4
199708,72.1,-2.1
199709,66.4,-1.5
199710,55.9,-1.3
199711,43.3,-3.4
199712,38.0,-1.4
199801,40.7,4.8
199802,41.5,2.7
199803,45.4,-0.6
199804,55.6,0.1
199805,65.5,1.8
199806,71.7,0.0
199807,75.3,-0.4
199808,74.6,0.4
199809,71.6,3.7
199810,57.4,0.2
199811,47.4,0.7
199812,42.6,3.2
199901,39.0,3.1
199902,40.0,1.2
199903,42.3,-3.7
199904,56.1,0.6
199905,62.9,-0.8
199906,70.7,-1.0
199907,77.6,1.9
199908,74.8,0.6
199909,66.0,-1.9
199910,54.7,-2.5
199911,51.4,4.7
199912,39.7,0.3
200001,34.0,-1.9
200002,41.5,2.7
200003,49.6,3.6
200004,53.9,-1.6
200005,65.7,2.0
200006,72.6,0.9
200007,72.3,-3.4
200008,72.4,-1.8
200009,65.7,-2.2
200010,57.4,0.2
200011,43.6,-3.1
200012,30.1,-9.3
200101,34.3,-1.6
200102,41.2,2.4
200103,42.0,-4.0
200104,56.6,1.1
200105,63.0,-0.7
200106,71.5,-0.2
200107,71.9,-3.8
200108,75.0,0.8
200109,64.8,-3.1
200110,55.2,-2.0
200111,51.2,4.5
200112,43.4,4.0
200201,39.2,3.3
200202,40.5,1.7
200203,46.3,0.3
200204,57.7,2.2
200205,62.0,-1.7
200206,72.9,1.2
200207,76.6,0.9
200208,75.8,1.6
200209,69.4,1.5
200210,57.5,0.3
200211,44.8,-1.9
200212,36.0,-3.4
200301,31.1,-4.8
200302,34.8,-4.0
200303,48.0,2.0
200304,54.7,-0.8
200305,61.7,-2.0
200306,68.9,-2.8
200307,74.5,-1.2
200308,75.5,1.3
200309,66.7,-1.2
200310,55.2,-2.0
200311,51.5,4.8
200312,36.8,-2.6
200401,32.1,-3.8
200402,36.3,-2.5
200403,47.8,1.8
200404,55.4,-0.1
200405,68.9,5.2
200406,70.8,-0.9
200407,74.6,-1.1
200408,71.8,-2.4
200409,67.9,0.0
200410,57.3,0.1
200411,49.5,2.8
200412,38.2,-1.2
200501,37.7,1.8
200502,39.3,0.5
200503,41.8,-4.2
200504,55.0,-0.5
200505,59.8,-3.9
200506,71.8,0.1
200507,77.1,1.4
200508,76.3,2.1
200509,70.4,2.5
200510,58.2,1.0
