Vermont, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,26.2,8.7
199002,20.7,1.1
199003,30.2,1.7
199004,42.3,1.2
199005,49.6,-3.6
199006,61.8,-0.3
199007,66.2,-0.5
199008,65.8,0.6
199009,55.7,-2.1
199010,48.0,1.7
199011,35.5,0.6
199012,26.6,2.3
199101,15.7,-1.8
199102,23.4,3.8
199103,31.2,2.7
199104,45.0,3.9
199105,56.1,2.9
199106,62.1,0.0
199107,65.5,-1.2
199108,65.9,0.7
199109,53.8,-4.0
199110,47.5,1.2
199111,34.8,-0.1
199112,21.3,-3.0
199201,16.4,-1.1
199202,18.5,-1.1
199203,23.8,-4.7
199204,38.3,-2.8
199205,52.5,-0.7
199206,59.8,-2.3
199207,61.9,-4.8
199208,62.5,-2.7
199209,56.2,-1.6
199210,41.3,-5.0
199211,32.4,-2.5
199212,23.9,-0.4
199301,19.6,2.1
199302,9.2,-10.4
199303,25.2,-3.3
199304,41.8,0.7
199305,52.9,-0.3
199306,60.0,-2.1
199307,66.7,0.0
199308,65.7,0.5
199309,55.3,-2.5
199310,42.5,-3.8
199311,33.5,-1.4
199312,21.7,-2.6
199401,5.4,-12.1
199402,12.4,-7.2
199403,27.1,-1.4
199404,40.9,-0.2
199405,50.7,-2.5
199406,64.1,2.0
199407,68.7,2.0
199408,62.3,-2.9
199409,55.0,-2.8
199410,45.7,-0.6
199411,37.6,2.7
199412,26.0,1.7
199501,24.1,6.6
199502,15.7,-3.9
199503,32.3,3.8
199504,36.4,-4.7
199505,51.3,-1.9
199506,63.4,1.3
199507,68.8,2.1
199508,64.8,-0.4
199509,53.1,-4.7
199510,49.5,3.2
199511,31.2,-3.7
199512,17.3,-7.0
199601,15.1,-2.4
199602,18.4,-1.2
199603,25.9,-2.6
199604,39.8,-1.3
199605,50.2,-3.0
199606,62.6,0.5
199607,64.9,-1.8
199608,64.8,-0.4
199609,58.1,0.3
199610,44.6,-1.7
199611,30.3,-4.6
199612,29.2,4.9
199701,15.9,-1.6
199702,23.2,3.6
199703,24.8,-3.7
199704,37.9,-3.2
199705,47.6,-5.6
199706,62.5,0.4
199707,64.3,-2.4
199708,62.9,-2.3
199709,55.3,-2.5
199710,43.7,-2.6
199711,32.0,-2.9
199712,22.7,-1.6
199801,21.7,4.2
199802,26.1,6.5
199803,31.3,2.8
199804,43.2,2.1
199805,58.1,4.9
199806,61.8,-0.3
199807,65.6,-1.1
199808,65.1,-0.1
199809,57.8,0.0
199810,46.7,0.4
199811,35.5,0.6
199812,29.2,4.9
199901,17.0,-0.5
199902,22.2,2.6
199903,28.9,0.4
199904,41.3,0.2
199905,55.5,2.3
199906,65.4,3.3
199907,68.5,1.8
199908,63.6,-1.6
199909,60.6,2.8
199910,43.3,-3.0
199911,39.3,4.4
199912,25.7,1.4
200001,15.0,-2.5
200002,20.8,1.2
200003,34.1,5.6
200004,39.8,-1.3
200005,52.9,-0.3
200006,60.4,-1.7
200007,63.1,-3.6
200008,63.3,-1.9
200009,55.5,-2.3
200010,45.6,-0.7
200011,34.8,-0.1
200012,16.6,-7.7
200101,17.8,0.3
200102,19.5,-0.1
200103,25.2,-3.3
200104,39.9,-1.2
200105,54.8,1.6
200106,63.2,1.1
200107,63.6,-3.1
200108,67.9,2.7
200109,57.4,-0.4
200110,47.8,1.5
200111,38.5,3.6
200112,29.8,5.5
200201,25.2,7.7
200202,24.0,4.4
200203,29.7,1.2
200204,43.4,2.3
200205,49.4,-3.8
200206,60.6,-1.5
200207,66.5,-0.2
200208,66.8,1.6
200209,60.4,2.6
200210,42.9,-3.4
200211,32.3,-2.6
200212,21.6,-2.7
200301,9.5,-8.0
200302,14.2,-5.4
200303,27.8,-0.7
200304,38.1,-3.0
200305,51.9,-1.3
200306,61.7,-0.4
200307,66.5,-0.2
200308,67.3,2.1
200309,58.4,0.6
200310,44.1,-2.2
200311,36.5,1.6
200312,21.8,-2.5
200401,7.2,-10.3
200402,17.5,-2.1
200403,31.6,3.1
200404,41.4,0.3
200405,54.9,1.7
200406,59.4,-2.7
200407,65.7,-1.0
200408,64.5,-0.7
200409,58.3,0.5
200410,45.4,-0.9
200411,34.8,-0.1
200412,21.4,-2.9
200501,13.9,-3.6
200502,21.1,1.5
200503,25.1,-3.4
200504,43.4,2.3
200505,48.7,-4.5
200506,66.5,4.4
200507,68.6,1.9
200508,67.0,1.8
200509,60.6,2.8
200510,47.8,1.5
200511,37.0,2.1
200512,21.3,-3.0
200601,26.0,8.5
200602,21.3,1.7
200603,28.9,0.4
200604,43.0,1.9
200605,54.2,1.0
200606,62.9,0.8
200607,69.2,2.5
200608,63.4,-1.8
200609,56.4,-1.4
200610,44.4,-1.9
200611,40.5,5.6
200612,30.5,6.2
200701,19.6,2.1
200702,12.8,-6.8
200703,25.8,-2.7
200704,38.7,-2.4
200705,53.3,0.1
200706,62.9,0.8
200707,64.6,-2.1
200708,64.6,-0.6
200709,58.8,1.0
200710,51.1,4.8
200711,32.4,-2.5
200712,21.5,-2.8
200801,21.5,4.0
200802,20.5,0.9
200803,25.8,-2.7
200804,44.8,3.7
200805,50.0,-3.2
200806,63.7,1.6
200807,67.0,0.3
200808,63.1,-2.1
200809,58.5,0.7
200810,44.1,-2.2
200811,34.7,-0.2
200812,22.9,-1.4
200901,10.9,-6.6
200902,20.6,1.0
200903,29.6,1.1
200904,43.3,2.2
200905,52.5,-0.7
200906,60.3,-1.8
200907,64.0,-2.7
200908,66.2,1.0
200909,55.8,-2.0
200910,42.9,-3.4
200911,39.4,4.5
200912,21.9,-2.4
201001,20.1,2.6
201002,23.5,3.9
201003,35.9,7.4
201004,46.2,5.1
201005,56.0,2.8
201006,61.8,-0.3
201007,69.4,2.7
201008,65.4,0.2
201009,59.2,1.4
201010,45.2,-1.1
201011,35.0,0.1
