Washington, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,34.5,2.5
199002,31.8,-2.6
199003,41.1,1.3
199004,48.6,3.1
199005,50.6,-2.2
199006,57.5,-1.0
199007,67.1,1.5
199008,65.7,0.4
199009,62.2,3.7
199010,44.6,-2.6
199011,39.3,1.9
199012,24.2,-6.7
199101,28.5,-3.5
199102,40.4,6.0
199103,37.4,-2.4
199104,44.8,-0.7
199105,50.1,-2.7
199106,54.7,-3.8
199107,64.7,-0.9
199108,65.8,0.5
199109,60.4,1.9
199110,47.0,-0.2
199111,37.3,-0.1
199112,34.5,3.6
199201,34.6,2.6
199202,39.6,5.2
199203,45.1,5.3
199204,47.6,2.1
199205,56.0,3.2
199206,63.4,4.9
199207,64.3,-1.3
199208,65.2,-0.1
199209,55.4,-3.1
199210,48.6,1.4
199211,36.6,-0.8
199212,27.3,-3.6
199301,24.4,-7.6
199302,29.8,-4.6
199303,39.1,-0.7
199304,44.6,-0.9
199305,57.0,4.2
199306,57.1,-1.4
199307,58.8,-6.8
199308,62.5,-2.8
199309,58.4,-0.1
199310,50.1,2.9
199311,32.6,-4.8
199312,32.5,1.6
199401,36.7,4.7
199402,31.7,-2.7
199403,42.2,2.4
199404,48.2,2.7
199405,54.1,1.3
199406,57.3,-1.2
199407,67.3,1.7
199408,64.9,-0.4
199409,61.2,2.7
199410,46.5,-0.7
199411,33.2,-4.2
199412,31.5,0.6
199501,32.6,0.6
199502,37.8,3.4
199503,39.6,-0.2
199504,44.7,-0.8
199505,54.6,1.8
199506,58.1,-0.4
199507,64.7,-0.9
199508,60.2,-5.1
199509,60.8,2.3
199510,45.4,-1.8
199511,40.2,2.8
199512,31.8,0.9
199601,29.0,-3.0
199602,32.0,-2.4
199603,39.2,-0.6
199604,46.0,0.5
199605,48.2,-4.6
199606,57.2,-1.3
199607,66.6,1.0
199608,64.8,-0.5
199609,55.0,-3.5
199610,45.9,-1.3
199611,35.3,-2.1
199612,28.1,-2.8
199701,30.4,-1.6
199702,34.0,-0.4
199703,38.7,-1.1
199704,43.6,-1.9
199705,54.5,1.7
199706,56.9,-1.6
199707,63.2,-2.4
199708,66.5,1.2
199709,59.2,0.7
199710,46.3,-0.9
199711,39.6,2.2
199712,32.4,1.5
199801,32.0,0.0
199802,37.7,3.3
199803,41.0,1.2
199804,46.0,0.5
199805,52.9,0.1
199806,58.8,0.3
199807,69.0,3.4
199808,66.8,1.5
199809,62.2,3.7
199810,47.0,-0.2
199811,39.6,2.2
199812,30.2,-0.7
199901,34.3,2.3
199902,35.0,0.6
199903,38.6,-1.2
199904,43.7,-1.8
199905,48.5,-4.3
199906,56.0,-2.5
199907,62.0,-3.6
199908,65.6,0.3
199909,57.1,-1.4
199910,46.7,-0.5
199911,41.1,3.7
199912,34.7,3.8
200001,30.4,-1.6
200002,35.2,0.8
200003,39.1,-0.7
200004,47.8,2.3
200005,51.1,-1.7
200006,58.5,0.0
200007,63.5,-2.1
200008,63.4,-1.9
200009,56.3,-2.2
200010,46.8,-0.4
200011,32.6,-4.8
200012,29.4,-1.5
200101,31.8,-0.2
200102,32.1,-2.3
200103,40.0,0.2
200104,43.5,-2.0
200105,53.1,0.3
200106,55.6,-2.9
200107,63.4,-2.2
200108,66.0,0.7
200109,59.8,1.3
200110,45.7,-1.5
200111,39.7,2.3
200112,31.8,0.9
200201,32.9,0.9
200202,34.3,-0.1
200203,35.6,-4.2
200204,44.7,-0.8
200205,49.7,-3.1
200206,59.5,1.0
200207,66.1,0.5
200208,63.6,-1.7
200209,57.5,-1.0
200210,45.5,-1.7
200211,39.2,1.8
200212,34.6,3.7
200301,36.1,4.1
200302,35.4,1.0
200303,41.0,1.2
200304,44.6,-0.9
200305,51.3,-1.5
200306,60.8,2.3
200307,67.5,1.9
200308,65.9,0.6
200309,60.0,1.5
200310,50.6,3.4
200311,33.3,-4.1
200312,31.6,0.7
200401,29.8,-2.2
200402,35.1,0.7
200403,42.9,3.1
200404,48.6,3.1
200405,52.4,-0.4
200406,60.4,1.9
200407,67.3,1.7
200408,67.0,1.7
200409,56.1,-2.4
200410,48.5,1.3
200411,38.1,0.7
200412,34.5,3.6
200501,31.5,-0.5
200502,35.8,1.4
200503,42.7,2.9
200504,46.3,0.8
200505,54.7,1.9
200506,57.0,-1.5
200507,65.0,-0.6
200508,65.8,0.5
200509,55.7,-2.8
200510,48.4,1.2
200511,35.7,-1.7
200512,29.4,-1.5
200601,35.9,3.9
200602,32.8,-1.6
200603,38.8,-1.0
200604,45.7,0.2
200605,53.0,0.2
200606,59.8,1.3
200607,67.5,1.9
200608,64.2,-1.1
200609,58.8,0.3
200610,47.0,-0.2
200611,36.1,-1.3
200612,30.5,-0.4
200701,28.6,-3.4
200702,35.6,1.2
200703,41.5,1.7
200704,44.9,-0.6
200705,52.9,0.1
200706,57.5,-1.0
200707,68.1,2.5
200708,63.3,-2.0
200709,56.7,-1.8
200710,45.6,-1.6
200711,36.4,-1.0
200712,30.4,-0.5
200801,27.4,-4.6
200802,35.4,1.0
200803,37.0,-2.8
200804,40.8,-4.7
200805,53.1,0.3
200806,56.2,-2.3
200807,64.4,-1.2
200808,64.0,-1.3
200809,57.8,-0.7
200810,46.6,-0.6
200811,40.2,2.8
200812,26.2,-4.7
200901,30.1,-1.9
200902,33.1,-1.3
200903,35.3,-4.5
200904,44.1,-1.4
200905,52.3,-0.5
200906,59.9,1.4
200907,67.5,1.9
200908,65.4,0.1
200909,59.9,1.4
200910,44.2,-3.0
200911,38.0,0.6
200912,26.6,-4.3
201001,36.3,4.3
201002,38.5,4.1
201003,40.9,1.1
201004,44.6,-0.9
201005,48.7,-4.1
201006,55.9,-2.6
201007,64.2,-1.4
201008,63.5,-1.8
201009,57.1,-1.4
201010,48.6,1.4
201011,34.8,-2.6
201012,31.9,1.0
201101,32.1,0.1
201102,31.1,-3.3
201103,38.4,-1.4
201104,40.2,-5.3
201105,48.6,-4.2
201106,55.5,-3.0
201107,61.0,-4.6
201108,64.9,-0.4
201109,61.0,2.5
201110,47.2,0.0
201111,35.3,-2.1
201112,31.0,0.1
201201,30.7,-1.3
201202,34.5,0.1
201203,37.6,-2.2
201204,46.0,0.5
201205,50.9,-1.9
201206,55.0,-3.5
201207,65.2,-0.4
201208,66.2,0.9
201209,59.7,1.2
201210,47.4,0.2
201211,39.0,1.6
201212,32.5,1.6
201301,29.1,-2.9
201302,35.5,1.1
201303,40.2,0.4
201304,44.7,-0.8
201305,53.5,0.7
201306,58.7,0.2
201307,67.2,1.6
201308,66.2,0.9
201309,59.7,1.2
201310,46.1,-1.1
201311,36.7,-0.7
201312,28.2,-2.7
201401,34.1,2.1
201402,29.8,-4.6
201403,40.1,0.3
201404,45.8,0.3
201405,54.3,1.5
201406,58.3,-0.2
201407,68.6,3.0
201408,67.3,2.0
201409,59.8,1.3
201410,51.9,4.7
201411,36.3,-1.1
201412,34.2,3.3
201501,35.1,3.1
201502,40.7,6.3
201503,44.8,5.0
201504,45.7,0.2
201505,56.0,3.2
201506,65.5,7.0
201507,68.6,3.0
201508,66.6,1.3
201509,56.2,-2.3
201510,52.4,5.2
201511,36.0,-1.4
201512,32.1,1.2
201601,33.0,1.0
201602,39.1,4.7
201603,41.8,2.0
201604,51.6,6.1
201605,55.1,2.3
201606,59.9,1.4
201607,63.6,-2.0
201608,65.9,0.6
201609,56.4,-2.1
201610,47.4,0.2
201611,43.0,5.6
201612,26.1,-4.8
201701,24.8,-7.2
201702,31.0,-3.4
201703,39.3,-0.5
201704,44.2,-1.3
201705,53.7,0.9
201706,59.5,1.0
201707,67.1,1.5
201708,68.6,3.3
201709,59.8,1.3
201710,46.2,-1.0
201711,37.7,0.3
201712,29.9,-1.0
201801,35.4,3.4
201802,32.4,-2.0
201803,38.8,-1.0
201804,45.3,-0.2
201805,57.6,4.8
201806,58.2,-0.3
201807,67.5,1.9
201808,66.0,0.7
201809,56.3,-2.2
201810,47.4,0.2
201811,38.6,1.2
201812,33.1,2.2
201901,34.2,2.2
201902,25.3,-9.1
201903,36.2,-3.6
201904,46.3,0.8
201905,55.6,2.8
201906,59.5,1.0
201907,63.8,-1.8
201908,66.4,1.1
201909,57.1,-1.4
201910,42.8,-4.4
201911,37.6,0.2
201912,33.5,2.6
202001,34.2,2.2
202002,35.6,1.2
202003,38.3,-1.5
202004,46.0,0.5
202005,53.3,0.5
202006,57.9,-0.6
202007,64.8,-0.8
202008,65.7,0.4
202009,61.2,2.7
202010,48.4,1.2
202011,37.6,0.2
202012,33.7,2.8
202101,34.6,2.6
202102,31.3,-3.1
202103,39.7,-0.1
