Washington, Palmer Z-Index
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,2.57,2.41
199002,1.45,1.95
199003,-2.18,-2.25
199004,-0.50,-0.96
199005,1.80,1.58
199006,1.55,1.61
199007,1.38,1.62
199008,1.46,2.01
199009,-2.94,-2.39
199010,2.76,2.36
199011,3.17,2.66
199012,-1.27,-0.94
199101,-1.23,-1.39
199102,-0.17,0.33
199103,0.04,-0.03
199104,2.51,2.05
199105,1.22,1.00
199106,1.35,1.41
199107,1.05,1.29
199108,1.59,2.14
199109,-2.69,-2.14
199110,-2.43,-2.83
199111,1.25,0.74
199112,-2.44,-2.11
199201,0.63,0.47
199202,-1.63,-1.13
199203,-4.78,-4.85
199204,1.14,0.68
199205,-2.90,-3.12
199206,-1.11,-1.05
199207,-0.08,0.16
199208,-0.97,-0.42
199209,0.36,0.91
199210,-1.80,-2.20
199211,-0.06,-0.57
199212,-1.57,-1.24
199301,-1.74,-1.90
199302,-4.08,-3.58
199303,-0.41,-0.48
199304,3.31,2.85
199305,0.47,0.25
199306,1.49,1.55
199307,4.06,4.30
199308,1.49,2.04
199309,-2.09,-1.54
199310,-2.43,-2.83
199311,-3.15,-3.66
199312,-0.86,-0.53
199401,-2.03,-2.19
199402,0.76,1.26
199403,-1.75,-1.82
199404,-0.45,-0.91
199405,-0.52,-0.74
199406,0.37,0.43
199407,-0.68,-0.44
199408,-1.68,-1.13
199409,-1.43,-0.88
199410,1.68,1.28
199411,1.47,0.96
199412,1.12,1.45
199501,0.25,0.09
199502,-0.35,0.15
199503,0.86,0.79
199504,0.36,-0.10
199505,-1.36,-1.58
199506,0.10,0.16
199507,0.31,0.55
199508,1.09,1.64
199509,-0.33,0.22
199510,1.54,1.14
199511,4.55,4.04
199512,0.41,0.74
199601,0.73,0.57
199602,3.40,3.90
199603,-2.63,-2.70
199604,3.68,3.22
199605,2.45,2.23
199606,-0.88,-0.82
199607,-0.23,0.01
199608,-1.13,-0.58
199609,0.37,0.92
199610,2.26,1.86
199611,1.15,0.64
199612,5.11,5.44
199701,1.24,1.08
199702,-1.14,-0.64
199703,4.69,4.62
199704,1.84,1.38
