Wisconsin, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,24.1,8.6
199002,20.4,1.5
199003,33.3,2.5
199004,45.5,2.3
199005,51.8,-3.5
199006,64.9,-0.3
199007,67.8,-1.4
199008,66.7,-0.5
199009,60.3,0.7
199010,45.1,-1.8
199011,36.9,3.4
199012,17.7,-3.7
199101,10.6,-4.9
199102,22.1,3.2
199103,32.0,1.2
199104,46.7,3.5
199105,59.6,4.3
199106,68.2,3.0
199107,68.4,-0.8
199108,68.1,0.9
199109,56.4,-3.2
199110,45.4,-1.5
199111,26.3,-7.2
199112,20.8,-0.6
199201,20.3,4.8
199202,25.4,6.5
199203,30.1,-0.7
199204,40.4,-2.8
199205,56.2,0.9
199206,61.6,-3.6
199207,63.3,-5.9
199208,62.7,-4.5
199209,56.4,-3.2
199210,45.2,-1.7
199211,30.5,-3.0
199212,20.7,-0.7
199301,15.1,-0.4
199302,16.8,-2.1
199303,28.4,-2.4
199304,39.8,-3.4
199305,54.8,-0.5
199306,61.5,-3.7
199307,67.9,-1.3
199308,67.9,0.7
199309,52.5,-7.1
199310,44.1,-2.8
199311,30.2,-3.3
199312,21.6,0.2
199401,3.9,-11.6
199402,11.7,-7.2
199403,31.6,0.8
199404,43.3,0.1
199405,55.4,0.1
199406,66.5,1.3
199407,67.0,-2.2
199408,64.0,-3.2
199409,61.1,1.5
199410,49.4,2.5
199411,36.5,3.0
199412,25.3,3.9
199501,16.8,1.3
199502,17.8,-1.1
199503,32.3,1.5
199504,38.4,-4.8
199505,53.8,-1.5
199506,68.5,3.3
199507,70.0,0.8
199508,71.8,4.6
199509,56.4,-3.2
199510,47.3,0.4
199511,24.4,-9.1
199512,16.2,-5.2
199601,10.1,-5.4
199602,15.8,-3.1
199603,23.1,-7.7
199604,38.8,-4.4
199605,51.5,-3.8
199606,64.4,-0.8
199607,65.7,-3.5
199608,67.1,-0.1
199609,58.8,-0.8
199610,46.7,-0.2
199611,25.8,-7.7
199612,17.9,-3.5
199701,11.6,-3.9
199702,20.7,1.8
199703,28.9,-1.9
199704,41.1,-2.1
199705,49.3,-6.0
199706,66.0,0.8
199707,67.7,-1.5
199708,63.6,-3.6
199709,59.4,-0.2
199710,47.5,0.6
199711,29.7,-3.8
199712,26.2,4.8
199801,20.3,4.8
199802,31.6,12.7
199803,31.3,0.5
199804,47.0,3.8
199805,60.9,5.6
199806,63.5,-1.7
199807,69.4,0.2
199808,68.9,1.7
199809,63.1,3.5
199810,49.0,2.1
199811,37.2,3.7
199812,25.4,4.0
199901,12.0,-3.5
199902,26.6,7.7
199903,31.8,1.0
199904,46.6,3.4
199905,58.0,2.7
199906,65.4,0.2
199907,72.4,3.2
199908,65.9,-1.3
199909,57.8,-1.8
199910,45.7,-1.2
199911,39.6,6.1
199912,22.7,1.3
200001,15.1,-0.4
200002,25.3,6.4
200003,38.4,7.6
200004,42.9,-0.3
200005,57.1,1.8
200006,62.8,-2.4
200007,67.6,-1.6
200008,67.6,0.4
200009,58.1,-1.5
200010,50.5,3.6
200011,32.4,-1.1
200012,8.6,-12.8
200101,19.1,3.6
200102,14.8,-4.1
200103,28.0,-2.8
200104,46.8,3.6
200105,57.0,1.7
200106,64.4,-0.8
200107,70.0,0.8
200108,69.7,2.5
200109,57.3,-2.3
200110,46.1,-0.8
200111,43.2,9.7
200112,27.5,6.1
200201,24.0,8.5
200202,26.7,7.8
200203,24.8,-6.0
200204,42.9,-0.3
200205,50.8,-4.5
200206,66.4,1.2
200207,72.7,3.5
200208,67.4,0.2
200209,61.6,2.0
200210,42.1,-4.8
200211,31.4,-2.1
200212,24.2,2.8
200301,13.7,-1.8
200302,13.7,-5.2
200303,29.1,-1.7
200304,42.6,-0.6
200305,53.8,-1.5
200306,63.1,-2.1
200307,68.4,-0.8
200308,70.1,2.9
200309,59.4,-0.2
200310,46.8,-0.1
200311,32.9,-0.6
200312,24.8,3.4
200401,10.7,-4.8
200402,20.8,1.9
200403,33.6,2.8
200404,44.6,1.4
200405,53.1,-2.2
200406,62.0,-3.2
200407,66.8,-2.4
200408,62.2,-5.0
200409,63.1,3.5
200410,48.2,1.3
200411,36.7,3.2
200412,20.4,-1.0
200501,14.2,-1.3
200502,24.8,5.9
200503,27.4,-3.4
200504,47.7,4.5
200505,52.7,-2.6
200506,69.4,4.2
200507,70.7,1.5
200508,68.2,1.0
200509,63.3,3.7
200510,49.6,2.7
200511,34.5,1.0
200512,18.3,-3.1
200601,27.7,12.2
200602,18.4,-0.5
200603,31.6,0.8
200604,49.0,5.8
200605,56.5,1.2
200606,65.1,-0.1
200607,72.8,3.6
200608,68.0,0.8
200609,56.4,-3.2
200610,42.8,-4.1
200611,36.4,2.9
200612,27.2,5.8
200701,20.3,4.8
200702,11.7,-7.2
200703,34.6,3.8
200704,42.8,-0.4
200705,59.1,3.8
200706,66.9,1.7
200707,69.5,0.3
200708,68.4,1.2
200709,61.1,1.5
200710,52.6,5.7
200711,32.8,-0.7
200712,17.1,-4.3
200801,14.7,-0.8
200802,13.2,-5.7
200803,25.4,-5.4
200804,42.9,-0.3
200805,52.0,-3.3
200806,64.4,-0.8
200807,69.0,-0.2
200808,66.5,-0.7
200809,60.5,0.9
200810,46.7,-0.2
200811,33.3,-0.2
200812,12.7,-8.7
200901,6.1,-9.4
200902,20.4,1.5
200903,30.1,-0.7
200904,43.0,-0.2
200905,55.1,-0.2
200906,63.6,-1.6
200907,63.7,-5.5
200908,64.8,-2.4
200909,61.4,1.8
200910,42.2,-4.7
200911,40.0,6.5
200912,18.2,-3.2
201001,15.1,-0.4
201002,20.0,1.1
201003,37.4,6.6
201004,50.0,6.8
201005,57.6,2.3
201006,65.1,-0.1
201007,71.4,2.2
201008,70.8,3.6
201009,56.9,-2.7
201010,49.5,2.6
201011,34.9,1.4
201012,16.9,-4.5
201101,12.2,-3.3
201102,18.5,-0.4
201103,28.0,-2.8
201104,41.7,-1.5
201105,54.0,-1.3
201106,64.3,-0.9
201107,73.2,4.0
201108,68.2,1.0
201109,57.3,-2.3
201110,49.8,2.9
201111,36.7,3.2
201112,25.7,4.3
201201,20.8,5.3
201202,26.6,7.7
201203,45.6,14.8
201204,45.1,1.9
201205,59.6,4.3
201206,67.1,1.9
201207,74.8,5.6
201208,67.1,-0.1
201209,57.7,-1.9
201210,44.8,-2.1
201211,34.4,0.9
201212,25.1,3.7
201301,16.8,1.3
201302,17.0,-1.9
201303,23.9,-6.9
201304,37.8,-5.4
201305,55.2,-0.1
201306,63.9,-1.3
201307,68.9,-0.3
201308,67.6,0.4
201309,60.8,1.2
201310,46.7,-0.2
201311,30.8,-2.7
201312,11.9,-9.5
201401,6.0,-9.5
201402,7.3,-11.6
201403,21.4,-9.4
201404,39.7,-3.5
201405,55.3,0.0
201406,66.4,1.2
201407,65.9,-3.3
201408,67.1,-0.1
201409,58.2,-1.4
201410,46.0,-0.9
201411,25.3,-8.2
201412,24.1,2.7
201501,15.3,-0.2
201502,7.6,-11.3
201503,30.7,-0.1
201504,45.0,1.8
201505,56.6,1.3
201506,63.8,-1.4
201507,68.4,-0.8
201508,66.1,-1.1
201509,64.7,5.1
201510,48.4,1.5
201511,39.4,5.9
201512,31.8,10.4
201601,16.2,0.7
201602,22.6,3.7
201603,36.8,6.0
201604,42.9,-0.3
201605,56.1,0.8
201606,65.8,0.6
201607,69.9,0.7
201608,69.5,2.3
201609,62.6,3.0
201610,50.4,3.5
201611,41.6,8.1
201612,19.9,-1.5
201701,19.4,3.9
201702,27.8,8.9
201703,30.2,-0.6
201704,46.4,3.2
201705,53.3,-2.0
201706,65.6,0.4
201707,68.8,-0.4
201708,64.2,-3.0
201709,62.2,2.6
201710,50.0,3.1
201711,31.4,-2.1
201712,17.3,-4.1
201801,15.2,-0.3
201802,16.1,-2.8
201803,29.7,-1.1
201804,33.5,-9.7
201805,62.0,6.7
201806,66.5,1.3
201807,69.8,0.6
201808,68.5,1.3
201809,61.2,1.6
201810,43.6,-3.3
201811,27.3,-6.2
201812,25.1,3.7
201901,13.1,-2.4
201902,13.5,-5.4
201903,25.7,-5.1
201904,42.4,-0.8
201905,51.8,-3.5
201906,63.6,-1.6
201907,71.3,2.1
201908,65.6,-1.6
201909,62.0,2.4
201910,45.0,-1.9
201911,28.2,-5.3
201912,23.5,2.1
202001,21.5,6.0
202002,19.2,0.3
202003,34.3,3.5
202004,40.7,-2.5
202005,54.1,-1.2
202006,66.5,1.3
202007,71.9,2.7
202008,68.3,1.1
202009,57.3,-2.3
202010,41.3,-5.6
202011,38.6,5.1
202012,24.2,2.8
202101,20.2,4.7
202102,10.7,-8.2
202103,36.9,6.1
202104,44.9,1.7
202105,54.8,-0.5
202106,69.3,4.1
202107,69.4,0.2
202108,69.2,2.0
202109,61.2,1.6
202110,53.5,6.6
202111,33.8,0.3
202112,24.8,3.4
202201,9.2,-6.3
