Wisconsin, Palmer Z-Index
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,-1.21,-1.53
199002,-0.71,-1.06
199003,2.09,1.97
199004,-0.38,-1.21
199005,1.79,1.17
199006,3.46,2.73
199007,-0.34,-1.01
199008,2.37,2.23
199009,0.20,0.46
199010,1.56,0.51
199011,-0.56,-0.62
199012,1.02,0.36
199101,-0.62,-0.94
199102,-0.62,-0.97
199103,2.27,2.15
199104,1.36,0.53
199105,1.20,0.58
199106,-1.24,-1.97
199107,2.01,1.34
199108,-2.27,-2.41
199109,1.25,1.51
199110,2.07,1.02
199111,6.12,6.06
199112,0.47,-0.19
199201,-0.35,-0.67
199202,-0.26,-0.61
199203,0.45,0.33
199204,1.21,0.38
199205,-2.39,-3.01
199206,-2.47,-3.20
199207,1.47,0.80
199208,-1.05,-1.19
199209,2.54,2.80
199210,-0.25,-1.30
199211,3.77,3.71
199212,1.54,0.88
199301,0.90,0.58
199302,-0.95,-1.30
199303,-0.94,-1.06
199304,3.49,2.66
199305,2.18,1.56
199306,4.72,3.99
199307,2.46,1.79
199308,0.49,0.35
199309,0.82,1.08
199310,-0.01,-1.06
199311,0.80,0.74
199312,-0.87,-1.53
199401,0.60,0.28
199402,0.34,-0.01
199403,-1.67,-1.79
199404,1.61,0.78
199405,-2.63,-3.25
199406,-1.23,-1.96
199407,2.14,1.47
199408,0.57,0.43
199409,1.57,1.83
199410,-0.70,-1.75
199411,0.68,0.62
199412,-0.96,-1.62
199501,-0.45,-0.77
199502,-1.23,-1.58
199503,0.91,0.79
199504,1.43,0.60
199505,0.50,-0.12
199506,-3.25,-3.98
199507,-0.74,-1.41
199508,3.58,3.44
199509,-1.48,-1.22
199510,3.90,2.85
199511,1.09,1.03
199512,-0.08,-0.74
199601,3.31,2.99
199602,-0.50,-0.85
199603,-0.29,-0.41
199604,0.47,-0.36
199605,-0.70,-1.32
199606,3.22,2.49
199607,1.74,1.07
199608,-1.85,-1.99
199609,-1.57,-1.31
199610,1.79,0.74
199611,1.14,1.08
199612,1.48,0.82
199701,2.01,1.69
199702,-0.13,-0.48
199703,0.40,0.28
199704,-2.44,-3.27
199705,0.40,-0.22
199706,-0.23,-0.96
199707,2.50,1.83
199708,1.33,1.19
199709,-0.53,-0.27
199710,0.14,-0.91
199711,-0.90,-0.96
199712,-0.77,-1.43
199801,1.63,1.31
199802,1.31,0.96
199803,3.70,3.58
199804,-1.31,-2.14
199805,-1.23,-1.85
199806,3.02,2.29
199807,-2.81,-3.48
199808,-0.21,-0.35
199809,-2.63,-2.37
199810,-0.34,-1.39
199811,-1.75,-1.81
199812,-1.98,-2.64
199901,1.45,1.13
199902,0.48,0.13
199903,-2.09,-2.21
199904,1.81,0.98
199905,1.57,0.95
199906,-0.03,-0.76
199907,5.80,5.13
199908,-0.24,-0.38
199909,-1.41,-1.15
199910,-1.30,-2.35
199911,-1.99,-2.05
199912,-1.44,-2.10
200001,0.08,-0.24
200002,0.66,0.31
