West Virginia, Precipitation
Units: Inches
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,3.57,0.03
199002,3.68,0.43
199003,2.32,-1.76
199004,3.25,-0.70
199005,6.00,1.14
199006,3.74,-0.93
199007,5.45,0.50
199008,4.29,0.31
199009,3.40,-0.30
199010,5.08,1.81
199011,1.90,-1.07
199012,6.82,3.01
199101,3.68,0.14
199102,2.87,-0.38
199103,6.13,2.05
199104,3.14,-0.81
199105,2.17,-2.69
199106,2.63,-2.04
199107,4.10,-0.85
199108,2.98,-1.00
199109,3.21,-0.49
199110,1.43,-1.84
199111,3.40,0.43
199112,6.03,2.22
199201,2.12,-1.42
199202,2.88,-0.37
199203,4.45,0.37
199204,2.89,-1.06
199205,4.14,-0.72
199206,3.40,-1.27
199207,6.46,1.51
199208,4.17,0.19
199209,2.49,-1.21
199210,1.12,-2.15
199211,3.12,0.15
199212,3.95,0.14
199301,2.20,-1.34
199302,2.73,-0.52
199303,6.48,2.40
199304,3.81,-0.14
199305,2.44,-2.42
199306,3.74,-0.93
199307,2.85,-2.10
199308,3.14,-0.84
199309,5.67,1.97
199310,3.19,-0.08
199311,4.03,1.06
199312,4.03,0.22
199401,5.54,2.00
199402,5.43,2.18
199403,7.29,3.21
199404,3.80,-0.15
199405,4.34,-0.52
199406,3.57,-1.10
199407,5.64,0.69
199408,5.62,1.64
199409,2.12,-1.58
199410,1.08,-2.19
199411,2.44,-0.53
199412,2.58,-1.23
199501,5.14,1.60
199502,2.55,-0.70
199503,2.23,-1.85
199504,2.37,-1.58
199505,6.25,1.39
199506,5.79,1.12
199507,2.88,-2.07
199508,3.56,-0.42
199509,2.75,-0.95
199510,4.06,0.79
199511,3.81,0.84
199512,2.67,-1.14
199601,6.01,2.47
199602,3.42,0.17
199603,4.43,0.35
199604,3.39,-0.56
199605,8.92,4.06
199606,4.08,-0.59
199607,7.11,2.16
199608,4.65,0.67
199609,6.77,3.07
199610,2.76,-0.51
199611,3.96,0.99
199612,3.67,-0.14
199701,2.27,-1.27
199702,1.90,-1.35
199703,7.13,3.05
199704,2.08,-1.87
199705,4.20,-0.66
199706,4.29,-0.38
199707,4.36,-0.59
199708,4.15,0.17
199709,2.98,-0.72
199710,1.28,-1.99
199711,3.79,0.82
199712,2.80,-1.01
199801,4.93,1.39
199802,4.40,1.15
199803,4.03,-0.05
199804,5.05,1.10
199805,5.15,0.29
199806,8.43,3.76
199807,3.08,-1.87
199808,3.13,-0.85
199809,2.01,-1.69
199810,1.68,-1.59
199811,1.45,-1.52
199812,2.77,-1.04
199901,5.58,2.04
199902,2.37,-0.88
199903,3.98,-0.10
199904,2.99,-0.96
199905,2.79,-2.07
199906,1.73,-2.94
199907,3.45,-1.50
199908,3.39,-0.59
199909,3.28,-0.42
199910,3.30,0.03
199911,3.38,0.41
