West Virginia, Palmer Z-Index
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,-0.05,-0.29
199002,0.28,0.16
199003,-2.92,-2.86
199004,-0.53,-0.65
199005,2.48,1.76
199006,-0.45,-1.01
199007,1.05,0.90
199008,0.40,0.78
199009,0.47,0.00
199010,3.00,2.77
199011,-1.31,-1.01
199012,4.51,3.98
199101,0.53,0.29
199102,-0.47,-0.59
199103,2.55,2.61
199104,-1.27,-1.39
199105,-3.64,-4.36
199106,-2.77,-3.33
199107,-2.24,-2.39
199108,-2.56,-2.18
199109,-0.96,-1.43
199110,-3.36,-3.59
199111,-1.68,-1.38
199112,2.75,2.22
199201,-1.58,-1.82
199202,-0.56,-0.68
199203,0.67,0.73
199204,-1.02,-1.14
199205,0.41,-0.31
199206,-0.39,-0.95
199207,2.38,2.23
199208,0.79,1.17
199209,-0.61,-1.08
199210,-1.74,-1.97
199211,-0.26,0.04
199212,1.08,0.55
199301,-1.77,-2.01
199302,-0.36,-0.48
199303,3.78,3.84
199304,0.31,0.19
199305,-2.22,-2.94
199306,-0.59,-1.15
199307,-3.52,-3.67
199308,-2.41,-2.03
199309,2.54,2.07
199310,0.40,0.17
199311,1.44,1.74
199312,1.24,0.71
199401,3.10,2.86
199402,3.49,3.37
199403,4.55,4.61
199404,-0.43,-0.55
199405,1.01,0.29
199406,-1.26,-1.82
199407,0.91,0.76
199408,2.37,2.75
199409,-0.81,-1.28
199410,-2.01,-2.24
199411,-1.74,-1.44
199412,-1.26,-1.79
199501,2.54,2.30
199502,-0.63,-0.75
199503,-2.79,-2.73
199504,-1.75,-1.87
199505,2.74,2.02
199506,2.12,1.56
199507,-2.78,-2.93
199508,-1.89,-1.51
199509,-0.94,-1.41
199510,0.47,0.24
199511,1.07,1.37
199512,-0.55,-1.08
199601,3.75,3.51
199602,0.65,0.53
199603,1.18,1.24
199604,-0.31,-0.43
199605,5.79,5.07
199606,-0.33,-0.89
199607,3.84,3.69
199608,1.05,1.43
199609,5.59,5.12
199610,0.46,0.23
199611,2.34,2.64
199612,0.41,-0.12
199701,-1.38,-1.62
199702,-2.10,-2.22
199703,3.79,3.85
199704,-1.47,-1.59
199705,0.93,0.21
199706,0.43,-0.13
199707,-0.44,-0.59
199708,0.48,0.86
199709,0.07,-0.40
199710,-1.94,-2.17
199711,0.82,1.12
199712,-0.54,-1.07
199801,1.85,1.61
199802,1.51,1.39
199803,-0.13,-0.07
199804,1.62,1.50
199805,0.68,-0.04
199806,5.83,5.27
199807,-2.19,-2.34
199808,-1.77,-1.39
199809,-2.71,-3.18
199810,-2.73,-2.96
199811,-4.11,-3.81
199812,-2.30,-2.83
199901,2.48,2.24
199902,-1.21,-1.33
199903,0.51,0.57
199904,-1.46,-1.58
199905,-1.79,-2.51
199906,-3.58,-4.14
199907,-3.36,-3.51
199908,-1.88,-1.50
199909,-0.69,-1.16
199910,-0.58,-0.81
199911,-1.39,-1.09
199912,-1.02,-1.55
200001,-1.76,-2.00
200002,0.90,0.78
200003,-2.03,-1.97
200004,0.94,0.82
200005,-0.42,-1.14
200006,1.57,1.01
200007,1.49,1.34
200008,1.41,1.79
200009,2.28,1.81
200010,-2.26,-2.49
200011,-1.48,-1.18
200012,-1.11,-1.64
200101,-0.92,-1.16
200102,-1.68,-1.80
200103,-0.17,-0.11
200104,-2.49,-2.61
200105,2.72,2.00
200106,0.10,-0.46
200107,4.57,4.42
200108,-1.11,-0.73
200109,-0.66,-1.13
200110,-2.14,-2.37
200111,-3.72,-3.42
200112,-2.13,-2.66
200201,-0.45,-0.69
200202,-3.26,-3.38
200203,1.22,1.28
200204,2.66,2.54
200205,1.50,0.78
200206,0.01,-0.55
200207,0.16,0.01
200208,-3.40,-3.02
200209,-0.22,-0.69
200210,2.43,2.20
200211,2.10,2.40
200212,0.45,-0.08
200301,-1.17,-1.41
200302,4.78,4.66
200303,-3.12,-3.06
200304,-0.22,-0.34
200305,3.87,3.15
200306,3.94,3.38
200307,1.81,1.66
200308,1.52,1.90
200309,5.43,4.96
200310,1.03,0.80
200311,4.84,5.14
200312,0.46,-0.07
200401,0.06,-0.18
200402,-0.18,-0.30
200403,-0.63,-0.57
200404,2.31,2.19
200405,1.94,1.22
200406,0.70,0.14
200407,-0.34,-0.49
200408,0.32,0.70
200409,5.92,5.45
200410,1.24,1.01
200411,1.18,1.48
200412,-0.05,-0.58
200501,0.82,0.58
200502,-1.22,-1.34
200503,0.77,0.83
200504,0.18,0.06
200505,-0.37,-1.09
200506,-3.20,-3.76
200507,0.22,0.07
200508,-0.40,-0.02
200509,-4.14,-4.61
200510,0.31,0.08
200511,0.08,0.38
200512,-0.51,-1.04
200601,0.24,0.00
200602,-2.41,-2.53
200603,-2.80,-2.74
200604,0.55,0.43
200605,-1.36,-2.08
200606,3.02,2.46
200607,-0.32,-0.47
200608,-1.54,-1.16
200609,2.66,2.19
200610,4.11,3.88
200611,0.05,0.35
200612,-2.22,-2.75
200701,0.04,-0.20
200702,-0.74,-0.86
200703,-0.76,-0.70
200704,1.50,1.38
200705,-3.08,-3.80
200706,-1.27,-1.83
200707,0.47,0.32
200708,-2.05,-1.67
200709,-2.23,-2.70
200710,-0.90,-1.13
200711,-1.28,-0.98
200712,2.02,1.49
200801,-0.49,-0.73
200802,0.82,0.70
200803,0.49,0.55
200804,0.11,-0.01
200805,2.10,1.38
200806,1.80,1.24
200807,0.64,0.49
200808,-0.89,-0.51
200809,-2.27,-2.74
200810,-2.12,-2.35
200811,-1.24,-0.94
200812,2.90,2.37
200901,1.67,1.43
200902,-2.32,-2.44
200903,-2.14,-2.08
200904,0.22,0.10
200905,3.41,2.69
200906,0.29,-0.27
200907,1.59,1.44
200908,-0.02,0.36
200909,0.32,-0.15
200910,1.55,1.32
200911,-1.63,-1.33
200912,2.25,1.72
201001,0.42,0.18
201002,0.55,0.43
201003,-1.03,-0.97
201004,-2.99,-3.11
201005,0.91,0.19
201006,-0.13,-0.69
201007,-0.27,-0.42
201008,-1.41,-1.03
201009,-1.37,-1.84
201010,-1.17,-1.40
201011,-1.26,-0.96
201012,0.46,-0.07
201101,-1.40,-1.64
201102,-0.40,-0.52
201103,2.18,2.24
201104,4.60,4.48
201105,0.92,0.20
201106,-0.39,-0.95
201107,-1.82,-1.97
201108,-0.95,-0.57
201109,3.97,3.50
201110,3.35,3.12
201111,2.13,2.43
201112,0.50,-0.03
201201,-0.43,-0.67
201202,-1.46,-1.58
201203,-0.37,-0.31
201204,-1.20,-1.32
201205,0.00,-0.72
201206,-1.94,-2.50
201207,0.60,0.45
201208,-2.32,-1.94
201209,2.40,1.93
201210,2.37,2.14
201211,-2.10,-1.80
201212,1.80,1.27
201301,1.45,1.21
201302,-1.70,-1.82
201303,-0.40,-0.34
201304,-1.88,-2.00
201305,-0.27,-0.99
201306,2.26,1.70
201307,2.02,1.87
201308,2.38,2.76
201309,-0.67,-1.14
201310,-0.87,-1.10
201311,0.88,1.18
201312,3.66,3.13
201401,-1.40,-1.64
201402,1.77,1.65
201403,-0.80,-0.74
201404,-1.16,-1.28
201405,-0.15,-0.87
201406,0.19,-0.37
201407,-0.51,-0.66
201408,0.68,1.06
201409,-1.39,-1.86
201410,2.67,2.44
201411,0.10,0.40
201412,-0.08,-0.61
201501,-1.18,-1.42
201502,-0.35,-0.47
201503,2.00,2.06
201504,3.24,3.12
201505,-2.98,-3.70
201506,2.37,1.81
201507,2.44,2.29
201508,-1.63,-1.25
201509,0.72,0.25
201510,-0.21,-0.44
201511,-1.45,-1.15
201512,0.92,0.39
201601,-0.91,-1.15
201602,0.79,0.67
201603,-2.98,-2.92
201604,-1.35,-1.47
201605,2.39,1.67
201606,2.61,2.05
201607,0.00,-0.15
201608,-1.35,-0.97
201609,-1.49,-1.96
201610,-0.28,-0.51
201611,-2.35,-2.05
201612,1.42,0.89
201701,1.69,1.45
201702,-2.73,-2.85
201703,0.29,0.35
201704,-0.17,-0.29
201705,2.33,1.61
201706,0.82,0.26
201707,2.02,1.87
201708,-0.58,-0.20
201709,-1.71,-2.18
201710,2.24,2.01
201711,-0.40,-0.10
201712,-1.66,-2.19
201801,-0.22,-0.46
201802,4.81,4.69
201803,0.36,0.42
201804,2.23,2.11
201805,1.13,0.41
201806,2.49,1.93
201807,0.05,-0.10
201808,2.27,2.65
201809,8.24,7.77
201810,1.78,1.55
201811,3.26,3.56
201812,2.16,1.63
201901,0.80,0.56
201902,3.15,3.03
201903,-1.72,-1.66
201904,-0.40,-0.52
201905,0.79,0.07
201906,1.33,0.77
201907,-0.62,-0.77
201908,-0.52,-0.14
201909,-4.55,-5.02
201910,1.41,1.18
201911,-0.49,-0.19
201912,1.95,1.42
202001,0.13,-0.11
202002,2.87,2.75
202003,-0.84,-0.78
202004,4.20,4.08
202005,2.29,1.57
202006,1.48,0.92
202007,-1.22,-1.37
202008,1.78,2.16
202009,-0.01,-0.48
202010,0.66,0.43
202011,-0.38,-0.08
202012,1.17,0.64
202101,-0.70,-0.94
202102,1.30,1.18
202103,-0.50,-0.44
202104,-0.62,-0.74
202105,-1.01,-1.73
202106,0.87,0.31
202107,-1.97,-2.12
202108,1.23,1.61
202109,1.70,1.23
202110,0.17,-0.06
202111,-1.51,-1.21
202112,-1.60,-2.13
202201,2.17,1.93
