Wyoming, Palmer Z-Index
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,-0.90,-0.47
199002,-1.65,-1.56
199003,-0.97,-0.26
199004,-0.91,-0.44
199005,-0.53,-0.80
199006,-1.99,-1.18
199007,0.49,1.18
199008,-0.23,0.40
199009,-1.20,-0.99
199010,0.13,-0.63
199011,0.23,0.56
199012,-0.73,-0.69
199101,-1.68,-1.25
199102,-2.04,-1.95
199103,-1.45,-0.74
199104,0.48,0.95
199105,3.32,3.05
199106,1.03,1.84
199107,0.81,1.50
199108,0.08,0.71
199109,0.29,0.50
199110,-0.08,-0.84
199111,1.69,2.02
199112,-1.38,-1.34
199201,-1.80,-1.37
199202,-1.84,-1.75
199203,-2.83,-2.12
199204,-4.28,-3.81
199205,-2.20,-2.47
199206,-0.17,0.64
199207,1.05,1.74
199208,-0.80,-0.17
199209,-1.51,-1.30
199210,-1.71,-2.47
199211,0.11,0.44
199212,0.73,0.77
199301,-0.28,0.15
199302,0.25,0.34
199303,-0.19,0.52
199304,1.34,1.81
199305,0.39,0.12
199306,4.02,4.83
199307,4.01,4.70
199308,3.83,4.46
199309,0.45,0.66
199310,1.71,0.95
199311,0.95,1.28
199312,0.13,0.17
199401,0.82,1.25
199402,2.16,2.25
199403,0.31,1.02
199404,-0.19,0.28
199405,-3.18,-3.45
199406,-2.84,-2.03
199407,-2.22,-1.53
199408,-2.20,-1.57
199409,-1.92,-1.71
199410,4.72,3.96
199411,1.24,1.57
199412,0.02,0.06
199501,0.76,1.19
199502,0.79,0.88
199503,1.79,2.50
199504,2.29,2.76
199505,6.17,5.90
199506,2.54,3.35
199507,2.41,3.10
199508,0.40,1.03
199509,1.62,1.83
199510,1.60,0.84
199511,1.43,1.76
199512,0.39,0.43
199601,2.41,2.84
199602,0.93,1.02
199603,2.38,3.09
199604,0.56,1.03
199605,2.63,2.36
199606,-2.03,-1.22
199607,-1.32,-0.63
199608,-1.62,-0.99
199609,0.04,0.25
199610,0.94,0.18
199611,0.94,1.27
199612,3.69,3.73
199701,2.61,3.04
199702,1.44,1.53
199703,1.15,1.86
199704,2.69,3.16
199705,-0.11,-0.38
199706,0.62,1.43
199707,3.12,3.81
199708,3.19,3.82
199709,1.60,1.81
199710,0.88,0.12
199711,-1.00,-0.67
199712,-0.20,-0.16
199801,1.15,1.58
199802,0.32,0.41
199803,2.21,2.92
199804,0.00,0.47
199805,-1.58,-1.85
199806,4.00,4.81
199807,3.06,3.75
199808,2.17,2.80
199809,0.07,0.28
199810,4.47,3.71
199811,1.09,1.42
199812,0.50,0.54
199901,1.67,2.10
199902,2.24,2.33
199903,0.46,1.17
199904,5.08,5.55
199905,0.79,0.52
199906,1.21,2.02
199907,0.58,1.27
199908,0.14,0.77
199909,1.33,1.54
199910,-2.31,-3.07
199911,-3.20,-2.87
199912,-1.35,-1.31
200001,-0.69,-0.26
200002,-0.48,-0.39
200003,-2.28,-1.57
200004,-2.21,-1.74
200005,-0.79,-1.06
200006,-2.36,-1.55
200007,-3.57,-2.88
200008,-3.18,-2.55
200009,0.21,0.42
200010,-0.61,-1.37
200011,-0.53,-0.20
200012,-0.98,-0.94
200101,-2.79,-2.36
200102,-1.65,-1.56
200103,-3.86,-3.15
200104,-2.77,-2.30
200105,-3.65,-3.92
200106,-3.33,-2.52
200107,-3.02,-2.33
200108,-3.69,-3.06
200109,-1.97,-1.76
200110,-0.33,-1.09
200111,-1.40,-1.07
200112,-1.56,-1.52
200201,-2.33,-1.90
200202,-3.10,-3.01
200203,-2.65,-1.94
