Texas, Average Temperature
Units: Degrees Fahrenheit
Base Period: 2000-2022
Missing: -99
Date,Value,Anomaly
200001,50.7,3.5
200002,57.0,6.3
200003,61.4,2.3
200004,66.1,0.1
200005,76.9,3.2
200006,78.6,-2.2
200007,84.1,1.2
200008,84.2,1.2
200009,78.1,1.4
200010,67.2,0.1
200011,51.1,-5.4
200012,42.4,-6.2
200101,43.9,-3.3
200102,51.9,1.2
200103,53.3,-5.8
200104,67.8,1.8
200105,74.1,0.4
200106,80.9,0.1
200107,85.1,2.2
200108,82.8,-0.2
200109,74.9,-1.8
200110,65.4,-1.7
200111,58.9,2.4
200112,49.4,0.8
200201,48.7,1.5
200202,47.1,-3.6
200203,55.4,-3.7
200204,69.1,3.1
200205,74.0,0.3
200206,80.6,-0.2
200207,80.9,-2.0
200208,82.8,-0.2
200209,76.0,-0.7
200210,64.9,-2.2
200211,53.0,-3.5
200212,47.8,-0.8
200301,46.2,-1.0
200302,48.3,-2.4
200303,57.2,-1.9
200304,66.6,0.6
200305,75.8,2.1
200306,78.5,-2.3
200307,82.1,-0.8
200308,82.9,-0.1
200309,73.9,-2.8
200310,67.4,0.3
200311,58.0,1.5
200312,49.1,0.5
200401,48.9,1.7
200402,47.4,-3.3
200403,61.8,2.7
200404,64.3,-1.7
200405,73.7,0.0
200406,78.7,-2.1
200407,80.7,-2.2
200408,79.2,-3.8
200409,75.2,-1.5
200410,69.7,2.6
200411,55.7,-0.8
200412,47.6,-1.0
200501,50.7,3.5
200502,51.9,1.2
200503,56.5,-2.6
200504,64.3,-1.7
200505,71.8,-1.9
200506,80.5,-0.3
200507,82.4,-0.5
200508,81.3,-1.7
200509,79.9,3.2
200510,66.4,-0.7
200511,58.7,2.2
200512,47.2,-1.4
200601,52.9,5.7
200602,50.2,-0.5
200603,61.1,2.0
200604,70.7,4.7
200605,75.7,2.0
200606,80.8,0.0
200607,83.4,0.5
200608,83.6,0.6
200609,74.1,-2.6
200610,66.8,-0.3
200611,57.9,1.4
200612,48.2,-0.4
200701,42.5,-4.7
200702,49.4,-1.3
200703,61.9,2.8
200704,61.7,-4.3
200705,71.4,-2.3
